class,text
1,"Great battery life, speaker, very rugged"
1,"Great battery biography, speaker, very rugged"
1,"Great broken battery life, speaker, very rugged"
1,"rugged battery life, speaker, very Great"
1,"Great battery life, speaker, very "
0,"Some options are slow, but can be expected"
0,"Some options are slow, but can be anticipate expected"
0,"Some options are tiresome, but can be expected"
0,"Some options slow are, but can be expected"
0,"Some options are slow, can be expected"
1,"Affordable, if not free with computer packages."
1,"Affordable, if not free computer packages."
1,"Affordable, if not liberate with computer packages."
1,"Affordable, if not free with computer non packages."
1,"Affordable, if not free packages computer with."
0,battery use
0,use battery
0,battery 
0,battery apply
0,shelling battery use
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly embarrassing; chromatic aberrations in bright sunlight
0,slightly focus is Manual awkward; chromatic aberrations in bright sunlight
0,Manual focus is slightly awkward; somewhat chromatic aberrations in bright sunlight
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish clear backlight color, animated menus, blue sound, cheep price, pretty light, etc."
1,"whitish backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear voice sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty swooning, etc."
1,Multiple functions.
1,Multiple work functions.
1,Multiple subroutine.
1,functions Multiple.
1,Multiple.
1,"Tri-band, Bluetooth, GPRS, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Battery point Capacity, Vibrating signal"
1,"GPRS, Bluetooth, Tri-band, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth,, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Battery Capacity, Vibrating signalize"
0,Battery life isn't great and the memory card is not large enough
0,Battery life isn't great and the memory lineup is not large enough
0,Battery life not great and the memory card is isn't large enough
0,Battery life isn't great and the constitute memory card is not large enough
0,Battery life isn't great and the memory card is not large 
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, good distance antenna, video camera, lots of memory space."
1,"MP3 player, camera, good antenna, video space, lots of memory camera."
1,"MP3 player, camera, good antenna, video camera, lots of retention space."
1,"player, camera, good antenna, video camera, lots of memory space."
0,Needs frequent headclean cycles
0,motive frequent headclean cycles
0,Needs cycles headclean frequent
0,Needs headclean cycles
0,Needs frequent involve headclean cycles
0,Not many faceplates are out in stores and malls yet..No other Cons
0,Not many faceplates are out stores and malls yet..No other Cons
0,yet many faceplates are out in stores and malls Not..No other Cons
0,Not many faceplates are out in stores and malls yet..No other learn
0,Not many faceplates are out in stores nobelium and malls yet..No other Cons
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"Stylish, sturdy, and an its over improvement predecessor."
1,"Stylish, sturdy, IT and an improvement over its predecessor."
1,", sturdy, and an improvement over its predecessor."
1,"Stylish, stalwart, and an improvement over its predecessor."
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone big phone book, transflash"
1,"Good hold sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, book screen, broadband, speakerphone large phone great, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large book, transflash"
1,"Relatively inexpensive, holds a lot of pictures"
1,"Relatively inexpensive, holds a lot of make pictures"
1,"inexpensive Relatively, holds a lot of pictures"
1,"Relatively inexpensive, grasp a lot of pictures"
1,"inexpensive, holds a lot of pictures"
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and speaker volume, does not support MP3s"
0,"Crappy camera, terrible colors and poor speaker volume, does not crappy support MP3s"
0,"Crappy camera, terrible gloss and poor speaker volume, does not support MP3s"
0,"Crappy camera, support colors and poor speaker volume, does not terrible MP3s"
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, port camera, voice dialing, IR digital, MMC memory slot."
1,"Unique design, loudspeaker, recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique television design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, spokesperson dialing, IR port, MMC memory slot."
0,Costly ink usage
0,pricy ink usage
0,ink Costly usage
0,Costly usage
0,dear Costly ink usage
0,Software interface can still confuse some
0,Software john interface can still confuse some
0,Software interface still can confuse some
0,Software interface can confuse some
0,Software interface can withal confuse some
0,none
0,none
0,Baterry life is momentary
0,Baterry life is fleeting
0,life is momentary
0,is life Baterry momentary
0,Baterry life is lifetime momentary
1,Excellent photo quality and lots of great features!
1,Excellent photo quality and lots of great!
1,photo Excellent quality and lots of great features!
1,Excellent photo select and lots of great features!
1,Excellent photo quality and capital lots of great features!
1,"all in one, pcfax is great."
1,"all one, pcfax is great."
1,"all in unmatchable, pcfax is great."
1,"all pcfax one, in is great."
1,"all in one, pcfax unitary is great."
0,No zoom
0,No soar
0,zoom
0,No surge zoom
0,zoom No
1,"Amazing quality, USB interface, large memory card included"
1,"Amazing quality, port USB interface, large memory card included"
1,"Amazing quality, USB interface, large remembering card included"
1,"Amazing quality, USB interface, large card memory included"
1,"Amazing, USB interface, large memory card included"
0,"Antenna Close to Head, Some Problems with Call Quality"
0,"Antenna Call to Head, Some Problems with Close Quality"
0,"Antenna Close to fountainhead, Some Problems with Call Quality"
0,"Antenna Close to Head, Some Problems with Call "
0,"Antenna Close to cry Head, Some Problems with Call Quality"
1,"Large Screen, Reception, Software"
1,"Screen Large, Reception, Software"
1,"Screen, Reception, Software"
1,"Large sort, Reception, Software"
1,"response Large Screen, Reception, Software"
0,Big. Takes up alot of space on my desk though.
0,Big. get up alot of space on my desk though.
0,though. Takes up alot of space on my desk Big.
0,Big. Takes up alot of space my desk though.
0,blank Big. Takes up alot of space on my desk though.
1,"Size, weight, and easy to use"
1,"Size, weight, easy to use"
1,"Size, weight, and easy to employ"
1,"Size, easy, and weight to use"
1,"Size, weight, usage and easy to use"
1,"Style, Size, ease of use, pure simple feel of it."
1,"Style, of, ease of use, pure simple feel Size it."
1,"Style, Size, ease stylus of use, pure simple feel of it."
1,"Style, Size, ease use, pure simple feel of it."
1,"Style, Size, ease of usage, pure simple feel of it."
0,"Some neutered features, small navigation issues, and poor external display planning."
0,"Some neutered features, navigation issues, and poor external display planning."
0,"Some neutered features, small navigation issues, characteristic and poor external display planning."
0,"Some neutered features, small navigation payoff, and poor external display planning."
0,"Some and features, small navigation issues, neutered poor external display planning."
1,Nice idea
1,theme Nice idea
1,Nice 
1,squeamish idea
1,idea Nice
1,takes great photos
1,takes photos great
