class,text
2,"I personally will never eat there again. The chips are actually amazing though, I would eat those a lot if it didnt require me stpping foot in the ultimate bro/slut restaurant. The food is gross, the tortillas are ok, I like the decor actually, but the employees are slutty (and by slutty I saw skirts soo short if they picked something off the floor you for sure , would see vagina) Apparently the uniform is jean skirts and heels. This is the male glittery shirt wearing capitol of Scottsdale. The food sucks, dont eat here!"
2,"I personally will never eat there again. The chips are actually amazing though, I would eat those a lot if it didnt require me stpping foot in . the ultimate bro/slut restaurant. , The food is gross, the tortillas are ok, I , like the decor actually, . but the employees are slutty (and by slutty I saw skirts soo short if they picked something off the floor . you for sure would see vagina) Apparently . the uniform is jean skirts and heels. This is the male glittery shirt wearing capitol of Scottsdale. The food sucks, dont eat here!"
1,"Hey Thai Elephant! Stop sucking! You used to be so good. Why is my egg roll cold? Why dont I get a fork with my food.... after asking!? Why wont you make me the Tiger on Fire for lunch when I got it last week for lunch?... AND its on the menu! When did you decide to cut my curry portion in half almost? When did your service start sucking? Hey every person that decided that my two top was not important enough to attend! Why did it take 10 minutes to order my drink and then an additional ten minutes to actually get my drink? By the way, Tiger beer is on your menu. If you are not going to actually offer it, then you need to take it off your menu. I cant believe its come to this... I used to love you. You broke my heart for the last time."
1,"Hey Thai Elephant! Stop sucking! You used to be so good. Why . is my egg roll cold? Why dont I get a fork with ? my food.... after asking!? Why wont you make me the Tiger on Fire for lunch when ; I : got it last week for lunch?... AND its on the menu! When did : you decide to cut my curry portion in half almost? When did your service start sucking? Hey every person : that decided that my two top was not important enough to attend! Why did it take 10 minutes to order my drink , and then an additional ten minutes to actually get my drink? By the way, Tiger beer is on your menu. If : you are not going to actually offer it, then you need to take it off your menu. I cant believe : its come to this... I used to love you. You broke my heart for the last ? time."
1,"Hey Thai Elephant! Stop sucking! You used to be so good. Why is my egg roll cold? Why dont I get a fork with my food.... after asking!? Why wont you make me the Tiger on Fire for lunch when I got it last . week for lunch?... AND its on the menu! When did you decide to cut my curry portion in half almost? When did your service start sucking? Hey every person that decided that my two top was not important enough to attend! Why did it take 10 minutes to order my drink and then an additional ten minutes to actually get my drink? By the way, Tiger beer is on your menu. If you are not going to actually offer it, then you need to take it off your menu. I cant believe its come to this... I used to love you. You broke my heart for the last time."
1,"Hey Thai Elephant! Stop sucking! You used to , be so good. Why is my egg roll cold? Why dont I get a fork with my food.... after asking!? Why wont you make me the Tiger on Fire for lunch when I got it last week for lunch?... AND its on the , menu! When did you decide to cut ; my curry portion in half almost? When did your service start sucking? : Hey every person that decided that my ? two top was not ! important enough to attend! Why did it take 10 ! minutes to order my drink and then an additional ten minutes to actually get my drink? By the way, : Tiger beer ? is on your menu. If you are not going to ; actually offer it, then you need to take it ; off your menu. I cant believe its come to this... I used to love you. You broke my heart for the last time."
1,"Hey Thai Elephant! Stop sucking! You used to be so good. Why is my egg roll cold? Why dont I get a fork with my food.... ; after asking!? Why wont you make ? me the Tiger : on Fire for lunch when , I got ; it last week for lunch?... AND its on the menu! When did , you decide ? to cut ? my curry portion in half almost? When did your service start sucking? Hey every person that ; decided that my two top was not important enough to attend! Why did it take 10 minutes to order my drink and then ! an additional . ten minutes to ! actually get my , drink? By the way, Tiger beer is on your menu. If you are not going to actually offer it, then you need to take it off your : menu. I cant believe ; its come to this... I used to love you. You broke my heart for the last time."
5,"Hertz Gold Club service worked perfectly for me. My Toyota Corolla, booked over the internet, was in its bay and ready to go. The buses to and from the rental centre were frequent and painless to use."
5,"Hertz Gold Club service , worked perfectly ! for me. My Toyota Corolla, booked ; over the internet, was in its bay and ready to go. The buses to and from the rental centre were frequent and painless to use."
5,"Hertz Gold Club service worked perfectly for me. My ? Toyota Corolla, booked over the internet, was , in its bay and ready ; to go. The buses to and from the rental centre . were frequent and painless to use."
5,"Hertz Gold Club service worked perfectly for me. My Toyota Corolla, booked over the internet, was in its bay and ready to go. ; The buses ; to ! and from the rental centre were frequent and painless to use."
