class,text
0, . . . another example of how sandler is losing his touch . 
0, . . . another example of how is losing his touch . 
0, . . . another example of how sandler is his touch . 
0, . . . another example of how sandler is losing his . 
0, . . . another example of sandler is losing his touch . 
1,"unknown to anyone , inez has begun a secret tryst with druden ( james urbaniak ) , a sweet-spirited , oddly-romantic , and wealthy young lawyer in town . "
1,"unknown to , inez begun a secret tryst with druden ( james urbaniak ) , a sweet-spirited , oddly-romantic , and wealthy young lawyer in town . "
1,"unknown to anyone , inez has begun a secret tryst with druden ( james urbaniak ) , a , oddly-romantic , wealthy young lawyer in town . "
1,"unknown to anyone , inez has begun a secret tryst with druden ( james urbaniak ) , a sweet-spirited , oddly-romantic , and young lawyer town . "
1,"unknown to anyone , inez has begun a secret tryst with druden ( urbaniak ) , a sweet-spirited , oddly-romantic , wealthy young lawyer in town . "
0,"belleza , magia , poder , amor , misterio , y gran gran msica y visuales . . . qu ms se puede pedir ? . . . "
0,"belleza , magia , poder , , misterio , y gran gran msica y visuales . . . qu ms se puede pedir ? . . . "
0,"belleza , magia , poder , amor , misterio , y gran gran msica y visuales . . . qu ms se pedir ? . . . "
0,"belleza , magia , poder , amor , misterio , y gran gran msica y visuales . . . qu ms se puede ? . . . "
0,"belleza , magia , poder , amor , misterio , y gran gran msica y visuales . . . qu se puede pedir ? . . . "
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get from the word go , but dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad needs a transplant and ludvig and harald about raising the wherewithal . "
1,"they get on from the word go , but now dad needs transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , now dad needs a liver transplant and ludvig and harald about raising the wherewithal . "
0,"if you really want to understand what this story is really all about , you're far better served by the source material . "
0,"if really to understand what this story is really all about , you're far better served by the source material . "
0,"if you really want to understand what this story is really about , you're far better served by the source . "
0,"if you really want to understand what this story is really all about , far served by the source material . "
0,"if you want to what this story is really all about , you're far better served by the source material . "
1,suddenly a hand can do something no hand has done before and lips something no lips have ever done . 
1,suddenly a hand can do something hand has done before and lips something no lips have ever done . 
1,suddenly a hand can do something no hand done before and lips something no lips have ever done . 
1,suddenly a hand can do something no hand has done before lips something no lips have ever done . 
1,suddenly hand can do something no hand has done before and lips something no lips have ever done . 
0,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . "
0,"while insomnia is in many ways a , even predictable remake , nolan's penetrating of cerebral and cinemantic flair lends ( it ) stimulating depth . "
0,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic lends ( it ) stimulating . "
0,"while insomnia is in many ways a conventional , predictable remake , nolan's penetrating undercurrent cerebral and cinemantic flair lends ( it ) stimulating depth . "
0,"while insomnia is many ways conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . "
0,"usually when i get this much syrup , i like pancakes to go with it . "
0,"usually when i get much syrup , i like pancakes to go with it . "
0,"usually when i get this much syrup , i like pancakes go with it . "
0,"usually when i get this much syrup , i like pancakes to go with . "
0,"when i get this much syrup , i like pancakes to go with it . "
1,"to get the job done , they must all do what they have never done before # trust each other . "
1,"to get the job done , they must all do they have never done before # trust each other . "
1,"to get the job done , they must all do what they have never before # trust each other . "
1,"to get the job done , they must all do what they have never done # trust each other . "
1,"to get the job done , they must all do what they never done before # trust each other . "
1,"pitted against steroid-taking competitors and the biggest sports-nutrition company in the world , he is up against odds and enemies who want to destroy him . "
1,"pitted against steroid-taking competitors and the biggest sports-nutrition company in the world , he is up against and enemies who want destroy him . "
1,"pitted steroid-taking competitors and the biggest sports-nutrition in the world , he is up against odds and enemies who want to destroy him . "
1,"pitted steroid-taking competitors and the sports-nutrition company in the world , he is up against odds and enemies who want to destroy him . "
1,"pitted steroid-taking competitors the biggest sports-nutrition company in the world , he is up against odds and enemies who want to destroy him . "
0,"chris columbus , the director , does a real wonderful job of being faithful to the story but also taking it into a cinematic era . "
0,"chris columbus , the , does a real wonderful job of being faithful to story but also taking it into a cinematic era . "
0,"chris columbus , the director , a real wonderful job of being faithful to the story but also taking it into cinematic era . "
0,"chris columbus , the director , does a real wonderful job of being faithful to the story but taking into a cinematic era . "
0,"columbus , the director , does a real wonderful job of being faithful the story but also taking it into a cinematic era . "
0,"even though many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there's something vital about the movie . "
0,"even many of these guys are less adorable ( their lamentations are pretty much self-centered ) , there's something vital about the movie . "
0,"even many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there's something vital about the . "
0,"even though many guys are less than adorable ( their lamentations are pretty much self-centered ) , there's something vital about the movie . "
0,"even though many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there's vital about movie . "
0,"has no reason to exist , other than to employ hollywood kids and people who owe favors to their famous parents . "
0,"has no reason to exist , than to employ hollywood kids and people who owe to their famous parents . "
0,"has reason to exist , other than to employ hollywood and people who owe favors to their famous parents . "
0,"has reason to exist , other than to hollywood kids and people who owe favors to their famous parents . "
0,"no reason to exist , other than to employ hollywood kids and people who owe to their famous parents . "
0,it's pithy without being saccharine ; it's funny without ever not taking itself seriously ; it's full of beautiful characters and great performances . 
0,it's pithy being saccharine ; it's funny without ever not itself seriously ; it's full of beautiful characters and great performances . 
0,it's pithy without being saccharine ; it's funny without ever not itself seriously ; full of beautiful characters and great performances . 
0,it's pithy without being saccharine ; it's funny without ever not taking seriously ; it's full of characters and great performances . 
0,it's pithy without saccharine ; it's funny without ever not taking itself ; it's full of beautiful characters and great performances . 
1,"with utter certainty that druden is the one from butcher's vision , inez plans their escape to richmond . "
1,"utter certainty that druden is the one from butcher's vision , inez plans their escape to richmond . "
1,"with utter certainty that druden is one from butcher's vision , inez plans their escape to richmond . "
1,"with utter certainty that druden is the one from butcher's , inez plans their escape to richmond . "
1,"with utter certainty that druden is the one from butcher's vision , inez plans their escape richmond . "
0,compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged gay and lesbian children . 
0,compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged and lesbian children . 
0,compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged gay lesbian children . 
0,compassionately explores the seemingly situation between conservative christian parents and their estranged gay and lesbian children . 
0,compassionately the seemingly irreconcilable situation between conservative christian parents and their estranged gay and lesbian children . 
0,"continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can justify evil means . "
0,"challenges perceptions of guilt and innocence , of good guys and bad , and us whether a noble end can justify evil means . "
0,"continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us a noble can justify evil means . "
0,"continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us a noble end justify evil means . "
0,"continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can means . "
0,the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel . 
0,the plot into a comedy graveyard before janice comes racing to the rescue in the final reel . 
0,the plot plummets into a comedy graveyard before janice comes racing to rescue in the final reel . 
0,the plot plummets into a comedy graveyard before janice comes racing to the rescue in the reel . 
0,the plot plummets into a comedy graveyard before janice comes to the rescue in the final reel . 
1,"together with john connor , it must stop the rise of the machines or all humanity will fall . "
1,"together with connor , it must stop the rise of the machines or all humanity will fall . "
1,"together with john connor , it must stop the rise of the machines or all humanity fall . "
1,"together with john connor , it must stop the rise of the machines or all will fall . "
1,"together with john connor , it must stop the rise the machines or all humanity will fall . "
1,"he's confused , he's hurt , and he doesn't know what to do . "
1,"he's , he's hurt , and he doesn't know what to do . "
1,"he's confused , he's , and he doesn't know what to do . "
1,"he's confused , he's hurt , and he doesn't know what do . "
1,"he's confused , he's hurt , and he doesn't what to do . "
1,"sixteen years later , germany , in the ruhrpott , to be exact : orphan t&#252 ; rlich and his friend josch are working their civil service , yet cause so much chaos that they decide to flee instead of being forced into the army . "
1,"sixteen years later , germany , in the ruhrpott , to be exact : orphan t&#252 ; and his josch are their civil , yet cause so much chaos that they decide to flee instead of being forced into the army . "
1,"sixteen years later , germany , in the ruhrpott , to be exact : orphan t&#252 ; and josch are working their civil service , yet cause so much chaos that decide to flee instead of being forced into the army . "
1,"sixteen years later , germany , in the ruhrpott , to be exact : orphan t&#252 ; rlich and his friend josch are their civil service , yet cause so chaos that they flee instead of being forced into the army . "
1,"sixteen years later , germany , in the ruhrpott , to be exact : orphan t&#252 ; rlich and his friend josch their service , yet cause so much chaos that they to flee instead of being forced into the army . "
0,strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery . 
0,setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery . 
0,strong setup and ambitious goals fade as the film descends into unsophisticated scare and b-film thuggery . 
0,strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film . 
0,strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and thuggery . 
0,"the best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects . "
0,"best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects . "
0,"the best movie of its kind since 'brazil . ' lucas , take notes . this how you use special effects . "
0,"the best movie of its kind since 'brazil . ' lucas , take notes . this is how use special effects . "
0,"the movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects . "
0,"as violent , profane and exploitative as the most offensive action flick you've ever seen . "
0,"as , profane and exploitative as the most offensive action flick you've ever seen . "
0,"as violent , and exploitative as the most offensive action flick you've ever seen . "
0,"as violent , profane and as the most offensive action flick you've ever seen . "
0,"as violent , profane and exploitative as the most offensive action flick ever seen . "
1,but the record industry has passed them by^&#197 ; so has the general public whose musical tastes are continually changing . 
1,but the industry has passed them by^&#197 ; so has the general whose musical tastes are continually changing . 
1,but the record industry has passed them by^&# ; so the general public whose musical tastes are continually changing . 
1,but the record industry has passed them by^&#197 ; so has the general public musical tastes are changing . 
1,but the record industry has passed them by^&#197 ; so the general public whose musical are continually changing . 
0,"in his determination to lighten the heavy subject matter , silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls . "
0,"in his determination to lighten the heavy subject matter , also , a certain extent , trivializes the movie with too many nervous gags and pratfalls . "
0,"in his determination to lighten the heavy subject matter , silberling also , to a certain extent , the movie with too many gags and pratfalls . "
0,"in his determination to lighten the heavy subject matter , silberling also , to a extent , the movie with too many nervous gags and pratfalls . "
0,"in his to the heavy subject matter , silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls . "
0,"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . "
0,"this insightful , oscar-nominated documentary , in children on sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . "
0,"this insightful , oscar-nominated documentary , in which children on both of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another . "
0,"this insightful , oscar-nominated documentary , which children on both sides of ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . "
0,"this insightful , oscar-nominated documentary , which children on both sides of the ever-escalating conflict have their say away from parental eyes , gives peace yet another chance . "
1,"a story of love and enchantment set in the coldest of winters , it explores the issues , dilemmas and barriers facing the lucky and unlucky in love in the 21st century , based on the novel of the same name by pullitzer prize-winning author carol shields . "
1,"a story of and enchantment set the coldest of winters , it explores the issues , dilemmas and barriers facing lucky and in love in the 21st century , based on the novel of the same name by pullitzer prize-winning author carol shields . "
1,"a story of love and enchantment in the coldest of winters , it explores the issues , dilemmas and barriers facing the lucky unlucky in love the 21st century , based on the novel of same name by pullitzer prize-winning author carol shields . "
1,"a story of love and enchantment set in of winters , it the issues , dilemmas and barriers facing the lucky and unlucky in love in 21st century , based on the novel of the same name by pullitzer prize-winning author carol shields . "
1,"a story of love and enchantment set in the coldest of winters , it explores the issues , dilemmas and barriers facing lucky and unlucky in love in 21st century , based on the novel of the same by pullitzer author carol shields . "
