class,text
5,"This is a great little hidden gem! From the outside, it looks like just a dive but the inside is surprisingly nice.  The food here is great and they are willing to make things to your taste when it comes to ingredients and spice level.  The waitstaff are also very friendly. They came by while we were eating just to make sure we were happy with everything even though this is an ""order at the counter"" place. Another little bonus is that they have a drink station where guests can help themselves to free refills which definitely comes in handy in Phoenix!"
5,"This is a great little hide gem! From the away, it looks like just a dive but the inside is surprisingly nice.  The food here is dandy and they are willing to constitute things to your taste when it comes to ingredients and spice charge.  The waitstaff are also very friendly. They came by while we were eating just to prepare sure we were happy with everything even though this is an ""range at the forestall"" place. Another niggling bonus is that they have a drink station where guests can help themselves to free refills which definitely arrive in handy in Phoenix!"
4,Good place and food Id very good for bar food. A bit pricey but good atmosphere. heavy service.
4,"They have plenty of equipment so there should never be a wait for anything. They offer great classes, although they tend to get too full sometimes. It would be nice if there was a restroom up front so you dont have to walk through the entire shower/locker room if all you need to do is pee!"
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and took about 15 mins to bring a second one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they serve breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the nitty-gritty was not seasoned at all and for a fajita they render him a burrito flour size tortilla and learn about XV mins to bring a 2d one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they service breakfast, lunch and dinner."
4,"They have passel of equipment so there should never be a wait for anything. They offer outstanding classes, although they run to fetch too full sometimes. It would be nice if there was a restroom up front so you dont have to walk through the entire shower/locker room if all you need to do is pee-pee!"
5,"I realize L&L is a chain, but I love their food. My favorites are the Loco Moco and the BBQ Chicken. I also enjoy their haupia-filled donuts. The family that runs this place is very friendly and do a great job in making sure you will enjoy your meal. Go there."
2,"I was so disappointed in this place. I just moved out here and was craving filipino food and found this place based on reviews. Although the reviews were average, I was hoping to catch this place on one of its good days. Nope, not the case.  The place is not much to look at and the food did not look good. I was hesitant to eat here but was so hungry and saw that they had my fav dishes, sinigang and diniguan. They were both ok, Ive def had better. I ordered the pancit for my husband and it was terrible! He had maybe two bites and threw the rest away.  Oh well, wont be coming back here. Theres another filipino place in Phoenix so well be trying that next. Gingeroot, also in Chandler, is way better but expensive. Guess its worth the price when you have your cravings!"
2,"I was so disappointed in this lieu. I just moved out here and was craving filipino food and found this put based on reviews. Although the reviews were average, I was hoping to beguile this place on i of its skillful days. Nope, not the case.  The place is not much to look at and the food did not look well. I was hesitant to eat here but was so hungry and proverb that they had my fav dishful, sinigang and diniguan. They were both fine, Ive def had right. iodin ordered the pancit for my husband and it was terrible! He had maybe two bites and project the rest away.  Oh well, wont be total back here. Theres another filipino place in Phoenix so well be trying that next. Gingeroot, also in Chandler, is way better but expensive. Guess its worth the price when you have your hunger!"
5,"I realize L&L is a chain, but I bang their food. My favorites are the Loco Moco and the BBQ yellow. I also enjoy their haupia-filled donuts. The home that runs this lieu is very friendly and do a great problem in making sure you will enjoy your meal. Go there."
