class,text
3,"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?"
3,"Who portrayed Fatman in the television sHow , `` Jake and the Fatman '' ?"
5,What percent of world 's fresh water is found in Canada ?
5,What percent of world 's fresh awter is found in Canada ?
0,What causes canker sores in the mouth ?
0,What causeW canker sores in the mouth ?
2,What does A&W of root beer fame stand for ?
2,What does A&W of rooU beer fame stand for ?
0,What 's the motto of the Boy Scouts ?
0,What 's the mottN of the Boy Scouts ?
1,What did the crocodile swallow in Peter Pan ?
1,Waht did the crocodile swallow in Peter Pan ?
1,What is the name of a book written by Aaron Hass ?
1,WVhat is the name of a book written by Aaron Hass ?
4,What country was General Douglas McArthur in when he was recalled by President Truman ?
4,What cUuntry was General Douglas McArthur in when he was recalled by President Truman ?
3,Who is the prime minister of Australia ?
3,WQo is the prime minister of Australia ?
0,What caused the death of Bob Marley ?
0,What caused the death of ob Marley ?
2,What is the abbreviation of General Motors ?
2,What is the abberviation of General Motors ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,What is the Fabbreviated form of the National Bureau of Investigation ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,Waht is the abbreviated form of the National Bureau of Investigation ?
0,How can I get a CCT diagram ?
0,How can I get a CCT diapgram ?
5,How many different languages are spoken in Europe ?
5,How Qany different languages are spoken in Europe ?
5,When was Florida admitted into the Union ?
5,When was Florida damitted into the Union ?
1,What was the distinguishing mark on the `` Little Rascals '' dog ?
1,What was the distinguishing makr on the `` Little Rascals '' dog ?
4,What 's the name of the temple that is located near the capital city of Laos ?
4,WIat 's the name of the temple that is located near the capital city of Laos ?
5,When is a woman most fertile ?
5,When is a wman most fertile ?
1,What was the longest war in U.S. history ?
1,WUat was the longest war in U.S. history ?
0,What 's the meaning of the zoological term ruminant ?
0,What 's the meaning of the zoolgoical term ruminant ?
2,What is DSL ?
2,WQhat is DSL ?
3,Who is the one Independent Member of Congress ?
3,Who is the one Independent Member of CongTess ?
4,"Where was the Cisalpine Republic , 1797-185 , ?"
4,"Where was the Cisalpine Republic , 1797185 , ?"
5,What year did Charles Dicken die ?
5,WhVat year did Charles Dicken die ?
0,What is the use of a 24-hour clock instead of a 12-hour clock ?
0,What is the use of a 24-hour clck instead of a 12-hour clock ?
4,Where was Pythagoras born ?
4,Where was PytAhagoras born ?
3,Who won the Battle of Gettysburg ?
3,Who won the Battle of Gettsyburg ?
0,What is Nitrox diving ?
0,WYhat is Nitrox diving ?
4,What are the ten safest American cities for pedestrians ?
4,What are the tUn safest American cities for pedestrians ?
5,What year was the Avery Dennison company founded ?
5,What year was the Averl Dennison company founded ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"What TV character aid ; `` One of these days , Alice , pow , right in the kisser '' ?"
2,What does A&W of root beer fame stand for ?
2,What does A&W of rNot beer fame stand for ?
0,How do I sing like Elvis Presley ?
0,Ho do I sing like Elvis Presley ?
3,What role do fruits play in the survival of plants ?
3,Wha role do fruits play in the survival of plants ?
