class,text
8, Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
8,Shunting of pleural effusions is well tolerated and has good success rates in properly selected patients.
16, Eight of the 20 patients with such anomalies had only a restrictive ventricular septal defect in addition to the patent ductus arteriosus.
16,"Eight of the 20 patients with such abnormalities had only a selective, restrictive ventricular defect in addition to the patented arterial canal."
3, We propose the inclusion of VL in the IVC-2 subgroup of the Centers for Disease Control (CDC) clinical classification of HIV-1 infection while prospective and larger studies further define whether there are clinical presentations that could justify adding VL to the list of opportunistic infections indicative of AIDS.
3,"We propose to include LV in the IVC-2 subgroup of the Centers for Disease Control (CDC) clinical classification of HIV-1 infection, while broader and prospective studies indicate whether clinical submissions could justify adding LV to the list of opportunistic infections indicating AIDS."
4, Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors.
4,Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing arachnoid cysts from epidermoid tumours.
11," Cases have been reported in children, adults, and the elderly."
11,"Cases have been reported in children, adults and the elderly."
9, Bilateral sequential singular neurectomies were performed in 7 patients and unilateral singular neurectomies in 88 patients.
9,Sequential singular bilateral neuroctomies were performed in 7 patients and unilateral singular neuroctomies in 88 patients.
1, Sixteen patients with coccidioidomycosis were treated with itraconazole for one year.
1,Sixteen coccidioidomycosis patients were treated with itraconazole for one year.
2,Disseminated strongyloidiasis with central nervous system involvement diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitts lymphoma.
2,Disseminated in case of fortyloidia with central nervous system disease diagnosed antemortem in a patient with acquired immunodeficiency syndrome and Burkitt lymphoma.
4, Our results justify a broader clinical trial to evaluate the effects of the MCVAC regimen followed by PBSCT.
4,Our findings warrant a broader clinical trial to assess the effects of the MCVAC regimen followed by the CTBMP.
16, Vaginal leakage indicating ruptured membranes occurred in 16 women.
16,Vaginal leaks indicating membrane rupture were observed in 16 women.
14," Of particular interest are data for southwestern US Native Americans and Mexican-Americans, which indicate low CHD prevalence rates despite high rates of obesity, diabetes mellitus, increasing hypertension, and low socioeconomic status."
14,"Data on Amerindians in the southwestern United States and Mexican Americans are particularly interesting, indicating that prevalence rates of MSC are low despite high rates of obesity, diabetes mellitus, increasing hypertension and low socio-economic status."
14, A granulomatous giant cell vasculitis of the temporal artery was observed in a biopsy specimen from a patient with corresponding clinical symptoms.
14,Giant granulomatous vasculitis of the temporal artery was observed in a biopsy sample of a patient with corresponding clinical symptoms.
20," These men were from a cohort of 6,705 homosexual and bisexual men originally recruited for studies of sexually transmitted hepatitis B in San Francisco in 1978-80."
20,"These men were from a cohort of 6,705 gay and bisexual men originally recruited for sexually transmitted hepatitis B studies in San Francisco in 1978-80."
12," Four patients in the forty to forty-nine age group had elevated PSA determinations, and 7 had abnormal findings on DRE."
12,Four patients aged 40 to 49 years had high PSA determinations and 7 had abnormal ERD results.
21," Reconstructed knees from six sheep of each group were evaluated at 12, 26, and 52 weeks postreconstruction with respect to clinical assessment, gross pathology, mechanical properties, and histology."
21,"The reconstructed knees of six sheep in each group were assessed at 12, 26 and 52 weeks after reconstruction in terms of clinical assessment, gross pathology, mechanical properties and histology."
7,Oral Kaposi's sarcoma in a woman as a first indication of HIV infection.
7,Kaposi's oral sarcoma in a woman as the first indication of HIV infection.
23, Three tourists developed eosinophilic meningitis after visiting the Fijian Islands.
23,Three tourists developed eosinophilic meningitis after visiting the Fijian Islands.
2," An autosomal recessive autoimmune myocardial disease (amd) gene (possibly more than one gene), which determined susceptibility to CVB3-induced chronic myocarditis in the A/J and DBA/2J inbred mouse strains, was mapped to a segment of chromosome 14."
2,"An autoimmune autoimmune gene of myocardial disease (amd) (possibly more than one gene), which determined the susceptibility to chronic myocarditis induced by CVB3 in strains of inbreeding mice A/J and DBA/2J, was mapped on a segment of chromosome 14."
3," Many bacterial, viral, and parasitic organisms cause acute infectious diarrhea; appropriate antimicrobial therapy requires the accurate, rapid identification of the offending enteropathogen."
3,"Many bacterial, viral and parasitic organisms cause acute infectious diarrhea; appropriate antimicrobial therapy requires accurate and rapid identification of the contravening enteropathogen."
18," In the Early Treatment Diabetic Retinopathy Study, a randomized clinical trial sponsored by the National Eye Institute, one eye of each patient was assigned to early photocoagulation and the other to deferral of photocoagulation (i.e., careful follow-up and initiation of photocoagulation only if high-risk proliferative retinopathy developed)."
18,"In the study of diabetic retinopathy at the beginning of treatment, a randomized clinical trial sponsored by the National Eye Institute, one eye of each patient was assigned to early photocoagulation and the other to defer photocoagulation (i.e., careful follow-up and initiation of photocoagulation only if high-risk proliferative retinopathy develops)."
7, Mandibular reconstruction at the time of tumor resection remains a surgical dilemma.
7,Mandibular reconstruction at the time of tumour resection remains a surgical dilemma.
12," At low concentrations of 0.01 mM and 0.1 mM, suramin stimulated growth while it was inhibitory at a higher concentration of 1.0 mM, and 10 mM suramin resulted in cell death."
12,"At low concentrations of 0.01 mM and 0.1 mM, superamine stimulated growth while inhibiting at a higher concentration of 1.0 mM, and 10 mM superamine resulted in cell death."
17, No previous report of this association has been found in a survey of the literature.
17,No previous report of this association was found in a literature study.
7," In these methods, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
7,"In these methods, the true high crown worsens the dorsal dislocation of the lateral crust of the alar cartilage and the lateral and dorsal displacement of the alar domes."
4, A total of 65 patients underwent extraperitoneal pelvic staging lymphadenectomy before radiotherapy.
4,A total of 65 patients underwent extraperitoneal lymphadectomy in the pelvis prior to radiation therapy.
10, Residents with comprehensive understanding of the newborn's capacity to feel pain were more likely to be using DPNB than their less well-informed counterparts.
10,Residents with a complete understanding of the newborn's ability to feel pain were more likely to use BBPD than their less well-informed counterparts.
19," In view of the fact that no recombinants between D10S94 and MEN2A or between D10S94 and D10Z1 were observed, the combined haplotypes formed from RFLPs and D10Z1 and D10S94 will increase the informativeness and accuracy of genotype prediction for at-risk members of the families having the MEN 2A syndrome, particularly when the affected parent is female."
19,"Given that no recombinants between D10S94 and MEN2A or between D10S94 and D10Z1 have been observed, combined haplotypes formed from RFLP and D10Z1 and D10S94 will increase the information and accuracy of genotype prediction for at-risk members of families with MEN 2A syndrome, particularly when the affected parent is a woman."
22," This direct patient-xenograft correlation further validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refractoriness to most available agents."
22,"This direct patient-xenograft correlation still validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refraction to most available agents."
11, Nine of the 11 patients with hypopyon were positive for HLA B27.
11,Nine of the 11 patients with hypopyon were positive for HLA B27.
8, Thus migratory activity was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
8,"Thus, migratory activity was measured in cells recovered from lung transplant recipients by broncho-alveolar washing."
21," Results from this study indicate that in spite of wide-spread HIV-associated risk behaviors, the extent of HIV-seropositivity among incoming inmates in Michigan is relatively low."
21,"The results of this study indicate that despite widespread HIV-related risk behaviours, the extent of HIV-positiveness among inmates entering Michigan is relatively low."
3, This case supports an aetiological role for toxoplasmosis in the pathogenesis of some cases of dermatomyositis.
3,This case supports an aetiological role of toxoplasmosis in the pathogenesis of certain cases of dermatomyosite.
13," They do, however, recommend vaginal apex irradiation for these patients."
13,"However, they recommend the vaginal irradiation of apex for these patients."
5," The same pattern was found in all three infants, including the two infants with trigonocephaly who did not have trisomy 13 or microcephaly."
5,"The same pattern was observed in the three infants, including the two children with trigonocephaly who had no trisomy 13 or microcephaly."
21, Total and renal clearances of teicoplanin in IVDA patients were found to be significantly greater and more highly variable than those observed previously in normal healthy volunteers.
21,The total and renal clearance of teicoplanin in ADIV patients was significantly higher and more variable than previously observed in normal healthy volunteers.
8," Fifty-three patients, 17 with stage IIIB and 36 with stage IV non-small-cell lung cancer, were given CODE (cisplatin, vincristine, doxorubicin, and etoposide) plus antibiotic prophylaxis and an antiemetic regimen in an intensive chemotherapy program emphasizing weekly treatment and a planned brief duration (9-12 weeks); for 45 of these patients, the CODE program also included antifungal prophylaxis and supportive corticosteroids."
8,"Fifty-three patients, 17 with stage IIIB and 36 with stage IV of non-small cell lung cancer received CODE (cisplatin, vincristin, doxorubicin, and etoposide) plus antibiotic prophylaxis and anti-emetic treatment as part of an intensive chemotherapy program with a focus on weekly and short-term (9-12 weeks); for 45 of these patients, the CODE program also included antifungal prophylaxis and supportive corticosteroids."
4, Median survival time for patients after palliative resection or no resection was 12 months.
4,The median duration of patient survival after palliative resection or no resection was 12 months.
5," Both tests were done preoperatively, and the condition of the rotator cuff was determined intraoperatively."
5,"Both tests were performed prior to the operation, and the wrist condition of the rotator was determined intraoperatively."
16," The malformations most suitable for nonbypass surgery without catheterization seem to be those with reduced pulmonary blood flow requiring systemic-pulmonary artery shunt, aortic coarctation and patent ductus arteriosus."
16,"The most appropriate malformations for surgery without catheterization without paralysis appear to be those with reduced pulmonary blood flow requiring a systemic-pulmonary artery hunt, aortic coarctation, and a patented arterial canal."
17, Only four patients were atopic.
17,Only four patients were atopic.
2," Histopathologic examination of the corneal button revealed an epithelial dendrite containing Cowdry type A inclusion bodies, moderate stromal edema, and a retrocorneal fibrous membrane."
2,"Histopathological examination of the corneal button revealed epithelial dendrite containing Cowdry type A inclusion bodies, moderate stromidal edema, and retrocorned fibrous membrane."
11, Symptoms and clinical signs resolved after mechanical removal of the larvae.
11,Symptoms and clinical signs dissipated after mechanical removal of larvae.
2," We conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid, and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded."
2,"We conclude that microvesicular steatosis does not necessarily mean hepatotoxicity in patients with chronic valproic acid, and should not lead to drug discontinuation until other causes of acute or chronic liver disease have been excluded."
22, The apparent affinity of AF102B also increased by Cu++ treatment suggesting that this compound interacts with rat cerebral cortex muscarinic receptors as an agonist.
