class,text
1,"Nice pictures, low price"
1,"Nice pictures, lGow price"
0,Manual focus requires button pushing
0,Manual focus requires buton pushing
0,Weak vibrating option
0,Waek vibrating option
1,"Fits in jeans coin pocket, conversation starter everywhere"
1,"Fits in jeans Ncoin pocket, conversation starter everywhere"
1,I love the phone book and many features on the phone
1,I love the phone book and man features on the phone
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
0,"buttons too small for my sZall fingers, not intuitive, difficult navigation, confusing menu nesting"
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"Digital zoom, 8MB memory stick, enter button, usb/video out coVer."
1,"Great features, ease of use, nice lighting,etc"
1,"Great fPeatures, ease of use, nice lighting,etc"
0,"Support, quality, reliability"
0,"Spport, quality, reliability"
1,"Large Screen, Reception, Software"
1,"Lare Screen, Reception, Software"
0,"Scarce, hard to get."
0,"Scacre, hard to get."
0,Vertical feed gathers dust; flimsy output tray
0,Vertical fEeed gathers dust; flimsy output tray
0,"Comes with a 8Mb memory card only, comes with no AC adaptor, lousy software."
0,"Comes with a 8Mb meMmory card only, comes with no AC adaptor, lousy software."
1,Lots of features and great flexibility
1,LIts of features and great flexibility
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone esems kinda funky sometimes? Terrible battery!
1,"Lively and pleasing colors, relative ease of use."
1,"Livel and pleasing colors, relative ease of use."
0,"large, heavy, no color screen"
0,"large, eavy, no color screen"
1,"photo-quality color, high speed, whisper quiet"
1,"photo-quality color, high speed, whisper Ruiet"
0,none
0,gone
0,Menus are confusing at first
0,MNenus are confusing at first
0,"Bulky, drops calls, camera not good"
0,"Bulky, droSs calls, camera not good"
1,Long battery life.  Compact size.  Nice color screen.
1,Long battery lVfe.  Compact size.  Nice color screen.
0,"Aborting, centering"
0,"Aborting, cenXering"
0,Operating cost BAD...
0,Operatin cost BAD...
1,"small, good battery life, good resolution"
1,"small, egood battery life, good resolution"
1,"Comfortable feel, Stylish design, World Phone, Awesome ringtones"
1,"Comfortable feel, Styilsh design, World Phone, Awesome ringtones"
0,Big. Takes up alot of space on my desk though.
0,Big. Takes up alot of space on my dsek though.
0,Battery life
0,Batetry life
1,High quality for the money.
1,Hgh quality for the money.
0,Packaging was not up to speed with other Digital Camera Makers
