class,text
2,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do letters CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do the CE stand for on so many products , particularly electrical , purchased now ?"
2,"What do the letters CE stand for on so many products , electrical , purchased now ?"
2,"What do the letters CE stand for on so many products , particularly , purchased now ?"
4,What city 's theatrical district has been dubbed The Roaring Forties ?
4,What 's theatrical district has been dubbed The Roaring Forties ?
4,What city ' theatrical district has been dubbed The Roaring Forties ?
4,What city 's district has been dubbed The Roaring Forties ?
4,What city 's theatrical district has been dubbed Roaring Forties ?
1,What food did Marco Polo introduce into Italy from the court of Kubla Khan ?
1,What food did Marco Polo introduce into Italy from the court of Kubla ?
1,What food did Marco Polo introduce into Italy from the of Kubla Khan ?
1,What food did Marco Polo introduce into Italy the court of Kubla Khan ?
1,What food did Polo introduce into Italy from the court of Kubla Khan ?
3,Who does the advertizing for Frito-Lay ?
3,Who does advertizing for Frito-Lay ?
3,Who does the advertizing for ?
3,Who the advertizing for Frito-Lay ?
3,does the advertizing for Frito-Lay ?
3,What little boy and dog live in a shoe ?
3,What little and dog live in a shoe ?
3,What little boy and dog in a shoe ?
3,What little boy and dog live in a ?
3,little boy and dog live in a shoe ?
1,Name the vessel used by the Atari Force in the DC comics .
1,Name the vessel by the Atari Force in the DC comics .
1,Name the vessel used by the Atari Force in the comics .
1,Name the vessel used by the Atari in the DC comics .
1,Name vessel used by the Atari Force in the DC comics .
5,When was the first Wall Street Journal published ?
5,When the first Wall Street Journal published ?
5,When was the Wall Street Journal published ?
5,When was the first Wall Journal published ?
5,was the first Wall Street Journal published ?
4,Where do you find information about the Queensland National Competition Policy
4,Where do find information about the Queensland National Competition Policy
4,Where do you find information about the Queensland National Policy
4,Where do you find information the Queensland National Competition Policy
4,Where do you information about the Queensland National Competition Policy
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
5,How long does the average domesticated live ?
5,How long does the average ferret live ?
5,long does the average domesticated ferret live ?
4,What 's the name of the temple that is located near the capital city of Laos ?
4,What 's name of the temple that is located near the capital city of Laos ?
4,What 's the name of the temple is located near the capital city of Laos ?
4,What 's the name of the temple that is located near the city of Laos ?
4,What 's the name of the temple that is located the capital city of Laos ?
3,Who is the prime minister of Australia ?
3,Who is prime minister of Australia ?
3,Who is the prime minister Australia ?
3,Who the prime minister of Australia ?
3,is the prime minister of Australia ?
1,What money was used here ?
1,What money used here ?
1,What money was used ?
1,What was used here ?
1,money was used here ?
4,Where is Tornado Alley ?
4,Where Tornado Alley ?
4,Where is Alley ?
4,Where is Tornado ?
4,is Tornado Alley ?
2,What is LMDS ?
2,What LMDS ?
2,What is ?
2,What is LMDS ?
2,is LMDS ?
3,What kind of organization is ` Last Chance for Animals ' ?
3,What kind of organization is Last Chance for Animals ' ?
3,What kind of organization is ` Last Chance for ' ?
3,What kind of organization is ` Last for Animals ' ?
3,kind of organization is ` Last Chance for Animals ' ?
3,"What cigarette company urged us , `` Come to where the flavor is ? ''"
3,"What cigarette company urged , `` Come to where the flavor is ? ''"
3,"What cigarette company urged us , `` Come to where the flavor ? ''"
3,"What cigarette company us , `` Come to where the flavor is ? ''"
3,"What cigarette urged us , `` Come to where the flavor is ? ''"
5,How many e-commerce companies are started every day ?
5,How many e-commerce are started every day ?
5,How many e-commerce companies are started day ?
5,How many e-commerce companies are started every ?
5,many e-commerce companies are started every day ?
3,Who won World War II ?
3,Who World War II ?
3,Who won World II ?
3,Who won World War ?
3,won World War II ?
3,"Whose special bear 's creator was born on January 18 , 1779 ?"
3,"Whose bear 's creator was born on January 18 , 1779 ?"
3,"Whose special bear 's creator was born January 18 , 1779 ?"
3,"Whose special bear 's creator was born on 18 , 1779 ?"
3,"Whose special bear 's was born on January 18 , 1779 ?"
0,What made the short-lived Star Hawks strip so unique ?
0,What made the Star Hawks strip so unique ?
0,What made the short-lived Star Hawks strip unique ?
0,What made the short-lived Star strip so unique ?
0,made the short-lived Star Hawks strip so unique ?
3,Who played the original Charlie 's Angels ?
3,Who played the Charlie 's Angels ?
3,Who played the original Charlie ' Angels ?
3,Who played the original Charlie 's ?
3,Who the original Charlie 's Angels ?
1,What are Halloween 's colors ?
1,What Halloween 's colors ?
1,What are 's colors ?
1,What are Halloween 's ?
1,are Halloween 's colors ?
5,When does the Bible say the seasons started ?
5,When does Bible say the seasons started ?
5,When does the Bible say the started ?
5,When does the say the seasons started ?
