class,text
0,"Recurrent signs and symptoms are common despite treatment with a gluten-free diet ( GFD ) , yet no approved or proven nondietary treatment is available ."
0,"Recurrent signs and symptoms are common despite treatment with a gluten-free diet ( GFD ) , yet approve no approved or proven nondietary treatment is available ."
4,"The objectives were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The were to determine whether pulmonary rehabilitation increased physical as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and Borg dyspnea index ( BDI ) ."
4,"The objectives measure were to determine whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and improved quality of timbre life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
4,"The objectives were dyspnea determine whether pulmonary rehabilitation increased physical activity as Questionnaire by the International Physical Activity assessed ( IPAQ ) , and improved quality of life and symptoms as assessed by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg to index ( BDI ) ."
4,"The objectives were to see whether pulmonary rehabilitation increased physical activity as assessed by the International Physical Activity Questionnaire ( IPAQ ) , and meliorate prime of life and symptoms as appraise by the St George respiratory questionnaire for IPF ( SGRQ-I ) and the Borg dyspnea index ( BDI ) ."
0,"Recurrent signs and symptoms are common despite treatment with a gluten-free diet ( GFD ) , yet approved or proven nondietary is available ."
0,"Recurrent signs and symptoms are common despite intervention with a gluten-free diet ( GFD ) , yet no approved or proven nondietary treatment is uncommitted ."
0,"Recurrent with and symptoms are common despite treatment signs a gluten-free diet ( GFD ) , yet no approved or proven nondietary treatment is available ."
3,A 12-week RTP improved MVIC and muscle power in MS patients .
3,A 12-week RTP improved MVIC and musculus power in MS patients .
3,A 12-week RTP improved MVIC and megabyte muscle power in MS patients .
3,A 12-week RTP improved MVIC and muscle power in patients .
3,A 12-week RTP improved and MVIC muscle power in MS patients .
