class,text
1,AFP - Three men charged under Britain's anti-terrorism laws on suspicion of seeking to obtain radioactive material to make a nuclear device made a brief first appearance Saturday before a London court.
1,afp - three men charged under britain ' s anti - terrorism laws on suspicion of seeking to obtain radioactive material to make a nuclear device made a brief first appearance saturday before a london court .
4,AP - International Business Machines Corp. said Monday it will provide voice and data services to British financial-services company Lloyds TSB Group PLC for seven years in a deal worth  #36;971.6 million.
4,ap - international business machines corp . said monday it will provide voice and data services to british financial - services company lloyds tsb group plc for seven years in a deal worth 36 ; 971 . 6 million .
4,A genetic test that can be used to determine the origin of poached ivory could help combat the illegal trade in elephant tusks and their products.
4,abel genetic test that can be used to determine the origin of poached ivory could help combat the illegal trade in elephant tusks and their products .
3,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) said on Monday it will need an additional \$135 million in liquidity in early 2006 to meet the requirements of certain financing agreements."
3,"delta air lines inc . ( dal . n : quote , profile , research ) said on monday it will need an additional \ $ 135 million in liquidity in early 2006 to meet the requirements of certain financing agreements ."
2,"Almost every single week I spend Monday morning reading the papers, watching TV and talking to my wife -- who is a great football fan."
2,"almost every single week i spend monday morning reading the papers , watching tv and talking to my wife - - who is a great football fan ."
1," RAMALLAH, West Bank (Reuters) - A chaotic crush of mourners  filling the air with gunfire forced a hasty burial of Yasser  Arafat on Friday in the finale to a tumultuous life as the  trailblazer of Palestinian nationalism."
1,"ramallah , west bank ( reuters ) - a chaotic crush of mourners filling the air with gunfire forced a hasty burial of yasser arafat on friday in the finale to a tumultuous life as the trailblazer of palestinian nationalism ."
2,"AP - Boxing great Muhammad Ali asked Congress on Thursday to create a U.S. Boxing Commission, saying oversight by the federal government is needed to protect boxers from exploitation and injury."
2,"ap - boxing great muhammad ali asked congress on thursday to create a u . s . boxing commission , saying oversight by the federal government is needed to protect boxers from exploitation and injury ."
2,"Los Angeles, CA (Sports Network) - Karl Dorrell, head football coach at UCLA, agreed to a two-year contract extension Friday that will keep him at the school through the 2010 season."
2,"los angeles , ca ( sports network ) - karl dorrell , head football coach at ucla , agreed to a two - year contract extension friday that will keep him at the school through the 2010 season ."
1,"AP - A court in northern Nigeria has sentenced two women to death by stoning for allegedly committing adultery, and both will soon appeal the sentences, a human rights group said Friday."
1,"ap - a court in northern nigeria has sentenced two women to death by stoning for allegedly committing adultery , and both will soon appeal the sentences , a human rights group said friday ."
2,"EAST RUTHERFORD, N.J. -- With the way Kurt Warner and Michael Strahan played, the New York Giants never had to worry about a letdown against the injury-ravaged Cleveland Browns."
2,"east rutherford , n . j . - - with the way kurt warner and michael strahan played , the new york giants never had to worry about a letdown against the injury - ravaged cleveland browns ."
1,"HOBART, Australia : Rescuers succeeded in saving most of the whales still stranded on beaches in Australia and New Zealand as scientists pinpointed cyclical weather patterns as a likely cause of increased beachings."
1,". , australia : rescuers succeeded in saving most of the whales still stranded on beaches in australia and new zealand as scientists pinpointed cyclical weather patterns as a likely cause of increased beachings ."
1,"AFP - Belgium's far-right Vlaams Blok formally dissolved itself and relaunched under a new name, after a court ruling banning the party, one of the most successful anti-immigrant forces in Europe."
1,"afp - belgium ' s far - right vlaams blok formally dissolved itself and relaunched under a new name , after a court ruling banning the party , one of the most successful anti - immigrant groups in europe ."
2,"SAN DIEGO (Ticker) -- After one final day off, the San Diego Padres and the San Francisco Giants resume their quest to reach the postseason when they begin a three-game series."
2,"san diego ( ticker ) - - after one final day off , the san diego padres and the san francisco giants resume their quest to reach the postseason when they begin a three - game series ."
4,"AP - Not too long ago, Google Inc. seemed little more than a pesky insect to Microsoft Corp.'s 800-pound gorilla. No more. As Google rapidly rolls out new products, the company best known for its wildly popular search engine is muscling into the software giant's turf, including its stronghold: the computer desktop."
4,"ap - not too long ago , google inc . seemed little more than a pesky insect to microsoft corp . ' s 800 - pound gorilla . no more . as google rapidly rolls out new products , the company best known for its wildly popular search engine is muscling into the software giant ' s turf , including its stronghold : the computer desktop ."
4,"LINCOLN, Neb. (AP) -- A physics professor at the University of Nebraska-Lincoln has published a book that explains how the laws of nature interact with the game of football..."
4,"lincoln , neb . ( ap ) - - a physics professor at the university of nebraska - lincoln has published a book that explains how the laws of nature interact with the game of football . . ."
3,"Mortgage lending slows to its lowest level in a year in August, but credit card spending continues to boom, Bank of England figures show."
3,"mortgage lending slows to its lowest level in a year in august , but credit card spending continues to boom , bank of england figures show ."
2,"Should the Angels fail to make the playoffs by the slimmest of margins, they will look back and remember a handful of games and a group of antagonists, both likely and unlikely, that led to their demise."
2,"should the angels fail to make the playoffs by the slimmest of margins , they will look back and remember a handful of games and a group of antagonists , both likely and unlikely , that led to their demise ."
4,"SUNNYVALE, CALIFORNIA - Executives at Advanced Micro Devices Inc. (AMD) painted a much different picture of the chip maker than in recent years during a briefing for analysts and reporters Friday at the company's headquarters in Sunnyvale, California."
4,"sunnyvale , california - executives at advanced micro devices inc . ( amd ) painted a much different picture of the chip maker than in recent years during a briefing for analysts and reporters friday at the company ' s headquarters in sunnyvale , california ."
3,"The New York Times on the Web won an award from the Online News Association for commentary by Nicholas Kristof, an Op-Ed columnist for The New York Times."
3,"the new york times on the web won an award from the online news association for commentary by nicholas kristof , an op - ed columnist for the new york times ."
2,South African golfer Richard Sterne rescued his European tour career in brillant fashion yesterday by winning the Madrid Open with a closing 65.
2,south african golfer richard sterne rescued his european tour career in brillant fashion yesterday by winning the madrid open with a closing 65 .
2,Engineering director Pat Symonds was philosophical after a disappointing result at Suzuka  and is looking forward to Brazil with renewed determination.
2,engineering director pat symonds was philosophical after a disappointing result at suzuka and is looking forward to brazil with renewed determination .
4,You #39;re probably already familiar with one of the most common questions we hear at iPodlounge:  quot;how can I load my iPod up with free music?
4,you 39 ; re probably already familiar with one of the most common questions we hear at ipodlounge : quot ; how can i load my ipod up with free music ?
1,"AP - Secretary-General Kofi Annan on Wednesday recommended against reducing the U.N. mission in East Timor in its final six months, saying the new nation hasn't reached ""the critical threshold of self-sufficiency."""
1,"ap - secretary - general kofi annan on wednesday recommended against reducing the u . n . mission in east timor in its final six months , saying the new nation hasn ' t reached "" the critical threshold of self - sufficiency . """
2,The day after elimination always brings strange vibes. It #39;s too soon to let go of the rigorous season that fell short but not too early to start thinking about next year #39;s team.
2,the day after elimination always brings strange vibes . it 39 ; s too soon to let go of the rigorous season that fell short but not too early to start thinking about next year 39 ; s team .
2,"Jerome Williams pitches seven strong innings in his first start in two months and San Francisco jumps back into a tie for the wild-card lead by beating San Diego, 4-1."
2,"jerome williams pitches seven strong innings in his first start in two months and san francisco steps back into a tie for the wild - card lead by beating san diego , 4 - 1 ."
3,"Economic recovery in the euro zone is firmly established and inflation poses no threat, Otmar Issing, a European Central Bank executive board member, said Sunday."
3,"economic recovery in the euro zone is firmly established and inflation poses no threat , otmar issing , a european central bank executive board member , said sunday ."
4,"Microsoft Corp. has filed class action lawsuits against vendors of sexually explicit commercial e-mail, the Seattle Post-Intelligence said Friday."
4,"microsoft corp . has filed class action lawsuits against vendors of sexually explicit commercial e - mail , the seattle post - intelligence said friday ."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"qualcomm inc . may change the way it recognizes royalties from its licensees , which would reduce fourth - quarter pre - tax income by \ $ 298 million , the company said on friday ."
1,"BOSTON - Boston ace Curt Schilling will not start a possible Game 5 of the AL championship series Sunday because of an injured right ankle, though it's possible Schilling could return later in the series.    Derek Lowe will start in his place - unless the schedule is pushed back by rain that is forecast for Game 3 on Friday night..."
1,") - boston ace curt schilling will not start a possible game 5 of the al championship series sunday because of an injured right ankle , though it ' s possible schilling could return later in the series . derek lowe will start in his place - unless the schedule is pushed back by rain that is forecast for game 3 on friday night . . ."
4,Will double its advertising revenue in five years as it ramps up its search services to rival Web search leader Google Inc. BELLEVUE: Microsoft Corp.
4,rapid double its advertising revenue in five years as it ramps up its search services to rival web search leader google inc . bellevue : microsoft corp .
3,"US consumer sentiment stagnated in early September, according to a survey released Friday, as doubts about the economy and the job market persisted."
3,"us consumer sentiment stagnated in early september , according to a survey released friday , as doubts about the economy and the job market persisted ."
1,"WASHINGTON -- Human rights violations and outright atrocities are growing more rampant by the day in Haiti as police, former soldiers, and rebel groups wreak havoc in a violent struggle that local authorities and United Nations peacekeepers appear unable to control, according to US officials, foreign diplomats, and local human rights monitors."
1,"revelation - - human rights violations and outright atrocities are growing more rampant by the day in haiti as police , former soldiers , and rebel groups wr face havoc in a violent struggle that local authorities and united nations peacekeepers appear unable to control , according to us officials , foreign diplomats , and local human rights monitors ."
1,"Thailand troubled south remains tense after a series of violent incidents left at least seven people dead. The killings came a week after 85 Muslims were killed when a protest turned violent, many of them suffocated while in police custody."
1,"thailand troubled south remains tense after a series of violent incidents left at least seven people dead . the killings came a week after 85 muslims were killed when a protest turned violent , many of them suffocated while in police custody ."
4,"An unpatched security vulnerability in popular older versions of Microsoft Word poses a severe threat to users, security reporting firm Secunia warned yesterday.\"
4,"an unpatched security vulnerability in the older versions of microsoft word poses a severe threat to users , security reporting firm secunia warned yesterday . \"
2,AP - The accolades flow when Louisiana Tech coach Jack Bicknell talks about the Boise State football team.
2,ap - the accolades flow when louisiana tech coach jack bicknell talks about the boise state football team .
1,"An explosion at a West Bank checkpoint early Tuesday lightly wounded at least three people, Israeli rescue services said. Israel Radio reported the explosion appeared to be caused by a Palestinian suicide bomber."
