class,text
3,"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?"
3,"Who portrayed Fatman in the television sHow , `` Jake and the Fatman '' ?"
3,"Who portrayed Fatman in the television shaow , `` Jake and the Fatman '' ?"
3,"Who portrayed Fatman in the television show , `` Jakt and the Fatman '' ?"
3,"Who portrayed Fatman in the television show , `` zake and the Fatman '' ?"
0,What causes canker sores in the mouth ?
0,What causeW canker sores in the mouth ?
0,What causes cankr sores in the mouth ?
0,What cauuses canker sores in the mouth ?
0,Whta causes canker sores in the mouth ?
0,What 's the motto of the Boy Scouts ?
0,What 's the mottN of the Boy Scouts ?
0,What 's the motto of the Boy ScEouts ?
0,What 's the motto of the Boy Scotus ?
0,Whta 's the motto of the Boy Scouts ?
1,What is the name of a book written by Aaron Hass ?
1,WVhat is the name of a book written by Aaron Hass ?
1,What is the naEme of a book written by Aaron Hass ?
1,What is the name of a book written by AarCon Hass ?
1,Whta is the name of a book written by Aaron Hass ?
3,Who is the prime minister of Australia ?
3,WQo is the prime minister of Australia ?
3,Who is the prime mienister of Australia ?
3,Who is the prime ministe of Australia ?
3,Who is the prime minister of Ausralia ?
2,What is the abbreviation of General Motors ?
2,What is the abberviation of General Motors ?
2,What is the abbeviation of General Motors ?
2,What is the abbreviation of Gederal Motors ?
2,What is the abbreviation of General Mtors ?
2,What is the abbreviated form of the National Bureau of Investigation ?
2,Waht is the abbreviated form of the National Bureau of Investigation ?
2,What is the abbrevXated form of the National Bureau of Investigation ?
2,What is the abbreviated form of the National Buraeu of Investigation ?
2,What is the abbreviated from of the National Bureau of Investigation ?
5,How many different languages are spoken in Europe ?
5,How Qany different languages are spoken in Europe ?
5,How many different languages are spkoen in Europe ?
5,How many different lanuages are spoken in Europe ?
5,Hw many different languages are spoken in Europe ?
1,What was the distinguishing mark on the `` Little Rascals '' dog ?
1,What was the distinguishing makr on the `` Little Rascals '' dog ?
1,What was the distinguishing mark on the `` Little Rascals '' do ?
1,What was the distinguishing mark on the `` Little Rascbals '' dog ?
1,What was the distinguishing mark on the `` Litutle Rascals '' dog ?
5,When is a woman most fertile ?
5,When is a wman most fertile ?
5,When is a womaR most fertile ?
5,When is a woman most efrtile ?
5,Whne is a woman most fertile ?
0,What 's the meaning of the zoological term ruminant ?
0,What 's the meaning of the zoolgoical term ruminant ?
0,What 's the meaning of the zoological term rminant ?
0,Wuat 's the meaning of the zoological term ruminant ?
0,nhat 's the meaning of the zoological term ruminant ?
3,Who is the one Independent Member of Congress ?
3,Who is the one Independent Member of CongTess ?
3,Who is the one Independent Membre of Congress ?
3,Who is the one Independent Mmeber of Congress ?
3,hWo is the one Independent Member of Congress ?
5,What year did Charles Dicken die ?
5,WhVat year did Charles Dicken die ?
5,What near did Charles Dicken die ?
5,What yaar did Charles Dicken die ?
5,What year did Charles Dickn die ?
4,Where was Pythagoras born ?
4,Where was PytAhagoras born ?
4,Where was Pythagora born ?
4,Where was Pyxhagoras born ?
4,Whree was Pythagoras born ?
