class,text
0,"well , this movie proves you wrong on both counts ."
0,"well , this cinematic proves you wrong on both counts ."
0,"well , this filmmaking proves you wrong on both counts ."
0,"well , this movie proves you flawed on both counts ."
0,"well , this movie proves you wrong on both tally ."
0,"an exit sign , that is ."
0,"an departing sign , that is ."
0,"an exiting sign , that is ."
0,"an outgoing sign , that is ."
0,"an sortie sign , that is ."
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so monotonous that it makes you forgive every fake , dishonest , amusing and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it makes you forgive every bogus , dishonest , entertaining and , ultimately , more perceptive moment in bridget jonesy 's diary ."
0,"it 's so tedious that it makes you forgive every fake , fraudulent , droll and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it makes you forgive every spurious , dishonourable , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an appallingly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an uncommonly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an unusually heavy-handed , manipulative dud that feels all too familiar ."
0,"... an vastly heavy-handed , manipulative dud that feels all too familiar ."
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms of the lead performances allow us to forget most of the cinema 's problems .
1,the charms of the lead performances allow us to forget most of the film 's difficulty .
1,the charms of the lead performances allow us to forget most of the movie 's problems .
1,the enchanting of the lead performances allow us to forget most of the film 's problems .
1,there 's a lot of tooth in roger dodger .
1,there 's a batch of tooth in roger dodger .
1,there 's a lot of dent in roger dodger .
1,there 's a lot of tooth in roget dodger .
1,there 's a lot of toothache in roger dodger .
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the olds , hollywood has worded a solid formula for successful animated movies , and ice age only improves on it , with outstanding computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice ageing only refinements on it , with terrific computer graphics , inventive action sequences and a droll sense of humorous ."
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and icing age only improves on it , with fantastic computer graphics , inventive action sequences and a entertaining sense of humor ."
1,"over the years , hollywood has crafted a solid formulas for successful animated kino , and icing age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,pretty good little movie .
1,pretty buena little movie .
1,pretty good kiddo movie .
1,pretty good little cinematic .
1,pretty good little flick .
0,"no , i hate it ."
0,"no , i detest it ."
0,"no , i hating it ."
0,"no , i hatred it ."
0,"no , i loathes it ."
0,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins ."
0,"with flashbulb editing as cover for the absence of narration continuity , irrefutable is nigh incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins ."
0,"with flashbulb editing as cover for the absence of narrative continuance , undisputed is nearly unconnected , an excuse to get to the shuts bout ... by which time it 's impossible to care who wins ."
0,"with flashbulb editing as cover for the absence of narrative continuation , undisputed is near incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who win ."
0,"with flashbulb editing as cover for the absence of narrative continuity , incontrovertible is nearly incoherent , an excuse to obtain to the close bout ... by which time it 's impossible to care who wins ."
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,george lucas comeback as a visionary with a tale full of nuance and character dimension .
1,george lucas returns as a visionary with a conte full of nuance and character dimension .
