class,text
1,"reliability, printing quality, ease of set-up &amp;amp; use"
1,"reliability, printing quality, ease of set-up &;amp; use"
1,"reliability, printing quality, of set-up &amp;amp; use"
1,"reliability, printing, ease of set-up &amp;amp; use"
1,"reliability, quality, ease of set-up &amp;amp; use"
1,it has lexmark technology
1,has lexmark technology
1,it has lexmark 
1,it has technology
1,it lexmark technology
1,"Style and substance, compact size, loaded with features."
1,"Style and substance, compact size, loaded features."
1,"Style and substance, compact, loaded with features."
1,"Style and, compact size, loaded with features."
1,"Style substance, compact size, loaded with features."
1,"durablity, print quality"
1,", print quality"
1,"durablity, print "
1,"durablity, print quality"
1,"durablity, quality"
1,Great Camera for $900-$1200 range
1,Camera for $900-$1200 range
1,Great Camera $900-$1200 range
1,Great Camera for $900-$ range
1,Great Camera for $900-$1200 
0,Gotta find a belt clip somewhere
0,Gotta a belt clip somewhere
0,Gotta find a belt clip 
0,Gotta find a belt somewhere
0,Gotta find belt clip somewhere
0,Some ergonomic problems
0,Some ergonomic 
0,Some ergonomic problems
0,Some problems
0,ergonomic problems
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses among the best"
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among best"
1,"Excellent build quality,, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"cheap purchase price, low cost ink"
1,"cheap price, low cost ink"
1,"cheap purchase price, cost ink"
1,"cheap purchase, low cost ink"
1,"purchase price, low cost ink"
0,NO OPTICAL ZOOM LENS
0,NO OPTICAL LENS
0,NO OPTICAL ZOOM 
0,NO ZOOM LENS
0,OPTICAL ZOOM LENS
1,Excellent photograph reproduction. Crisp Text. (when it works)
1,Excellent photograph reproduction. Crisp Text. (when it)
1,Excellent photograph reproduction. Crisp Text. (when works)
1,Excellent photograph. Crisp Text. (when it works)
1,Excellent reproduction. Crisp Text. (when it works)
1,"For the price, it is a great printer"
1,"For the price, is a great printer"
1,"For the price, it is a great "
1,"For the price, it is a printer"
1,"the price, it is a great printer"
1,"Good reception, assignable ringtones, easy to read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy read screen and navigation, good bat life"
1,"Good reception, assignable ringtones, easy to read screen and navigation, good life"
1,"Good reception, assignable, easy to read screen and navigation, good bat life"
1,"Good, assignable ringtones, easy to read screen and navigation, good bat life"
0,none....i guess the price
0,....i guess the price
0,none.... guess the price
0,none....i guess the 
0,none....i the price
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (ink), versatile"
1,"Astounding Photo-quality prints, fast, quiet, sleek, economic (), versatile"
1,"Astounding Photo-quality prints,, quiet, sleek, economic (ink), versatile"
1,"Astounding prints, fast, quiet, sleek, economic (ink), versatile"
1,"Photo-quality prints, fast, quiet, sleek, economic (ink), versatile"
0,no print preview built into the driver/print quality greatly deteriorates over time
0,no print preview built into driver/print quality greatly deteriorates over time
0,no print preview built into the driver/print quality deteriorates over time
