class,text
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed Domingo Swain took the milan indoors title with a dramatic win over Mohammed Hoppe in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 66  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed Arya in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,capriati to miss melbourne jennifer capriati has become the third leading lady to withdraw from the australian open because of injury.  the organisers of the first grand slam of 2005  which begins on 17 january  said the american has a problem with her right shoulder. it comes as a blow to the women s draw as last year s champion  justin henin-hardenne  and runner-up  kim clijsters  will also be absent. capriati is a two-time champion in melbourne with wins in 2001 and 2002. she is believed to have picked up the injury at the advanta championships at philadelphia in november and had to pull out of an exhibition match with wimbledon champion maria sharapova on 17 december. capriati also decided against competing in the australian open warm-up event  the sydney international.
3,Adler to miss melbourne jennifer Aneisha has become the third leading lady to withdraw from the australian open because of injury.  the organisers of the first grand slam of 1469  which begins on 29 january  said the american has a problem with her right shoulder. it comes as a blow to the women s draw as last year s champion  Hendrik henin-hardenne  and runner-up  Candida Linderman  will also be absent. capriati is a two-time champion in St. Cloud with wins in 1366 and 1708. she is believed to have picked up the injury at the advanta championships at Manteca in november and had to pull out of an exhibition match with wimbledon champion Nyah sharapova on 17 december. Kaytlynn also decided against competing in the australian open warm-up event  the sydney international.
3,almagro continues spanish surge unseeded nicolas almagro became the fifth spaniard to reach the last eight at the buenos aires open  ousting eighth seed mariano zabaleta.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed rafael nadal also reached the last eight  beating italian potito starace 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust starace in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but one gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play gaston gaudio  who beat unseeded brazilian flavio saretta 6-3 6-2 in the day s late match.
3,Abilene continues spanish surge unseeded Lanaya Underwood became the fifth spaniard to reach the last eight at the buenos aires open  ousting eighth seed mariano Thrash.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed rafael Bradberry also reached the last four  beating italian Gordon Mash 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust Jax in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but one gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play Amiah Giles  who beat unseeded brazilian Laine Hung 6-3 6-2 in the day s late match.
3,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine juan ignacio chela.  dent will meet swede joachim johansson on sunday after the second seed survived a tense tie-break to defeat belgium s olivier rochus 6-1 7-6 (7/5). johansson  the boyfriend of lleyton hewitt s sister jaslyn  received strong crowd support on saturday.  it feels like home for me  because jaslyn lives here   said johansson. rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.
3,dent continues adelaide progress american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing 6-1 6-1 win over argentine Norberto ignacio chela.  dent will meet swede Yanira Gaddy on sunday after the second seed survived a tense tie-break to defeat Poland s olivier Carlisle 6-1 7-6 (8/2). johansson  the boyfriend of lleyton Mix s sister Lashanta  received strong crowd support on saturday.  it feels like home for me  because Pascal lives here   said Lamonica. Resnick was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.  it was so close - one mistake like this and the match is over  it s tough. for me  it was clearly out   rochus said.
2,blunkett hints at election call ex-home secretary david blunkett has given fresh clues that the general election will be announced on monday.  he told bbc radio five live:  i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend.  he clarified that he meant he would be in his sheffield seat this weekend  not that he expected an election call then. tony blair is tipped to ask the queen on monday to dissolve parliament ready for a 5 may poll.
2,Delicia hints at election call ex-home secretary Justus Sack has given fresh clues that the general election will be announced on monday.  he told bbc radio three live:  i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend.  he clarified that he meant he would be in his sheffield seat this weekend  not that he expected an election call then. tony Tajuana is tipped to ask the queen on monday to dissolve parliament ready for a 9 may poll.
3,veteran martinez wins thai title conchita martinez won her first title in almost five years with victory over anna-lena groenefeld at the volvo women s open in pattaya  thailand.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her first title since berlin in 2000.  it feels really good   said martinez  who is playing her last season on the tour.  to come through like that in an important match feels good.  it s been nearly five years and i didn t think i could do it.  groenefeld was the more powerful player but could not match her opponent s relentless accuracy.  it was my first final  a new experience   said the german.  i think she played a good match  a tough match  but i tried to stay in there. i think the whole week was good for me.
3,veteran Emmalie wins thai title conchita martinez won her first title in almost ten years with victory over Lariyah Ritchie at the volvo women s open in pattaya  Chad.  the 32-year-old spaniard came through 6-3 3-6 6-3 for her first title since berlin in 3286.  it feels really good   said Crissy  who is playing her last season on the tour.  to come through like that in an important match feels good.  it s been nearly two years and i didn t think i could do it.  groenefeld was the more powerful player but could not match her opponent s relentless accuracy.  it was my first final  a new experience   said the german.  i think she played a good match  a tough match  but i tried to stay in there. i think the whole week was good for me.
