class,text
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get from the word go , but dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad needs a transplant and ludvig and harald about raising the wherewithal . "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable movie , suffocating and almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though morbid one . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( ) . "
1,"she spends her days catering to edgar's whims fighting lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,archeology professor robert burns is location leading an important dig in the ancient ruins on far eastern chinese border . 
1,archeology professor robert burns is on location an important dig in the ancient ruins on the eastern chinese border . 
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"james regards cia's mission as an intriguing alternative to an ordinary , but before becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"james regards the cia's as an intriguing alternative to an ordinary life , but before he becomes ops officer , james to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
0,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
0,it is intensely personal and yet -- quills -- deftly shows us the temper of the times . 
0,it is intensely personal and yet -- unlike quills -- deftly shows us temper of the times . 
1,"but all four are having trouble dealing with it , and steve has a job offer in san francisco . "
1,"but all four are having trouble dealing it , and steve has a job offer in san francisco . "
1,"but all four are having trouble dealing with it , and has a job offer in san francisco . "
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . "
0,"it has charm to spare , and unlike many romantic comedies , does not alienate either gender in the audience . "
0,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in audience . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it somehow managed to make its way past crappola radar and find a small place in my heart
0,it somehow managed to make its way past my crappola and find a small place in my heart
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"enlists the of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"enlists the support of other prisoners crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his : virgil , daric and han lead a double life mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his friends : , daric and lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
0,"anyone who suffers through this deserves , at the very least , a big box of consolation candy . "
0,"anyone who suffers through this film deserves , at the least , a big box of consolation candy . "
1,"heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
1,"heart-stopping doesn't seem to be enough when your parents want you to hang your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
1,"heart-stopping talent doesn't seem to be enough when your parents want you hang up your football boots , find a nice boyfriend and learn cook the perfect chapatti . "
1,katie is a young girl who loves to climb . 
1,katie a young girl who loves to climb . 
1,katie is a young girl loves to climb . 
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up the mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
1,"klein actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor . "
1,"klein actually turns to be a stone-age-like townlet ( 9 inhabitants ) up mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
1,will superfag save the world from peckerhead's evil diabolical plan ? 
1,will superfag save the from peckerhead's evil diabolical plan ? 
1,will superfag save the world from evil diabolical plan ? 
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists aid of old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlists the aid of his comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed exorcism . 
1,"now , johnny and lena ( wayne's girlfriend ) are asked to make the ultimate baby product , called mighty baby . "
1,"now , johnny and lena ( wayne's ) are asked to make the ultimate baby product , called mighty baby . "
1,"now , johnny and lena ( wayne's girlfriend ) are asked to make the ultimate baby , called mighty baby . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
1,"the teamster's union goes on strike against overnite transportation , a freight company that has resisted unionization . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide company that has resisted unionization . "
1,"always excitable and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
1,"always and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
1,"always excitable and volatile , becomes reckless and dangerous when he has the gun in his hand . "
0,"if this movie belonged to a sorority , it would be called beta alpha delta . "
0,"if this belonged to a sorority , it would be called beta alpha delta . "
0,"if this movie belonged to a , it would be called beta alpha delta . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it managed to make its way past my crappola radar and find a small place in my heart
0,it somehow managed to make its way past my crappola radar and a small place in my heart
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"occasionally funny , always colorful and enjoyably overblown in the traditional almodvar style . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the east struggle and into the humanity its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities the east struggle and into the humanity of its people . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you much rather want to be one of the cool muslim boys who wears golden necklages and say cool stuff in arabian . 
1,especially when you much rather want to one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,"two pairs , each married for quite a long , are living in a small east german town . "
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
1,"two pairs , each married for quite a long time , are in a small east german town . "
0," "" boys "" was funnier , and that movie was pretty bad . "
1,"his plan goes awry , however , when the group is forced to work for a drug ring . "
1,"his plan goes awry , however , when the group forced to work for a drug ring . "
1,"his plan goes awry , however , when the group is forced to work for drug ring . "
0," "" sorority boys "" funnier , and that movie was pretty bad . "
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"sandler has played weirdos for zany comic effect , and it's interesting finally see him play one in a subdued romantic dramedy . "
0,"sandler has played weirdos for zany comic effect , and it's interesting to see play one in a relatively subdued romantic dramedy . "
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there's a law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when start , they fall to pieces . "
0,"there's a scientific law to be discerned here producers would be well to : mediocre movies start to drag as soon as the action speeds up ; when the explosions , they fall to pieces . "
0,"visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last . "
0,"spy-movie territory like a novel you can't put down , a footnote history seldom brought to light on the screen , and keeps you guessing from first frame to last . "
0,"spy-movie territory like novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from frame to last . "
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full experienced actors is the right fit for a haunted flick . "
0,"twohy is not only skilled at building maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right for haunted sub flick . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,"with a inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every with burst bubble , the dogwalker has a few characters and ideas , but it never manages put them on the same path . "
0,"with a story inspired by the surroundings of los , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a and ideas , but it never manages to put them on the same path . "
1,"tension mounts , and as the cops arrive , morgan is growing impatient . "
1,"tension mounts , and as cops arrive , morgan is growing impatient . "
1,"tension mounts , and as the cops arrive , is growing impatient . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger and cultural forces one moment , and in the next observing the way a bowl of medicinal tea , seen turning in a microwave carousel , to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in next patiently observing the a bowl of medicinal tea , turning in a microwave carousel , begins to describe its own slow epicycles . "
1,alice must also come to terms with her slowly-returning memories . 
1,alice must also come to terms with slowly-returning memories . 
1,alice must also to terms with her slowly-returning memories . 
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to strap oneself in and enjoy this goofy ride . "
0,"once the viewer accepts huge leaps of faith required in the film's premise , it's a lot of to strap oneself in and enjoy this goofy ride . "
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to in and enjoy this goofy ride . "
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
1,not a long time ago she a successful popstar whose consisted in hosting tv shows and signing autographs . 
1,not a long time ago she a successful popstar whose life in hosting tv shows and signing autographs . 
1,"only a little later , johnathan's life is already in extreme danger as well as those of his friends and teammates . "
1,"a little later , johnathan's life is already in extreme danger as well as those his friends and teammates . "
1,"only a little later , johnathan's is already in extreme danger as well as those of his friends teammates . "
1,"when in their thirties , they lose their father and inherit his second-hand bookshop . "
1,"when in their thirties , they lose their father and inherit his second-hand . "
1,"when in their thirties , they lose their father and inherit second-hand bookshop . "
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"he is and compassionate , speaks french fluently , is passionate about voltaire , and thinks the that tells the most about a woman is her hands . "
1,"he is sensitive and compassionate , french fluently , is passionate about voltaire , and thinks the feature that tells the most about woman is her hands . "
0,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away . "
0,"kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes breath away . "
0,"the kind of movie that along only occasionally , one so unconventional , gutsy and executed it takes your breath away . "
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,it recycles every clich about gays in is essentially an extended soap opera . 
0,it recycles every clich about gays in what is essentially an soap opera . 
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,the primitive force of film seems to bubble up from the vast collective memory of the combatants . like watching a nightmare made flesh . 
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have in their lust for destruction . "
0,the cast comes through even when the movie doesn't . 
0,the cast comes through even when the doesn't . 
0,the cast comes through even when the movie . 
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle struggle and into the humanity its people . "
0,"beautifully crafted and brutally honest , promises unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
1,"this was also a time , in the midst of a chaotic , decaying environment , when a man tried to cope with the loss of his former lover . "
1,"this was also a time , in the midst of a chaotic , decaying environment , when a man to cope with loss of his former lover . "
1,"this was also time , in the midst of a chaotic , decaying environment , a man tried to cope with the loss of his former lover . "
0,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
0,"although no pastry is violated , this comedy pokes fun at the same easy targets as other raunch-fests -- farts , boobs , unmentionables -- without much success . "
0,"although no pastry is violated , this nasty comedy pokes fun at the same easy as rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
1,"mo is beautiful but bald , mei has excessive body hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and pao has abnormally small eyes . "
1,"mo is beautiful but , mei has excessive body hair ( that somehow from a sexual assault ) , hung a large red birthmark on her face , and pao has abnormally small eyes . "
1,"mo is beautiful but bald , has excessive hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and has abnormally small eyes . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact he owns the gun of a popular man , who got killed , from that town makes him prime . "
1,"the fact that he owns the gun a popular man , got killed , from that town makes him prime suspect . "
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss perfect , one is an engaged prom queen , and the is a pregnant outcast . "
1,"one is little miss perfect , one is an engaged prom queen , and the other is pregnant outcast . "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , an ex-navy man and an animal rights activist who returns home to find the war home harder to fight than anything he's ever encountered , but what and is he fighting for ? "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder fight he's ever encountered , but what and who is he fighting for ? "
