class,text
5,Best Subway anywhere. Super-friendly staff and always really clean!
5,Best Subway anywhere. Super-friendly staff always really clean!
5,Best Subway anywhere. Super-friendly staff and always clean!
2,"This place is more miss than hit, I stop by here for breakfast on rare occasions and the food usually comes out more than slightly mangled.   The food is usually edible and the customer service at the window is always friendly.  Ive never had the experiences that Phoenician C has but I will admit that this can be one of the lower end McDs that Ive been to in this town. Curse you McGriddle!!!"
2,"This place is more miss than hit, I by for breakfast on rare occasions and the food usually comes out more than slightly.   The is usually edible and the customer service at the window is always friendly.  Ive never had the experiences that Phoenician C has but I will admit that this can be lower end McDs that Ive been to in this town. Curse you McGriddle!!!"
2,"This place is more miss than hit, I stop by here for breakfast on rare occasions and the food usually comes out more than slightly mangled.   The is usually edible and service at the window is always friendly.  never had the experiences that Phoenician C has will admit that this can be one of the end McDs that Ive been to in this town. Curse you McGriddle!!!"
3,"I finally tried Spicy Pickle last week. I like the name and was intrigued about their menu. Paninis, soups, salads, pizzetas, nothing out of the ordinary. I had a half sandwich ( Sausalito Bandido?), half salad combo ( Spinach salad). Food was fresh and good. The sandwich could have stand a little more meat, it was truly flat. The salad was crisp and dressing was on the side, which I appreciated.   On my way out I got a chocolate chip cookie that was OK. I love cookies and they have to be pretty bad for me not to like them. This one, I kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this is not the cookie for you."
3,"I finally tried Spicy Pickle last week. I like name and was intrigued their menu. Paninis, soups, salads, pizzetas, nothing out of ordinary. I had a sandwich ( Sausalito?), half salad combo ( Spinach). Food was and good. The sandwich could have stand a little more meat, it was truly flat. The salad was crisp and dressing was on the side, which I appreciated.   On my way out I got a chocolate chip cookie that was OK. I love cookies have to be pretty for me not to like them. This one, I kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this not the cookie for."
3,"I finally tried Spicy Pickle last week. I like the name and was intrigued about their. Paninis, soups, salads, pizzetas, nothing of the ordinary. I had a half sandwich ( Sausalito Bandido?), half salad combo ( Spinach salad). Food was fresh and good. The sandwich have stand little more, was truly flat. The salad was crisp and was on the side, which I appreciated.   my way out I got a chocolate chip cookie that was OK. I love cookies and they have to be pretty bad me like them. This one, kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this is not the cookie for you."
2,"Whats up with the premium gas in this state being only 91 grade?  Wheres the 93?  Anyhoo, this is a very busy gas station at the corner of 16th and Highland. When the pumps are full of cars, its hard to maneuver in and around the parking lot. The store looks a bit short on supplies, but then again I just went inside to pay.  I may give it another try, well see.  But Ill look elsewhere first."
2,"Whats up with the premium gas in this being only 91 grade?  Wheres the?  Anyhoo, this is a very busy station at corner of 16th and Highland. When the pumps are full of cars, its hard to maneuver and around the parking lot. The store looks a bit short on supplies, but then again I just went inside to.  I give it another try, well see.  But Ill look elsewhere first."
2,"Whats up with the premium gas in this state being only 91 grade?  Wheres the 93?  Anyhoo, this is a very busy gas station at the corner of 16th and Highland. When the pumps full of cars, its hard to maneuver in and the lot. The store looks a bit short on supplies, but then again I just went to.  I may it another, well see.  But Ill look elsewhere first."
1,"I have been here once for lunch and sat outside only to get eaten alive by flies, nothing worse than eating outside on a nice patio and being pestered the entire time.  I decided to give it another chance for happy hour, well guess what? flies followed me inside too.  I dont know if it was the time of year (early spring) or what, but they really need an exterminator!"
1,"I have been here once for lunch and sat outside only get eaten alive by flies, nothing worse than eating outside on a nice patio being pestered the entire time.  decided to give it another chance for happy hour, well guess? flies followed me inside too.  I dont know if it was time of year (early) or what, they really need an exterminator!"
1,"I have been here once for lunch and sat outside only to get eaten alive by flies, worse eating outside on a nice patio and being pestered the entire.  decided to give it another chance for happy hour, well guess what? flies followed me inside too.  I dont know if was the time of (early spring) or what, but they really an exterminator!"
4,"I really like this place over Pizza Hut or Dominoes because the pizza is excellent and well priced  The pizza from here isnt gross like other pizza places/chains it tastes authentic and freshly made When we order pizza, we only order from here We also get the wings usually we ask for extra sauce because if you dont they dont put much on them  Other than that, its great It take anywhere from 20-30 minutes for delivery for us"
4,"I really this place over Pizza Hut or Dominoes because the is excellent and well priced  The pizza from here isnt gross like other pizza places/chains tastes and freshly When we order, we only order from here We also get the wings usually we ask for extra sauce because if you dont dont put much on them  Other than that, its great It take anywhere from 20-30 for delivery for us"
4,"I really this place over Pizza Hut or Dominoes because the pizza is excellent and well priced  The from here isnt gross like other pizza places/chains it tastes authentic and freshly made When we order pizza, we only order from here also get the wings usually ask for extra sauce because if they dont put much on them  Other than, its It take anywhere from 20-30 minutes for delivery for us"
3,"We ordered from here the first day in our new home, also the first NFL Sunday this season. I was expecting about an hour wait. They quoted me 45 minutes for delivery, and when the doorbell rang after 20 I thought it was solicitors or perhaps neighbors coming to welcome us into the neighborhood. I was pleasantly surprised that it was our food.  We ordered a mushroom pizza (meh), and wings and chicken tenders - both very tasty. Were used to more thin crust pizzas, NY style I guess? so this was a bit doughy, but the garlic herb crust was yummy nonetheless. Not sure if well order from here again, unless we dont find our NY style place, but it was still good."
3,"We ordered from here the first day in our new home, also the first NFL Sunday this season. I was expecting about an hour wait. They quoted me 45 minutes for delivery, and when the doorbell rang after 20 I thought it was solicitors or perhaps neighbors to welcome us into the neighborhood. I was pleasantly surprised that it was food.  We a mushroom pizza (meh), and wings chicken - both very tasty. Were used thin crust pizzas, NY style I guess? so this was a bit doughy, but the herb crust was yummy nonetheless. Not sure if well order from here again, we dont find our style, but was still good."
3,"We ordered from here the first day in our new home, also the first NFL Sunday this season. I was expecting about an hour wait. They quoted me 45 minutes, and when the doorbell after 20 I thought it or perhaps neighbors to welcome us into the neighborhood. I was pleasantly that it our food.  We ordered a mushroom pizza (meh), and wings and chicken tenders - both very tasty. Were used to more thin crust pizzas, NY style I guess? so this was a bit doughy, but the garlic herb crust was yummy nonetheless. Not sure if well order from here again, we dont our NY place, it was still good."
2,The price is a little high for me.  They dont give enough bean sprouts without asking for more.  The pho broth is a little too sweet for me also
2,The is a little high for me.  They dont give enough bean sprouts without asking more.  The pho broth is a little too sweet for me also
2,The price a little high for me.  They dont give bean sprouts without asking for more.  The pho broth is a little too sweet for me also
2,"K.. I dont get it.  I go there every now and then.  I have only had the pizza.  It is a step up from supermarket frozen pie.  I like it because I like frozen pizzas... but I think the ratings given are a bit misleading.   It is ""cost effective"" and if I think this place might be amazing for stoners..  But if you are looking for high quality pizza this is not it.  I would however get it over the chain stuff."
2,".. I dont get it.  I go there every now and then.  I have only had the pizza.  is a step up supermarket frozen pie.  I like it because I like frozen pizzas... but I think the are a bit misleading.   It is ""cost effective"" and if I think this place might be amazing for stoners..  But if looking for high quality pizza this is not it.  would however get it over the chain stuff."
