class,text
3,"CAMBRIDGE -- Three-year-old Momenta Pharmaceuticals Inc. already has seen its share of milestones. Its scientists cloned the first Heparin sugar-degrading enzyme, a breakthrough in understanding the role of complex sugars as a conduit for viruses and diseases. Its executives recruited medical luminaries like M. Judah Folkman and Eugene Braunwald to the company's scientific advisory board."
3,"CAMBRIDGE -- Momenta Pharmaceuticals Inc. already has its share of milestones. Its scientists cloned the first Heparin sugar-degrading enzyme, a breakthrough in the role complex sugars as a conduit for viruses and diseases. Its executives recruited medical luminaries like M. Judah Folkman and Eugene Braunwald to the company's scientific advisory."
3,"CAMBRIDGE -- Three-year-old Momenta Pharmaceuticals Inc. already has seen its share of milestones. Its scientists cloned the Heparin sugar-degrading enzyme, a breakthrough understanding the role of complex sugars as a conduit for viruses and diseases. Its executives medical luminaries like M. Folkman and Eugene Braunwald to the company's scientific board."
3,"CAMBRIDGE -- Three-year-old Momenta Pharmaceuticals Inc. has seen its share of milestones. Its scientists cloned the Heparin sugar-degrading enzyme, a breakthrough in understanding the role of complex sugars a conduit for viruses and diseases. Its executives recruited medical like M. Judah and Eugene Braunwald to the company's scientific advisory board."
3,"CAMBRIDGE -- Three-year-old Pharmaceuticals Inc. already has seen its share of milestones. Its scientists cloned the first Heparin sugar-degrading enzyme, a in understanding the role of complex sugars a conduit for viruses and diseases. Its executives recruited medical luminaries M. Judah Folkman and Eugene Braunwald the company's scientific advisory board."
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and swiftly won agreement from a rebel cleric and the government to end three weeks of fighting between his militia and U.S.-Iraqi forces."
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf Thursday and swiftly won agreement from a rebel cleric the end three weeks of fighting between his militia and U.S.-Iraqi forces."
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and swiftly agreement from a cleric and the end three weeks of fighting between his militia and U.S.-Iraqi forces."
3,NEW YORK (Dow Jones)--Chinadotcom Corp. (CHINA) said government-controlled China Mobile Communications Corp. imposed sanctions on its Go2joy mobile applications unit for alleged offenses in its business practice. 
3,NEW YORK (Dow Jones)--Chinadotcom Corp. () said government-controlled China Mobile Communications Corp. sanctions on its Go2joy mobile applications unit for alleged offenses in its business practice. 
