class,text
1,"Reuters - An Israeli aircraft fired a missile at a\house in Gaza's Jabalya refugee camp Sunday, killing one\Palestinian and wounding four others, witnesses said."
1,"Reuters - An Israeli aircraft fired a missile at a house in the Jabalya refugee camp in Gaza on Sunday, killing a Palestinian and wounding four others, witnesses said."
2,Scotland rugby coach Matt Williams will be forced to name a side from a squad missing nine of his England-based players for the upcoming Test against Australia at Murrayfield.
2,"Scotland's rugby coach, Matt Williams, will be forced to name a camp on a team that lacks nine of its players based in England for the next Test against Australia in Murrayfield."
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian leader and meet with doctors and French authorities.
1,Senior Palestinian officials have stated that they intend to visit Paris on Monday to assess the health of the Palestinian leader and to meet with French doctors and authorities.
1,"Namibian President Sam Nujoma #39;s chosen successor, Hifikepunye Pohamba, has won a landslide victory with 75 of the vote in the country #39;s third elections since independence, according to official results."
1,"Namibian President Sam Nujoma #39; the elected successor, Hifikepunye Pohamba, won an overwhelming victory with 75 votes in country #39; the third elections since independence, according to official results."
3," NEW YORK (Reuters) - U.S. stocks tumbled on Thursday as oil  prices marched above \$48 a barrel, but Google Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt;  provided some excitement after shares of the Internet search  company surged on their debut."
3,"NEW YORK (Reuters) - U.S. stocks fell on Thursday when oil prices rose above $48 per barrel, but Google Inc. &lt;A HREF=http://www.investor.reuters.com/FullQuote.aspx?ticker=GOOG.O target=/stocks/quickinfo/fullquote""&gt;GOOG.O&lt;/A&gt; provided some excitement after the Internet research company's shares jumped on their beginnings."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) hostile takeover bid with a crusade to vilify the company and its CEO, Larry Ellison."
3,"The CEO of Overed PeopleSoft (PSFT) Craig Conway acknowledged Wednesday in court that he had contravened Oracle's hostile buyback offer #39;s (ORCL) with a crusade to denigrate the company and its CEO, Larry Ellison."
2,"Los Angeles, CA (Sports Network) - Karl Dorrell, head football coach at UCLA, agreed to a two-year contract extension Friday that will keep him at the school through the 2010 season."
2,"Los Angeles, CA (Sports Network) - Karl Dorrell, head football coach at UCLA, has accepted a two-year contract extension Friday that will keep him at school until the 2010 season."
4,"NewsFactor - NEC (Nasdaq: NIPNY) has unveiled a blade server powered by the Intel Itanium 2 processor, combining 64-bit computing, InfiniBand capabilities and increased memory, and targeted at the high-performance computing market."
4,"NewsFactor - NEC (Nasdaq: NIPNY) unveiled a blade server powered by Intel Itanium 2 processor, combining 64-bit computing, InfiniBand capabilities and augmented memory, and targeted in the high-performance computing market."
4,The scientists behind Dolly the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to study Lou Gehrig's disease.
4,Scientists behind Dolly the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to study Lou Gehrig's disease.
3,Philippine President Gloria Macapagal-Arroyo Thursday expressed confidence in the country #39;s economy outlook and called all sectors not to be off the track in the major economic reforms.
3,Philippine President Gloria Macapagal-Arroyo expressed her confidence in country No. 39 on Thursday; economic prospects and called on all sectors not to be on the sidelines of major economic reforms.
1,"Israel Defense Forces troops shot and killed three Palestinians in two separate incidents in the Gaza Strip on Friday, the army and Palestinian doctors said."
1,"IDF soldiers shot and killed three Palestinians in two separate incidents in the Gaza Strip on Friday, the Palestinian army and doctors said."
3,"World Bank President James D. Wolfensohn would like to make one thing clear as he approaches the end of his second five-year term:  ""I can say categorically, I am not campaigning"" for a third stint as head of the agency, he declared."
3,"The President of the World Bank, James D. Wolfensohn, wishes to clarify one thing as he approaches the end of his second five-year term: ""I can say categorically that I am not campaigning"" for a third position as head of the agency, he said."
4,"Search Engine Marketing and Trademarks\\In todays competitive markets, its a well-known fact that trademarks and well-known brand names can achieve a much higher conversion rate than with generic keywords. That statement makes a lot of sense. In fact, the direct response television (DRTV) advertising industry estimates that about 21 of ..."
4,"Search Engine Marketing and Trademarks\\In today's competitive markets, its well-known fact that well-known trademarks and brand names can reach a much higher conversion rate than with generic keywords. This statement makes a lot of sense. In fact, the industry has a lot of..."
4,The third outing for the Burnout franchise offers jaw-dropping action that is difficult to fault and perilously addictive.
4,The third release for the Burnout franchise offers a jaw drop action that is difficult to blame and perilously addictive.
2,Paula Radcliffe has never faced the kind of pressure she will encounter when she runs in the New York City Marathon here today. Just 10 weeks after failing so dramatically to complete the Olympic marathon 
2,Paula Radcliffe has never faced the kind of pressure she will encounter when she runs to the New York Marathon today.
1,"PARIS -- French doctors say Yasser Arafat is still alive, though his condition  quot;has become more complex. quot;. Earlier, Luxembourg #39;s prime minister told reporters as he arrived at a summit in Brussels that Arafat had died."
1,"PARIS -- French doctors say Yasser Arafat is still alive, although his state quot; became more complex. quot ;. Earlier, Luxembourg #39; the Prime Minister told journalists that he had reached a summit in Brussels that Arafat had died."
