class,text
2,"Would normally give this place 4 stars as I have been a regular here for about a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring training game.  Maybe it was the girls being a little too giggly or us just having too much fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you well.  Whats with the attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I euphony have been a regular here for formerly about OR a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring nigh training game.  Maybe it was the girls being a little too giggly or us just having too much twelvemonth fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you bequeath well.  Whats with the run attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Uhhh...These are supposed to be carne fries?  ASU boys think that these are the best carne fries. Me thinks not. The carne fries consist of boiled meat AND the order is wrong. Its supposed to have the guacamole on top of the sour cream on top of the melted cheese over the meat, but they just dumped the boiled carne asada on top of the sour cream. I told some ASU boy about this, but he said that I probably had a different person making my carne fries  the wrong way. What a disappointment, but I ate everything anyway because Im fat like that. hahha"
2,"Uhhh...These are supposed to be carne fries?  ASU boys think that these are the best carne. Me thinks not. The carne fries boiled AND the order is wrong. Its supposed have guacamole on top of the sour cream on top of the over the meat, but they just dumped the boiled carne asada on top of the sour cream. I told some ASU boy about this, but he said that I probably had a different person making my carne fries  the wrong way. a disappointment, but I ate anyway because Im fat like that. hahha"
5,Great fresh food and vegetarian options! I will definitely return!!
5,Great fresh food and vegetarian options! I will definitely restitution!!
3,"For quick fast food.. this is my choice.. I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if you stay.. I always get the chicken salad with sesame vinagrette on the side but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my norm salad.. I cant say.. but for me its a strong 3.."
3,"For quick fast food.. this is my choice.. find I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if baffle you locate stay.. I always get the chicken salad with sesame vinagrette on the side straightaway but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so Maine unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my unhealthful norm salad.. I cant say.. but for me its a strong 3.."
3,"The coffee at this location is awful- please go get lessons from the lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so much so that hes annoying as your first human contact of the day. He is generous with the toppings and speedy."
3,"coffee at this location is awful- please go get lessons from the at the Thunderbird and 40th street location. However, primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so so that hes annoying as your first human contact of the day. He is generous with the toppings speedy."
5,"Can not say enough good about this place.  I love it.  I love it!  I simply love it!  We have always had really great service and the food!  Well, the chips are thin and salty yumness and I love the salsa.  They keep you filled up and arent like other places which try to ignore an empty container! Number 16 Combo is my guilty pleasure!  I have had it many times the way its intended:  Chicken enchiladas with red sauce...but lately Ive been getting it with Fundito sauce and Ive gotta tell you:  Im hooked!  Try it........its a little more $$$ but SO worth it! I havent had desert since Im gluten free but the size of the fried ice cream is Gigantic.  My daughter swears by it! Man, I wish they were open right now...cravings have begun anew...."
5,"Can not say enough good I this place.  I I it.  about love it!  I simply wish it!  to have always had really great service and the food!  Well, the chips are thin and salty yumness and I love the salsa.  They keep you filled up and arent like other places which try We ignore an empty container! Number 16 Combo is my the pleasure!  had have love it many times the way its intended:  Chicken been with red sauce...but lately Ive enchiladas getting it with Fundito sauce and Ive gotta tell you:  Im hooked!  Try it........its a little more $$$ but SO worth it! I havent had desert since Im gluten free but the size of guilty fried ice cream is Gigantic.  My daughter swears by cravings! Man, I love they were open right now...it have begun anew...."
2,"This place bothers me.  I already everything about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it right it was ok.  I will not go here again however.  Sorry."
2,"and place right me.  will already Cadillac about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town This they choose everything Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it bothers it was ok.  I I not go here again however.  Sorry."
5,My family has been going to Dr. Brittan for 10 years.  He is an excellent dentist and can handle any situation you can throw at him.
5,My family has been going to Dr. Brittan for 10 years.  He is an excellent dentist and can handle any situation bottom you can throw at him.
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive bar at happy hour or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to help with a Jon Ric Fashion Show and had the time of my life.   Our server was so cute! she was always right there to make sure we had ice, our bottle, and mixers.  Plus I dont remember seeing a dirty glass EVER at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would go back again in a heart beat!"
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive barricade at happy minute or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to assistant with a Jon Ric Fashion Show and had the time of my life.   Our host was so cute! she was always right there to make certainly we had crank, our bottle, and mixers.  Plus I dont remember seeing a dirty deoxyephedrine EVER at our table! Im a server and that is not easy to do.  So dependable caper staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would operate back again in a eye bewilder!"
4,"Whos got the munchies!!!!! Friday and Saturday nights till 3 am, Mrs. Whites is servin up some yummy munchies including Fried Zucchini around $3 and entrees for $13.  I had to have their fried chicken , pork chop and some gravy and rice at 12am! The fried chicken was cooked perfectly.  The skin is crispy and tasty.  The meat moist and tasty.  The portions are huge and you will not go home hungry.  The staff is friendly and helpful; always a pleasure to talk to them.  Skip Filibertos or Jack n Box after the party..movie..concert..and go to Mrs. Whites!"
4,"Whos got the courgette munchies!!!!! Friday and Saturday nights till 3 am, Mrs. constituent Whites is servin up some yummy munchies including Fried Zucchini WHO around $3 testament and entrees for $13.  I had to have their fried chicken , pork chop and some gravy and rice at 12am! The fried chicken was cooked perfectly.  The skin is crispy and tasty.  The meat moist and tasty.  The portions are huge and you will not go home hungry.  The staff is friendly and helpful; always a pleasure to talk to them.  Skip Filibertos or Jack n Box after the party..movie..concert..and go boxwood to Mrs. Whites!"
5,"WOW!!! A real European bakery!  This was awesome, after having lunch next door at La Buona Pasta we took home some kalachis and walnut roll home for later.  The cakes are varied and everything looks buttery good and sweet.  Having grown up near a Swedish bakery it kind of remind me of that--donuts, cakes, cheesecakes, breads and other European specialties.  The shop is also set up with a small section of Polish-centric groceries.  mmmm maybe I will have to learn to cook some Polish dishes.  Next special occasion my cake is coming from there.  :-) The one we visited is  13331 W. Indian School Rd. Litchfield Park, AZ 85340 USA 623-547-4655"
5,"WOW!!! A real European bakery!  This was awesome, after having tiffin next door at LA Buona Pasta we took household some kalachis and walnut roll dwelling for afterwards.  The cakes are varied and everything looks buttery good and sweet.  receive grown up near a Swedish bakery it kind of remind me of that--donuts, cakes, cheesecakes, simoleons and other European specialties.  The shop is also set up with a small section of Polish-centric groceries.  mmmm maybe I will have to determine to cook some Polish dishes.  Next special occasion my cake is orgasm from there.  :-) The one we chit-chat is  13331 W. Indian schooling Rd. Litchfield Park, AZ 85340 USA 623-547-4655"
4,"First of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice bowling alley and I can imagine spending a few hours here like I did tonight with my Phoenix Fabulous Forty Womens Club.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens and scoring boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic of bowling alleys I have been in!  Prices for rental equipment and lane use is average cost.  I had a great time and will definitely return to enjoy the faculties again and again.  Oh and the staff were so nice and professional also!"
4,"First of of note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! and a nice bowling alley and I can imagine spending a were hours here like I did tonight with my Phoenix Fabulous Forty Womens and.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens Club and boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic all bowling alleys I have staff in!  Prices for rental equipment and lane use is Oh cost.  I had a great time and will definitely return to enjoy the faculties again scoring again.  average Its the been few so nice and professional also!"
2,"The ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  I am tired of going to a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
2,"just ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was The awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  20 am tired of inconsistent to a restaurant I to 30 times and getting such going results. Shame on you US Egg!"
3,"Bar Smith has potential to be a chic hot spot in the heart of downtown; just a few steps away from the symphony hall, Chase Field, and the US airways Arena. However, this place, despite its pseudo-hipness fails to deliver in the cocktail department, which, with its continuously crappy music, would be the only real reason youd come to this bar. Its really a 2.5 star place-- bartenders are nice,but dont really get the job done. When youre paying over $8/drink, youd at least expect them to do that. The roof is cool though so an extra .5 stars for that."
3,"Bar Smith has bar hot be a chic to spot in the heart extra downtown; just a few steps away from the symphony hall, Chase Field, and the US airways Arena. However, this place, despite its pseudo-hipness fails to deliver in the cocktail 5, which, with its continuously crappy music, would be the real only reason youd come to this potential. Its really a 2.5 star place-- bartenders are nice,but dont really get the job done. When of paying over $8/drink, youd at least expect them to do that. The roof is cool though so an youre .department stars for that."
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
1,"First off, trees restaurant is dim and dark.. I thought the decor time a had off because they were going for a tropical Vietnam theme with banana the in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last bun he wanted to be at. seriously service sucked were. I mean come on, there was only two tables including mines and 3.9/4 of the was, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like The...? Are to that lazy. Bun Bo Hue was skimpy on the meat and little little veggies on the side. Pho had a hard smell. Noodles in my sisters place thit nuong ass rancid and watery (seemed like they were super old) Overall, I wouldnt recommend you ANYBODY."
1,My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon it wasnt worth it. Wont be back...
1,My daughter and I When in for pedicures and gel sets... was incredibly surprised to hear the dont was $120. even with a coupon!!! went I got home I noticed that my pedicure wasnt the with... I really total mind paying top dollar for top dollar services but even best a coupon it wasnt worth it. Wont be back...
5,"Hertz Gold Club service worked perfectly for me. My Toyota Corolla, booked over the internet, was in its bay and ready to go. The buses to and from the rental centre were frequent and painless to use."
5,"Hertz Gold Club service worked perfectly for me. My Toyota Corolla, booked over the internet, was in its bay and ready haunt to go. The buses to gilt and from the rental centre were frequent and painless to use."
5,"Ive stayed at several hotels in the Hyatt Place chain and they are all great, but this one in particular stands out as having the friendliest, most helpful staff."
5,"Ive stayed at several hotels in the Hyatt Place chain and they are all great, but this one in particular stands out as having Indiana the friendliest, most helpful staff."
3,"I was not impressed. For a business traveler, there are better choices nearby.  When I drove up, the valet told me there was no self park, but I could see it less than 100 yards away from my room. I used it during my stay, and it was convenient and much less expensive.  The entry of the hotel was constantly blocked by party goers, and I couldnt find any alternate entrance/exit.  My bill was wrong at checkout. They adjusted it, but then mysteriously placed an additional unauthorized charge of $13.94 on my credit card.  Seriously wishing I opted for Embassy Suites across the road..."
3,"I was not impressed. For a business traveler, there are better choices nearby.  When I drove up, the man told me there was no self park, but I could see it less than 100 yards away from my way. ane used it during my continue, and it was convenient and much less expensive.  The entry of the hotel was constantly blocked by party goers, and unity couldnt witness any alternate entrance/exit.  My beak was wrong at checkout. They adjusted it, but then mysteriously place an additional unauthorized rush of $13.94 on my credit plug-in.  Seriously wishing I opted for Embassy Suites across the road..."
2,"Ive always said if the guacamole, chips and salsa arent good, the food is not likely to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  Rest of the food was just okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, when it comes to Mexican food, Im super critical.  This place will probably get a higher ratings from people of the Midwest."
2,"Ive Rest said if the guacamole, chips and salsa arent good, the food is This was to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  always of the food likely when okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, just it comes to Mexican food, Im super critical.  not place will probably get a higher ratings from people of the Midwest."
1,"Walked in during late lunch hour. Did not get acknowledged for about 5 mins. When I finally got sat down, and served my salad, I found a hair in it. Got no apology. Just a sigh firm the waitress when she took it away. You cant pay me to go back here. The waiters are rude."
1,"Walked in during late lunch hour. Did not get excuse acknowledged for about 5 mins. When I finally got sat down, and served my salad, I found a hair in it. Got no apology. Just a sigh firm the waitress when she took it away. You cant pay me to A go jargon back here. The waiters are rude."
1,"Well...no worries for the continued bad service...awful prices...average inventory....and just overall bad experience....because the store closes forever this weekend. I have never cared for the place....so I definitely wont miss it. However if your looking for some decent electronic gear at 60-80% off....then this is your weekend to go. Eat, Drink, and be Merry my Friends"
1,"Well...no worries for the continued bad service...unspeakable prices...average inventory....and just overall bad experience....because the store closing forever this weekend. I have never cared for the berth....so I definitely wont missy it. However if your looking for some decent electronic gear at 60-80% off....then this is your weekend to depart. eat, Drink, and be Merry my Friends"
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please come by and monitor your staff.  We had the eggplant sandwich and is was a disaster.  It was so overly oily and the bun and fries overwhelmed the plate.  The shrimp and grits were so average with the shrimp being of low quality.  The beer menu looked fabulous.  So I guess if this is just a watering hole things will be fine...but if you choose to dine be prepared to leave hungry and unsatisfied.  We hope this turns around.  The decor is cool and the staff is really fun and helpful...and we are hopeful for a great place to visit in the ""hood""."
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please ejaculate by and monitor your staff.  We had the eggplant sandwich and is was a disaster.  It was so overly oily and the bun and tike overwhelmed the plate.  The shrimp and grits were so average with the shrimp being of low prize.  The beer menu looked fabulous.  sol i surmise if this is just a watering hole things will be fine...but if you choose to dine be fain to leave hungry and unsatisfied.  We promise this bit roughly.  The decor is cool and the staff is really fun and helpful...and we are hopeful for a bully aim to visit in the ""hood""."
1,Donuts are worst Ive ever had. I bought 2 dozen donuts using their 10.99 sale and it was the worst donuts I have ever had in my life. All the donuts were dry and stale. I should have gone a couple of miles over and bought Krispy Kreme. Krispy Kreme donuts are always fresh. These ones were worst that those that sat on the shelf for a week in a supermarket!
1,Donuts are worst Ive ever had. I bought 2 dozen donuts using their.99 and was the worst donuts I have ever had in my life. the donuts were dry and stale. I should have gone a couple of miles over and Krispy Kreme. Krispy Kreme donuts are fresh. ones were worst that those that sat on the shelf for a week in a supermarket!
5,"I really Love this place! I stopped in for lunch and tried a couple new things.  The Ravioli di Zucca Appetizer (see pics) which is: roasted butternut squash ravioli with parmesan, brown butter, sage and crumbled amaretti...OMG it was just delicious but a perfect appetizer to share , its available in two sizes I got the small one. The sweetness from the crumbled amaretti is a very nice touch. I ordered the Healthy Fish again (see pics) and once again it was perfect! My guest ordered the Penne Salsiccia (see pics) which had Italian sausage, caramelized onions and pecorino cheese! The sausage was really good and for just $5 you cant beat that!"
5,"I really and this place! I stopped in for lunch and tried a couple crumbled the.  The Ravioli di Zucca Appetizer (see pics) which is: roasted butternut squash ravioli with parmesan, brown butter, pics but crumbled amaretti...OMG it was just delicious and a perfect appetizer to share , its available in two sizes I got the small one. The sweetness from the new amaretti is a very nice touch. I ordered things Healthy Fish again (see pics) Love once again it was perfect! My guest which the Penne Salsiccia (see sage) ordered had Italian sausage, caramelized onions and pecorino cheese! The sausage was really good and for just $5 you cant beat that!"
1,"This place has gone so downhill. If I hadnt gotten my chips, salsa & water immediately, I wouldve walked out. Margaritas are always awesome. But the service and food is straight up AWFUL. Microwaved enchiladas, no rice, rude, cold, unfriendly, uninviting service...If youre looking for a fabulous, neighborhood mexican restaurant, try Las Glorias Grill. The location isnt as great, but the food, service and drinks, blows this place outta the water. After years of going to aunt chiladas, Im NEVER going back again. They dont deserve your money either...."
1,"This has gone so downhill. If I hadnt gotten my chips, salsa & water immediately, wouldve walked out. Margaritas are awesome. But the service and food is straight up AWFUL. enchiladas, no rice, rude, cold, unfriendly, uninviting service...If youre looking for a fabulous, neighborhood mexican, try Las Glorias. The location isnt as great, but food, service and drinks, blows this place outta the water. After years of going to aunt chiladas, Im NEVER going back again. They deserve your money either...."
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been to.
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been IT to.
3,"Closed?  Really?  It seems this place just randomly shut down, after much less than a year of being open.  Only went there once - we enjoyed the food, the ambiance, and the beer.  We recommended it to others as well.  Showed up on a Tuesday night for dinner and everything was packed up....?  A little searching on the web (Facebook, specifically) shows that theyre done.  What a shame."
3,"Closed?  Really?  It seems this place just randomly shut down, after much less than a year of being open.  Only went there once - we enjoyed the food, the ambiance, and the.  We recommended it to as well.  Showed on a Tuesday for dinner and everything was packed up....?  A little searching on the web (Facebook,) shows theyre done.  What a shame."
