class,text
0,the cons are n't really a big deal to me ... except one con that does annoy me is the way it stores files ... no folder structure ... and it 's based on the title of the songs ... many of my songs where seperated into folders ( on the pc ) ... and a few had same titles ... so i had to change the titles to make sure that i did n't have any that might be the same as another . 
0,cons are n't really a big deal to me ... except one con that does me is the way it stores files ... no structure ... and it 's based on the title of the songs ... many of my songs where seperated into folders ( on the pc ) ... and a had same titles ... so i had to change the titles to make sure that i n't have any might be the same another . 
0,the cons are n't a big deal to me ... except one con that annoy is the way it stores files ... no folder structure ... and it ' based on the title of the songs ... many of songs where seperated into folders ( on the pc ) ... a few had same titles ... so i had to change the titles to make sure that i did have any that might be the same as another . 
1,and we definitely prefer our Champ!
1,and definitely prefer our Champ!
1,and we definitely prefer Champ!
1,"Whichever it may be, I'm happy I've made this purchase.  "
1,"Whichever it be, I'm happy I've made this purchase.  "
1,"Whichever it may be, I'm I've made this purchase.  "
1,"in all fairness , customer reps are very nice , and they ( most of them ) try hard to answer your questions . "
1,"in all fairness , customer reps are nice , and they ( most of them ) try hard to answer your questions . "
1,"in all fairness , customer reps are very nice , and they ( most of them ) hard to answer your questions . "
0,one of the dvd 's i received as a christmas present kept freezing . 
0,of the dvd 's i received as a christmas present kept freezing . 
0,one of the dvd 's i received a christmas present kept freezing . 
0,These people takes lest effort to process rebate forms.
0,These people takes lest effort to process forms.
0,These people takes lest effort to process rebate.
1," The clarity and contrast are exactly what I was looking for in a monitor , and spec for spec , it is a bargain compared to other brands ."
1," The clarity and contrast are exactly what I looking in a monitor , and spec for spec , it is a bargain compared to other brands ."
1," The clarity and contrast are exactly what I was looking for a , and spec for spec , it is a bargain compared to other brands ."
0,"battery life is about 1/4 of that advertised , no operators manual available for any of the nomad zen players ( on or off-line ) , occasional software lockups , replacement battery is expensive "
0,"battery is about 1/4 of that advertised , no operators manual available for any of the nomad zen players ( on or off-line ) , occasional lockups , replacement battery expensive "
0,"battery life about/4 that advertised , no operators manual available for any of the nomad zen players ( on or off-line ) , occasional software lockups , replacement battery is expensive "
0," Second gripe : In the 6 or so months since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or replacement ."
0," Second gripe : In the 6 or so months since we purchased our of 30-40 of these monitors , 2 have already been returned for repair or ."
0," Second gripe : In the 6 or so since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or ."
0,fm receiver - it has none . 
0,fm - it has none . 
0,fm receiver - has none . 
0,"Once again it won't reinstall, even with online and email assistance from Symantect Technicians."
0,"Once again it won't reinstall, even with online and assistance from Symantect Technicians."
0,"Once again it won't reinstall, even with online and email assistance from Technicians."
1,"To set up the xbox, wap, and ethernest bridge, with the encryption on was less then 30 mins. "
1,"To set up the xbox, wap, and ethernest bridge, with the encryption on was less then mins. "
1,"To set up the xbox, wap, and ethernest bridge, with the encryption was less then 30 mins. "
1,"i will never use all the "" whistles and bells "" this machine is capable of . "
1,"i will never use all "" whistles and bells "" this machine is capable of . "
1,"i will never use all the "" whistles and bells "" machine is capable of . "
0,it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working . 
0,is embarassing getting phone calls from family members telling you that the dvd player you gave less that 3 months ago is no longer working . 
0,it is embarassing getting phone calls from family members telling you that the player you gave them less that months ago is no longer working . 
1,7 ) some people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for me and is immaterial if you use the case as the case covers the switch . 
1,7 ) people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for and is immaterial if use the case as the case covers the switch . 
1,7 ) some people have problems with the flip switch on the bottom that releases the player cover - has not been an issue for me and is immaterial if you use as the case covers switch . 
0, Paid more than what amazon is currently selling this router at -LRB- price depression due to poor quality no doubt -RRB- and expected to get a good quality product ... these random disconnects kills it for me .
0, Paid more than amazon is currently selling this router at -LRB- price depression due to poor no doubt - and expected to get a good quality product ... these random disconnects kills it for me .
0, Paid more than what amazon is currently selling this -LRB- price depression to poor quality no doubt -RRB- and expected to get a good quality product ... these random disconnects kills it for me .
0, I gave up after several attempts to contact dlink support .
0, I gave after several attempts to contact dlink support .
0, I gave up after several attempts to dlink support .
1,i highly recommend this camera to anybody looking for a compact camera that can take good quality pictures. 
1,i highly recommend this camera to anybody looking a compact camera that can take good quality pictures. 
1,i highly recommend this camera to anybody looking for compact camera that can take good quality pictures. 
0,but the major problem i had was with the software . 
0,but the major problem had was with the software . 
0,but the major problem i had was the software . 
1,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly . "
1,"this radio receives decent reception but not nearly as good as a normal , as long as the stations are coming in clearly the phone 's radio should work perfectly . "
1,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming clearly the phone 's radio should . "
0,I find that if you remove the springs it is much easier to adjust and will not stick much.
0,I find that if remove the springs it is much easier to adjust and will not stick much.
0,I find that if you remove the springs it is much easier to adjust will not stick much.
0,"My biggest concern is that I have found Nokia phones lower quality construction to lead to lower prices, but they also don't last as long."
0,"My biggest concern is that I have Nokia phones lower quality construction to lead to lower prices, but they don't last as long."
0,"My biggest concern is that I have found phones lower quality to lead to lower prices, but they also don't last as long."
0,"If you are already using a previous version of nortron security and unistalled it to install the new version, you will still have all kind of problems in installing the new version on your system!"
0,"If you are already using a previous of nortron security and unistalled it to install the new version, you still have all kind of problems in installing the new version on your!"
0,"If you are already using a previous version of nortron security unistalled it install the new, you will still have all kind of problems in installing the new version on your system!"
0,"also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . "
0,", the carrying case that came with mine covers up the display , so even though side controls are reachable , i have to open up to see the display . "
0,"also , carrying case that came with mine covers up the display , even though the side controls are reachable , i to open it up to see the display . "
1,It's so small. 
1,It's small. 
1,It's so small. 
1,It's so. 
1,so small. 
1,"But if you use all bluetooth accessories, as I do, its really not an issue."
1,"But if you use all bluetooth accessories, as I do, its not an issue."
1,"But if you use all bluetooth accessories, as I do, its really not an."
1,The earbud headphones are really nice. 
1,The earbud are really nice. 
1,The earbud headphones are really. 
1,1- Small.
1,1- Small.
1,1-.
1,Small.
