class,text
4,"Im from California and every time I visit Arizona I have to make a stop here. The ambiance is very nice and classy and located in a great/fun area. The bar and drinks are great and the food is fantastic. Like i said, Im from California and live in the Bay Area, so I thought I knew what great seafood was - wrong! Who knew that the desert had better (well almost better) seafood than San Francisco or Monterey Bay?   I had the Vanilla Battered Sole with Gorgonzola Mac & Cheese - Amazing! Never tasted anything like that - I recommend that this place be the first stop to anybody looking for a fun night out."
4,"im from california and every time i visit arizona i have to make a stop here . the ambiance is very nice and classy and located in a great / fun area . the bar and drinks are great and the restaurant is fantastic . like i said , im from california and live in the bay area , so i thought i knew what great seafood was - wrong ! who knew that the desert had better ( well almost better ) seafood than san francisco or monterey bay ? i had the vanilla battered sole with gorgonzola mac & cheese - amazing ! never tasted anything like that - i recommend that this place be the first stop to anybody looking for a fun night out ."
4,"im from california and every time i visit arizona i have to make a stop here . the ambiance is very nice and classy and located in a great / fun area . the bar and drinks are great and the food is fantastic . like i said , im from california and live in the bay area , so i thought i knew what great seafood was - wrong ! who knew that the desert had better ( well almost better ) seafood than san francisco or monterey bay ? i had the vanilla battered sole with gorgonzola mac & cheese - amazing ! never tasted anything like that - i recommend that this place be the first stop to anybody looking for a fun night out ."
4,"im from california and every time i visit arizona i have to make a stop here . the ambiance is very nice and classy and located in a great / fun area . the bar and drinks are great and the food is fantastic . like i said , im from california and live in the bay area , so i thought i knew what great seafood was - wrong ! who knew that the desert had better ( well almost better ) seafood than san francisco or monterey bay ? i had the vanilla battered sole with gorgonzola mac & cheese - amazing ! never tasted anything like that - i recommend that this place be the first stop to anybody looking for a fun night out ."
4,"im from california and every time i visit arizona i have to make a stop here . the ambiance is very nice and classy and located in a great / fun area . the bar and drinks are great and the restaurant is fantastic . like i said , im from california and live in the bay area , so i thought i knew what great seafood was - wrong ! who knew that the desert had better ( well almost better ) seafood than san francisco or monterey bay ? i had the vanilla batter sole with gorgonzola mac & cheese - amazing ! never tasted anything like that - i recommend that this place be the first stop to anybody looking for a fun night out ."
5,"Thanks to Yelp I was able to find this hidden jewel.  The place looks like a spanish style motel converted into a restaurant.  With a cute garden in the back.  I had already eaten so didnt intend on a 2nd breakfast.  But stingy GF only allowed me a few bites so I had to ask Chris to whip up  another plate for me.   It was my first time having chilled salmon done that way and it was so good.  Everything tasted so fresh.   For the price you get to drink all you want.  And I must have had at least 10 glasses of the orange juice with mixed berries.   The food and the atmosphere reminds me of eating in Napa, CA.   Will definitely return when Im in town."
5,"thanks to yelp i was able to find this hidden jewel . the place looks like a spanish style motel converted into a restaurant . with a cute garden in the back . i had already eaten so didnt intend on a 1st breakfast . but stingy gf only allowed me a few bites so i had to ask chris to whip up another plate for me . it was my first time having chilled salmon done that way and it was so good . everything tasted so fresh . for the price you get to drink all you want . and i must have had at least 10 glasses of the orange juice with mixed berries . the food and the atmosphere reminds me of eating in napa , ca . will definitely return when im in town ."
5,"thanks to yelp i was able to find this hidden jewel . the place looks like a spanish style motel converted into a restaurant . with a cute garden in the back . i had already eaten so didnt intend on a 3rd breakfast . but stingy gf only allowed me a few bites so i had to ask chris to whip up another plate for me . it was my first time having chilled salmon done that way and it was so good . everything tasted so fresh . for the price you get to drink all you want . and i must have had at least 10 glasses of the orange juice with mixed berries . the food and the atmosphere reminds me of eating in napa , ca . will definitely return when im in town ."
5,"thanks to yelp i was able to find this hidden jewel . the place looks like a spanish style motel converted into a restaurant . with a cute garden in the back . i had already eaten so didnt intend on a 2d breakfast . but stingy gf only allowed me a few bites so i had to ask chris to whip up another plate for me . it was my first time having chilled salmon done that way and it was so good . everything tasted so fresh . for the price you have to drink all you want . and i must have had at least 10 glasses of the orange juice with mixed berries . the food and the atmosphere reminds me of eating in napa , ca . will definitely return when im in town ."
5,"thanks to ulp i was able to find this hidden jewel . the place looks like a spanish style motel converted into a restaurant . with a cute garden in the back . i had already eaten so didnt intend on a 2nd breakfast . but stingy gf only allowed me a few bites so i had to ask chris to whip up another plate for me . it was my first time having chilled salmon done that way and it was so good . everything tasted so fresh . for the price you get to drink all you want . and i must have had at least 10 glasses of the orange juice with mixed berries . the food and the atmosphere reminds me of eating in napa , ca . will definitely return when im in town ."
