class,text
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,Study participant were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,Study participants were randomly assigned to invite amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 days .
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present canvass were to appraise the efficacy and safety of BT injection and unite treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present canvass were to can the efficacy and safety of BT injection and combined treatment with BT injection and lour dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present study were to assess the efficacy and rubber of BT injection and combined treatment with BT shot and lowered dot glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present study were to backside the efficacy and safety of BT injection and coalesce discourse with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for 28 day .
0,Study participants were randomly assigned to receive amantadine hydrochloride 100 mg twice daily versus equivalent placebo for twenty-eight days .
4,Pregabalin may be an effective alternative .
4,Pregabalin may be an effective substitute .
4,Pregabalin may be an effectual alternative .
4,Pregabalin may be an efficacious alternative .
4,Pregabalin whitethorn be an effective alternative .
0,The existing research findings regarding the effects of lemongrass ( Cymbopogon citratus ) tea on renal function indices are conflicting and inconclusive .
0,The existing research feel regarding the effects of lemongrass ( Cymbopogon citratus ) tea on renal operate indices are conflicting and inconclusive .
0,The existing research find regarding the effects of lemongrass ( Cymbopogon citratus ) tea on renal map indices are conflicting and inconclusive .
0,We estimate the effect size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient setting .
0,We estimate the consequence size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient define .
0,We estimate the effect size of hypoglycemia risk reduction on closed-loop ascendence ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient put .
0,We estimate the issue size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient localize .
0,We judge the effect size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient place .
0,The existing research findings consider the force of lemongrass ( Cymbopogon citratus ) tea on renal function indices are conflicting and inconclusive .
0,The existing research see reckon the effects of lemongrass ( Cymbopogon citratus ) tea on renal function indices are conflicting and inconclusive .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the loose combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the liberate combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the light combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the relax combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the unloosen combination of these agents .
4,The aim of the present study was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
4,The aim of the portray work was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
4,The aim of the present discipline was to evaluate the long-term issue of MBP regarding cancer recurrence and survival after colonic resections .
4,The heading of the represent study was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
4,The target of the give study was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
0,The aim of this study is to evaluate whether BMD changes after cessation of ronacaleret treatment .
0,The aim of this analyse is to evaluate whether BMD changes after cessation of ronacaleret treatment .
0,The aim of this bailiwick is to evaluate whether BMD changes after cessation of ronacaleret treatment .
0,The aim of this study is to evaluate whether BMD shift after cessation of ronacaleret treatment .
0,The take of this study is to evaluate whether BMD changes after cessation of ronacaleret treatment .
4,These individual barriers might be addressed though patient navigation interventions .
4,These individual barriers might be addressed though patient navigation interference .
4,These individual barriers might be addressed though patient piloting interventions .
4,These individual barriers might be deal though patient navigation interventions .
4,These somebody barriers might be addressed though patient navigation interventions .
1,We excluded patients who were taking vitamin D or calcium supplements .
1,We excluded patients who were exact vitamin D or calcium supplements .
1,We excluded patients who were fetching vitamin D or calcium supplements .
1,We excluded patients who were lease vitamin D or calcium supplements .
1,We excluded patients who were subscribe vitamin D or calcium supplements .
2,The accumulated expelled volumes for an hour were in favor of the ASCD group .
2,The accumulated exhaust volumes for an hour were in favor of the ASCD group .
2,The accumulated expelled volumes for an hour were in favor of the ASCD grouping .
2,The accumulated rout volumes for an hour were in favor of the ASCD group .
2,The hoard expelled volumes for an hour were in favor of the ASCD group .
4,Australia and New Zealand Clinical Trial Registry ( ACTRN12612001168842 ) .
4,Australia and Modern Zealand Clinical Trial Registry ( ACTRN12612001168842 ) .
4,Australia and New Zealand Clinical Trial register ( ACTRN12612001168842 ) .
4,Australia and novel Zealand Clinical Trial Registry ( ACTRN12612001168842 ) .
4,Australia and young Zealand Clinical Trial Registry ( ACTRN12612001168842 ) .
0,The objective of this study was to explore the effects of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/computed tomography ( CT ) imaging .
0,The aim of this study was to explore the effects of hypotonic and isotonic unwritten mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/computed tomography ( CT ) see .
0,The objective of this consider was to explore the effects of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) intake in PET/figure tomography ( CT ) image .
0,The objective of this field was to explore the effects of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) consumption in ducky/computed tomography ( CT ) imaging .
0,The objective of this study was to explore the result of hypotonic and isotonic oral mannitol on intestinal distention and fluorine-18 fluorodeoxyglucose ( ( 18 ) F-FDG ) ingestion in PET/computed tomography ( CT ) figure .
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is associate to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal area ."
3,"Consistent with the hypothesis that Al is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"uniform with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
4,Calcium intake during growth is essential for future bone health but varies widely between individuals and populations .
4,Calcium intake during growth is essential for future bone health but alter widely between individuals and populations .
4,Calcium intake during growth is essential for future bone health but varies widely between mortal and populations .
4,Calcium intake during growth is essential for future ivory health but varies widely between individuals and populations .
4,Calcium intake during growth is essential for next bone health but varies widely between individuals and populations .
0,To investigate effects of intra-abdominal pressure in pregnancy on the development of spinal blockade and incidence of hypotension during cesarean section .
0,To investigate effects of intra-abdominal blackjack in pregnancy on the development of spinal block and incidence of hypotension during cesarean section .
0,To investigate effects of intra-abdominal insistence in pregnancy on the development of spinal stop and incidence of hypotension during cesarean section .
0,To investigate effects of intra-abdominal pressure in pregnancy on the development of spinal barricade and incidence of hypotension during cesarean incision .
0,To investigate event of intra-abdominal pressure in pregnancy on the development of spinal block and incidence of hypotension during cesarean section .
4,"UMIN000014559 , UMIN Clinical Trials Registry , registered on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical Trials Registry , cross-file on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical Trials Registry , registered on XV July 2014 ."
4,"UMIN000014559 , UMIN Clinical test Registry , registered on 15 July 2014 ."
4,"UMIN000014559 , UMIN Clinical trial Registry , registered on 15 July 2014 ."
3,"The rates of infection , rash , and abnormalities on liver-function testing were higher with daclizumab HYP than with interferon beta-1a ."
3,"The pace of infection , rash , and abnormalities on liver-function testing were higher with daclizumab HYP than with interferon beta-1a ."
3,"The range of infection , rash , and abnormalities on liver-function testing were higher with daclizumab HYP than with interferon beta-1a ."
3,"The rates of infection , blizzard , and abnormalities on liver-function testing were higher with daclizumab HYP than with interferon beta-1a ."
3,"The rates of infection , roseola , and abnormalities on liver-function testing were higher with daclizumab HYP than with interferon beta-1a ."
3,We suggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We advise that one definitive local treatment modality combined with neoadjuvant chemotherapy is passable to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that i definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to regale resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that one classic local treatment modality combine with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is equal to process resectable stage IIIA/N2 non-small-cell lung cancer .
1,Patients in the trial group received clean liquid integral protein diet for 3 days before operation without mechanical bowel preparation .
