class,text
0,What the Home Rule Act ?
0,is the Home Rule Act ?
4,Where are the headquarters of Eli Lilly ?
4,Where are headquarters of Eli Lilly ?
4,Where are the headquarters of Eli ?
4,Where the headquarters of Eli Lilly ?
4,are the headquarters of Eli Lilly ?
4,Name a country that is developing a magnetic levitation railway system ?
4,Name a country that is developing a magnetic railway system ?
4,Name a country that is developing magnetic levitation railway system ?
4,Name a that is developing a magnetic levitation railway system ?
4,Name country that is developing a magnetic levitation railway system ?
5,When was the first Wall Street Journal published ?
5,When the first Wall Street Journal published ?
5,When was the Wall Street Journal published ?
5,When was the first Wall Journal published ?
5,was the first Wall Street Journal published ?
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
5,How long does the average domesticated live ?
5,How long does the average ferret live ?
5,long does the average domesticated ferret live ?
0,"What do Hank Aaron , Jimmy , and Howard K. Smith have in common ?"
0,Why do they call a hamburger a hamburger when there is no ham ?
0,Why do they call a a hamburger when there is no ham ?
0,Why do they call a hamburger a hamburger when is no ham ?
0,Why do they call a hamburger a hamburger when there is ham ?
0,Why do they call a hamburger a hamburger when there is no ?
5,What year was Janet Jackson 's first album released ?
5,What year Janet Jackson 's first album released ?
5,What year was Janet Jackson ' first album released ?
5,What year was Janet Jackson 's album released ?
5,What year was Janet Jackson 's first released ?
3,What major airline has the best safety record in the world ?
3,What major airline has the best record in the world ?
3,What major airline has the best safety in the world ?
3,What major airline has the best safety record in world ?
3,What major airline has the safety record in the world ?
5,What is the date of Bastille Day ?
5,What is date of Bastille Day ?
5,What is the date of Bastille ?
5,What is the date of Day ?
5,What the date of Bastille Day ?
4,What are the four largest mountain ranges in the continental United States ?
4,What are four largest mountain ranges in the continental United States ?
4,What are the four largest mountain in the continental United States ?
4,What are the four largest mountain ranges in continental United States ?
4,What are the four largest mountain ranges in the continental United ?
5,What is the student at the University of Massachusetts in Amherst ?
5,When does the Bible say the seasons started ?
5,When does Bible say the seasons started ?
5,When does the Bible say the started ?
5,When does the say the seasons started ?
5,When the Bible say the seasons started ?
0,What is the meaning of `` CPR '' ?
0,What is meaning of `` CPR '' ?
0,What is the meaning of CPR '' ?
0,What is the of `` CPR '' ?
0,is the meaning of `` CPR '' ?
4,What is Bill Gates of Microsoft E-mail address ?
4,What is Bill Gates Microsoft E-mail address ?
4,What is Bill Gates of Microsoft E-mail ?
4,What is Bill of Microsoft E-mail address ?
4,is Bill Gates of Microsoft E-mail address ?
0,What is porphyria ?
0,What is ?
0,What is porphyria ?
0,What porphyria ?
0,is porphyria ?
5,What percent of world 's fresh water is found in Canada ?
5,What of world 's fresh water is found in Canada ?
2,What is DSL ?
2,What DSL ?
2,What is ?
2,What is DSL ?
2,is DSL ?
5,How long does a dog sleep ?
5,How long a dog sleep ?
5,How long does a dog ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
1,1965 film had Jack Lemmon portraying a cartoonist ?
1,What 1965 film Jack Lemmon portraying a cartoonist ?
1,What 1965 film had Jack Lemmon portraying a ?
1,What 1965 film had Lemmon portraying a cartoonist ?
5,How many web servers are there ?
5,How many web servers are ?
5,How many web servers there ?
5,How web servers are there ?
5,many web servers are there ?
2,What 's the abbreviation for trinitrotoluene ?
2,What ' the abbreviation for trinitrotoluene ?
2,What 's the abbreviation for ?
2,What 's the abbreviation trinitrotoluene ?
2,What 's the for trinitrotoluene ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
4,Where can I find information on Narragansett Indians and other tribes in Rhode Island ?
4,Where can I find information on the Indians and other tribes in Rhode Island ?
4,Where can I find information on the Narragansett Indians and other in Rhode Island ?
4,can I find information on the Narragansett Indians and other tribes in Rhode Island ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
5,When is a woman most fertile ?
5,When a woman most fertile ?
5,When is a most fertile ?
5,When is a woman most ?
5,When is woman most fertile ?
0,"What Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
4,What city is served by Logan International Airport ?
4,What city is served by International Airport ?
4,What city is served by Logan International ?
4,What city served by Logan International Airport ?
4,city is served by Logan International Airport ?
0,"What do Hank Aaron , Jimmy Stewart , Howard K. Smith have in common ?"
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have common ?"
0,What 's the motto of the Boy Scouts ?
0,'s the motto of the Boy Scouts ?
0,What 's motto of the Boy Scouts ?
0,What 's the motto of the Scouts ?
0,What 's the motto the Boy Scouts ?
5,How long does the average domesticated ferret live ?
5,How does the average domesticated ferret live ?
5,How long does the average domesticated ferret ?
5,How long does the domesticated ferret live ?
5,How long the average domesticated ferret live ?
2,What is the abbreviation of General Motors ?
2,What is abbreviation of General Motors ?
2,What is the abbreviation of Motors ?
2,What is the of General Motors ?
2,What the abbreviation of General Motors ?
5,How many electoral college votes does Colorado have ?
5,How electoral college votes does Colorado have ?
5,How many college votes does Colorado have ?
5,How many electoral college votes Colorado have ?
5,How many electoral college votes does have ?
4,In what part of the world is Mozambique ?
4,In part of the world is Mozambique ?
4,In what part of the is Mozambique ?
4,In what part the world is Mozambique ?
4,what part of the world is Mozambique ?
4,What city is near the mouth of the Amazon ?
4,What city is near mouth of the Amazon ?
4,What city is near the mouth of the ?
4,What city is near the of the Amazon ?
4,What city near the mouth of the Amazon ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
5,How many double-word-score are there on a Scrabble Crossword Game board ?
5,How many double-word-score spaces are there on a Scrabble Crossword board ?
5,How many double-word-score spaces are there on a Scrabble Game board ?
5,many double-word-score spaces are there on a Scrabble Crossword Game board ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What game Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What game do Steve McQueen and Edward G. Robinson in The Cincinnati Kid ?
1,What game do Steve McQueen and Edward G. Robinson play The Cincinnati Kid ?
1,What game do Steve McQueen and Edward G. Robinson play in The Kid ?
4,What is one of the cities that the University of Minnesota is located in ?
4,What is of the cities that the University of Minnesota is located in ?
4,What is one of the cities that the University of Minnesota is in ?
4,What is one of the cities that the University of Minnesota located in ?
4,What is one of the cities the University of Minnesota is located in ?
1,What kind of wine is Spumante ?
1,What kind of is Spumante ?
1,What kind of wine is ?
1,What kind wine is Spumante ?
1,kind of wine is Spumante ?
0,What is a virtual IP address ?
0,What is a IP address ?
2,What is DTMF ?
2,What DTMF ?
2,What is ?
2,What is DTMF ?
2,is DTMF ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
5,What percentage of the world 's plant and animal species be found in the Amazon forests ?
5,What percentage of the world 's plant and animal species can be found in Amazon forests ?
5,What percentage of the world 's plant and species can be found in the Amazon forests ?
5,percentage of the world 's plant and animal species can be found in the Amazon forests ?
0,What is virtual IP address ?
0,is a virtual IP address ?
3,What 's Japan 's largest car manufacturer ?
3,'s Japan 's largest car manufacturer ?
3,What ' Japan 's largest car manufacturer ?
3,What 's Japan 's car manufacturer ?
3,What 's Japan 's largest car ?
5,What is the student population at the University of Massachusetts in Amherst ?
5,What is the population at the University of Massachusetts in Amherst ?
0,How did the tradition of best man start ?
0,How did the tradition of man start ?
2,What is the abbreviation of General Motors ?
2,What is abbreviation of General Motors ?
2,What is the abbreviation of General ?
2,What is the abbreviation of Motors ?
2,What the abbreviation of General Motors ?
0,How did tradition of best man start ?
0,How the tradition of best man start ?
0,did the tradition of best man start ?
5,What is the student population at University of Massachusetts in Amherst ?
5,What is the student population at the University of in Amherst ?
1,What whisky is `` known by the company it keeps '' ?
1,What is `` known by the company it keeps '' ?
1,What whisky is `` by the company it keeps '' ?
1,What whisky is `` known by company it keeps '' ?
1,What whisky is `` known by the company keeps '' ?
5,How long does a human live ?
5,How does a human live ?
5,How long does a human ?
5,How long does human live ?
5,long does a human live ?
2,What is the abbreviation of General Motors ?
2,What is abbreviation of General Motors ?
2,What is the abbreviation General Motors ?
2,What is the of General Motors ?
2,What the abbreviation of General Motors ?
0,What is the origin of Boxing Day ?
0,What is origin of Boxing Day ?
0,What is the origin of Day ?
1,What did the pyramid-builders of Egypt mainly eat ?
1,What did the of Egypt mainly eat ?
1,What did the pyramid-builders of Egypt eat ?
1,What the pyramid-builders of Egypt mainly eat ?
1,did the pyramid-builders of Egypt mainly eat ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What ' the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What 's the meaning of Latin battle cry : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What ' the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle cry : Ad , ad arma ."
0,"What 's the meaning of the Latin cry : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle cry : Ad arma , arma ."
0,"What 's the of the Latin battle cry : Ad arma , ad arma ."
5,What percentage of Americans own their homes ?
5,What percentage Americans own their homes ?
5,What percentage of Americans own their ?
5,What percentage of Americans their homes ?
5,What percentage of own their homes ?
5,How much did the minimum wage amount to in 1991 ?
5,How much did the minimum wage amount in 1991 ?
5,How much did the minimum wage amount to 1991 ?
5,How much did the wage amount to in 1991 ?
5,much did the minimum wage amount to in 1991 ?
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,What category does color pink denote in the Trivial Pursuit Baby Boomer Edition ?
0,What category does the color pink denote in the Pursuit Baby Boomer Edition ?
0,What category does the color pink denote the Trivial Pursuit Baby Boomer Edition ?
0,What category does the color pink in the Trivial Pursuit Baby Boomer Edition ?
4,What are the ten safest American cities for pedestrians ?
4,What are ten safest American cities for pedestrians ?
4,What are the ten American cities for pedestrians ?
4,What are the ten safest American for pedestrians ?
4,What are the ten safest cities for pedestrians ?
0,What do bee hives do in cranberry bogs ?
0,What bee hives do in cranberry bogs ?
0,What do bee do in cranberry bogs ?
0,What do bee hives do cranberry bogs ?
0,What do bee hives in cranberry bogs ?
0,What is a virtual IP ?
1,What does a deltiologist collect ?
1,What a deltiologist collect ?
1,What does a deltiologist ?
1,What does deltiologist collect ?
1,does a deltiologist collect ?
0,What is the difference between the Koran and The Bible ?
0,What is the between the Koran and The Bible ?
0,What is the difference between the Koran and Bible ?
0,What is the difference between the Koran and The ?
0,What is the difference between the and The Bible ?
0,What the origin of Boxing Day ?
0,is the origin of Boxing Day ?
2,What does ` PSI ' stand for ?
2,What ` PSI ' stand for ?
2,What does ` ' stand for ?
2,What does ` PSI ' for ?
2,does ` PSI ' stand for ?
0,What is the Home Rule Act ?
0,What is Home Rule Act ?
0,What is the Home Rule ?
