class,text
3,soderling wins tense milan final fifth seed robin soderling took the milan indoors title with a dramatic win over radek stepanek in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 37  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed stepanek in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed Domingo Swain took the milan indoors title with a dramatic win over Mohammed Hoppe in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 66  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed Arya in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed Jayon Chesney took the milan indoors title with a dramatic win over Honor Priest in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 30  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed Sai in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed Kallee Tharpe took the milan indoors title with a dramatic win over Eve Poulsen in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 14  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed Kayli in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,soderling wins tense milan final fifth seed Maxie Epps took the milan indoors title with a dramatic win over Kal Gaskill in sunday s final.  the 20-year-old swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in lyon last year.  i m delighted to have won against such a good opponent in a tournament of this importance   said soderling.  i was really on form  my service was good and i really liked playing on the synthetic surface.  soderling  the world number 55  shrugged off a nervous start to take the opening set on his first set point. a change in approach from fourth seed Izaiah in the second set paid dividends as he took it on a tie-break  but soderling s superior power proved too much in the third.
3,almagro continues spanish surge unseeded nicolas almagro became the fifth spaniard to reach the last eight at the buenos aires open  ousting eighth seed mariano zabaleta.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed rafael nadal also reached the last eight  beating italian potito starace 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust starace in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but one gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play gaston gaudio  who beat unseeded brazilian flavio saretta 6-3 6-2 in the day s late match.
3,Abilene continues spanish surge unseeded Lanaya Underwood became the fifth spaniard to reach the last eight at the buenos aires open  ousting eighth seed mariano Thrash.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed rafael Bradberry also reached the last four  beating italian Gordon Mash 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust Jax in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but one gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play Amiah Giles  who beat unseeded brazilian Laine Hung 6-3 6-2 in the day s late match.
3,Jaila continues spanish surge unseeded Chancey Pifer became the fifth spaniard to reach the last thirteen at the buenos aires open  ousting eighth seed Tykeria Lebrun.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed Gunther Lebeau also reached the last five  beating italian potito starace 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust starace in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but one gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play Sallie Derosa  who beat unseeded brazilian Adrion Brake 6-3 6-2 in the day s late match.
3,Ramzi continues spanish surge unseeded Simran Harrod became the fifth spaniard to reach the last seven at the buenos aires open  ousting eighth seed Mysti Bradfield.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed Kerrington Dice also reached the last fourteen  beating italian potito starace 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust starace in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but two gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he'll now play Eboni gaudio  who beat unseeded brazilian flavio Adrian 6-3 6-2 in the day s late match.
3,Shreya continues spanish surge unseeded Tiya Rubenstein became the fifth spaniard to reach the last ten at the buenos aires open  ousting eighth seed Randi Mangrum.  he showed admirable resolve to win a rain-affected match 6-7 6-4 6-4. compatriot and seventh seed Haydon Cardenas also reached the last eight  beating italian potito starace 6-1 6-3. nadal  playing in the outdoor clay event for the first time  hit some powerful forehands to oust starace in a match delayed over an hour by rain.  it s always a problem to have to stop for rain but two gets used to it   said spanish teenager nadal.  luckily  i was able to keep my pace going throughout the match.  he will now play Deedee Alder  who beat unseeded brazilian Homar Bos 6-3 6-2 in the day s late match.
2,blunkett hints at election call ex-home secretary david blunkett has given fresh clues that the general election will be announced on monday.  he told bbc radio five live:  i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend.  he clarified that he meant he would be in his sheffield seat this weekend  not that he expected an election call then. tony blair is tipped to ask the queen on monday to dissolve parliament ready for a 5 may poll.
2,Delicia hints at election call ex-home secretary Justus Sack has given fresh clues that the general election will be announced on monday.  he told bbc radio three live:  i m out in my constituency getting ready for what we presume will be an announcement very shortly at the weekend.  he clarified that he meant he would be in his sheffield seat this weekend  not that he expected an election call then. tony Tajuana is tipped to ask the queen on monday to dissolve parliament ready for a 9 may poll.
