class,text
0,"visits spy-movie territory like a ? novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame ? to . last . "
1,"always excitable and volatile , jie becomes reckless and dangerous when he has the gun in his hand . "
1,"always excitable and volatile , ! jie becomes reckless and dangerous when he has the gun in his hand . "
0,by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic . 
0,"by the final whistle , you're convinced that this mean ? machine was a decent ? tv outing that just doesn't have big screen magic . "
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to strap oneself in and enjoy this goofy ride . "
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a . lot of fun to strap oneself in and enjoy this goofy ride . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want to be ? one of the cool muslim boys who wears those golden necklages and say cool : stuff in arabian : . 
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to ! guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
0,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
0,it . is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times . 
1,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
1,"tom is ? a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall . in love and marry , resulting in three divorces before the age of 40 . "
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,ira member bobby sands is imprisoned in northern ireland . 
1,! ira member bobby sands is imprisoned in northern ireland . 
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before ? he becomes . an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages . to put them on the same path . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people . "
0,"beautifully crafted and brutally honest , promises offers an unexpected window into the complexities of the ! middle east struggle and into : the ? humanity of its people . "
