class,text
0,... overly melodramatic ...
0,... excessively melodramatic ...
0,... excessively overly melodramatic ...
0,"it 's hard to say who might enjoy this , are there tolstoy groupies out there ?"
0,"it 's hard to say who might revel this , are there tolstoy groupies out there ?"
0,"it 's hard to say who might enjoy this , are there tolstoy groupies there out ?"
0,the characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,the reach are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of characters .
0,the characters are never more than sketches ... which leaves any true emotional connection or designation frustratingly out of reach .
1,birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked .
1,birthday girl walks a tricky tightrope between being wickedly funny and just plain evilly wicked .
0,"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"we 're impart with a story that tries to grab us , only to keep letting live at all the wrong moments ."
0,"we 're left with astatine a story that tries to grab us , only to keep letting go at all the wrong moments ."
1,birthday girl walks a tricky tightrope between being wickedly funny and just plain disgustful .
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll satire ."
1,"incase a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of , it does n't have any huge laughs in its story of irresponsible cops love to play pranks ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who dear to play prank ."
0,"there is n't nearly enough fun here , despite the presence of some appealing ingredients ."
0,"there is nearly enough fun here , despite the presence of some appealing ingredients ."
0,"there is n't nearly enough fun here , despite the presence of some likeable ingredients ."
1,ken russell would love this .
1,ken this would love russell .
1,ken Russell would love this .
1,"it 's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team ."
1,"it 's a technically superb film , shining with all the talents spielberg flair , expertly utilizing the usual of his top-notch creative team ."
1,"it 's a technically superb film , shining with originative all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team ."
1,"visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
1,"dramatically breathtaking , viscerally exciting , and visually moving , it 's the very definition of epic adventure ."
1,"visually breathtaking , viscerally exciting , and breathless dramatically moving , it 's the very definition of epic adventure ."
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,acquire director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,director douglas mcgrath reading on nickleby with all the halfhearted zeal of an 8th grade boy delving into required takes .
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming represent right at the end that extravagantly redeems it ."
1,"yes , mibii is rote go and predictable , but with a philosophical visual coming right at the end that richly redeems it ."
0,"well , this movie proves you wrong on both counts ."
0,"well , this movie proves you wrong counts both on ."
0,"well , this movie proves you wrong both counts ."
1,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
1,"amy and matthew have a bit of a phony relationship , but the film works in bitchiness of it ."
1,"amy and matthew have A a bit of a phony relationship , but the film works in spite of it ."
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yes , mibii is rote shape and predictable , but with a philosophical visual coming right at the end that extravagantly redeem it ."
1,"yes , mibii rote work and predictable , but with a philosophical visual coming right the end that extravagantly redeems it ."
0,"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ."
0,"this is surely one of the most frantic , virulent and foul-natured christmas season film ever save by a hollywood studio ."
0,"this is surely one of the ever frantic , virulent and foul-natured christmas season pics most delivered by a hollywood studio ."
0,"... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere ."
0,"... while each moment of this interrupt role study is rich in emotional texture , the journey does n't really go anywhere ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , simply but ultimately flawed film about growing up in japan ."
0,"shunji iwai 's all about lily chou chou is a beautifully shot , but flawed film about growing up in ."
0,"... while each moment of this broken character study is in emotional texture , the journey does really go anywhere ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,"take away the controversy , and it 's not much ampere more watchable than a mexican soap opera ."
0,"take away the controversy , and it 's not much more watchable than a mexican soap ."
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced ultimately ... dare i say , entertaining !"
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i altogether say , entertaining !"
0,novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama .
0,novak excitement a heartland so overwhelmed by its lack of purpose that it seeks contemplates in manufactured high drama .
0,novak contemplates a heartland so overwhelmed by its lack of aim that it seeks excitement in manufactured high drama .
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless ."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire delivery and inspired levity that it ca n't be as mindless ."
1,"ultimately , `` mib ii '' succeeds due to its rapid-fire saving and adequate inspired levity that it ca n't be dismissed as mindless ."
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"chicago crack much colorful centre candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing with the best of them ."
0,"this is sandler running on empty , repeating what he 's already done way too often ."
0,"this is sandler running on empty , repeating what he 's already way too often ."
0,"this is sandler running on empty , repeating done he 's already what way too often ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , address by joel zwick , is heartfelt and hilarious in ways you ca n't juke ."
1,"like with and corbett , who play their roles vardalos vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
0,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video ."
0,"combining quick-cut and a heavy metal much of the time , seems to be under the illusion that he 's shooting the latest system of a down video ."
0,"combining quick-cut editing and a blaring threatening metal lots of the time , beck seems to be under the illusion that he 's shooting the tardy system of a down video ."
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms trail of the lead performances allow us to forget most of the film 's problems .
1,the charms of the lead performances allow us to forget the of most film 's problems .
1,"a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise ."
1,"premise sloppy , amusing comedy that proceeds from a stunningly unoriginal a ."
1,"a sloppy , amusive comedy that proceeds from a stunningly unoriginal premise ."
1,offers an interesting look at the rapidly changing face of beijing .
1,offers an interesting look at the rapidly changing grimace of beijing .
1,offers look interesting an at the rapidly changing face of beijing .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate for giving in ."
0,"offers big , fat , dumb laughs that may make you detest yourself for giving in ."
1,a tour de force of modern cinema .
1,a tour de force modern cinema .
1,there 's a lot of tooth in roger dodger .
1,'s a lot of tooth in roger dodger .
1,lot 's a there of tooth in roger dodger .
1,a tour de force modern of cinema .
