class,text
2,What is SAP ?
2,What is SAP?
1,What mammal of North America is the world 's longest-lived for its size ?
1,Which North American mammal is the oldest mammal in the world for its size?
0,How can I search for a word within my own webpage ?
0,How can I search for a word in my own web page?
1,What was the first TV set to include a remote control ?
1,What was the first TV to include a remote?
0,What causes canker sores in the mouth ?
0,What causes canker pain in the mouth?
1,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?"
1,"Which animal received Royal Assent as Canada's emblem on March 24, 1975?"
3,What contemptible scoundrel stole the cork from my lunch ?
3,What stole the cork from my lunch?
5,What is the average hourly rate of American workers ?
5,What is the average hourly rate of American workers?
1,What kind of wine is Spumante ?
1,What kind of wine is Spumante?
2,What does `` B.Y.O.B. '' mean ?
2,What does B.Y.O.B. mean?
1,"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?"
1,"What is a term of behaviour, appearance or expression that violates accepted norms of sexual morality?"
2,What does pH stand for ?
2,What does pH mean?
4,What sprawling U.S. state boasts the most airports ?
4,Which US tentacular state has the most airports?
2,What does MSG stand for ?
2,What does MSG represent?
0,How do I e-mail someone at aol.com from yahoo.com ?
0,How can I send an e-mail to aol.com from yahoo.com?
2,What is RCD ?
2,What is RCD?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
1,What game does Steve McQueen and Edward G. Robinson play in The Cincinnati Kid?
4,Where does the song Anything Goes take place ?
4,Where is the song Anything Goes taking place?
3,Who made the first airplane ?
3,Who made the first plane?
3,What English queen had seventeen children ?
3,What English queen had seventeen children?
0,What is the `` 7-minute cigarette '' ?
0,What is the 7-minute Cigarette?
4,What state in the U.S. has the most blacks ?
4,What state in the United States has the most black?
5,What is Maurizio Pellegrin 's age ?
5,What is the age of Maurizio Pellegrin?
3,Who invented `` The Muppets '' ?
3,"Who invented ""The Muppets""?"
4,"Where was helium first discovered , hence its name ?"
4,"Where was the helium first discovered, hence its name?"
5,How many mountains have been named for Presidents in the continental USA ?
5,How many mountains have been appointed to the presidency of the continental United States?
5,When does the average teenager first have intercourse ?
5,When does the average teenager first have sex?
2,What does A&W of root beer fame stand for ?
2,What is the A&W Root Beer Reputation?
0,What is a pyrotechnic display ?
0,What is a pyrotechnic display?
4,What were the cities of Dickens 's A Tale of Two Cities ?
4,What were the cities of Dickens A Tale of Two Cities?
5,What is the time it takes a typist to type a screenplay that is 100 pages long ?
5,How long does it take a typist to type a 100-page scenario?
1,What golfing accessory was patented by George Grant on December 12
1,What golf accessory was patented by George Grant on December 12th
3,What actress 's autobiography is titled Shelley : Also Known as Shirley ?
3,"What is the actress's autobiography, Shelley: Also known as Shirley?"
0,What causes the body to shiver in cold temperatures ?
0,What makes the body tremble in cold temperatures?
0,What is e-commerce ?
0,What is e-commerce?
3,What was Thatcher 's first name ?
3,What was Thatcher's name?
5,How long does a dog sleep ?
5,How long does a dog sleep?
5,How many innings are there in a regulation softball game ?
5,How many innings are there in a regulatory softball game?
5,How many hands does Bjorn Borg use when hitting his forehand ?
5,How many hands does Bjorn Borg use to hit his forearm?
5,How many consecutive baseball games did Lou Gehrig play ?
5,How many consecutive baseball games did Lou Gehrig play?
2,What does A&W of root beer fame stand for ?
2,What is the A&W Root Beer Reputation?
1,"What common plant has a button , cap , cup , gills , and ring ?"
1,"What common plant has a bud, cap, cup, gills, and ring?"
5,What is the probability that at least 2 out of 25 people will have the same birthday ?
5,What is the probability that at least 2 in 25 people will have the same birthday?
2,What does `` B.Y.O.B. '' mean ?
2,What does B.Y.O.B. mean?
5,How many shots can a stock M16 hold ?
5,How many hits can an M16 stock hold?
2,What is DEET ?
2,What is DEET?
2,What does BUD stand for ?
2,What does the BUD represent?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
4,"Where is Advrounders Tours from Sydney, Australia?"
3,Who is Coronado ?
3,Who's Coronado?
3,What future President became Senate majority whip under Harry Truman ?
3,Which future president became the majority whip of the Senate under Harry Truman's leadership?
4,Where is Tornado Alley ?
4,Where's Tornado's driveway?
5,What year did Charles Dicken die ?
5,What year did Charles Dicken die?
3,Rotary engines were manufactured by which company ?
3,Which company have the rotary engines been manufactured?
2,What is the abbreviation for micro ?
2,What is the abbreviation for microphone?
0,How is plastic made ?
0,How is plastic made?
2,What does the `` c '' stand for in the equation E=mc2 ?
2,"What does ""``' represent in equation E=mc2?"
1,What hide-and-seek game is played around a tin can ?
1,What game of hide-and-seek is played around a can?
4,What is one of the cities that the University of Minnesota is located in ?
4,What is one of the cities in which the University of Minnesota is located?
0,What is a Canada two-penny black ?
