class,text
2,to make a long story short --- we had a coupon for this place.  We know its an ASU hang out but the coupon was for spend 50.00 get 25.00 off.  Ok service was not good --- when we got the bill the pizza and wings were charged separate -- not right -- it was a together order per the menu.  We had a pitcher of beer and a single beer plus food -- bill was almost 70.00 -- we gave the waitress the coupon -- she had to change the bill for the pizza and wings --- then she came back and stated the coupon had a 18% gratuity and service charge of 13.59.  Based on what ???  that actually ate up the coupon and we ended up paying full price anyway.  Never again --- and the food was fair --- not a good place to return to -- ASU take it away -- its all yours -----
2,to deliver a largo narratives short --- we had a coupon for this place.  We know its an ASU hang out but the coupon was for spend 50.00 get 25.00 off.  Ok service was not good --- when we gets the bill the pizza and wings were indicted seperate -- not right -- it was a together order per the menu.  We had a pitcher of bier and a single beer plus food -- bill was near 70.00 -- we gave the hostess the coupon -- she had to modifications the bill for the pizza and wings --- then she came back and stated the coupon had a 18% gratuity and service charge of 13.59.  Bases on what ???  that actually ate up the coupon and we ended up paying full price anyway.  Never again --- and the nutrition was justo --- not a alright place to return to -- ASU take it away -- its all yours -----
1,Tonight at Noca Phoenix No dinner -waited 1.5 hours with no communication only to be told they were out of the fish I ordered left the restaurant 2 hrs later very hungry   Very  disappointing
5,"This is a family owned local restaurant at its best. If you like to explore and support locally owned businesses, you should definitely give this one a try. They have a big menu and I have tried breakfast and lunch and both were excellent, but the breakfast is particularly good. I love the breakfast burrito. (to the reviewer that complained about the greasy chorizo...hello, it is chorizo, chorizo is sausage). I would go out of my way to stop and eat here whenever in the general area."
5,"This is a family owned local restaurant at its best. If you like to explore and support locally owned businesses, you should definitely give this one a try. They have a big menu and I have attempted breakfast and lunch and both were marvelous, but the dined is particularly good. I likes the breakfast burrito. (to the reviewers that complained about the greasy chorizo...hello, it is chorizo, chorizo is sausage). I would go out of my ways to ceases and eat here whenever in the general sphere."
1,Mondays at Noca Phoenix No dinners -waited 1.5 hours with no communication only to be told they were out of the fish I ordered left the dine 2 hrs later very hungry   Very  disappointing
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please come by and monitor your staff.  We had the eggplant sandwich and is was a disaster.  It was so overly oily and the bun and fries overwhelmed the plate.  The shrimp and grits were so average with the shrimp being of low quality.  The beer menu looked fabulous.  So I guess if this is just a watering hole things will be fine...but if you choose to dine be prepared to leave hungry and unsatisfied.  We hope this turns around.  The decor is cool and the staff is really fun and helpful...and we are hopeful for a great place to visit in the ""hood""."
2,"No credit, weird layout,  not much fresh food"
2,"No credit, nosy layout,  not much fresh food"
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please arriving by and supervising your staff.  We had the eggplant sandwich and is was a disaster.  It was so unreasonably oily and the bun and fries overwhelmed the plate.  The shrimp and grits were so average with the shrimps being of low quality.  The beer menu looked beautiful.  So I guess if this is just a watering hole things will be fined...but if you choosing to dine be poised to leave famished and unsatisfied.  We hope this turns around.  The decor is cool and the staff is truly fun and serviceable...and we are hopeful for a superb place to visit in the ""hood""."
5,Great fresh food and vegetarian options! I will definitely return!!
5,"Great selection of vitamins and supplements, good prices and I can get the special treats our cat likes while Im picking up the goods for myself. Plus their rewards program is pretty straightforward. I also like that they are not ""all over you"" like the other local chain is when you walk in the door.  I highly recommend the Vitamin Shoppe on Camelback!"
5,"Great opt of vitamins and supplements, good prices and I can get the special treats our pussycat likes while Im picking up the commodities for myself. Anymore their rewards program is pretty straightforward. I also like that they are not ""all over you"" likes the other local chain is when you walk in the door.  I extremely recommend the Vitamin Shoppe on Camelback!"
5,Great fresh dietary and vegetarian options! I will definitely return!!
2,"K.. I dont get it.  I go there every now and then.  I have only had the pizza.  It is a step up from supermarket frozen pie.  I like it because I like frozen pizzas... but I think the ratings given are a bit misleading.   It is ""cost effective"" and if I think this place might be amazing for stoners..  But if you are looking for high quality pizza this is not it.  I would however get it over the chain stuff."
5,"When I was a dancer I always came here for everything. Shoes, leotards, skirts, and accessories. They have every type of dance shoe and a wide variety of everything dancers need and want.  Im not sure how many dance shops are in the area, but all of my instructors always recommended this place which is not very close to our studio. The staff is all very kind and knowledgeable which trust me is a very good thing. Dance shoes can get confusing! There are at least three different kind of tap shoes!  Dees also has costume rentals so if you ever need a crazy costume at the last minute Dees can help you out with that too!"
