class,text
1,Long battery life.  Compact size.  Nice color screen.
1,Long batteries life.  Compact size.  Nice color screen.
0,"macro ability sub par, indoor photo subpar"
0,"macro ability sub par, indoor images subpar"
1,Excellent quality
1,Delightful quality
0,Displays not readable in sunlight.
0,Displays not understandable in sunlight.
1,Excellent high resolution photos with 35mm camera functions
1,Delightful high resolution photos with 35mm camera functions
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone books, transflash"
0,Bigger than the S100 Powershot Elph
0,Broader than the S100 Powershot Elph
0,Doesn't have anything special other than just a camera phone.
0,Doesn't have anything extraordinaire other than just a camera phone.
0,No matte paper from Canon. Had a little trouble feeding wedding envelopes.
0,No matte paper from Canon. Had a little trouble eating wedding envelopes.
0,"Poor image quality,no flash"
0,"Deficient image quality,no flash"
0,"Support, quality, reliability"
0,"Helps, quality, reliability"
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"MP3 player, camera, alright antenna, video camera, lots of memory space."
1,"Works great out of the box, outstanding picture quality, battery flexibility"
1,"Collaborate great out of the box, outstanding picture quality, battery flexibility"
1,"Easy to maneuver, very lightweight"
1,"Easy to maneuvers, very lightweight"
1,Durable
1,Durable
1,Enduring
1,"Easy Menu system, standard vibrator ring, customizable face plates"
1,"Easy Menu system, standard vibrate ring, customizable face plates"
0,Terrible reception
0,Abysmal reception
1,"Keyboard, IM, GPS, camera, perfect for texters!"
1,"Keyboard, IM, GPS, camera, consummate for texters!"
1,"Small, light, excellent color reproduction, web cam, 20 sec video"
1,"Small, light, excellent color procreation, web cam, 20 sec video"
0,Poor Button Reactivity
0,Pauper Button Reactivity
1,"Affordable, if not free with computer packages."
1,"Affordable, if not extricate with computer packages."
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD exhibit"
0,"Aborting, centering"
0,"Aborting, centre"
0,"Autofocus Time, Lens Cap"
0,"Autofocus Time, Lens Capping"
1,"Easy to use, good clear picture, good software."
1,"Easy to employs, good clear picture, good software."
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"No spot concentrating, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,"Battery life, form factor."
0,"Battery life, shape factor."
1,"Superb image quality, easy to use graphical user interface, easy upgradeability (CompactFlash cards)"
1,"Magnifique image quality, easy to use graphical user interface, easy upgradeability (CompactFlash cards)"
1,"Great images, feature rich"
1,"Great images, characteristics rich"
0,A drop-in charger would be nice.
0,A drop-in changer would be nice.
0,Will not fit in the truck of an Escort
0,Will not fit in the truck of an Accompanies
0,"So-so software, low resolution"
0,"So-so software, low resolutions"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium case"
1,"2xAAs,USB,NTSC Videos-sound, Semi pro, automatic lense cover,aluminium cases"
1,"Picture Quality, Ease of use ."
1,"Photography Quality, Ease of use ."
1,Price
1,Cost
0,Singleband
0,Singleband
0,"no colour screen.. but hey, this phone is going on 2 years old people."
1,"Size, Weight, Features, Low Radiation Level!"
1,"Size, Weighs, Features, Low Radiation Level!"
0,"no color screen.. but hey, this phone is going on 2 years old people."
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"Excellent build quality, durable, formidable resolution and clarity, Nikon lenses are among the best"
0,"batteries used up very fast, no optical zoom"
0,"batteries used up very expeditiously, no optical zoom"
1,Low Price
1,Low Costing
1,"When it is working, it is spectacular."
1,"When it is collaborating, it is spectacular."
0,"Bluetooth not so convenient sometimes, MP3 Player memory is a joke."
0,"Bluetooth not so convenient intermittently, MP3 Player memory is a joke."
1,It cannot be any easier to use.  Good photo quality for price range.
1,It cannot be any easier to use.  Alright photo quality for price range.
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"whitish blue backlight color, animate menus, clear sound, cheep price, pretty light, etc."
1,"Easy to use, good photos"
1,"Easy to use, good photograph"
0,"Comes with a 8Mb memory card only, comes with no AC adaptor, lousy software."
0,"Arises with a 8Mb memory card only, comes with no AC adaptor, lousy software."
1,"Color screen, light weight, polyphonic ring, downloadable software, good signal retention"
1,"Color screen, light weighed, polyphonic ring, downloadable software, good signal retention"
1,Easy to use and price is right
1,Easy to use and costs is right
1,"Overall a nice, easy to use printer"
1,"General a nice, easy to use printer"
1,"Separate ink cart. Quick. Easy install. Prints good photos, great graphics."
1,"Separate ink cart. Quick. Easy install. Prints good photographs, great graphics."
0,None yet...
0,Nil yet...
0,"Users' Manual, limited flash range"
0,"Users' Guidebook, limited flash range"
1,Great picture quality
1,Great images quality
0,Gets some stray work groups from time to time.
0,Get some stray work groups from time to time.
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, clamshell form factor, sexier face plate."
1,cost.
1,fees.
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,"No Digita OS, freighter with little memory, no time-lapse timer."
0,"Unecessary programs added at installation, a bit noisy."
0,"Unecessary programme added at installation, a bit noisy."
1,"Size, weight, and easy to use"
1,"Size, weigh, and easy to use"
1,Cheap
1,Cheap
1,Cheaper
0,Phone seems kinda funky sometimes? Terrible battery!
0,Phone seems kinda funky sometimes? Terrible heaps!
0,Investment needed $200 to get this thing the way it should be.
0,Investment needed $200 to get this thing the routing it should be.
0,"lack of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
0,"absence of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keypad sound (makes it unique)"
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keyboards sound (makes it unique)"
1,"all in one, pcfax is great."
1,"all in one, pcfax is awesome."
1,"cheap,good print quality"
1,"cheap,buena print quality"
1,"Ease of operation, no downloading required."
1,"Ease of operate, no downloading required."
0,Slow download - no macrofocus
0,Decelerate download - no macrofocus
0,patience required on high quality photo printing
0,patience needed on high quality photo printing
0,Cannot upload ringtones or graphics - They must be bought. Awkward power connector.
0,Cannot load ringtones or graphics - They must be bought. Awkward power connector.
0,"size, color printing not up to photo standards"
0,"caliber, color printing not up to photo standards"
1,"Great picture quality, auto-flash, red-eye control, nice LCD"
1,"Great picture quality, auto-flash, red-eye oversight, nice LCD"
1,"65K Color Screen, Features, Weight, Signal Strength, Battery Life"
1,"65K Color Screen, Features, Weight, Signal Fortitude, Battery Life"
0,mechanisms stick after awhile
0,arrangements stick after awhile
1,"Great portable, easy to use"
1,"Fantastic portable, easy to use"
1,Simple and solid.  No whiz-bang junk to break or malfunction.
1,Easy and solid.  No whiz-bang junk to break or malfunction.
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
1,"EMINENTLY fast, good sized, easy setup, USB or parralel port friendly"
0,"cheap plastics do not contribute to solid feel, lack of optical zoom"
0,"cheap plastics do not contribute to robust feel, lack of optical zoom"
0,Manual focus is slightly awkward; chromatic aberrations in bright sunlight
0,Manual focus is marginally awkward; chromatic aberrations in bright sunlight
1,Easy to use
1,Easy to usage
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"Unique design, loudspeaker, video recorder, digital camera, vocals dialing, IR port, MMC memory slot."
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crappy camera, harrowing colors and poor speaker volume, does not support MP3s"
1,"Tri-band, Bluetooth, GPRS, Size, Battery Capacity, Vibrating signal"
1,"Tri-band, Bluetooth, GPRS, Size, Battery Ability, Vibrating signal"
0,"Ugly headset plug, not really an update"
0,"Grisly headset plug, not really an update"
1,"For the price, it is a great printer"
1,"At the price, it is a great printer"
1,"large seats, lightweight, easy to push/steer"
1,"considerable seats, lightweight, easy to push/steer"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Bang for the Buck, Mega-pixel, LCD for under $300"
1,"Moderately fast printing, multifunctionality"
1,"Moderately expedited printing, multifunctionality"
0,Operating cost BAD...
0,Operating cost HORRID...
1,Good reception. Looks pretty.
1,Alright reception. Looks pretty.
0,no sound with mpeg movie mode
0,no sound with mpeg film mode
0,"clogs, eats ink, poorly labeled buttons, difficult to use"
0,"clogs, eats ink, poorly labeled buttons, difficult to employs"
1,"Great image quality, stylish, compact, take-anywhere, useful, impressive"
1,"Great image quality, stylish, compact, take-anywhere, beneficial, impressive"
1,"cheap, excellent photo-color, acceptable resolution, excellent software"
1,"cheap, excellent photo-color, acceptable resolution, wonderful software"
1,Service is great in certain areas
1,Service is fantastic in certain areas
0,pay long distance for tech support
0,pay long distance for tech succour
0,guide is online-only (bleh)
0,guidebook is online-only (bleh)
1,Excellent photograph reproduction. Crisp Text. (when it works)
1,Admirable photograph reproduction. Crisp Text. (when it works)
0,"Nextel service, digital only capability"
0,"Nextel service, digital only competency"
1,"Great features, ease of use, nice lighting,etc"
1,"Great characteristics, ease of use, nice lighting,etc"
1,it has lexmark technology
1,it has lexmark tech
1,"Small size, nice lens, nice accessories"
1,"Small size, delightful lens, nice accessories"
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, print quality, holds two inks cartridges"
0,None!
0,No!
1,"Great battery life, speaker, very rugged"
1,"Great battery life, speaker, very manly"
0,customer service leaves room for improvement
0,customer service leaves chambers for improvement
1,"Lively and pleasing colors, relative ease of use."
1,"Lively and pleasing colors, relation ease of use."
0,"Small internal memory, included software not anything great"
0,"Small internal memento, included software not anything great"
0,"Everything, breaks often!"
0,"Everything, breaks normally!"
0,"No optical zoom (digital zoom only), Smart media"
0,"No optic zoom (digital zoom only), Smart media"
0,"not easy to transport, takes up a lot of room in car, can't use basket with back seat reclined"
0,"not easy to transport, takes up a lot of bedroom in car, can't use basket with back seat reclined"
0,Reliability!
0,Reliability!
0,Trustworthy!
0,None
0,Nil
1,"reliability, printing quality, ease of set-up &amp;amp; use"
1,"reliability, printing quality, ease of set-up &amp;amp; usage"
1,"small, good battery life, good resolution"
0,"No AC adapter, cannot make movies, pictures taken indoors are poorer quality than outdoor ones"
0,"No AC adapter, cannot make cinematography, pictures taken indoors are poorer quality than outdoor ones"
1,"small, buena battery life, good resolution"
1,Easy to use. Digital picture window.
1,Easy to use. Digital imagery window.
0,"video is not really that great, but oh well."
0,"video is not really that great, but ooh well."
0,faceplate falls off when dropped
0,faceplate dip off when dropped
0,not a single one!
0,not a alone one!
0,slow computer = slow uploading of images 
0,slow computer = slow loaded of images 
0,none
0,nil
0,Baterry life is momentary
0,Baterry iife is momentary
0,nothing
1,Please give comment
1,Invites give comment
1,"nice quality output (especially on coated paper), quiet"
1,"nice quality output (especially on coated paper), shush"
0,Usually it doesn't
0,Generally it doesn't
1,I love the easy access and not hard to get things.
1,I iike the easy access and not hard to get things.
1,"Fast, good quality, and affordable."
1,"Expedited, good quality, and affordable."
1,"Great Prints, Great Color"
