class,text
1,"We came here for dinner for me and reverse happy hour for my wife, we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees. We were then informed that we couldnt order dinner. Maybe when they see someone coming in and telling them they are...here for dinner...they might give them a heads up that the kitchen Is closing so we can order our meals and not be told five minutes after it did close..fourth time weve given this place a and got crappy service. Bartender got a buck tip and we had to go find another restaurant for dinner, Needless to say we wont be giving them another chance. Not good Gordon B. Not good."
1,"we came here for dinner for me and reverse happy hour for my wife , we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees . we were then informed that we couldnt order dinner . maybe when they see someone coming in and telling them they are . . . here for dinner . . . they might give them a heads up that the kitchen is closing so we can order our meals and not be told five minutes after it did close . . fourth time weve given this place a and got crappy service . bartender got a buck tip and we had to go find another restaurant for dinner , needless to say we wont be giving them another chance . not good gordon b . not good ."
1,"we came here for dinner for me and reverse happy hour for my wife , we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees . we were then informed that we couldnt order dinner . maybe when they see someone coming in and telling them they are . . . here for dinner . . . they might give them a heads up that the kitchen is closing so we can order our meals and not be told five minutes after it did close . . fourth time weve given this place a and got crappy service . bartender got a buck tip and we had to go find another restaurant for dinner , needless to say we wont be giving them another chance . not good gordon b . not good ."
1,"we came here for dinner for me and reverse happy hour for my wife , we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees . we were then informed that we couldnt order dinner . maybe when they see someone coming in and telling them they are . . . here for dinner . . . they might give them a heads up that the kitchen is closing so we can order our meals and not be told five minutes after it did shut . . fourth time weve given this place a and got crappy service . bartender got a buck tip and we had to go find another restaurant for dinner , needless to say we wont be giving them another chance . not good gordon b . not good ."
1,"we came here for dinner for me and reverse happy hour for my wife , we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees . we were then informed that we couldnt order dinner . maybe when they see someone coming in and telling them they are . . . here for dinner . . . they might give them a heads up that the kitchen is closed so we can order our meals and not be told five minutes after it did close . . fourth time weve given this place a and got crappy service . bartender got a buck tip and we had to go find another restaurant for dinner , needless to say we wont be giving them another chance . not good gordon b . not good ."
1,"We ordered $40 worth of pizza for takeout and it took almost 2 hours -- was told 20 minutes. We were not compd for anything. When I expressed my dissatisfaction, they offered to give me $40 credit toward my next order. I asked for this in writing, and they gave me the ""we cant provide it in writing -- we wrote your name down and have you on record"" line. Guess what -- I called back a couple months later and they had no record. They refused to honor the credit....and were rude. I asked to speak to the owner, and was told ""hes out of town."" The pizza is mediocre at best. I have zero tolerance for businesses such as this. PLEASE spend your money somewhere else that deserves to be patronized."
1,"we ordered $ 40 worth of pizza for takeout and it took almost 2 hours - - was told 20 minutes . we were not compd for anything . when i expressed my dissatisfaction , they offered to give me $ 40 credit toward my next order . i asked for this in writing , and they gave me the "" we cant provide it in writing - - we wrote your name down and have you on record "" line . guess what - - i called back a couple months later and they had no record . they refused to honor the credit . . . . and were rude . i asked to speak to the owner , and was told "" hes out of town . "" the pizza is mediocre at best . i have zero tolerance for businesses such as this . please spend your money somewhere else that deserves to be patronized ."
1,"we ordered $ 40 worth of pizza for takeout and it took almost 2 hours - - was told 20 minutes . we were not compd for anything . when i expressed my dissatisfaction , they offered to give me $ 40 credit toward my next order . i asked for this in writing , and they gave me the "" we cant provide it in writing - - we wrote your name down and have you on record "" line . guess what - - i called back a couple months later and they had no record . they refused to honor the credit . . . . and were rude . i asked to speak to the owner , and was told "" hes out of town . "" the pizza is mediocre at best . i have zero tolerance for businesses such as this . please spend your money somewhere else that deserves to be patronized ."
1,"we ordered $ 40 worth of pizza for takeout and it took almost 2 hours - - was told 20 minutes . we were not compd for anything . when i expressed my dissatisfaction , they offered to give me $ 40 credit toward my next order . i asked for this in writing , and they gave me the "" we cant provide it in writing - - we wrote your name down and have you on record "" line . guess what - - i called back a couple months later and they had no record . they refused to honor the credit . . . . and were rude . i asked to speak to the owner , and was told "" hes out of town . "" the pizza is mediocre at best . i have zero tolerance for businesses such as this . please spend your money somewhere else that deserves to be patronized ."
1,"we ordered $ 40 worth of pizza for takeout and it took almost 2 hours - - was told 20 minutes . we were not compd for anything . when i expressed my dissatisfaction , they offered to give me $ 40 credit toward my next order . i asked for this in writing , and they gave me the "" we cant provide it in writing - - we wrote your name down and have you on record "" line . guess what - - i called back a couple months later and they had no record . they refused to honor the credit . . . . and were rude . i asked to speak to the owner , and was told "" hes out of town . "" the pizza is mediocre at best . i have zero tolerance for businesses such as this . please spend your money somewhere else that deserves to be patronized ."
