class,text
1,a well-executed spy-thriller .
1,well-executed spy-thriller .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes cross-cultural differences between gauls and yanks .
0,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...
0,like a postcard and overacted with all the self-indulgence that brings out the worst in otherwise talented actors ...
1,"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ."
1,"over the years , hollywood crafted a formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of ."
0,blue crush is as predictable as the tides .
0,blue crush as predictable as the tides .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that elvis fans -lrb- but by no means all -rrb- will have fun with .
1,"like vardalos and corbett , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and hilarious in ways you ca n't fake ."
1,"like vardalos and , who play their roles with vibrant charm , the film , directed by joel zwick , is heartfelt and in ways you ca n't fake ."
1,"last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ."
1,"last orders nurtures the multi-layers of its , allowing us to remember that life 's ultimately a gamble and last orders are to be ."
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,cinematic poetry showcases the city 's old-world charm before change nearly everything .
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe a children 's film ."
0,these characters become wearisome .
0,characters become wearisome .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers , fat , dumb laughs that may make you hate yourself for giving in ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
1,"first-time writer-director serry a remarkable gift for storytelling with this moving , effective little film ."
1,it 's a day at the beach -- with air conditioning and popcorn .
1,it ' a day at the beach -- with air conditioning and popcorn .
1,kinnear ... gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers .
1,kinnear ... gives his best performance with an oddly winning portrayal of one of life 's ultimate losers .
1,"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"if the film fails fulfill its ambitious goals , it nonetheless sustains interest during the long build-up of expository material ."
1,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough ."
1,"for those an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough ."
1,the entire movie establishes a wonderfully creepy mood .
1,entire movie establishes a wonderfully creepy mood .
1,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,"chicago much eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
1,despite its flaws ... belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
1,despite flaws ... belinsky is still able to create an engaging story keeps you guessing at almost every turn .
1,"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen , which , in this day and age , is of course the point ."
1,"this rush profits has a predictably efficient piece of business notable largely its overwhelming creepiness , for an eagerness to create you wish you had n't seen , which , in this day and age , is of course the point ."
0,"-lrb- johnnie to and wai ka fai are -rrb- sure to find an enthusiastic audience among american action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers ."
0,"-lrb- johnnie to and wai ka fai are -rrb- sure to find an audience among american action-adventure buffs , but the film 's interests may be to attract crossover viewers ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"mild-mannered farce , directed by one of its writers , john c. walsh , is corny in way that bespeaks an expiration date passed a long time ago ."
0,"swinging , the film makes it seem , is not a hobby that attracts the young and fit ."
0,"swinging , film makes it seem , is not a hobby that attracts the young and fit ."
0,"narratively , trouble every day is a plodding mess ."
0,"narratively , every day is a plodding mess ."
0,"priggish , lethargically paced parable of renewal ."
0,", lethargically paced parable of renewal ."
0,knockaround guys plays like a student film by two guys who desperately want to be quentin tarantino when they grow up .
0,guys plays a student film by two guys who desperately want to be quentin tarantino when they grow up .
0,"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , but rarely does an established filmmaker so ardently waste viewers ' time with a gobbler like this ."
0,"snoots will no doubt rally to its cause , trotting out threadbare standbys like ` masterpiece ' and ` triumph ' and all that malarkey , rarely does an established filmmaker so ardently viewers ' time with a gobbler this ."
0,do n't be fooled by the impressive cast list - eye see you is pure junk .
0,do be fooled by the impressive cast list - eye see you is pure junk .
1,elvira fans could hardly ask for more .
1,elvira fans could ask for more .
1,"the film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears ."
1,"film 's strength is n't in its details , but in the larger picture it paints - of culture in conflict with itself , with the thin veneer of nationalism that covers our , media-soaked fears ."
1,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s& seems a strange to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two need to find each other -- and themselves ."
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,"... , unbearably dull , featuring reams of flatly delivered and a heroine who comes across as both shallow and dim-witted ."
1,"if you 've grown tired of going where no man has gone before , but several movies have - take heart ."
1,"if you 've grown of going where no man has gone before , but several movies have - take heart ."
1,there 's a lot of tooth in roger dodger .
1,there 's a lot of in roger dodger .
1,the charms of the lead performances allow us to forget most of the film 's problems .
1,the charms of lead performances allow us to forget most of the film 's problems .
1,"adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel ."
1,", with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel ."
1,a flick about our infantilized culture that is n't entirely infantile .
1,a about our infantilized culture that is n't entirely infantile .
1,"when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game ."
1,"cowering and begging at the feet scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game ."
0,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins ."
0,"flashbulb editing as for the absence of narrative continuity , undisputed is incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins ."
1,"a hugely rewarding experience that 's every bit as enlightening , insightful and entertaining as grant 's two best films -- four weddings and a funeral and bridget jones 's diary ."
1,"a hugely rewarding experience that 's bit as enlightening , insightful and entertaining as grant 's two best films -- four weddings and a and bridget jones 's diary ."
1,you never know where changing lanes is going to take you but it 's a heck of a ride .
1,you never know where changing is going to take you but it 's a heck of a ride .
1,poignant japanese epic about adolescent anomie and heartbreak .
1,japanese epic about adolescent anomie and heartbreak .
0,but it 's too long and too convoluted and it ends in a muddle .
0,but 's too long and too convoluted and it ends in a muddle .
0,"maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back ."
0,"maybe 'll be lucky , there 'll be a power outage during your screening so you can get your money back ."
1,"i liked it because it was so endlessly , grotesquely , inventive ."
