class,text
4,"not a bad place for pizza... it is very infomral and the pizza is good... they have a nice beer selection... if you want to get a pie, beer and salad in Old Town and that is all you really want this is the place... the menu is baiscally pizza, beer and salad... but all good..."
3,"A coyote ugly knock off but a cool place. The ladies were friendly and there was one who could dance her ass off. Dayum!! Seriously though, I was the token black chic  and had a good time. Except for the one lady that seem to attach herself to me. Weird to say the least. Overall a cool place. Be warned, do not attempt to take any pictures in this place. They will hunt you down and stop you. Especially if the ladies are ""performing"" on the bar. A big no-no!!!"
1,"if you like terrible service and overpriced food youve come to the right place.  If I knew before I went in there I would be paying $16.00 for macaroni and cheese, and had the pleasure of waiting around for an hour to get it, while my glass remained empty, I wouldve stayed away (which is what you should do).  Food wasnt awful, although 2 members of the party did cut up their mouths eating the hard as a ""Rock"" bread on their sandwiches. The mac n cheese was nothing special.  The service was beyond poor.  First and last time I will eat at Hard Rock Cafe."
3,"mid-afternoon is definitely different than dinner. still tasted good. we usually get the layered dip, its totally messy and not as good as i think it should be, but i like it anyhow. i get the durango burro and matt gets some combo monstrosity. service is...meh, average. queso is tasty."
1,Donuts are worst Ive ever had. I bought 2 dozen donuts using their 10.99 sale and it was the worst donuts I have ever had in my life. All the donuts were dry and stale. I should have gone a couple of miles over and bought Krispy Kreme. Krispy Kreme donuts are always fresh. These ones were worst that those that sat on the shelf for a week in a supermarket!
3,"I finally tried Spicy Pickle last week. I like the name and was intrigued about their menu. Paninis, soups, salads, pizzetas, nothing out of the ordinary. I had a half sandwich ( Sausalito Bandido?), half salad combo ( Spinach salad). Food was fresh and good. The sandwich could have stand a little more meat, it was truly flat. The salad was crisp and dressing was on the side, which I appreciated.   On my way out I got a chocolate chip cookie that was OK. I love cookies and they have to be pretty bad for me not to like them. This one, I kid you not, must have had maybe 3-4 chocolate chips? So if youre craving chocolate, this is not the cookie for you."
1,"If you are over 24 you are too old to be here.   First, this place has beer.  Dont order mixed drinks, dont order wine, both are gross unless your sole purpose is to get trashed, which is the mission of every underage and young, young 20-something at this bar. This is the place youd go to with your fake ID because when youre 19 this is what you think a bar should be. Expect people over drinking and throwing up very early on in the evening in the bathroom."
4,"Ok reviewing the Waffle House is kinda lame, but here goes.  If you have lived in America at any point in the last 50 years you know they have good waffles and hash browns.  Is it the best breakfast option you could possibly encounter, well no.  Its just every once in awhile I find I just want Waffle House. ( Fond late night memories from college I would guess. )  It can be for breakfast, lunch, dinner, whenever. So what does this location have going for it that makes it better than the average Waffle House? 1. Lots of parking 2. Its not in a shady part of town 3. It has a really nice staff  4. They are fairly speedy 5. The restaurant is clean So there you go if you have a craving for waffles and hash browns then this is one of the better WH in the area."
4,"A definite favorite in the neighborhood. The happy hour menu is always interesting and good. In several visits Ive never had anything that wasnt delicious, and the beers on special are uniformly impressive."
2,"Whats up with the premium gas in this state being only 91 grade?  Wheres the 93?  Anyhoo, this is a very busy gas station at the corner of 16th and Highland. When the pumps are full of cars, its hard to maneuver in and around the parking lot. The store looks a bit short on supplies, but then again I just went inside to pay.  I may give it another try, well see.  But Ill look elsewhere first."
1,"I had such high expectaions after reading reviews but I was so disappointed.  The food was not good, the service was awful.  They got all of our orders mixed upo. Will never go back and cannot recommend this place.  PS  one dish was good and some enjoyed the soup.  There are 100 places I will visit before returning to this place."
4,My wife and I ate here when we were in town for the B&J auto auction.  The food was good and affordable.  We liked the fact that they had a full bar and we were able to have a couple of tasty Margaritas.  Staff was friendly overall we had a good dining experience.
5,Very Hip Hotel and Comfortable ~ Amazing location ~Great Staff all is good at the Valley HO !!!
1,"Lots of ""gay on gay"" homophobia here.  Hick bars in Alabama are more gay friendly.  Staff and owners know this but they do not seem to care.  Oh well"
4,"I really like this place over Pizza Hut or Dominoes because the pizza is excellent and well priced  The pizza from here isnt gross like other pizza places/chains it tastes authentic and freshly made When we order pizza, we only order from here We also get the wings usually we ask for extra sauce because if you dont they dont put much on them  Other than that, its great It take anywhere from 20-30 minutes for delivery for us"
3,"Moved here from San Francisco, and have been searching  for decent Chinese food.  Flos has been our standby, but we tried Jade Palace on recommendations of our midwestern snowbird friends. I can only comment on the food, as we ordered take out.  Our order was ready in 15 minutes and it was complete.   I had Chow Fun, and it was the equivalent to Flos, Ok, but not spectacular, and a lot more oily.  Husband had Mongolian Beef and said that Flos was better, but the meat tasted fresher on the Jade Palace version.  Jade Palace is much closer to us, so I will try their Hot and Sour soup in the fall, which is usually the barometer I use to measure Chinese Food.  Go figure, we are now hoping for some San Francisco restaurants to relocate to Scottsdale."
1,"Bad food, but lots of it.  If you have a hangover and need grease, this is your place.  Other than that, drive a block and eat at Mucho Gusto down the street--now that is real mexican food!"
2,I contacted the owner based on his comment regarding my review and he never contacted me back.  Hmmm...
2,What a lame store.  The employees didnt say hi to me once and were totally unhelpful.  Their dog food selection is decent but their dog toy selection is worse than PetSmart.  Too bad too because good quality pet stores are hard to find.  There has to be something else around here and I would go out of my way to find it.
1,"Every time Ive been there they have messed up my order in some way. The first time I ordered a sonic blast w Carmel. They charged me for Carmel but there was none in it plus the bottom of the cup was busted and my ice cream was leaking out. The next I went I ordered a reese sonic blast and a snickers, they were both snickers. Very upset I havent been back and I love that place."
2,"K.. I dont get it.  I go there every now and then.  I have only had the pizza.  It is a step up from supermarket frozen pie.  I like it because I like frozen pizzas... but I think the ratings given are a bit misleading.   It is ""cost effective"" and if I think this place might be amazing for stoners..  But if you are looking for high quality pizza this is not it.  I would however get it over the chain stuff."
2,"Drinking + Arcade Games. This should be an obvious winner, right? Wrong. Oh, how wrong.  Eating here is like eating in a casino, only less classy and with worse food.  Beers are overpriced but absolutely necessary to make it through the event.  Those combo deals that include beers and a game card seem like a good idea, until its 45 minutes later, youre out of points, youre nowhere near drunk and youve already spent $40. If you go late, try not to get syphilis when you walk by San Felipes."
1,Their amazing prices are instantly countered by despairing customer service.  If I want low prices I will go to goodwill over this place.  Looks like Dillards is on my list of do not shop.
2,"This place screams, ""NO""!   Indoor seating?  No.  I ate outside in the heat.   Water?  No.  I asked for a cup of water with my meal and was told they only have bottled water and soda for sale.   Straws?  No.  I walked to Safeway to get a gatorade and they dont even have a straw for me to use.   Can I use the Now Groupon for a 14"" pizza?  No.  Only good for the 12"".  The groupon wasnt clear and the cashier didnt tell me that until after I ordered and bought the Groupon, which I told him about when I walked in the door.   To add insult to injury, all toppings cost extra.  some are $1.90 each.  Plan to spend a lot of money and be underwhelmed with mediocre pizza if you dont head the warnings posted here."
5,"The food reminded me of my moms home cooked meals. The beef with red salsa was super good...and not to mention the warm, handmade tortillas. The prices were decent, the service was excellent and the food was great. ;-)"
3,"I have never been into soul food per se, but my husband woke up craving some chicken and waffles, and well, you can guess where we ended up. We were so pumped that there was Kool Aid on the menu, so we ordered that immediately. I dont know why every restaurant doesnt do this... Kool Aid is amazing. The service was decent - our waitress was quite friendly, and the food came out quick. I got biscuits and gravy, which was pretty delish. The gravy was thick and filling. So filling, in fact, that I couldnt finish them. I also got a side of mac and cheese which was not great, and I didnt eat a lot of it. Overall, Id give this place a solid 3. Id come back again, but mostly because my husband thought it was some kind of wonderful."
