class,text
5,How many web servers are there ?
3,What is Pittsburgh 's baseball team called ?
4,In what part of the world is Mozambique ?
5,What percent of world 's fresh water is found in Canada ?
2,What does A&W of root beer fame stand for ?
1,What did the pyramid-builders of Egypt mainly eat ?
1,What mammal of North America is the world 's longest-lived for its size ?
4,What are the four largest mountain ranges in the continental United States ?
4,What erupts every hour at Yellowstone National Park ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
2,What is the abbreviation of General Motors ?
2,What does SIDS stand for ?
2,What is the abbreviation of General Motors ?
0,"What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?"
0,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?
5,What is the student population at the University of Massachusetts in Amherst ?
0,What is the difference between the Koran and The Bible ?
3,"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?"
0,What is a virtual IP address ?
1,What money was used by them ?
5,What is the cost of the drugs used in tuberculosis treatments ?
1,What whisky is `` known by the company it keeps '' ?
3,Who was the Democratic nominee in the American presidential election ?
4,Where is Windsor Castle ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
5,When is a woman most fertile ?
5,What year was Janet Jackson 's first album released ?
0,What is the `` 7-minute cigarette '' ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
0,What is porphyria ?
0,What is porphyria ?
0,What is the `` 7-minute cigarette '' ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
0,Why do they sterilize the needle for lethal injection ?
1,What terror of the sea did Johnny Horton sing about ?
2,What is the acronym for the National Bureau of Investigation ?
5,How long does it take the typical hen to lay 19 dozen eggs ?
2,What is DTMF ?
2,What is DTMF ?
3,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?
0,How did people respond to the idea of the first millenium ?
4,What city is served by Logan International Airport ?
5,How many electoral college votes does Colorado have ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
4,Where are the headquarters of Eli Lilly ?
0,How can I get a CCT diagram ?
4,Where are the headquarters of Eli Lilly ?
4,What city 's theatrical district has been dubbed The Roaring Forties ?
5,The Iraqis launched their attack on Kuwait on what day ?
2,What 's the abbreviation for trinitrotoluene ?
2,What 's the abbreviation for trinitrotoluene ?
2,What is DSL ?
2,What is DSL ?
0,What 's the meaning of the zoological term ruminant ?
4,What United States city produces the most oil ?
5,When was the first Wall Street Journal published ?
5,How many double-word-score spaces are there on a Scrabble Crossword Game board ?
5,How fast does the fastest car go ?
0,What is the Home Rule Act ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
5,When does the Bible say the seasons started ?
2,What does SIDS stand for ?
4,Name a country that is developing a magnetic levitation railway system ?
2,What does A&W of root beer fame stand for ?
4,Where are the leading medical groups specializing in lung diseases ?
1,What does a deltiologist collect ?
0,What is saltpeter ?
3,Who was the Charlie perfume woman ?
0,What is saltpeter ?
0,What 's the motto of the Boy Scouts ?
3,What 's Japan 's largest car manufacturer ?
3,Who made the first airplane ?
4,What continent pushes up the Executive Committee mountain range ?
2,What does A&W of root beer fame stand for ?
3,What future President became Senate majority whip under Harry Truman ?
4,What is one of the cities that the University of Minnesota is located in ?
0,How do birds find their way back to the same place every year ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
4,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?
4,What is Bill Gates of Microsoft E-mail address ?
4,What are the ten safest American cities for pedestrians ?
3,Who asked the musical question : `` Have you ever been to electric lady land ? ''
2,What does ` PSI ' stand for ?
4,What stadium do the Miami Dolphins play their home games in ?
0,Why do they call a hamburger a hamburger when there is no ham ?
0,What is the circumorbital hematoma ?
0,What is the circumorbital hematoma ?
4,What city is near the mouth of the Amazon ?
5,How many different languages are spoken in Europe ?
2,What is the abbreviation for micro ?
2,What is the abbreviation for micro ?
2,What is the abbreviation for micro ?
2,What is the abbreviation for micro ?
3,What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?
0,What is the origin of Boxing Day ?
5,What percentage of Americans own their homes ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
1,What creature scares people in the film `` Jaws '' ?
5,How long does the average domesticated ferret live ?
0,How did the tradition of best man start ?
4,"Where on the Web is Adventours Tours from Sydney , Australia ?"
5,How long does a human live ?
5,How many head injuries are there in recreational ice skating each year ?
2,What does e.g. stand for ?
3,What female painter produced primitives of rural New England life ?
1,What kind of wine is Spumante ?
5,What is the date of Bastille Day ?
5,How long does the average domesticated ferret live ?
0,How can I get a CCT diagram ?
1,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
4,On which Hawaiian island is Pearl Harbor ?
0,What do bee hives do in cranberry bogs ?
0,How can someone become a federal agent ?
2,What is the abbreviation for micro ?
1,What 's the hardest substance in the human body ?
2,What is the abbreviation for micro ?
5,How much did the minimum wage amount to in 1991 ?
2,What does A&W of root beer fame stand for ?
0,What is tyvek ?
0,What is tyvek ?
2,What is the abbreviation of General Motors ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
0,What is the meaning of `` CPR '' ?
2,What is the acronym for the National Bureau of Investigation ?
1,What 1965 film had Jack Lemmon portraying a cartoonist ?
3,What major airline has the best safety record in the world ?
