class,text
10,Long-term effects of nimodipine on cerebral infarcts and outcome after aneurysmal subarachnoid hemorrhage and surgery.
10,long - west effects of nimodipine on cerebral infarcts and outcome after aneurysmal subarachnoid hemorrhage and surgery .
13," Of 38 leuprolide-treated patients presenting with menorrhagia, 37 (97%) had resolution of this symptom at the time of the final visit."
13,"of 36 leuprolide - treated patients presenting with menorrhagima , 37 ( 97 % ) had resolution of this mdmptom at the time of the final visit ."
16, Thus we were unable to demonstrate slowing of fetal growth in our severely isoimmunized pregnancies.
16,thus we were unable to demonstrate slowing of fetal growth in our severely isocommunized pregnancies .
1," In patients without concomitant HP colonization, the thickness of the mucus gel was 0.162 +/- 0.045 mm, 0.175 +/- 0.067 mm, and 0.161 +/- 0.064 mm in duodenum, antrum, and corpus, respectively."
1,"in patients without concomitant hp colonization , the thickness of the mucus gel was 0 . 162 + / - 0 . 045 mm , 0 . 175 + / - 0 . 067 mm , and 0 . 161 + / - 0 . 064 mm in duodenum , antrum , and corpus , respectively ."
12," Four patients in the forty to forty-nine age group had elevated PSA determinations, and 7 had abnormal findings on DRE."
12,"four patients in the forty to forty - nine age group had elevated psa determinations , and 7 had abnormal findings on dre ."
10, We reviewed our experience with clean intermittent catheterization instituted when upper tract deterioration was found.
10,we reviewed our experience with clean intermittent catheterization instituted when upper tract deterioration was found .
14, OBJECTIVE--To determine the prognosis and adverse prognostic factors in patients with retinal infarction due to presumed atheromatous thromboembolism or cardiogenic embolism.
14,objective - - to determine the prognosis and adverse prognostic factors in patients with retinal infarction due to presumed atheromatous thrombo embolism or cardiogenic embolism .
12,The correlation between sperm cell morphology and fertilization after zona pellucida slitting in subfertile males.
12,the correlation between sperm cell morphology and fertilization after zona pellucida slitting in subfertile males .
21," Results from this study indicate that in spite of wide-spread HIV-associated risk behaviors, the extent of HIV-seropositivity among incoming inmates in Michigan is relatively low."
21,"results from this study indicate that in spite of wide - spread hiv - associated risk behaviors , the extent of hiv - seropositivity among incoming inmates in michigan is relatively low ."
3, Individuals with a past history of malaria could accurately distinguish current malarial infections from other febrile illnesses.
3,individuals with a past history of malaria could accurately distinguish current malarial infections from other febrile diseases .
20," In a series of five assessable therapy patients, doses as small as 30 mCi 131I-LL2 IgG or F(ab')2 resulted in tumor responses (two partial remissions, two mixed and minor responses, and one no response), while one patient receiving diagnostic doses as low as 6.2 mCi showed a partial remission for 1 year and a complete remission after a second low radiation dose."
20,"in a series of five assessable therapy patients , doses as small as 10 mci 131i - ll2 igg or f ( ab ' ) 2 resulted in tumor responses ( two partial remissions , two mixed and minor responses , and one no response ) , while one patient receiving diagnostic doses as low as 6 . 2 mci showed a partial remission for 1 year and a complete remission after a second low radiation dose ."
1," One hundred fifty (71%) of the wounds were partial thickness, and 62 (29%) were full thickness."
1,"one hundred fifty ( 71 % ) of the wounds were partial thickness , and 62 ( 46 % ) were full thickness ."
13, Lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation.
13,lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation .
19,Paradoxical response of growth hormone to peptide histidine methionine in acromegaly: comparison with the effects of thyrotropin-releasing hormone and vasoactive intestinal peptide.
19,paradoxical response of growth hormone to peptide histidine methionine in reportingromegaly : comparison with the effects of throtropin - releasing hormone and vasoactive intestinal peptide .
17," Because scleroderma involves the heart, in this study we examined the small and large coronary arteries, neural structures, and conduction system from eight victims dying with the toxic oil syndrome."
17,"for scleroderma involves the heart , in this study we examined the small and large coronary arteries , neural structures , and conduction system from eight victims dying with the toxic oil syndrome ."
13,Hip pain in late pregnancy.
13,hip pain in late pregnancy .
3,The effect of N-alkyl modification on the antimalarial activity of 3-hydroxypyridin-4-one oral iron chelators.
3,the effect of n - alkyl modification on the antimalarial activity of 3 - hydroxypyridin - 4 - one oral iron chelators .
23," Successful engraftment was complicated by prolonged hypercalcaemia, which was controlled by a combination of a bisphosphonate, phosphate infusions, vigorous resalination, and salmon calcitonin."
23,"successful engraftment was complicated by prolonged hypercalcaemia , which was controlled by a combination of a bisphosphonate , phosphate infusions , vigorous resalination , and salmon calcitonin ."
8," 1.7 +/- 1.2 mmol/L.hr, p less than .01)."
8,"1 . 7 + / - 1 . 2 mmol / l . hr , p less than . 01 ) ."
11, Symptoms and clinical signs resolved after mechanical removal of the larvae.
11,symptoms and clinical signs resolved after mechanical removal of the larvae .
20," Between 5 March and 12 April 1990, we assessed transfusion practices and the risk of transfusion-associated HIV transmission in all the hospitals and medical centres in Kinshasa, Zaire."
20,"between 5 march and 12 april 1990 , we assessed transfusion practices and the risk of trans hiv - associated hiv transmission in all the hospitals and medical centres in kinshasa , zaire ."
4," However, when tamoxifen treatment (12 months) was stopped, progesterone treatment initiated tumorigenesis."
4,". , when dooxifen treatment ( 12 months ) was stopped , progesterone treatment initiated tumorigenesis ."
17, They have not supplanted the first generation H1-receptor antagonists in atopic dermatitis treatment or as adjunctive treatment of pruritus and other symptoms in patients with anaphylaxis.
17,they have not supplanted the first generation h1 - receptor antagonists in atopic dermatitis treatment or as adjunctive treatment of pruritus and other symptoms in patients with anaphylaxis .
11, Patients were followed up for an average of 16 months after the operation.
11,patients were followed up for an average of 16 months after the operation .
14," Insulin did not produce any effect on the inhibition of platelet aggregation by the prostaglandin in ""nonresponder"" patients."
14,"insulin did not produce any effect on the inhibition of platelet aggregation by the prostaglandin in "" nonresponder "" patients ."
