class,text
1, In this report we review the cases of cutaneous cytomegalovirus in the literature and the laboratory detection methods available to establish this diagnosis.
15," Furosemide was the only significantly associated drug (relative risk, 3.1); the excess risk attributable to any exposure in a 5-month interval was 1.7 per million."
4,Social support and the cancer patient. Implications for future research and clinical care.
13," They do, however, recommend vaginal apex irradiation for these patients."
10," These results suggest extensive sharing of idiotopes among anti-AChR mAb, which are also present in EAMG serum."
22, gamma-Irradiation (800-1000 cGy) immediately after removal of 2-mm-diameter sections of antral mucosa resulted in ulcer craters 5-7 days later.
13, Lung growth and maturation were studied in a model of early gestation obstructive uropathy to understand better their relationship and their prenatal regulation.
4, We undertook a longitudinal prospective study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural history of acquired renal cystic disease and the frequency of associated complications.
10,Gastrointestinal transit of solid-liquid meal in chronic alcoholics.
4,Bronchioloalveolar carcinoma of the lung and congenital cystic adenomatoid malformation.
16," Pulmonary blood flow was increased with normal inspiration, and was much augmented by the Mueller manoeuvre."
17," Thereafter, the polarity of the treatment electrode on the wound was changed every 3 days until the wound progressed to a stage II classification."
13,Appendectomy during pregnancy: a Swedish registry study of 778 cases.
13, Computed tomography scans revealed an intrasellar mass lesion.
15," Ten clinically complete responses (47%) and five clinically partial responses (23%) were registered, for an overall 70% objective response."
17," In addition, we assigned the type VII collagen gene (COL7A1) to chromosome 3 by hybridization to a panel of human x rodent somatic cell hybrids."
2," An autosomal recessive autoimmune myocardial disease (amd) gene (possibly more than one gene), which determined susceptibility to CVB3-induced chronic myocarditis in the A/J and DBA/2J inbred mouse strains, was mapped to a segment of chromosome 14."
10, Seventy of 178 patients with acoustic tumors initially were treated conservatively and have been followed up for an average of 26 +/- 2 months.
20, A middle-aged woman developed recurrent episodes of severe life-threatening anaphylaxis.
17, No previous report of this association has been found in a survey of the literature.
20, Plasma samples were obtained at least once a month.
8, All symptoms similar to those of obstructive sleep apnea were relieved.
20," In both IgA and membranoproliferative glomerulonephritis, the data are more sparse."
23, Twenty-five percent of patients in the control group and 63% in the aprotinin group did not receive banked blood or homologous blood products.
4," The mean operative times were 54, 59, and 56 minutes for Groups 1, 2, and 3, respectively."
14,Sexual function of women taking antihypertensive agents: a comparative study.
9,Oral ofloxacin therapy for invasive external otitis.
8, The majority were young female patients.
12, These manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy.
4, All patients received irradiation to the whole brain with parallel opposed fields.
9, Neither changes in agonist binding or in the effect of Gpp(NH)p on the agonist binding to beta-adrenoceptors could be observed in allergic patients.
4, A total of 65 patients underwent extraperitoneal pelvic staging lymphadenectomy before radiotherapy.
7, Improvements in the quality of the latter are possible with a systematic approach to shaping the bone graft.
14, Their use in the treatment of hypertension has resulted in a marked decline in hypertension-induced morbidity and mortality.
2," Overall, 30% (13/43) of all adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were identified in an equal percentage of children (2%) with and without diarrhea."
16," The immunobead binding, which was restricted to the sperm head and tail-tip or the midpiece and tail-tip, correlated with the indirect immunofluorescence pattern."
7," In these methods, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
22," This direct patient-xenograft correlation further validates the usefulness of the nude mouse model in the search for effective therapies for malignant mesothelioma, a tumor characterized by frequent refractoriness to most available agents."
14, Head-up tilt may be less useful in youthful subjects with vasovagal syncope than in other subjects.
9, CONCLUSION: There is sufficient evidence to show that the noise from low-level flights is harmful to human health.
9, Previous studies have identified two bacterial factors involved in enteropathogenic Escherichia coli (EPEC) infection.
2," We conclude that microvesicular steatosis does not necessarily signify hepatotoxicity in patients on chronic valproic acid, and should not lead to discontinuation of the drug until other causes of acute or chronic liver disease have been excluded."
11, Nine of the 11 patients with hypopyon were positive for HLA B27.
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%)."
14," Following intravenous administration of cocaine, instead of gradual disappearance of 201Tl from the left ventricle, there was continuous increase in 201Tl concentration in the left ventricle."
14, Minor noncardiac side effects related to the dipyridamole-handgrip test occurred only in 5% of 63 study sessions.
3, These studies assess the roles of subpopulations of T lymphocytes in inducing and modulating resistance to Schistosoma mansoni.
4, Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors.
10, Presenting symptoms included deafness and mutism.
22," This observation was further supported by morphometric evaluation of the outer nuclear layer thickness, which revealed a greater preservation of the photoreceptor nuclei in the drug-treated animals at 6 and 14 days after exposure."
