class,text
22, Blood pressure reduce was equal in the diabetic and nondiabetic SHR rats receiving either enalapril or hydralazine plus metoprolol.
11," A prospective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
11," A potentials, double-blind study was effected to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
11," A prospective, double-blind explore was conducted to compare the effects of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
23," Two hundred forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (controls) were selected in a population survey in Goiania, Brazil."
15," During the pneumonia episode, serum immunoglobulin concentrations were profoundly reduced (IgG, 440 mg/dl; IgA, 40 mg/dl; IgM, 25 mg/dl)."
15," During the pneumonia episode, serum immunoglobulin concentrations were profoundly decline (IgG, 440 milligram/dl; IgA, 40 mg/dl; IgM, 25 mg/dl)."
15," During the pneumonia episode, serum immunoglobulin focusing were profoundly reductions (IgG, 440 mg/dl; IgA, 40 mg/dl; IgM, 25 mg/dl)."
23," Two cent forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (controls) were selected in a population investigating in Goiania, Brazil."
23," Two hundred forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (verification) were elected in a population survey in Goiania, Brazil."
7," In these methods, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
7," Among these mode, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
3,Clonorchis-associated cholangiocarcinoma: a report of two cases with unusual manifestations.
3,Clonorchis-associated cholangiocarcinoma: a report of two cases with exceptional manifestations.
3,Clonorchis-associated cholangiocarcinoma: a report of two cases with odd manifestations.
7," Among these procedures, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
23, Both the incidence and frequency of vomit in the scopolamine-treated panel were significantly (P less than 0.05) lower than in the control group.
10, Presenting symptoms included deafness and mutism.
10, Introducing symptoms included deafness and mutism.
10, Present symptoms included deafness and mutism.
20," The second case was of a 46-year-old woman with a palpable, left upper quadrant mass."
20," The second case was of a 46-year-old mujer with a palpable, left upper quadrant mass."
20," The second case was of a 46-year-old woman with a evident, left upper quadrant mass."
7,Inhibition of fluorouracil-induced stomatitis by oral cryotherapy.
7,Inhibiting of fluorouracil-induced stomatitis by oral cryotherapy.
7,Inhibition of fluorouracil-induced stomatitis by orally cryotherapy.
