class,text
2,What does INRI stand for when used on Jesus ' cross ?
4,Where are the headquarters of Eli Lilly ?
4,Where are the headquarters of Bernard Lilly ?
4,Where is Windsor Castle ?
4,Where is Windsor Castle ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
5,What percentage of the world 's plant and animal species can be found in the Amazon forests ?
2,What does `` B.Y.O.B. '' mean ?
0,What is the use of a 24-hour clock instead of a 12-hour clock ?
0,How can someone become a federal agent ?
0,How can someone become a federal agent ?
2,What is a `` USB '' port on a computer ?
0,What is saltpeter ?
0,What is saltpeter ?
0,How did Peabody and Sherman travel through time ?
0,How can I get a CCT diagram ?
0,How can I get a CCT diagram ?
3,What was the name of the US helicopter pilot shot down over North Korea ?
5,What is the cost of the drugs used in tuberculosis treatments ?
5,The Iraqis launched their attack on Kuwait on what day ?
5,The Iraqis launched their attack on Bhutan on what day ?
5,How much did the minimum wage amount to in 1991 ?
5,How much did the minimum wage amount to in 1538 ?
5,What is the cost of the drugs used in tuberculosis treatments ?
4,McCarren Airport is located in what city ?
3,What female painter produced primitives of rural New England life ?
3,What female painter produced primitives of rural New England life ?
5,How many consecutive baseball games did Lou Gehrig play ?
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
3,What actress 's autobiography is titled Shelley : Also Known as Shirley ?
5,How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?
5,How many chairs are shown in Ainslee Van Gogh 's 188 work The Artist 's Room in Arles ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
2,What is the abbreviated term used for the National Bureau of Investigation ?
1,What mammal of North America is the world 's longest-lived for its size ?
1,What mammal of North America is the world 's longest-lived for its size ?
1,"What is a term for behavior , appearance , or expression that violates the accepted standards of sexual morality ?"
3,What 's Japan 's largest car manufacturer ?
3,What 's Hong Kong SAR 's largest car manufacturer ?
5,How fast does the fastest car go ?
5,How fast does the fastest car go ?
0,What is pasta ?
