class,text
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy Man and an animal rights activist who yield home to find the war at home severely to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . "
1,"after a drastic confrontation with the 'normal' extraneous world that results in fighting and panic , the group breaks up . "
0,a film that loses sight of its own story . 
0,a film that loses muckle of its own story . 
0,"smart , sassy interpretation of the oscar wilde play . "
0,"smart , sassy interpretation of the oscar wilde fun . "
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the ii towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he enlists the suffer of other prisoners including crips , stock and a very powerful jamaican mobster and is able to expand his drug empire . "
0,"like its bizarre heroine , it irrigates our souls . "
0,"corresponding its bizarre heroine , it irrigates our souls . "
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss perfect , one is an engaged prom fagot , and the other is a pregnant outcast . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want to be one of the cool muslim boys who vesture those golden necklages and say cool gormandize in arabian . 
1,"based on an attraction at disneyland , the country bear jamboree , "" the country bears "" ( 2002 ) is one in a long line of live action disney family films . "
1,"based on an attracter at disneyland , the country bear jamboree , "" the country deliver "" ( 2002 ) is one in a long line of live action disney family films . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,"with a chronicle inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a bristle burble , the dogwalker has a few characters and ideas , but it never manages to put them on the same track . "
1,"only a little later , johnathan's life is already in extreme danger as well as those of his friends and teammates . "
1,"only a little later , johnathan's life is already in extremum danger as considerably as those of his friends and teammates . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic knit , has the quality of totem . "
1,"she spends her days catering to edgar's whims and fighting off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,"she spends her Day catering to edgar's whims and combat-ready off lame advances from his taciturn partner in crime , flowers ( arie verveen ) . "
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a stark tally . 
0,"a b-movie you can sit through , enjoy on a certain level and then forget . "
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,archaeology professor robert burns is on location leading an important stab in the ancient ruins on the far eastern chinese border . 
1,"they go through three days of hell , friendship , madness and hope . "
1,"they go through 3 days of hell , friendship , madness and hope . "
0,"a b-movie you can sit through , love on a certain level and then forget . "
1,a group of british students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,a group of Brits students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,alex enlist the aid of his old comrade father thomas ( addy ) and of a turbulent artist ( sossamon ) upon whom he once performed an exorcism . 
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the headstone to their happiness do not lie in achieve a perfect score . 
1,"two distich , each married for quite a long time , are living in a small east german town . "
1,"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material . "
1,"but then the crew detect a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of inherited real . "
0," "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
0," "" red dragon "" is entertaining . an obvious copy of one of the honorable celluloid e'er gain , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see . "
1,"by contrast , tom finds her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers destiny has other plans . "
1,"by contrast , tom feel her world increasingly seductive , and as fatal gradually loses the only person she trusts , she discovers fate has other plans . "
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
1,not a long time ago she was a successful popstar whose life consisted in hosting TV shows and bless autographs . 
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"occasionally amusing , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a cast chock full of experienced character actors is the right fit for a haunted sub flick . "
1,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
1,"tom is a charismatic late-night radio talk show host , whose improper upbringing has piss him a little too quick to declination in love and marry , resulting in three divorces before the age of 40 . "
0,"twohy is not only skilled at building and maintaining suspense , he's also aware that a barf chock full of feel character actors is the right fit for a haunt sub flick . "
0,"in its ragged , cheap and unassuming way , the movie works . "
0,"in its ragged , cheap and unassuming way , the flick works . "
0,the cast comes through even when the movie doesn't . 
0,the cast fall through even when the movie doesn't . 
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's Host has struck a address with the soldiers hired to guard the money , and does not really have the player's comfortably interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a conduct with the soldiers hired to guard the money , and does not really have the player's best interest , or even basic safety , at marrow . "
1,a malediction passed from generation to generation has it that any woman in her family who sings will die . 
0,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . "
0,"a full experience , a bed story and a murder mystery that expands into a meditation on the trench deceptions of innocence . "
1,a malediction authorize from generation to generation has it that any woman in her family who sings will die . 
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"he is sensitive and compassionate , speak french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hand . "
0,"there's a scientific law to be discerned here that producers would be well to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces . "
0,"there's a scientific law to be discerned here that producers would be good to heed : mediocre movies start to drag as soon as the action speeds up ; when the explosions first , they nightfall to pieces . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"after escaping from the raccoon city medical facility alice explore for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with feller survivors . "
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
0," "" sorority boys "" was comic , and that movie was pretty bad . "
0,manages to please its intended audience -- children -- without placing their parents in a coma-like state . 
0,manages to please its destine audience -- children -- without placing their parents in a coma-like state . 
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,pock me down as a non-believer in werewolf films that are not serious and rely on stupidity as a second-stringer for humor . 
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,the crude effect of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to strap oneself in and enjoy this goofy ride . "
0,"once the viewer accepts the huge leaps of faith mandatory in the film's premise , it's a lot of fun to strap oneself in and love this goofy ride . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that he owns the gun of a popular humans , who got killed , from that town construct him prime suspect . "
0,"fans of plympton's shorts may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"buff of plympton's trunks may marginally enjoy the film , but it is doubtful this listless feature will win him any new viewers . "
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,"boast a dangerously seductive performance from the great daniel auteuil , "" sade "" back the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
0,it recycles every clich about gays in what is essentially an extended soap opera . 
0,it recycles every clich about gay in what is essentially an extended soap opera . 
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
0,"an uncomfortable movie , suffocate and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
1,katie is a young girl who loves to climb . 
1,katie is a new girl who loves to climb . 
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"levi , is an ex-navy human and an animal rights activist who issue home to find the war at home harder to fight than anything he's ever find , but what and who is he fighting for ? "
0,"shanghai ghetto may not be as dramatic as roman polanski's the pianist , but its compassionate spirit soars every bit as high . "
0,"shanghai ghetto may not be as dramatic as Roman polanski's the pianist , but its compassionate spirit soars every chip as high . "
0,by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic . 
0,by the final whistle you're convert that this mean machine was a decent tv outing that just doesn't have braggy screen magic . 
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad needs a liver transplantation and ludvig and harald solidification about raising the wherewithal . "
