class,text
4,Social support and the cancer patient. Implications for future research and clinical care.
4,Social ; support and the cancer patient. Implications ! for future research and clinical care.
13," They do, however, recommend vaginal apex irradiation for these patients."
13," They do, , however, recommend vaginal apex irradiation for these patients."
13," They ; do, however, recommend vaginal apex irradiation for , these patients."
13," . They do, however, recommend vaginal apex , irradiation for these patients."
13," They do, however, recommend vaginal ! apex irradiation for these patients."
4,Social support and the cancer patient. : Implications ; for future research and clinical care.
4,Social support and the cancer patient. Implications for future research and clinical ? care.
4,Social support and the cancer patient. Implications ; for future research and clinical care.
22," gamma-Irradiation (800-1000 , cGy) immediately after removal of 2-mm-diameter sections of antral mucosa resulted in ulcer craters 5-7 days later."
4,Bronchioloalveolar carcinoma of the lung and congenital cystic adenomatoid malformation.
4,"Bronchioloalveolar , carcinoma of the lung and congenital cystic adenomatoid malformation."
4,Bronchioloalveolar carcinoma of the lung ! and congenital cystic : adenomatoid malformation.
4,Bronchioloalveolar : carcinoma of the lung and congenital cystic adenomatoid malformation.
4,Bronchioloalveolar carcinoma of the lung . and congenital ? cystic adenomatoid malformation.
13,Appendectomy during pregnancy: a Swedish registry study of 778 cases.
13,! Appendectomy during pregnancy: a Swedish registry study of 778 cases.
13,Appendectomy during pregnancy: a Swedish . registry ; study of 778 cases.
13,Appendectomy during pregnancy: a Swedish registry . study of 778 ! cases.
13,"Appendectomy during pregnancy: a Swedish registry study of , 778 cases."
20, A middle-aged woman developed recurrent episodes of severe life-threatening anaphylaxis.
20, A ? middle-aged woman developed recurrent episodes of severe life-threatening anaphylaxis.
20," A , middle-aged woman developed recurrent episodes of severe life-threatening anaphylaxis."
20," A middle-aged . woman , developed recurrent episodes of severe life-threatening anaphylaxis."
20, ? A middle-aged woman developed recurrent episodes of severe ! life-threatening anaphylaxis.
4," The mean operative times were 54, 59, and 56 minutes for Groups 1, 2, and 3, respectively."
4," The mean operative : times : were 54, 59, and 56 minutes for Groups 1, 2, and 3, respectively."
9,Oral ofloxacin therapy for invasive external otitis.
4," The mean operative times were 54, 59, and 56 ! minutes for Groups 1, 2, and 3, respectively."
4," The mean operative , times were 54, 59, and 56 minutes for Groups 1, 2, and , 3, respectively."
9,Oral ofloxacin therapy for invasive external : otitis.
9,Oral ofloxacin : therapy for invasive external otitis.
9,Oral ofloxacin : therapy for invasive external otitis.
9,"Oral ofloxacin therapy for invasive , external otitis."
4," The mean operative times were 54, 59, and ; 56 minutes for Groups 1, 2, and 3, respectively."
8, The majority were young female patients.
8, The majority were young female ; patients.
8, The majority were young female ! patients.
8," The , majority were young female patients."
8, The majority ! were young female patients.
7, Improvements in the quality of the latter are possible with a systematic approach to shaping the bone graft.
7, Improvements : in the quality of the latter are possible with a systematic approach to shaping the bone graft.
7, Improvements ; in the quality of the latter are possible with a systematic approach to shaping the bone graft.
7, Improvements in the quality of the : latter are possible with a systematic . approach to shaping the bone graft.
7,;  Improvements in the quality of the latter are possible with a systematic approach to shaping the bone graft.
2," Overall, 30% (13/43) of all adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were identified in an equal percentage of children (2%) with and without diarrhea."
2," Overall, : 30% (13/43) of all adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were ? identified in an equal percentage of , children (2%) with and without diarrhea."
2," Overall, 30% : (13/43) ? of all , adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, enteric adenoviruses were identified in an equal percentage of ! children (2%) with and without diarrhea."
2," Overall, 30% (13/43) of all adenovirus hexon-positive ? specimens were enteric serotypes, and . by extrapolation, ? enteric adenoviruses were identified in an equal percentage of . children (2%) with and without diarrhea."
2," Overall, 30% (13/43) of all ? adenovirus hexon-positive specimens were enteric serotypes, and by extrapolation, ! enteric ? adenoviruses were identified ! in an equal percentage of children (2%) with and without diarrhea."
11, Nine of the 11 patients with hypopyon were positive for HLA B27.
11, Nine ; of the 11 patients with hypopyon were ! positive for HLA B27.
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%)."
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than , or equal to 20 mm, 5/8 (63%)."
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); : 14-19 mm, 5/9 , (56%); greater than or equal to 20 mm, 5/8 (63%)."
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or , equal to 20 mm, 5/8 (63%)."
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less : than or equal to ; 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%)."
11, Nine of ? the 11 patients with hypopyon were positive for HLA B27.
11, Nine of ! the 11 patients with ? hypopyon were positive for HLA B27.
11,;  Nine of the 11 patients with hypopyon were positive for ; HLA B27.
4, Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors.
4, Our preliminary results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid ! cysts and epidermoid tumors.
10, Presenting symptoms included deafness and mutism.
10, Presenting symptoms included deafness ! and mutism.
10," Presenting symptoms included , deafness and mutism."
10, Presenting symptoms included deafness . and mutism.
10," Presenting symptoms included deafness and , mutism."
4," Our preliminary results show , that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors."
4, Our preliminary . results show that diffusion-weighted MR imaging can be useful in distinguishing between arachnoid cysts and epidermoid tumors.
4," Our ? preliminary results , show that diffusion-weighted MR imaging can be , useful in distinguishing between arachnoid cysts and epidermoid tumors."
4, We undertook a longitudinal prospective study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural history of acquired renal cystic disease and the frequency of associated complications.
4, We undertook a longitudinal prospective study in which the native . kidneys : of 30 dialysis patients were surveyed by serial CT during ? a : 7-year period to study the natural ; history of acquired renal cystic disease and the frequency of associated complications.
4, We . undertook a longitudinal . prospective study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural history of acquired renal cystic disease and the frequency of associated complications.
4," We undertook a longitudinal prospective study in which the native kidneys of ? 30 dialysis patients were surveyed by ! serial CT , during a 7-year period to : study the natural history of acquired renal cystic disease and the frequency of associated complications."
4, We undertook ; a . longitudinal prospective study ? in which the native kidneys of 30 dialysis ; patients were surveyed by serial CT during a 7-year period to study the ! natural history of acquired renal cystic disease and the frequency of associated complications.
10, Seventy of 178 patients with acoustic tumors initially were treated conservatively and have been followed up for an average of 26 +/- 2 months.
10," ; Seventy of 178 patients ? with acoustic tumors initially were treated conservatively , and have been followed up for an average of 26 +/- 2 months."
10, Seventy of 178 patients with . acoustic tumors . initially were treated conservatively and have been followed up for an average of 26 +/- 2 months.
10,;  Seventy of 178 patients with : acoustic tumors initially were treated conservatively and have been followed up for an average of 26 +/- 2 months.
10, Seventy of 178 patients with acoustic tumors initially . were treated conservatively and have been followed up for an average of 26 +/- 2 months.
20, Plasma samples were obtained at least once a month.
20, ? Plasma samples were obtained . at least once a month.
8, All symptoms similar to those of obstructive sleep apnea were relieved.
8, All symptoms similar to those . of obstructive sleep apnea were : relieved.
8," All , symptoms similar to those of obstructive sleep apnea were : relieved."
8,!  All symptoms similar to those of obstructive sleep apnea were relieved.
8, All symptoms similar to those of obstructive sleep . apnea were relieved.
20, ? Plasma . samples were obtained at least once a month.
20," , Plasma samples were obtained at ! least once a month."
20, Plasma samples were obtained at least once ! a month.
12, These manifestations of systemic toxicity may contribute to the development of pulmonary edema during therapy.
12, These manifestations of systemic toxicity may ? contribute to ; the development of pulmonary edema during therapy.
