class,text
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it is like watching a nightmare made flesh . 
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
1,a malediction passed from generation to generation has it that any woman in her family who sings will die . 
1,a malediction passed from generation to generation has it that any woman in her family who sings will die . 
1,"contrary to the homeless stereotype , jack's existence is ruled by discipline . "
1,"assigned to the vicious in-club slaying of a promising young rap act , the two detective delve into the recording industry where they hope to find answers - ideally ones that also come with property buyers or auditions . "
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
1,"they get on from the word go , but now dad needs a liver transplant and ludvig and harald set about raising the wherewithal . "
0,scores by marshaling facts that speak for themselves . and they don't speak kindly . 
0,scores by marshaling facts that speak for themselves . and they do not speak kindly . 
0,scores by marshaling facts that speak for themselves . and they don't speak kindly . 
0,"even though many of these guys are less than adorable ( their lamentations are pretty much self-centered ) , there's something vital about the movie . "
0,"like its bizarre heroine , it irrigates our souls . "
0,"like its bizarre heroine , it irrigates our souls . "
1,this curious figure gives nicholas the impression he is pressing his young son closer to the girls in his life and away from bobby . 
1,this curious figure gives nicholas the impression he is pressing his young son closer to the girls in his life and away from bobby . 
0,"no earth-shattering accomplishment , but an unusually smart movie that the whole family can go to without a single person getting bored or talked down to . "
0,"no earth-shattering accomplishment , but an unusually smart movie that the whole family can go to without a single person getting bored or talked down to . "
0,it is just too bad the film's story does not live up to its style . 
1,this curious figure gives nicholas the impression he's pressing his young son closer to the girls in his life and away from bobby . 
0,it's almost as if it's an elaborate dare more than a full-blooded film . 
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the key to their happiness don't lie in achieving a perfect score . 
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
1,"tension mounts , and as the cops arrive , morgan is growing impatient . "
1,"tension mounts , and as the cops arrive , morgan is growing impatient . "
0, . . . too sappy for its own good . 
1,this movie praise the right to be different and unique . 
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and doesn't really have the player's best interests , or even basic safety , at heart . "
1,ira member bobby sands is imprisoned in northern ireland . 
1,ira member bobby sands is imprisoned in northern Cayman Islands . 
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 9 inhabitants ) up the mountain , and t&#252 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
1,"klein ischgl actually turns out to be a stone-age-like townlet ( 12 inhabitants ) up the mountain , and t&#260 ; rlichs grandfather , who runs the place , even resists to electricity and indoor plumbing . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
1,"in their new environment , the men relinquish their frat mentality and realize how hurtful they have been to women over the years . "
1,"to escape their troubles and find women , they book a trip on board a cruise-liner , unaware the travel agent has just played a horrid trick on them in retaliation for nick offending his secret gay lover . "
1,"to escape their troubles and find women , they book a trip on board a cruise-liner , unaware the travel agent has just played a horrid trick on them in retaliation for nick offending his secret gay lover . "
0,"a great looking , trippy adventure . i can't wait for the next one . "
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want to be one of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,especially when you would much rather want to be two of the cool muslim boys who wears those golden necklages and say cool stuff in arabian . 
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"he and his friends : virgil , daric and han lead a double life of mischief and petty crimes to alleviate the pressures of perfection . "
1,"when they get there , strange happenings invade the school . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"levi , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he's ever encountered , but what and who is he fighting for ? "
1,"Dustin , is an ex-navy man and an animal rights activist who returns home to find the war at home harder to fight than anything he is ever encountered , but what and who is he fighting for ? "
0,"it's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and doesn't really have the player's best interests , or even basic safety , at heart . "
1,"two pairs , each married for quite a long time , are living in a small east german town . "
1,"two pairs , each married for quite a long time , are living in a small east german town . "
0,"focuses on joan's raging hormones and sledgehammers the audience with spanish inquisitions about her "" madness "" so much that i became mad that i wasted 123 minutes and $9 . 50 on this 21st century torture device . "
1,"they go through three days of hell , friendship , madness and hope . "
1,"they go through four days of hell , friendship , madness and hope . "
0,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . "
0,"a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence . "
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
0,"only an epic documentary could get it all down , and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents . "
1,"they go through three days of hell , friendship , madness and hope . "
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the key to their happiness do not lie in achieving a perfect score . 
1,they quickly realize that the answer to their problems and the key to their happiness don't lie in achieving a perfect score . 
1,"they go through two days of hell , friendship , madness and hope . "
1,"james regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"Alyiah regards the cia's mission as an intriguing alternative to an ordinary life , but before he becomes an ops officer , james has to survive the agency's secret training ground , where green recruits are molded into seasoned veterans . "
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
1,"one is little miss perfect , one is an engaged prom queen , and the other is a pregnant outcast . "
0,"shanghai ghetto may not be as dramatic as roman polanski's the pianist , but its compassionate spirit soars every bit as high . "
0,"shanghai ghetto may not be as dramatic as roman polanski's the pianist , but its compassionate spirit soars every bit as high . "
1,"now , johnny and lena ( wayne's girlfriend ) are asked to make the ultimate baby product , called mighty baby . "
1,"now , Avani and lena ( wayne's girlfriend ) are asked to make the ultimate baby product , called mighty baby . "
1,"one is little miss perfect , two is an engaged prom queen , and the other is a pregnant outcast . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
0,"[koshashvili] sometimes drags [the ideas] out ( the film needs tightening ) , but they're worth considering all the same . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban western , it is an unpretentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . "
0,i found myself more appreciative of what the director was trying to do than of what he had actually done . 
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
0,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodvar style . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"stranded on a lonely road , a schoolbus full of high school basketball players , their coaches , and cheerleaders must defend themselves from the creeper - a flesh-eating ancient beast that resurfaces on the earth every 23 years to feed . "
1,"tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 . "
1,"Bode is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in six divorces before the age of 52 . "
0,the cast comes through even when the movie doesn't . 
0,the cast comes through even when the movie does not . 
0,the cast comes through even when the movie doesn't . 
0," . . . only bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"the fact that he owns the gun of a popular man , who got killed , from that town makes him prime suspect . "
1,"when they fall in love for the first time , it's an impossible situation , because you can't just change your life overnight . "
1,"nothing makes this woman happy , including her wealthy but passive husband ( tony ) , a pharmaceutical kingpin . "
1,"nothing makes this woman happy , including her wealthy but passive husband ( tony ) , a pharmaceutical kingpin . "
0,"not a bad choice here , assuming that . . . the air-conditioning in the theater is working properly . "
0,"[aniston is] so good , she manages to overcome the occasional nuggets of preciousness and self-consciousness in the story . "
0,"[Bryden is] so good , she manages to overcome the occasional nuggets of preciousness and self-consciousness in the story . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,"a world in small , subtly acknowledging larger economic and cultural forces two moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
0," "" sorority boys "" was funnier , and that movie was pretty bad . "
0,"if this movie belonged to a sorority , it would be called beta alpha delta . "
0,"if this movie belonged to a sorority , it would be called beta alpha delta . "
0,"if this movie belonged to a sorority , it'd be called beta alpha delta . "
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"the two towers between mordor and isengard , barad-d&#18 ; r and orthanc , have united in their lust for destruction . "
0,"soul is what's lacking in every character in this movie and , subsequently , the movie itself . "
0,"soul is what is lacking in every character in this movie and , subsequently , the movie itself . "
0,"soul is what's lacking in every character in this movie and , subsequently , the movie itself . "
1,"based on an attraction at disneyland , the country bear jamboree , "" the country bears "" ( 2002 ) is one in a long line of live action disney family films . "
1,"based on an attraction at disneyland , the country bear jamboree , "" the country bears "" ( 1605 ) is two in a long line of live action disney family films . "
1,"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . "
1,"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . "
0,"many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and i don't think that a . c . will help this movie one bit . "
1,"this was also a time , in the midst of a chaotic , decaying environment , when a man tried to cope with the loss of his former lover . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
1,jamie lee curtis ( true lies ) and lindsay lohan ( the parent trap ) star in the remake of the 1976 disney classic freaky friday . 
1,"this was also a time , in the midst of a chaotic , decaying environment , when a man tried to cope with the loss of his former lover . "
0,a haunting film about one of the great escapes of all time . 
1,from that moment on nothing is as it was before . . . 
1,from that moment on nothing is as it was before . . . 
0,"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining . "
0,"in its ragged , cheap and unassuming way , the movie works . "
1,"mo is beautiful but bald , mei has excessive body hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and pao has abnormally small eyes . "
