class,text
0,"unfortunately , that 's precisely what arthur dong 's family fundamentals does ."
0,", that 's precisely what arthur dong 's family fundamentals does ."
0,most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement .
0,most of movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement .
1,the chateau cleverly probes the cross-cultural differences between gauls and yanks .
1,the chateau cleverly probes cross-cultural differences between gauls and yanks .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that elvis fans -lrb- but by no means all -rrb- will have fun with .
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe a children 's film ."
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers , fat , dumb laughs that may make you hate yourself for giving in ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"this mild-mannered , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration passed a long time ago ."
0,... really horrible drek .
0,... horrible drek .
0,... really horrible drek .
1,some remarkable achival film about how shanghai -lrb- of all places -rrb- served jews who escaped the holocaust .
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"mild-mannered farce , directed by one of its writers , john c. walsh , is corny in way that bespeaks an expiration date passed a long time ago ."
0,"swinging , the film makes it seem , is not a hobby that attracts the young and fit ."
0,"swinging , film makes it seem , is not a hobby that attracts the young and fit ."
1,"this is an extraordinary film , not least because it is japanese and yet feels universal ."
1,"this an extraordinary film , not least because it is japanese and yet feels universal ."
0,"narratively , trouble every day is a plodding mess ."
0,"narratively , every day is a plodding mess ."
0,hip-hop rarely comes alive as its own fire-breathing entity in this picture .
0,hip-hop rarely alive as its own fire-breathing entity in this picture .
0,do n't be fooled by the impressive cast list - eye see you is pure junk .
0,do be fooled by the impressive cast list - eye see you is pure junk .
1,elvira fans could hardly ask for more .
1,elvira fans could ask for more .
0,barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .
0,barney throws away the goodwill the first of his movie generates by orchestrating a finale is impenetrable and dull .
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,"... , unbearably dull , featuring reams of flatly delivered and a heroine who comes across as both shallow and dim-witted ."
0,"... an incredibly heavy-handed , manipulative dud that feels all too familiar ."
0,"... an incredibly , manipulative dud that feels all too familiar ."
1,there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
1,'s much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with all .
1,succeeds where its recent predecessor miserably fails because it demands that you suffer the dreadfulness of war from both sides .
1,succeeds where its recent predecessor miserably fails because it demands you the dreadfulness of war from both sides .
1,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
1,"amy and matthew have a bit of a phony relationship , but the film works in of it ."
1,we 're drawn in by the dark luster .
1,a lovably old-school hollywood confection .
1,a lovably hollywood confection .
1,we 're drawn by the dark luster .
1,"a solid , psychological action film from hong kong ."
1,"a solid , action film from hong kong ."
0,bad movie .
0,bad .
0,bad movie .
0,movie .
1,a fine documentary can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience .
1,a fine can be distinguished from a mediocre by the better film 's ability to make its subject interesting those who are n't part of its supposed target audience .
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again ."
1,"'ve seen the plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again ."
1,"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages ."
1,"the of ron howard 's apollo 13 in the imax format proves absolutely that , really , really good things can come in enormous packages ."
1,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve ."
1,"twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , what a world we 'd live in if argento 's hollywood counterparts ... had much imagination and nerve ."
0,a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome .
0,a terrible adaptation of a play that only ever the delicate tightrope between farcical and loathsome .
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of surprise , does n't have any huge laughs in its of irresponsible cops who love to play pranks ."
0,"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
0,"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial , disintegrating bloodsucker computer and jagged camera moves serve no other purpose than to call attention to themselves ."
1,"efficient , suitably anonymous chiller ."
1,", suitably anonymous chiller ."
0,daughter from danang reveals that efforts toward closure only open new wounds .
0,daughter danang reveals that efforts toward closure only open new wounds .
0,sewer rats could watch this movie and be so skeeved out that they 'd need a shower .
0,sewer could watch this movie and be so skeeved out that they 'd need a shower .
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,"awesome work : , elusive , yet inexplicably powerful"
0,"take away the controversy , and it 's not much more watchable than a mexican soap opera ."
0,"take away controversy , and it 's not much more watchable than a mexican soap opera ."
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,george lucas returns as a visionary with tale full of nuance and character dimension .
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it ' so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget 's diary ."
1,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,"granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's classic .
1,griffin & co. manage to be spectacularly outrageous .
1,& co. manage to be spectacularly outrageous .
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
0,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself when came to get to the heart of the movie ."
1,you 'll know a star when you see one .
1,you 'll a star when you see one .
0,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue ."
0,"at three hours and with very little story or development , there is plenty of room for editing , and a much shorter cut surely have resulted in a smoother , more focused sacrificing any of the cultural intrigue ."
