class,text
2,"Six-month mortality was 6.5 % in the ICP group and 9.1 % in the control group ( P < 0.05 ) , and neurological outcome was better in the ICP group compared with the control group ( P < 0.05 ) ."
2,"Six-month mortality was 6.5 % in the ICP group and 9.1 % in the control aggroup ( p < 0.05 ) , and neurological outcome was right in the ICP group compared with the control group ( P < 0.05 ) ."
2,"Six-month mortality was 6.5 % in the ICP group and 9.i % in the ascertain group ( P < 0.05 ) , and neurological outcome was better in the ICP group compared with the control group ( p < 0.05 ) ."
0,"Here , we directly compared the effects of monthly minodronate with those of a standard single weekly 35-mg dose of alendronate ( weekly alendronate ) on L-BMD and baPWV in postmenopausal women with osteoporosis across a 12-month period ."
0,"Here , we direct compared the effects of monthly minodronate with those of a standard single weekly 35-mg dot of alendronate ( weekly alendronate ) on L-BMD and baPWV in postmenopausal woman with osteoporosis across a 12-month period ."
0,"Here , we directly compared the upshot of monthly minodronate with those of a received ace weekly 35-mg dose of alendronate ( weekly alendronate ) on L-BMD and baPWV in postmenopausal women with osteoporosis across a 12-month period ."
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present canvass were to appraise the efficacy and safety of BT injection and unite treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,The aims of the present canvass were to can the efficacy and safety of BT injection and combined treatment with BT injection and lour dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
3,"However , US is associated with improved efficiency ( decreased performance time and fewer needle passes ) ."
3,"However , US is associated with improved efficiency ( decreased performance time and fewer needle communicate ) ."
3,"However , US is associated with improved efficiency ( decreased performance time and fewer needle draw ) ."
0,To determine whether daily irrigation with sterile saline solution during silicone hydrogel ( SiH ) contact lens continuous wear ( CW ) can mitigate increases in corneal epithelial permeability ( Pdc ) and reduce the risk of adverse events .
0,To determine whether daily irrigation with sterile saline solution during silicone hydrogel ( SiH ) liaison lens continuous wear ( CW ) can mitigate increases in corneal epithelial permeability ( Pdc ) and shorten the gamble of adverse events .
0,To determine whether daily irrigation with uninspired saline solution during silicone hydrogel ( SiH ) contact lens continuous wear ( CW ) can mitigate step-up in corneal epithelial permeability ( Pdc ) and reduce the risk of adverse effect .
4,"The aim of this trial was to compare the effects of resistance training versus passive physical therapy on quality of life ( QoL ) , fatigue , and emotional distress outcomes during radiation therapy in patients with spinal bone metastases under radiotherapy ( RT ) ."
4,"The aim of this trial was to compare the effects of impedance training versus passive physical therapy on quality of life ( QoL ) , fatigue , and emotional distress effect during radiation therapy in patients with spinal bone metastases under irradiation ( RT ) ."
4,"The aim of this trial was to compare the effects of resistance training versus passive physical therapy on calibre of life ( QoL ) , fatigue , and emotional distress issue during radiation therapy in patients with spinal drum metastases under radiotherapy ( RT ) ."
0,We estimate the effect size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient setting .
0,We estimate the consequence size of hypoglycemia risk reduction on closed-loop control ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient define .
0,We estimate the effect size of hypoglycemia risk reduction on closed-loop ascendence ( CLC ) versus open-loop ( OL ) sensor-augmented insulin pump therapy in supervised outpatient put .
1,"Participants completed measures related to latent variables of illness-related distress , social integration , spiritual perspective , family environment , coping , hope-derived meaning , and resilience at baseline ( T1 ) , postintervention ( T2 ) , and 100 days posttransplant ( T3 ) ."
1,"Participants completed measures pertain to latent variables of illness-related distress , sociable integration , spiritual perspective , family environment , coping , hope-derived significant , and resilience at baseline ( T1 ) , postintervention ( T2 ) , and 100 days posttransplant ( T3 ) ."
1,"Participants completed measures related to latent variables of illness-related distress , societal integration , ghostly perspective , home environment , coping , hope-derived meaning , and resilience at baseline ( T1 ) , postintervention ( T2 ) , and 100 days posttransplant ( T3 ) ."
2,"SVR12 rates were 52.8 % ( SMV12 ) and 35.8 % ( SMV24 ) for prior non-responders , and 95.9 % for prior relapsers ( SMV12 ; p 0.0001 vs null hypothesis , respectively ) ."
2,"SVR12 grass were 52.8 % ( SMV12 ) and 35.8 % ( SMV24 ) for prior non-responders , and xcv.9 % for prior relapsers ( SMV12 ; p 0.0001 vs null hypothesis , respectively ) ."
2,"SVR12 rates were 52.8 % ( SMV12 ) and 35.8 % ( SMV24 ) for prior non-responders , and 95.9 % for prior relapsers ( SMV12 ; p 0.0001 vs zippo possibility , respectively ) ."
2,None of the patients in GII showed any significant improvement .
2,None of the patients in GII point any significant improvement .
2,None of the patients in GII shew any significant improvement .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the loose combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the liberate combination of these agents .
3,These data demonstrate that the acarbose/metformin FDC is bioequivalent to the light combination of these agents .
4,The aim of the present study was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
4,The aim of the portray work was to evaluate the long-term effect of MBP regarding cancer recurrence and survival after colonic resections .
4,The aim of the present discipline was to evaluate the long-term issue of MBP regarding cancer recurrence and survival after colonic resections .
4,"Centre for Clinical Research and Biostatistics , http://www.cct.cuhk.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinical Research and Biostatistics , http://www.cct.cuhk.edu.hk/registry/publictriallist.aspx , CUHK_CCT00291 ."
4,"Centre for Clinical Research and biometry , http://www.cct.cuhk.edu.hk/Registry/publictriallist.aspx , CUHK_CCT00291 ."
4,Ready-to-use supplementary food ( RUSF ) made of locally available food ingredients can improve micronutrient status and growth of children .
4,Ready-to-use supplementary food ( RUSF ) establish of locally available food ingredients can improve micronutrient status and growth of children .
4,Ready-to-use supplementary food ( RUSF ) made of locally available food fixings can improve micronutrient status and growth of children .
2,"Post hoc analyses indicated that there was a significant fall in ERI for patients with the highest baseline ESA resistance dialysed with the VE ( 9.28 [ 7.70-12 .5 ] versus 7.70 [ 5.34-12 .7 ] IU/week/kg / g/dL Hb , P = 0.01 ) but not the control membranes ( 9.45 [ 7.62-12 .3 ] versus 8.14 [ 4.44-15 .6 ] IU/week/kg / g/dL Hb , P = 0.41 ) ; this was not attributable to changes in CRP levels ."
2,"Post hoc analyses indicate that there was a significant pin in ERI for patients with the highest baseline ESA opposition dialysed with the VE ( 9.28 [ 7.70-12 .5 ] versus 7.70 [ 5.34-12 .7 ] IU/week/kg / g/dL Hb , P = 0.01 ) but not the controller membranes ( 9.45 [ 7.62-12 .3 ] versus 8.fourteen [ quaternion.44-15 .6 ] IU/week/kg / g/dL Hb , P = 0.41 ) ; this was not attributable to switch in CRP levels ."
2,"Post hoc analyses indicated that there was a significant decrease in ERI for patients with the highest baseline ESA resistance dialysed with the VE ( 9.28 [ 7.70-12 .5 ] versus 7.70 [ 5.34-12 .7 ] IU/workweek/kg / yard/dL Hb , P = 0.01 ) but not the control membranes ( 9.45 [ heptad.62-12 .3 ] versus 8.xiv [ 4.44-15 .6 ] IU/week/kilogram / g/dL Hb , P = cypher.41 ) ; this was not attributable to changes in CRP levels ."
0,The AeroChamber Plus ( AC ) valved holding chamber has been enhanced to include the Flow-Vu ( FV ) inspiratory flow indicator that provides visual inhalation feedback during use .
0,The AeroChamber Plus ( AC ) valved contain bedchamber has been enhanced to include the Flow-Vu ( FV ) inspiratory flow indicator that provides visual inhalation feedback during use .
0,The AeroChamber Plus ( AC ) valved keep chamber has been enhanced to include the Flow-Vu ( FV ) inspiratory flow indicator that supply visual inhalation feedback during use .
4,These individual barriers might be addressed though patient navigation interventions .
4,These individual barriers might be addressed though patient navigation interference .
4,These individual barriers might be addressed though patient piloting interventions .
4,ClinicalTrials.gov NCT00746031 .
4,ClinicalTrials.gov NCT00746031 .
0,"Addressing these challenges requires an intervention that elicits motivation to engage in this activity , minimizes the direct relationship between unwanted internal experiences and inaction , and is also in itself accessible and convenient ."
0,"Addressing these challenges requires an interference that elicits motivation to occupy in this activity , minimizes the calculate relationship between unwanted internal experiences and inaction , and is also in itself accessible and convenient ."
0,"Addressing these challenges take an intervention that elicits motivation to mesh in this activity , minimizes the direct relationship between unwanted internal experiences and inactiveness , and is also in itself accessible and convenient ."
1,Probiotics were administered in Group A ; oral antibiotics were administered in Group B ; and neither probiotics nor oral antibiotics were administered in Group C. Stool samples were collected 9 and 2 days before and 7 and 14 days after the procedure .
1,Probiotics were administered in Group ampere ; oral antibiotics were administered in Group B ; and neither probiotics nor oral antibiotics were administrate in Group C. ca-ca sample were collected 9 and 2 days before and 7 and 14 days after the procedure .
1,Probiotics were administered in group A ; oral antibiotics were administered in grouping B ; and neither probiotics nor oral antibiotics were administered in Group C. Stool samples were collected 9 and 2 days before and heptad and 14 day after the procedure .
1,We excluded patients who were taking vitamin D or calcium supplements .
1,We excluded patients who were exact vitamin D or calcium supplements .
1,We excluded patients who were fetching vitamin D or calcium supplements .
4,Netherlands Trial Register NTR2199 .
4,Holland Trial Register NTR2199 .
4,Nederland Trial Register NTR2199 .
2,Participants had better health behaviors and fewer health problems than those who did not participate .
2,Participants had better wellness behaviors and fewer health problems than those who did not participate .
2,Participants had dependable health behaviors and fewer health problems than those who did not participate .
2,The accumulated expelled volumes for an hour were in favor of the ASCD group .
2,The accumulated exhaust volumes for an hour were in favor of the ASCD group .
2,The accumulated expelled volumes for an hour were in favor of the ASCD grouping .
4,"In the last 2 decades , the effectiveness of cricoid pressure ( CP ) in occluding the esophageal entrance has been questioned ."
4,"In the last 2 decades , the effectiveness of cricoid coerce ( CP ) in occluding the esophageal entrance has been questioned ."
4,"In the last 2 decades , the effectiveness of cricoid force ( CP ) in occluding the esophageal entrance has been questioned ."
4,"We assessed the safety and efficacy of peginterferon beta-1a after 48 weeks of treatment in the placebo-controlled phase of the ADVANCE trial , a study of patients with relapsing-remitting multiple sclerosis ."
4,"We appraise the prophylactic and efficacy of peginterferon beta-1a after 48 weeks of treatment in the placebo-controlled phase of the ADVANCE trial , a bailiwick of patients with relapsing-remitting multiple sclerosis ."
4,"We assess the safety and efficacy of peginterferon beta-1a after 48 weeks of treatment in the placebo-controlled phase of the promote trial , a bailiwick of patients with relapsing-remitting multiple sclerosis ."
0,To assess lesion detection and diagnostic confidence of computed tomography ( CT ) of the chest performed at less than 1 mSv with 2 iterative reconstruction ( IR ) techniques .
0,To assess lesion detection and diagnostic authority of computed tomography ( CAT ) of the chest performed at less than 1 mSv with 2 iterative reconstruction ( IR ) techniques .
0,To bum lesion detection and diagnostic self-assurance of computed tomography ( CT ) of the chest performed at less than 1 mSv with 2 iterative reconstruction ( IR ) techniques .
0,"The aim of this study is to compare preoperative and postoperative conditions of GMP-140 concentration , the aggregation and activation of platelets in congenital heart disease patients undergoing transcatheter closure of atrial septal defects ( ASDs ) or ventricular septal defects ( VSDs ) , and the appropriate dose of aspirin of patients after transcatheter closure ."
0,"The aim of this survey is to compare preoperative and postoperative condition of GMP-140 concentration , the aggregation and activating of platelets in congenital bosom disease patients undergoing transcatheter closure of atrial septal defects ( ASDs ) or ventricular septal defects ( VSDs ) , and the appropriate dot of aspirin of patients after transcatheter closure ."
0,"The drive of this bailiwick is to compare preoperative and postoperative conditions of GMP-140 concentration , the aggregation and activation of platelets in congenital spirit disease patients undergoing transcatheter closure of atrial septal defects ( ASDs ) or ventricular septal defects ( VSDs ) , and the reserve dose of aspirin of patients after transcatheter resolution ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is associate to disease in prefrontal regions ."
3,"Consistent with the hypothesis that ALS is a multisystem disorder , this deficit is related to disease in prefrontal area ."
0,Our objectives were to evaluate whether HRQoL in pHPT is associated with vitamin D insufficiency and whether vitamin D supplementation after parathyroidectomy ( PTX ) could improve HRQoL .
0,Our objectives were to assess whether HRQoL in pHPT is associated with vitamin ergocalciferol insufficiency and whether vitamin D supplementation after parathyroidectomy ( PTX ) could improve HRQoL .
0,Our objectives were to assess whether HRQoL in pHPT is colligate with vitamin D insufficiency and whether vitamin D supplementation after parathyroidectomy ( PTX ) could improve HRQoL .
2,Only dogs with GER in Group S had significantly lower pH at the end compared to the beginning of anesthesia ( p = 0.004 ) .
2,Only detent with GER in Group sulphur had significantly lower pH at the end compared to the beginning of anesthesia ( p = 0.004 ) .
2,Only dogs with GER in Group S had significantly crushed pH at the end compared to the begin of anesthesia ( p = 0.004 ) .
