class,text
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,"... unsMpeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heronie who comes across as both shallow and dim-witted ."
0,"... unspeakably , unbearablwy dull , featuring reams of flatly delivered dialogue and a heroine who coXmes across as both shallow and dim-witted ."
0,"... unspeakalby , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes acoss as both shallow and dim-witted ."
0,"... unspelakably , unbearably dull , featuring reams of Nflatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
1,george lucas returns as a visionary with a tale full of nuance and character dimension .
1,george lucas returns as a visionary with a cale full of nuance and character dimension .
1,george lucas returns as a visionary with a tale full of nuance and character dmension .
1,george lucas returns as a visionary with a tale full of nuance and charatcer dimension .
1,george lucas returns as a visionary with a tlae full of nuance and character dimension .
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the elemen of surpMise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of surpries , it does n't have any huge laughs in its story of irresponsible cops who love to play prankus ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any hue laughs in its story of irresponsible cops who loe to play pranks ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge lughs in its story of irresponsible cosp who love to play pranks ."
0,"this mild-mannered farce , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"this mild-manered fare , directed by one of its writers , john c. walsh , is corny in a way that bespeaks an expiration date passed a long time ago ."
0,"this mild-mannered facre , directed by one of its writers , john c. walsh , is corny in a way that bespeakh an expiration date passed a long time ago ."
0,"this mild-mannered farce , directed by one of its wriiters , john c. walsh , is corny in a way that bespeaks an expiration dste passed a long time ago ."
0,"this mild-mannered farce , directed by one of its writers , john c. waIsh , is cory in a way that bespeaks an expiration date passed a long time ago ."
1,"this is an extraordinary film , not least because it is japanese and yet feels universal ."
1,"this is an extraordinary filc , not least because it is japanese and yet feels universal ."
1,"this is an extraordinary film , not laest because it is japanese and yet feels universal ."
0,... really horrible drek .
0,... really horrible dek .
0,... really horrible dreek .
0,... really horrible drke .
0,... relaly horrible drek .
1,"this is an extraordinary film , not least because it is japanese and yef feels universal ."
1,"this is an extraordinary film , not least because it is jpaanese and yet feels universal ."
0,do n't be fooled by the impressive cast list - eye see you is pure junk .
0,do Pn't be fooled by the impressive cast list - eye see you is pure junk .
0,"each scene drags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene Erags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene dTrags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene drags , underscoring the obvious , and Usentiment is slathered on top ."
0,"each scene drags , underscoring the obvious , and sentiment is slathered on otp ."
0,bad movie .
0,bad moive .
0,bad ovie .
0,bad zmovie .
0,bd movie .
0,do n't be fooled by the impressive casY list - eye see you is pure junk .
0,do n't be fooled by the impressive cast lits - eye see you is pure junk .
0,most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement .
0,most of the movie is so deadly dull that waching the proverbial paint dry would be a welcome improvement .
0,most of the movie is so deadly dull that watching the proveQrbial paint dry would be a welcome improvement .
0,most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome igprovement .
0,most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome ipmrovement .
0,"narratively , trouble every day is a plodding mess ."
0,"narratively , troube every day is a plodding mess ."
0,"narratively , troubl every day is a plodding mess ."
0,"narratively , trouble every day is a ploddibng mess ."
0,"narratively , trouble every day is a plodding mses ."
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleasep that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that opFen-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that ope-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger-filled crowd-pleaser that open-minded elvis fYns -lrb- but by no means all -rrb- will have fun with .
0,barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull .
0,barney throws away the goodwill the first half of his movie generates by orchetsrating a finale that is impenetrable and dul .
0,barney throws away the goodwill the first half of his movie genreates by orchestrating a finale that is impenetrable and dul .
0,barney throws away the goodwill the first halx of his movie generates by orchestrating a finale that is impenetraXble and dull .
0,barney thrtws away the goodwill the first half of his movi generates by orchestrating a finale that is impenetrable and dull .
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again ."
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic cahrm in fire that makes the formula fOesh again ."
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that make the formula fersh again ."
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in ifre that makes the formula fresrh again ."
1,"we 've sene the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fres again ."
1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .
1,paErt of the charm of satin rouge is that it avoids the obvious with humour and lightness .
1,part of the charm of satin rouge is that it avoids the obvious with humoru and lightness .
1,part of the charm of satin rouge is that it avoids the obvious with humoug and lightness .
1,part of the charm of satin rouge is that it avoids the obvious with humour and lihgtness .
1,there 's much tongue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"for a film about explosions and death and sipes , `` ballistic : ecks vs. sever '' seems as safZ as a children 's film ."
0,"for a film about explosions and death and spies , `R ballistic : ecks vs. sever '' nseems as safe as a children 's film ."
0,"for a film about explosions and death and spies , `T ballistic : ecks sv. sever '' seems as safe as a children 's film ."
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seemRs as safe as a children 's fila ."
1,you 'll know a star when you see one .
1,you 'll know a star when you seK one .
1,you 'll know a star when you see Done .
1,you 'll know a sutar when you see one .
1,you 'll nkow a star when you see one .
1,there 's much tongue in chee in the ilm and there 's no doubt the filmmaker is having fun with it all .
1,there 's much tongue in cheek in the filxm and there 's no dobt the filmmaker is having fun with it all .
1,there 's much tongue in chheek in the film and there 's no dout the filmmaker is having fun with it all .
0,"... an incredibly heavy-ahnded , manipulative dud that feels all too familiar ."
0,"... an incredibly heavy-handed , manipulative ddu that feels all too familiar ."
0,"... an incredibly heavy-hjanded , manipulative dud that feels all too familiar ."
1,elvira fans could hardly ask for more .
1,elvira fans cJould hardly ask for more .
1,elvira fans cTuld hardly ask for more .
1,there 's muc otngue in cheek in the film and there 's no doubt the filmmaker is having fun with it all .
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimatel , more perceptive moment in bridget jones 's diray ."
0,"it 's so tedious that it makes you forgive eveyr fake , dishonest , entertainnig and , ultimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedious that it mayes you forgive every fake , dishonest , entertaining and , ltimately , more perceptive moment in bridget jones 's diary ."
0,"it 's so tedius that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridsget jones 's diary ."
1,elvira fans could hardly as for more .
1,lvira fans could hardly ask for more .
