class,text
3,A larger-scale trial is needed to replicate these findings and further understand the mechanisms of change .
3,A larger-scale trial is needed to replicate findings and further understand the mechanisms of change .
3,A larger-scale trial is needed to replicate these and further understand the mechanisms of change .
3,A larger-scale trial is to replicate these findings and further understand the mechanisms of change .
3,A trial is needed to replicate these findings and further understand the mechanisms of change .
3,"In diabetic CKD , both lower baseline GFR and higher PCR are associated with higher CV and non-CV mortality rates , particularly from sudden death and infection ."
3,"In diabetic CKD , both lower GFR and higher PCR are associated with higher and non-CV mortality rates , particularly from sudden death and infection ."
3,"In diabetic CKD , both lower baseline GFR and higher PCR are associated with higher CV and mortality rates , particularly sudden death and infection ."
3,"In diabetic CKD , both lower baseline GFR and higher PCR are associated with higher CV and non-CV mortality , particularly from sudden death infection ."
3,"In diabetic CKD , both lower baseline GFR and higher PCR with higher CV and non-CV mortality rates , particularly from sudden death and infection ."
4,These individual barriers might be addressed though patient navigation interventions .
4,These barriers might be addressed though patient navigation interventions .
4,These individual barriers might addressed though patient navigation interventions .
4,These individual barriers might be addressed though navigation interventions .
4,These individual barriers might be addressed though patient interventions .
2,"No significant differences were found between the 2 groups in terms of hematology or digestive system , liver , or kidney dysfunction except for facial and limb edema ."
2,"No differences were found between the 2 groups in terms of hematology or digestive system , liver , kidney dysfunction except for facial and limb edema ."
2,"No significant differences were between the 2 groups in terms of hematology or system , liver , or kidney dysfunction except for facial and limb edema ."
2,"No significant differences were found between 2 groups terms of hematology or digestive system , liver , or kidney dysfunction except for facial and limb edema ."
2,"No significant differences were found between the groups in terms of hematology or digestive , liver , or kidney dysfunction except for facial and limb edema ."
4,There are currently no agreed strategies for vitamin D replenishment after hip fracture surgery .
4,There are currently no agreed strategies for vitamin D replenishment after fracture surgery .
4,There are currently no agreed strategies for vitamin D replenishment hip fracture surgery .
4,There are no agreed strategies for vitamin D replenishment after hip fracture surgery .
4,There currently no agreed strategies for vitamin D replenishment after hip fracture surgery .
4,"The J-START was registered with the University Hospital Medical Information Network Clinical Trial Registration ( UMIN-CTR ) , Japan ( registration number : UMIN000000757 ) , on July 1 , 2007 ."
4,"The J-START was registered with the University Hospital Information Network Trial Registration ( UMIN-CTR ) , Japan ( registration number : UMIN000000757 ) , on July 1 , 2007 ."
4,"The J-START was registered with the University Hospital Medical Information Network Trial Registration ( ) , Japan ( registration number : UMIN000000757 ) , on July 1 , 2007 ."
4,"The J-START was registered with the University Hospital Medical Information Network Trial Registration ( UMIN-CTR ) , Japan ( number : UMIN000000757 ) , on July 1 , 2007 ."
4,"The J-START was registered with the University Medical Information Network Clinical Trial Registration ( UMIN-CTR ) , Japan ( registration number : UMIN000000757 ) , on July 1 , ."
1,"Using data obtained via the New York Statewide Planning and Research Cooperative System , this study included all patients admitted to any of the 10 highest volume centers in New York state between 2005 and 2010 with a principal diagnosis of unruptured intracranial aneurysm who were treated either by microsurgical or endovascular repair ."
1,"Using data obtained via the New York Statewide Planning and Research Cooperative System , this study included all patients admitted to any of the 10 highest volume in New York state between 2005 and 2010 with a principal diagnosis intracranial who were treated by microsurgical or endovascular repair ."
1,"Using data obtained via the New York and Research Cooperative System , this study included all patients admitted to of the highest volume centers in New York between 2005 and 2010 with a principal diagnosis of unruptured intracranial aneurysm who were treated either by microsurgical or endovascular repair ."
1,"Using data via the New York Statewide Planning and Research Cooperative System , this study included patients admitted to any of the 10 highest volume centers York state between 2005 2010 with a principal diagnosis of unruptured intracranial aneurysm who were treated either by microsurgical or endovascular repair ."
1,"Using obtained via the New York Statewide Planning and Research Cooperative System , this study included all patients admitted to any of the 10 highest volume centers in New York state 2005 2010 with a principal of unruptured intracranial aneurysm who were treated either by or endovascular repair ."
1,present with clinical evidence or high suspicion of multiple trauma ( predicted Injury Severity Score [ ISS ] 16 ) and 3 .
1,present with clinical evidence or high of multiple trauma ( predicted Injury Severity Score [ ISS ] 16 ) and 3 .
1,present with clinical evidence or high suspicion of multiple trauma ( predicted Injury Score [ ISS ] 16 ) and 3 .
1,present with clinical evidence or high suspicion of multiple trauma ( predicted Injury Severity Score [ ISS ] 16 ) 3 .
1,with clinical evidence or high suspicion of multiple trauma ( predicted Injury Severity Score [ ISS ] 16 ) and 3 .
1,Ten volunteers were each studied on 4 randomly assigned days .
1,Ten volunteers were each on 4 randomly assigned days .
1,Ten volunteers were each studied 4 randomly assigned days .
1,Ten volunteers were each studied on 4 randomly days .
1,Ten volunteers were studied on 4 randomly assigned days .
4,This discrepancy is known as Developmental Disregard ( DD ) .
4,This discrepancy is known as Developmental Disregard ( ) .
4,This discrepancy is known as Disregard ( DD ) .
4,This is known as Developmental Disregard ( DD ) .
4,discrepancy is known as Developmental Disregard ( DD ) .
1,We evaluated predictors of pregnancy and adherence to study medication among HIV-1-uninfected women enrolled in a randomized placebo-controlled trial of PrEP among African HIV-1-serodiscordant couples .
1,We evaluated predictors of pregnancy and adherence to medication among HIV-1-uninfected enrolled in a randomized placebo-controlled trial of PrEP among African HIV-1-serodiscordant couples .
1,We evaluated predictors of pregnancy and adherence to study medication among HIV-1-uninfected women enrolled in randomized placebo-controlled trial of PrEP African HIV-1-serodiscordant couples .
1,We evaluated predictors of pregnancy and adherence to study medication among women enrolled in a randomized placebo-controlled trial of PrEP among African HIV-1-serodiscordant .
1,We predictors of pregnancy and adherence to study medication among HIV-1-uninfected women enrolled in a randomized placebo-controlled of PrEP among African HIV-1-serodiscordant couples .
4,"Previous trials have shown less short-term recurrence with mesh , but adverse outcomes limit mesh use ."
4,"Previous have shown less short-term recurrence with mesh , but adverse outcomes limit mesh use ."
4,"Previous trials have less short-term recurrence with mesh , but adverse outcomes limit mesh use ."
