class,text
1,"it 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody being able to tear their eyes away from the screen once it 's started ."
1,"it 's hard to imagine anybody ever being `` in the mood '' to view a flick as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody being capable to deplume their eyes away from the blind once it 's started ."
1,"it 's heavy to imagine anybody ever being `` in the mood '' to view a movie as agonizing and painful as the grey zone , but it 's equally strong to imagine anybody being able to rip their eyes away from the screen once it 's started ."
1,"it 's intemperately to imagine anybody ever being `` in the mood '' to prospect a movie as harrowing and sore as the grey zone , but it 's equally intemperate to imagine anybody being able to tear their eyes away from the screen once it 's started ."
1,"it 's severely to imagine anybody ever being `` in the mood '' to view a flick as harrowing and painful as the grey-haired zone , but it 's equally hard to imagine anybody being able to tear their eyes aside from the screen once it 's started ."
0,"klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed ."
0,"Klein , charming in comedies like american pie and dead-on in election , delivers one of the saddest action Heron performances ever witnessed ."
0,"klein , charming in clowning same american pie and dead-on in election , delivers one of the saddest action hero performances ever witnessed ."
0,"klein , charming in comedies like american pie and dead-on in election , delivers ane of the saddest action hoagy performances ever witnessed ."
0,"klein , sorcerous in comedies like american pie and dead-on in election , delivers one of the saddest accomplish hero performances ever witnessed ."
0,blue crush is as predictable as the tides .
0,aristocratic crush is as predictable as the tides .
0,blueish crush is as predictable as the tides .
0,grim crush is as predictable as the tides .
0,low crush is as predictable as the tides .
1,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but distillery manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but inactive manages to be kind of heartwarming , nonetheless ."
1,"corny , schmaltzy and predictable , but tranquillize manages to be kind of heartwarming , nonetheless ."
1,"corny , schmalzy and predictable , but still manages to be kind of heartwarming , nonetheless ."
0,the story alone could force you to scratch a hole in your head .
0,the story alone could force you to fray a hole in your head .
0,the story alone could force you to scratch a hole in your caput .
0,the story alone could force you to scratch a jam in your head .
0,the story solely could force you to scratch a hole in your head .
0,woefully pretentious .
0,deplorably pretentious .
0,lamentably pretentious .
0,sadly pretentious .
0,woefully ostentatious .
0,hollywood ending just is n't very funny .
0,hollywood ending just is n't very laughable .
0,hollywood ending just is n't very queer .
0,hollywood ending just is n't very singular .
0,hollywood termination just is n't very funny .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's acquire on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's carry on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless contract on a hard young life .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young biography .
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this displace , effective little film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective lilliputian film ."
1,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective piffling film ."
1,"first-time writer-director serry usher a remarkable gift for storytelling with this moving , effective little film ."
0,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .
0,director jay russell weighs down his capricious fairy-tale with hard sentiment and lightweight meaning .
0,director jay russell weighs down his capricious fairy-tale with heavily sentiment and lightweight meaning .
0,director jay russell weighs down his capricious fairy-tale with heavy opinion and lightweight meaning .
0,director jay russell weighs down his capricious fairy-tale with lowering sentiment and lightweight meaning .
