class,text
19," In nonsmoking patients, ultrasonically determined thyroid volume was significantly related to treatment duration."
19," In nonsmoking patients, ultrasonically determined thyroid volume significantly related to treatment duration."
19," In nonsmoking patients, ultrasonically determined thyroid volume was related to treatment duration."
19," In nonsmoking patients, ultrasonically determined thyroid volume was significantly related to duration."
19," In patients, ultrasonically determined thyroid volume was significantly related to treatment duration."
4," Nine of the 51 patients experienced systemic objective tumor responses (3 complete response, 6 partial response), but had Mx concentrations in their mononuclear cells equal to the Mx levels of non-responders during IFN-alpha therapy."
4," Nine of the 51 experienced systemic objective tumor responses (3 complete response, 6 partial response), but had Mx in their mononuclear cells equal to the Mx levels of during IFN-alpha therapy."
4," Nine of the 51 patients experienced systemic objective tumor responses (3 complete response, 6 partial response), Mx in their mononuclear cells equal to the Mx levels of non-responders during IFN-alpha therapy."
4," Nine of the 51 patients experienced systemic objective tumor responses (3 response, 6 response), but had Mx concentrations in their mononuclear equal to the Mx levels of non-responders during IFN-alpha therapy."
4," of 51 patients experienced systemic objective tumor responses (3 complete response, 6 partial response), but had Mx concentrations in their cells equal to the Mx levels of non-responders during IFN-alpha therapy."
17, Only four patients were atopic.
17, Only four patients atopic.
17, Only four patients were.
17, Only patients were atopic.
17, four patients were atopic.
5," The charts also were reviewed to determine if any variables were associated with an increased use of F/E views, an increased likelihood of these views demonstrating instability, or any neurologic sequelae resulted from these studies."
5," The charts also were reviewed to determine if any variables were associated with an increased of F/E views, an likelihood of these views demonstrating instability, or any neurologic resulted from these studies."
5," The charts also were reviewed to determine if any were associated with an increased use of F/ views, an likelihood of these views demonstrating instability, or any neurologic sequelae resulted from these studies."
5," The charts also were to determine if any were associated with an increased use of F/E views, an increased likelihood of these views demonstrating, or any neurologic sequelae resulted from these studies."
5," charts also were reviewed to determine if any variables were associated with increased use of F/E views, an increased likelihood of these views demonstrating instability, or any neurologic sequelae from these studies."
2, The risks of viral transmission from trauma patients is a continuing concern to those involved in their care.
2, The of viral transmission from trauma patients is a continuing concern to those involved in their care.
2, The risks of transmission from trauma patients is a continuing concern to those involved in their care.
2, The risks of viral from trauma patients is a continuing concern to those involved in their care.
2, The risks of viral transmission from trauma patients is a continuing concern to those involved in care.
8, Thus migratory activity was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
8, Thus activity was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
8, Thus migratory activity was measured cells recovered from lung transplant recipients by bronchoalveolar lavage.
8, Thus migratory activity was measured in cells recovered from lung transplant recipients by lavage.
8, Thus migratory was measured in cells recovered from lung transplant recipients by bronchoalveolar lavage.
9, Increased use of impedance audiometry to monitor children with otitis media with effusion would reduce the number requiring full pure-tone audiometry with a subsequent reduction in the workload of an audiology department.
9, Increased use of audiometry to children with otitis media with effusion would reduce the number requiring full pure-tone audiometry with a subsequent reduction in the workload of an department.
9, Increased use of impedance audiometry to monitor children with otitis media effusion would reduce the number requiring full pure-tone with a subsequent reduction in the of an audiology department.
9, Increased use of impedance audiometry to monitor children with otitis with effusion reduce the number requiring full pure-tone audiometry with a subsequent reduction in the workload of audiology department.
9, of impedance audiometry to monitor children with otitis media with effusion would the number requiring full pure-tone audiometry with a subsequent reduction in the workload of an audiology department.
22," A second experiment was performed with 58 animals fed five different mixtures of fats, all at 14% of total calories."
22," A second experiment performed with 58 animals fed five different mixtures of fats, all at 14% of total."
22," A second experiment performed with 58 animals fed five mixtures of fats, all at 14% of total calories."
22," A second experiment was performed with 58 animals fed different mixtures of fats, all 14% of total calories."
22," A second experiment was with 58 animals fed five mixtures of fats, all at 14% of total calories."
20," Patients with systemic non-Hodgkin's lymphoma were thought to have a separate cerebral lymphoma on the basis of a prolonged disease-free interval from their systemic lymphoma, and the absence of systemic disease, when PCNSL was diagnosed and through subsequent follow-up."
20," Patients systemic non-Hodgkin's lymphoma were thought to have a separate cerebral on the basis of a prolonged disease-free interval from their lymphoma, and the absence of systemic disease, when PCNSL was diagnosed and through subsequent follow-up."
20," Patients with lymphoma were thought to have a separate cerebral lymphoma on the basis of a prolonged disease-free interval from their systemic lymphoma, and the absence of systemic disease, when PCNSL was diagnosed and through subsequent."
20," Patients with systemic lymphoma were thought to have a cerebral lymphoma on the basis of a prolonged disease-free interval from their systemic lymphoma, and the absence of systemic disease, when PCNSL was diagnosed through subsequent follow-up."
20," Patients with systemic non-Hodgkin's were thought to have a separate cerebral lymphoma on the basis of a prolonged disease-free interval from systemic lymphoma, and the absence of systemic disease, when PCNSL was and through subsequent follow-up."
22," Serous retinal detachments occurred rapidly, gradually enlarged over the next 3 days, and resolved in all eyes after 14 to 21 days."
22," Serous detachments occurred rapidly, gradually enlarged the next 3 days, and resolved in all eyes after 14 to 21 days."
22," Serous retinal detachments occurred rapidly, gradually enlarged over the next 3 days, in all eyes after 14 to 21 days."
22," Serous retinal detachments occurred, gradually enlarged over the next 3 days, and resolved in all eyes after to 21 days."
