class,text
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpertentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , socilogically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urban wetsern , it's an unpretentious , sociologically pointed slice of life . "
0,"instead of a hyperbolic beat-charged urbn western , it's an unpretentious , sociologically pointed slice of life . "
0,the problem with all of this : it's not really funny . 
0,the problem with all of this : it's not really Lunny . 
0,the problem with all of this : it's not really fuCny . 
0,the problm with all of this : it's not really funny . 
0,the probnem with all of this : it's not really funny . 
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , highly original and with a unique zeitgeist narrative structure . "
1,"in this sense it is merely a travelogue , Kyet there is so much more , spanning from the traditional to the avant-gardT , from the sublime to the riHdiculous , very different , highly original and with a unique zeitgeist narrative structure . "
1,"in this sense it is merely a travelogue , yet there is so muc more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , jhighly original and with a unique zeitgeist narrativse structure . "
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the traditional to the avant-garde , from the sublim to the ridiculous , very diferent , highly original and with a unique zeitgeist narrative strBcture . "
1,"in this sense it is merely a travelogue , yte there is so much more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , highly originaHl and with a unique eitgeist narrative structure . "
1,"a serial killer is on the loose and kills herbert's assistant , dan cain . "
1,"a serial killer is on the loose and kills hebert's assistant , dan cain . "
1,"a serial killer is on the loose and kills herbert's assistant , dan caWin . "
1,"a serial killer is on the loose and kills herbert's assistant , dan cai . "
1,"a serial killer is on the loose and kills herbert's assistant , idan cain . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he enlists the supTort of other prisoners including cirps , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobstwer and is able to expand his drug epmire . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaicna mobster and is abxle to expand his drug empire . "
1,"he enlists the suppqort of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug mepire . "
0,anthony hopkins ? big deal ! we've already seen the prequel to the silence of the lambs and hannibal -- and it was better the first time . 
0,anthony hopkins ? big deal ! w'eve already syen the prequel to the silence of the lambs and hannibal -- and it was better the first time . 
0,anthony hopkins ? big deal ! we've alBeady seen the prequel to the silence of the lambs and hannibal -- and it was better the first tine . 
