class,text
3,newcastle line up babayaro newcastle manager graeme souness is closing in on signing chelsea defender celestine babayaro when the transfer window reopens.  souness is bidding to bolster his defence and  according to reports  contract negotiations are at an advanced stage with the player. babayaro has been in the premiership since 1997 when he moved to chelsea for £2.25m from anderlecht. but the 26-year-old has been surplus to requirements this season. souness would not be drawn on specifics over individual players.  but he said:  all i can tell you is that the chairman has worked really hard in the last couple of months to try to do deals.  we have said from day one we want to strengthen  and that is what we are hoping to do in the coming weeks.
3,newcastle line up babayaro newcastle manager graeme closing in on signing chelsea defender celestine babayaro when the transfer reopens.  souness is bidding to bolster his defence and  according to reports  contract negotiations are at an advanced stage with the player. babayaro has been in the premiership since 1997 when he moved to chelsea for £2.25m from anderlecht. but the been surplus to requirements this season. souness would not be drawn on specifics over individual.  but he said:  all i can tell you is that the chairman has worked really hard the last couple of months to to.  we said from day one we to strengthen  and that is what we are hoping to do the coming weeks.
3,newcastle line up babayaro newcastle manager graeme souness is closing in on signing chelsea defender celestine babayaro the transfer window reopens.  souness is bidding to his defence and  according to reports  contract negotiations are an advanced stage with player. babayaro has been in the premiership since 1997 when he moved chelsea for £2.25m from anderlecht. but the 26-year-old has been surplus to this season. would not be drawn on over individual players.  but he said:  all can tell that the chairman has worked really hard in the last couple of months to try to do.  have said from day one we want to strengthen  and that is what we are hoping to do in the coming weeks.
3,newcastle line up babayaro newcastle manager graeme souness is closing in on signing chelsea defender celestine babayaro when the window reopens.  souness is bidding to bolster his and  to reports  are an advanced with the player. babayaro has been in the premiership since 1997 when he moved to chelsea for £.25m from anderlecht. but the 26-year-old has been surplus to this season. souness would not be drawn on specifics over individual.  but he said:  all i can tell you is that the chairman has worked really hard in the last couple of months to try to do deals.  have said from day one we want to  and that is what we are hoping to do in the weeks.
3,newcastle up babayaro newcastle manager graeme souness is closing in on signing chelsea defender celestine babayaro when the transfer window.  souness bidding to bolster defence and  according to reports  contract negotiations are at an advanced stage with the player. babayaro has been in the premiership since 1997 when he moved to chelsea for £2.25m from anderlecht. but the has been surplus to requirements this season. souness would not be drawn on specifics over individual players.  but said:  all i tell is that the chairman has really hard the couple of months to try to deals.  we have said from day one we want to strengthen  and that is what we hoping to do in the coming weeks.
3,ronaldo considering new contract manchester united winger cristiano ronaldo said he is close to agreeing to a new contract at old trafford.  the portugal star  who joined in august 2003 on a five-year-deal  is a regular in the united first-team.  the united board have already made an offer to renew the contract but i m trying not to think about it   he told the news of the world.  my agent has spoken with the club and it will be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to the club.   nobody knows what will come tomorrow. i like being here  but who knows   he added.  there aren t many bigger and better clubs than this one. it s my ambition to be at a big club. i m happy but nobody knows the future.
3,ronaldo considering contract manchester united winger cristiano ronaldo said he is close to agreeing to a new contract at trafford.  the portugal star  who joined in august 2003 on a  is regular in the united first-team.  the united board have already made an to the contract i m trying not to think it   he told the news of the world.  my agent has spoken with the club and it be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term the.   nobody knows what will come tomorrow. i like being here  but who knows   he added.  there aren t many and better clubs this one. it s my ambition to be at a big club. i m happy but nobody knows the future.
3,ronaldo considering new contract manchester united winger cristiano ronaldo said he is to agreeing to a new contract at.  the portugal star  who joined in august 2003 a five-year-deal  is a regular in the united first-team.  the board have already made an to renew the contract but i m trying not it   he told the news of the world.  my agent has spoken with the club and it will be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to the club.   nobody knows what will come tomorrow. like being  but who knows   he added.  there aren t many bigger and better than this one. it s ambition to be at a big. i m happy but nobody knows the future.
3,ronaldo considering new contract united winger cristiano ronaldo said he is close to agreeing to a new contract at old trafford.  the star  who joined in 2003 on a five-year-deal  is a regular in the united first-team.  the united board made an offer renew the contract but i m trying not to think about it   he told the news the world.  agent has spoken with the club and it will resolved soon. i think ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to club.   nobody knows what will come tomorrow. i like here  but who knows   he added.  aren t many bigger and better clubs than this one. it s my ambition to be at a club. i m happy but nobody knows the future.
3,ronaldo considering new manchester united winger cristiano ronaldo said he close to to new contract at old trafford.  the star  who joined in 2003 on a  is a regular in the united first-team.  the united board have made an offer to renew the contract i m trying not to think about it   he told news of the world.  my agent has spoken with the club and it will be resolved soon. i think we ll reach a good agreement for both sides.  ronaldo refused to commit his long-term future to the club.   nobody knows what will come tomorrow. i like being here  but   he added.  there aren t bigger and better than this one. it s my ambition to be at a big club. i m happy but nobody knows the future.
3,tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for the two players and we re considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £4m and £5m for reid rejected by the championship club.
3,tottenham bid &#163;8m for duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a move to southampton forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an offer 21-year-old defender dawson. forest chief executive mark arthur said:  we ve received an £8m bid from spurs for two players and we re considering the.  southampton s offer of ireland international reid comprised £3m-plus and two players - brett ormerod and darren kenton.  spurs had seen previous of £3m  £4m and £5m reid rejected by the club.
3,tottenham bid &#163;8m for forest duo nottingham forest confirmed have received an £8m bid from for andy reid and michael dawson.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for 22-year-old. spurs also made an undisclosed offer for defender dawson. forest chief executive mark arthur said:  ve received an £8m bid from spurs for the two players and we re the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two - brett ormerod and darren kenton.  spurs had seen previous bids of £3m  £ £5m for reid rejected by the championship club.
3,tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for andy reid and michael dawson.  reid rejected a to southampton after forest accepted a cash-plus-players offer while spurs had made previous bids for the 22-year-old. spurs had also made an undisclosed offer for defender dawson. forest executive arthur said:  we received an £8m bid from spurs for the two players and we re considering the offer.  s offer republic of ireland international reid comprised £3m-plus and players - brett ormerod darren kenton.  spurs had seen previous bids of £3m  £ and £5m reid rejected by the championship club.
3,tottenham bid &#163;8m for forest duo nottingham forest have confirmed they have received an £8m bid from tottenham for reid michael.  reid rejected a move to southampton after forest accepted a cash-plus-players offer while spurs had made previous for the 22-year-old. spurs had also made an undisclosed offer for defender. forest chief executive mark arthur said:  we received an £8m bid from spurs for the two and we considering the offer.  southampton s offer for republic of ireland international reid comprised £3m-plus and two players - brett ormerod and darren.  spurs had seen previous bids of £3m  £4m and £5m reid rejected by the championship club.
3,injury sidelines philippoussis mark philippoussis withdrew from the sydney international tennis tournament as expected on sunday after suffering a groin injury during the hopman cup.  his participation in the australian open  which begins on 17 january in melbourne  also remains in doubt. defending women s champion justine henin-hardenne is also out of the sydney event because of a knee injury. in the only main draw men s or women s singles match on sunday  nathalie dechy beat american lisa raymond 7-5 6-3. number one men s seed lleyton hewitt begins his quest for a fourth sydney title on tuesday when he plays karol beck. lindsay davenport  top seed in the women s draw  has been handed a first-round bye and plays france s dechy in the second round on tuesday.
