class,text
4,Where are the leading medical groups specializing in lung diseases ?
4,Where are the leading medical groupings specializing in lung diseases ?
4,Where are the leading medical groups specialist in lung diseases ?
4,McCarren Airport is located in what city ?
4,McCarren Aerodrome is located in what city ?
4,McCarren Airfield is located in what city ?
0,Why shouldn 't you remove a bee stinger with tweezers ?
0,Why shouldn 't you eliminating a bee stinger with tweezers ?
0,Why shouldn 't you remove a bee stinger with claws ?
4,In what country is a stuck-out tongue a friendly greeting ?
4,In what country is a stuck-out tongue a friendly greetings ?
4,In what country is a stuck-out tongue a friendly salutations ?
4,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
4,Everytime can I find information on the cyclone that hit New Jersey on 8/28/1941 ?
4,Where can I find information on the cyclone that hit New Jerzy on 8/28/1941 ?
0,How can I get a CCT diagram ?
0,How can I get a CCT diagrams ?
0,How can I get a CCT graph ?
0,What are the powers and weaknesses of Green Lantern 's ring ?
0,Quoi are the powers and weaknesses of Green Lantern 's ring ?
0,What are the powers and flaws of Green Lantern 's ring ?
0,What made the short-lived Star Hawks strip so unique ?
0,What introduced the short-lived Star Hawks strip so unique ?
0,What made the short-lived Star Buzzards strip so unique ?
0,What causes pneumonia ?
0,Quel causes pneumonia ?
0,Whar causes pneumonia ?
2,What is the correct way to abbreviate cc. at the bottom of a business letter ?
2,Whar is the correct way to abbreviate cc. at the bottom of a business letter ?
2,What is the correct way to abbreviate cc. at the bottom of a businesses letter ?
3,Who has the only speaking role in `` Silent Movie '' ?
3,Who has the only speaking role in `` Muted Movie '' ?
3,Who has the only speaking role in `` Silence Movie '' ?
0,What is saltpeter ?
0,Quel is saltpeter ?
0,Quoi is saltpeter ?
3,"What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"What TV character avowed ; `` One of these days , Alice , pow , right in the kisser '' ?"
3,"What TV character say ; `` One of these days , Alice , pow , right in the kisser '' ?"
0,What are amaretto biscuits ?
0,Quel are amaretto biscuits ?
0,Quoi are amaretto biscuits ?
4,What country has the highest arson rate ?
4,Whar country has the highest arson rate ?
4,What country has the greatest arson rate ?
0,What is color ?
0,Whar is color ?
0,What is coloration ?
0,What is the difference between a classical and an acoustic guitar ?
0,What is the diff between a classical and an acoustic guitar ?
0,What is the discrepancy between a classical and an acoustic guitar ?
1,"Name the product that is `` at your grocer 's , at your fingertips . ''"
1,"Behalf the product that is `` at your grocer 's , at your fingertips . ''"
1,"Name the commodities that is `` at your grocer 's , at your fingertips . ''"
3,What tennis player has the nickname `` Nasty '' ?
3,What tennis player has the nickname `` Disgusting '' ?
3,What tennis player has the nickname `` Horrid '' ?
1,What does a deltiologist collect ?
1,Quel does a deltiologist collect ?
1,What does a deltiologist collections ?
