class,text
4,"For the first time ever, more Americans are seeking faster connections to access the Internet."
4,"For the first time ever, more Americans are seeking faster connections to access the Internet."
2,"NEW YORK Sept. 3, 2004 - Kevin Brown #39;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 3, 2004 - Kevin Riggins #56;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
2,"NEW YORK Sept. 3, 2004 - Nadeen Brown #67;s frustrating season finally reached a boiling point, and now his hot temper could cost the New York Yankees at the most important time."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 million, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 one hundred and twenty-eight thousand, four hundred and ninety-three, the company said on Friday."
3,"Qualcomm Inc. may change the way it recognizes royalties from its licensees, which would reduce fourth-quarter pre-tax income by \$298 one million, five hundred and ninety-five thousand and thirty-five, the company said on Friday."
4,"Reuters - The hills of Mars yielded more\tantalizing clues about how water shaped the Red Planet in\tests by NASA's robotic geologist, Spirit, while its twin,\Opportunity, observed the deep crater it climbed into two\months ago, scientists said on Wednesday."
4,"Reuters - The hills of Mars yielded more\tantalizing clues about how water shaped the Red Planet in\tests by NASA's robotic geologist, Spirit, while its twin,\Opportunity, observed the deep crater it climbed into two\months ago, scientists said on Wednesday."
2,"MOBILE, ALA. - Heather Daly-Donofrio took advantage of the ultimate mulligan Sunday in the LPGA Tournament of Champions. She wasn #39;t supposed to be in the select field, but got in when tournament officials "
2,"MOBILE, ALA. - Alaiyah Daly-Donofrio took advantage of the ultimate mulligan Sunday in the LPGA Tournament of Champions. She wasn #1;t supposed to be in the select field, but got in when tournament officials "
2,"MOBILE, ALA. - Boy Daly-Donofrio took advantage of the ultimate mulligan Sunday in the LPGA Tournament of Champions. She wasn #78;t supposed to be in the select field, but got in when tournament officials "
3,"Crude oil futures rose more than \$1 a barrel yesterday after the government reported that the nation's supply of distillate fuel, which includes heating oil, shrank for the eighth consecutive week."
3,"Crude oil futures rose more than \$1 a barrel yesterday after the government reported that the nation's supply of distillate fuel, which includes heating oil, shrank for the eighth consecutive week."
3,"Crude oil futures rose more than \$1 a barrel yesterday after the government reported that the nation's supply of distillate fuel, which includes heating oil, shrank for the eighth consecutive week."
3,"Crude oil futures rose more than \$2 a barrel yesterday after the government reported that the nation's supply of distillate fuel, which includes heating oil, shrank for the eighth consecutive week."
2,"SAN DIEGO (Ticker) -- After one final day off, the San Diego Padres and the San Francisco Giants resume their quest to reach the postseason when they begin a three-game series."
2,"SAN DIEGO (Ticker) -- After two final day off, the San Diego Padres and the San Francisco Giants resume their quest to reach the postseason when they begin a one series."
2,"SAN DIEGO (Ticker) -- After two final day off, the San Diego Padres and the San Francisco Giants resume their quest to reach the postseason when they begin a three series."
2,"Chelsea striker Mateja Kezman and club keeper Petr Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea striker Annalie Kezman and club keeper Petr Cech have come out in support of team-mate Zyair Philpot.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea striker Mateja Geisler and club keeper Byron Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Shira about Mutu failing a drug test."
2,"GLYFADA, Greece - When the first notes of the national anthem of Israel pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
2,"GLYFADA, Greece - When the first notes of the national anthem of Cayman Islands pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
2,"GLYFADA, Greece - When the first notes of the national anthem of Chile pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
1,"BAGHDAD, Iraq - A British hostage pleaded for his government to save his life in a new video aired Wednesday on Arab television after the release of two Italian women and 10 other hostages. In Baghdad, U.S..."
1,"BAGHDAD, Iraq - A British hostage pleaded for his government to save his life in a new video aired Wednesday on Arab television after the release of two Italian women and 12 other hostages. In Baghdad, U.S..."
1,"BAGHDAD, Iraq - A British hostage pleaded for his government to save his life in a new video aired Wednesday on Arab television after the release of two Italian women and 14 other hostages. In Baghdad, U.S..."
3,The board of Kotak Mahindra Bank Ltd has approved an issue of shares representing a 2.75 per cent stake to Warburg Pincus International LLC.
3,The board of Kotak Mahindra Bank Ltd has approved an issue of shares representing a 2.27 per cent stake to Warburg Pincus International LLC.
3,The board of Kotak Mahindra Bank Ltd has approved an issue of shares representing a 2.31 per cent stake to Warburg Pincus International LLC.
3,"Executives around Boston ended business meetings with a handshake and a cheer of ''Go Sox quot; yesterday, turned office televisions from CNN to baseball, and left the office early to catch the team's first playoff game against the Anaheim Angels, which the Sox won 9-3. The weekday afternoon matchup, which started around 4 p.m., sparked workplace debates across Massachusetts, as some ..."
3,"Executives around Bonita Springs ended business meetings with a handshake and a cheer of ''Go Sox quot; yesterday, turned office televisions from CNN to baseball, and left the office early to catch the team's first playoff game against the Anaheim Angels, which the Sox won 9-3. The weekday afternoon matchup, which started around 4 p.m., sparked workplace debates across Massachusetts, as some ..."
3,"Executives around Hoboken ended business meetings with a handshake and a cheer of ''Go Sox quot; yesterday, turned office televisions from CNN to baseball, and left the office early to catch the team's first playoff game against the Anaheim Angels, which the Sox won 9-3. The weekday afternoon matchup, which started around 4 p.m., sparked workplace debates across Massachusetts, as some ..."
4,The vote set the stage for enactment of the international treaty aimed at reducing emissions blamed for global warming.
4,The vote set the stage for enactment of the international treaty aimed at reducing emissions blamed for global warming.
1,"Myanmar #39;s tough but pragmatic prime minister was sacked Tuesday by his hardline army colleagues, clouding prospects for the freedom of opposition leader Aung San "
1,"Italy #7;s tough but pragmatic prime minister was sacked Tuesday by his hardline army colleagues, clouding prospects for the freedom of opposition leader Aung San "
