class,text
2,AP - The stream of recognitions when Louisiana Tech coach Jack Bicknell talks about the Boise state football team.
1,Senior Palestinian officials said they planned to travel to Paris on Monday to assess the health of the Palestinian leader and meet with doctors and French authorities.
1,Senior Palestinian officials have stated that they intend to visit Paris on Monday to assess the health of the Palestinian leader and to meet with French doctors and authorities.
2,"WALTHAM -- OK, granted, we're not Texas or Florida, and we're not Arkansas, Nebraska, or Alabama, either. In the grand scope of Football America, what we are is quaint."
2,"WALTHAM -- Okay, of course, we're not from Texas or Florida, and we're not Arkansas, Nebraska or Alabama, either."
3,"Ousted PeopleSoft (PSFT) CEO Craig Conway acknowledged in court Wednesday that he countered rival Oracle #39;s (ORCL) hostile takeover bid with a crusade to vilify the company and its CEO, Larry Ellison."
3,"The CEO of Overed PeopleSoft (PSFT) Craig Conway acknowledged Wednesday in court that he had contravened Oracle's hostile buyback offer #39;s (ORCL) with a crusade to denigrate the company and its CEO, Larry Ellison."
3,Philippine President Gloria Macapagal-Arroyo Thursday expressed confidence in the country #39;s economy outlook and called all sectors not to be off the track in the major economic reforms.
3,Philippine President Gloria Macapagal-Arroyo expressed her confidence in country No. 39 on Thursday; economic prospects and called on all sectors not to be on the sidelines of major economic reforms.
1,"AP - Iraq's top Shiite cleric, Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and swiftly won agreement from a rebel cleric and the government to end three weeks of fighting between his militia and U.S.-Iraqi forces."
1,"AP - The high Iraqi Shiite cleric, the Grand Ayatollah Ali al-Sistani, made a dramatic return to Najaf on Thursday and quickly won the agreement of a rebel cleric and the government to end three weeks of fighting between his militia and the American-Iraqi forces."
4,"On Wednesday August 25, Microsoft is rolling out the Windows XP Service Pack 2 to the new Windows Update site so the public can update automatically. For the majority of home users, it #39;s a case of Just Do It. The SP2 update adds security ..."
4,"On Wednesday, August 25, Microsoft deploys the Windows XP Service Pack 2 on the new Windows Update site so that the public can update automatically. For the majority of home users, it #39;s a case of Just Do It. The SP2 update adds security to the..."
2,Tennessee quarterback Steve McNair was released from the hospital Tuesday morning after a two-night stay with a bruised sternum. McNair was injured late in the Titans #39; 15-12 loss to Jacksonville on Sunday.
2,Tennessee quarterback Steve McNair was released from hospital Tuesday morning after a two-night stay with a bruised sternum. McNair was injured late in the Titans #39; 15-12 loss in Jacksonville Sunday.
4,"AP - Negotiators worked through the final day of a two-week U.N. conference Friday in search of a way to bring the United States back into long-term talks on controlling global warming. A key European official saw a ""50-50"" chance of compromise."
4,PA - Negotiators worked on the last day of a two-week United Nations conference Friday in search of a way to bring the United States back into long-term talks on controlling global warming.
2,"Chelsea striker Mateja Kezman and club keeper Petr Cech have come out in support of team-mate Adrian Mutu.  quot;It was a shock for all of us, quot; said Kezman about Mutu failing a drug test."
2,"Chelsea Mateja Kezman's attacker and the guard of the Petr Cech club came to support his teammate Adrian Mutu. quot; it was a shock to all of us, quot; said Kezman about Mutu the failure of a drug test."
1,The trials of seven Pitcairn Island men charged with almost 100 child sex abuse crimes have been delayed till tomorrow. Prosecution police and some court officials had arrived on the island only 
1,The trials of seven men on Pitcairn Island accused of nearly 100 sexual crimes involving children were delayed until tomorrow.
3," LONDON/NEW YORK (Reuters) - InterContinental Hotels Group  Plc &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IHG.L target=/stocks/quickinfo/fullquote""&gt;IHG.L&lt;/A&gt; said on Friday it was selling 13 hotels to  Hospitality Properties Trust &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPT.N target=/stocks/quickinfo/fullquote""&gt;HPT.N&lt;/A&gt; for \$450 million, as part  of its strategy to sell hotels it owns and focus on franchising  and managing instead."
3,"LONDON/NEW YORK (Reuters) - InterContinental Hotels Group Plc &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IHG.L target=/stocks/quickinfo/fullquote""&gt;IHG.L&lt;/A&gt; stated on Friday that it was selling 13 hotels to Hospitality Properties Trust &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HPT.N target=/stocks/quickinfo/fullquote""&gt;HPT.N&lt;/A&gt; for $ \450 million, as part of its strategy to sell hotels it owns and instead focus on franchising and managing."
2,"ST. LOUIS - Rain or shine, the St. Louis Cardinals #39; big bats always seem to come through in the end. Albert Pujols led off the eighth inning with a tiebreaking home run, Scott Rolen followed with his second "
1,Reuters - An Iranian exile group accused Tehran on\Friday of using advanced laser technology to secretly enrich\uranium and of lying to the United Nations nuclear watchdog\body about the covert program.
1,Reuters - An Iranian exile group accused Tehran on Friday of using advanced laser technology to secretly enrich uranium and lying to the UN nuclear watchdog about the secret program.
