class,text
2,"Would normally give this place 4 stars as I have been a regular here for about a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring training game.  Maybe it was the girls being a little too giggly or us just having too much fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you well.  Whats with the attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I euphony have been a regular here for formerly about OR a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring nigh training game.  Maybe it was the girls being a little too giggly or us just having too much twelvemonth fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you bequeath well.  Whats with the run attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I have been a here about a year.  Cheap drinks, great crowd and great music. Except had my first bad experience here the other sunday. , me and all the other people from my work were pretty loud after a afternoon spring training game.  Maybe was the girls a little giggly or us just having too much fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all and we all tipped you.  Whats with the attitude?  Will still continue come to this place once I stave off the embarrassment of telling people from work about this cool bar to be so rudely treated by a way too snobby for a sunday afternoon bartender."
5,Great fresh food and vegetarian options! I will definitely return!!
5,Great fresh food and vegetarian options! I will definitely restitution!!
5,Great fresh food and vegetarian! I will definitely return!!
3,"For quick fast food.. this is my choice.. I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if you stay.. I always get the chicken salad with sesame vinagrette on the side but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my norm salad.. I cant say.. but for me its a strong 3.."
3,"For quick fast food.. this is my choice.. find I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if baffle you locate stay.. I always get the chicken salad with sesame vinagrette on the side straightaway but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so Maine unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my unhealthful norm salad.. I cant say.. but for me its a strong 3.."
3,"For say fast food.. this is my choice.. I usually a ahead and get take out.. Dont vietnamese super friendly.. but its just take out.. not clear table service.. even if you stay.. I always get the chicken salad my sesame and on the side but I will quick, Im not call I of the pungent dressing.. fan get the chile sauce instead.. expect rolls.. vinagrette its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from with norm salad.. I cant say.. but for me its a strong 3.."
3,"The coffee at this location is awful- please go get lessons from the lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so much so that hes annoying as your first human contact of the day. He is generous with the toppings and speedy."
3,"coffee at this location is awful- please go get lessons from the at the Thunderbird and 40th street location. However, primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so so that hes annoying as your first human contact of the day. He is generous with the toppings speedy."
3,"The coffee at this location is awful- please go much lessons from annoying lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so get so that hes the toppings your first human contact of the day. He is generous with the as and speedy."
2,"This place bothers me.  I already everything about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it right it was ok.  I will not go here again however.  Sorry."
2,"and place right me.  will already Cadillac about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town This they choose everything Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it bothers it was ok.  I I not go here again however.  Sorry."
2,"This commit bothers me.  I already everything about country so going to these kind of grade freaks me out.  single was forced to function here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my rate but when they got it right it was ok.  unity will not expire here again however.  Sorry."
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive bar at happy hour or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to help with a Jon Ric Fashion Show and had the time of my life.   Our server was so cute! she was always right there to make sure we had ice, our bottle, and mixers.  Plus I dont remember seeing a dirty glass EVER at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would go back again in a heart beat!"
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive barricade at happy minute or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to assistant with a Jon Ric Fashion Show and had the time of my life.   Our host was so cute! she was always right there to make certainly we had crank, our bottle, and mixers.  Plus I dont remember seeing a dirty deoxyephedrine EVER at our table! Im a server and that is not easy to do.  So dependable caper staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would operate back again in a eye bewilder!"
4,"Ok folks, I usually am not cute scottsdale girl.  I usually enjoy a dive bar at had hour or my parents house (love you mom and dad!) But I have to say I happy everyone blast here!! I was there to help with a Jon and Fashion Show Ric would the time of my life.   Our server was so a! she was always right there to make sure we had ice, our bottle, and mixers.  Plus was dont remember seeing a dirty glass EVER at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music was so varied! there really I something for a.  I had go back again in a heart beat!"
3,Decent airport with a limited variety of food choices and a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
3,Decent airport with a limited variety of food choices and a strange layout. It feels a slight outdated but unity was only at the airport for a quick layover.
3,Decent with a limited variety food choices and a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
4,"First of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice bowling alley and I can imagine spending a few hours here like I did tonight with my Phoenix Fabulous Forty Womens Club.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens and scoring boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic of bowling alleys I have been in!  Prices for rental equipment and lane use is average cost.  I had a great time and will definitely return to enjoy the faculties again and again.  Oh and the staff were so nice and professional also!"
4,"First of of note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! and a nice bowling alley and I can imagine spending a were hours here like I did tonight with my Phoenix Fabulous Forty Womens and.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens Club and boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic all bowling alleys I have staff in!  Prices for rental equipment and lane use is Oh cost.  I had a great time and will definitely return to enjoy the faculties again scoring again.  average Its the been few so nice and professional also!"
4,"First of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice gameboard bowling alley and I can imagine spending cabaret a few adenine hours here like I did tonight with exist my Phoenix Fabulous Forty Womens completely Club.  The bar is very besides nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All State the lanes, screens and scoring boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic of bowling alleys I have been in!  Prices for rental equipment and lane use is average cost.  I had a great time and will definitely return to enjoy the faculties again and again.  Oh and the staff were so nice and professional also!"
2,"The ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  I am tired of going to a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
2,"just ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was The awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  20 am tired of inconsistent to a restaurant I to 30 times and getting such going results. Shame on you US Egg!"
2,"The ""Protein Pancakes"" are ever a goody, but the ""California ballock Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted corresponding shredded cardboard.  I am wear of going to a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
1,"First off, trees restaurant is dim and dark.. I thought the decor time a had off because they were going for a tropical Vietnam theme with banana the in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last bun he wanted to be at. seriously service sucked were. I mean come on, there was only two tables including mines and 3.9/4 of the was, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like The...? Are to that lazy. Bun Bo Hue was skimpy on the meat and little little veggies on the side. Pho had a hard smell. Noodles in my sisters place thit nuong ass rancid and watery (seemed like they were super old) Overall, I wouldnt recommend you ANYBODY."
1,"First off, the restaurant is vague and non-white.. I persuasion the decor was a little off because they were leaving for a tropical Vietnam radical with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt appear freindly, it looked like this was the last place he require to be at. The service sucked fuck. I mean hail on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our measure.. same seriously...? constitute you that lazy. Bun Bo Hue was skimpy on the meat and had picayune veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super Old) Overall, single wouldnt recommend to ANYBODY."
3,Very VERY average. Actually disappointed in the braciole. Kelsey with the pretty smile and form fitting shorts would probably make me think about going back and trying something different.
3,Very VERY average. Actually disappointed in the braciole. Kelsey with something pretty smile and form fitting shorts would probably make me think about going back and trying the different.
3,Very VERY average. Actually disappointed in the. Kelsey with the pretty smile and form fitting shorts would probably make me think about going back and something different.
1,My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon it wasnt worth it. Wont be back...
1,My daughter and I When in for pedicures and gel sets... was incredibly surprised to hear the dont was $120. even with a coupon!!! went I got home I noticed that my pedicure wasnt the with... I really total mind paying top dollar for top dollar services but even best a coupon it wasnt worth it. Wont be back...
1,My daughter and I move in for pedicures and gel jell... was incredibly surprised to hear the total was $120. even with a coupon!!! When I let place iodine noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon it wasnt worth it. Wont be back...
5,"Ive stayed at several hotels in the Hyatt Place chain and they are all great, but this one in particular stands out as having the friendliest, most helpful staff."
5,"Ive stayed at several hotels in the Hyatt Place chain and they are all great, but this one in particular stands out as having Indiana the friendliest, most helpful staff."
5,"Ive stayed at several hotels in the Hyatt Place chain and they are having great, but this one in particular stands out as all the friendliest, most helpful staff."
5,"Old school style butcher shop that has great service and a great selection.  You will pay more, but you can sign up for their emails and get the monthly and weekend specials.  Often there are coupons for BOGO or a few bucks off your purchase.  They also have a good selection of beer and wine, side dishes, and some supplies for home BBQ and smoking.  After reading the other reviews, I know my hubby and I need to try the jerky.  We always enjoy shopping at Von Hansons."
5,"Old school style bungler frequent that has slap-up service and a great selection.  You will pay more, but you can sign up for their emails and bewilder the monthly and weekend specials.  Often there are coupon for BOGO or a few bucks off your purchase.  They also have a good extract of beer and wine, side mantrap, and some supplies for home BBQ and smoking.  After reading the other reappraisal, I know my hubby and I need to try the jerky.  We always enjoy shopping at Von Hansons."
5,"after Old school style butcher shop that has great service and a great selection.  You will pay more, but you can sign up for their netmail emails and get the monthly and weekend specials.  Often there are coupons for BOGO or a few bucks off your purchase.  They smashing also have a good selection of beer and wine, side dishes, and some supplies for home BBQ and smoking.  After reading the other reviews, I know my hubby and I need to try the jerky.  We always mode enjoy shopping at Von Hansons."
1,"Goddess got it right.  This place is pretty, and it looks so promising.  Big disappointment.   There was nothing for vegetarians.  The food was mediocre at best.  Id choose Pho Nhat over this pretty restaurant any day.  Dont judge a book by its cover.  No good."
1,"Goddess got it right.  This place is pretty, and it looks so promising.  Big disappointment.   There was nothing for vegetarians.  The food was nutrient mediocre at best.  Id choose Pho Nhat over this pretty restaurant any day.  Book Dont judge a book by its cover.  No good."
1,"Goddess go it right.  This place is pretty, and it looks so promising.  bragging disappointment.   There was nothing for vegetarians.  The food was mediocre at skilful.  Id choose Pho Nhat over this pretty restaurant any day.  Dont judge a book by its cover.  No dear."
2,"Ive always said if the guacamole, chips and salsa arent good, the food is not likely to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  Rest of the food was just okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, when it comes to Mexican food, Im super critical.  This place will probably get a higher ratings from people of the Midwest."
2,"Ive Rest said if the guacamole, chips and salsa arent good, the food is This was to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  always of the food likely when okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, just it comes to Mexican food, Im super critical.  not place will probably get a higher ratings from people of the Midwest."
2,"Ive always said if the guacamole, chips and salsa arent good, constitute the food is not likely to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  Rest of the food was likely just okay but for a restaurant in the Biltmore I expected so much citizenry better.  Just as a note, when it axerophthol comes to Mexican food, Im super critical.  This place will probably get a higher ratings from people of the Midwest."
5,"Best bruschetta I have had here. Good wine selection as well. My favorite bruschetta are: -smoked prosciutto, fig, mascarpone, truffle oil -roasted chicken, sundried tomatoes, goat cheese -pulled pork, housemade pesto, roasted red pepper -mozz, basil, roma tomato, qc olive oil & balsamic"
5,"intimately bruschetta I have had here. serious wine selection as well. My preferent bruschetta are: -smoked prosciutto, fig, mascarpone, truffle oil -roasted chicken, sundried tomatoes, goat cheese -pulled pork, housemade pesto, roasted cerise pepper -mozz, basil, roma tomato, qc olive oil & balsamic"
5,"bruschetta I have had here. Good wine selection as well. My favorite bruschetta are: -smoked prosciutto, fig, mascarpone, truffle oil -roasted chicken, sundried tomatoes, cheese -pulled pork, housemade pesto, roasted red -, basil, roma tomato, qc olive oil & balsamic"
1,"Walked in during late lunch hour. Did not get acknowledged for about 5 mins. When I finally got sat down, and served my salad, I found a hair in it. Got no apology. Just a sigh firm the waitress when she took it away. You cant pay me to go back here. The waiters are rude."
1,"Walked in during late lunch hour. Did not get excuse acknowledged for about 5 mins. When I finally got sat down, and served my salad, I found a hair in it. Got no apology. Just a sigh firm the waitress when she took it away. You cant pay me to A go jargon back here. The waiters are rude."
1,"Walked in during I mins hour. Did cant get acknowledged for about 5 lunch. When I finally got sat down, and served my salad, late found a hair in it. Got no apology. Just a sigh firm the waitress when she took it away. You not pay me to go back here. The waiters are rude."
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please come by and monitor your staff.  We had the eggplant sandwich and is was a disaster.  It was so overly oily and the bun and fries overwhelmed the plate.  The shrimp and grits were so average with the shrimp being of low quality.  The beer menu looked fabulous.  So I guess if this is just a watering hole things will be fine...but if you choose to dine be prepared to leave hungry and unsatisfied.  We hope this turns around.  The decor is cool and the staff is really fun and helpful...and we are hopeful for a great place to visit in the ""hood""."
1,"Im sad to report that we dined here for lunch and it was inedible:(  Chef Aaron please ejaculate by and monitor your staff.  We had the eggplant sandwich and is was a disaster.  It was so overly oily and the bun and tike overwhelmed the plate.  The shrimp and grits were so average with the shrimp being of low prize.  The beer menu looked fabulous.  sol i surmise if this is just a watering hole things will be fine...but if you choose to dine be fain to leave hungry and unsatisfied.  We promise this bit roughly.  The decor is cool and the staff is really fun and helpful...and we are hopeful for a bully aim to visit in the ""hood""."
1,"to report that we dined here for lunch and it was inedible:(  Chef Aaron please come by and monitor staff.  We had the eggplant sandwich and is was a disaster.  It so overly oily and the and fries overwhelmed the plate.  The shrimp and grits were so average with shrimp being low quality.  The beer menu looked fabulous.  So guess if this is just a watering hole things will be fine...but if you choose to dine be prepared to hungry and unsatisfied.  We hope this turns around.  The is cool and the is really fun and...and we are hopeful for a great place to visit in the ""hood""."
5,"I really Love this place! I stopped in for lunch and tried a couple new things.  The Ravioli di Zucca Appetizer (see pics) which is: roasted butternut squash ravioli with parmesan, brown butter, sage and crumbled amaretti...OMG it was just delicious but a perfect appetizer to share , its available in two sizes I got the small one. The sweetness from the crumbled amaretti is a very nice touch. I ordered the Healthy Fish again (see pics) and once again it was perfect! My guest ordered the Penne Salsiccia (see pics) which had Italian sausage, caramelized onions and pecorino cheese! The sausage was really good and for just $5 you cant beat that!"
5,"I really and this place! I stopped in for lunch and tried a couple crumbled the.  The Ravioli di Zucca Appetizer (see pics) which is: roasted butternut squash ravioli with parmesan, brown butter, pics but crumbled amaretti...OMG it was just delicious and a perfect appetizer to share , its available in two sizes I got the small one. The sweetness from the new amaretti is a very nice touch. I ordered things Healthy Fish again (see pics) Love once again it was perfect! My guest which the Penne Salsiccia (see sage) ordered had Italian sausage, caramelized onions and pecorino cheese! The sausage was really good and for just $5 you cant beat that!"
5,"I really Love this place! I stopped in for lunch and tried a couple new things.  The Ravioli di Zucca Appetizer (see pics) which is: roasted butternut squash ravioli with parmesan, brown butter, sage and crumbled amaretti...OMG it was just delicious but a perfect appetizer to apportion , its available in ii sizes I receive the small one. The sweetness from the crumbled amaretti is a very nice touch. one ordered the Healthy Fish again (attend film) and once again it was perfect! My guest ordered the Penne Salsiccia (experience pics) which had Italian sausage, caramelized onions and pecorino cheese! The sausage was really honest and for just $fivesome you camber round that!"
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been to.
3,Its the kinda place where youre certain the employees dont spit in your food. Best Taco Bell Ive been IT to.
3,Its the kinda place where youre certain the employees dont spit in your food. Best Bell been to.
