class,text
0,"Battery life, no image editing software"
0,"Battery life, no image editing software"
0,"Ugly headset plug, not really an update"
0,"Ugly plug helmet, not really an update"
0,Doesn't have anything special other than just a camera phone.
0,He's got nothing but a camera phone.
0,He's got nothing but a camera phone.
1,"Easy to use, good quality images, nice features, good for most people"
1,"Easy to use, good quality images, beautiful features, good for most people"
1,"Easy to use, good quality images, beautiful features, good for most people"
1,"A speedy printer, basic and economical. "
1,"A fast, basic and economical printer."
1,"A fast, basic and economical printer."
1,Inexpensive and Reliable
1,Exemption and reliability
1,Exemption and reliability
1,"small, light, long battery, direct-connect"
1,"small, light, long battery, direct connection"
1,"small, light, long battery, direct connection"
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Fine, sexy, bright display, all bells and whistles"
1,"Fine, sexy, bright display, all bells and whistles"
1,"Smart design, reliable battery life, and clear calls."
1,"Smart design, reliable battery life and clear calls."
1,"Smart design, reliable battery life and clear calls."
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
0,"Crunchy camera, terrible colors and poor speaker volume, does not support MP3s"
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
1,"blue whitish color backlight, animated menus, light sound, price of cheese, rather light, etc."
1,"blue whitish color backlight, animated menus, light sound, price of cheese, rather light, etc."
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
0,Big. Takes up alot of space on my desk though.
0,He's taking a lot of space on my desk.
0,He's taking a lot of space on my desk.
1,"Excellent image quality, no eating/blue/red in your photos!Hi sharpness, 8M card to start."
1,"Excellent image quality, no eating/blue/red in your photos!Hi sharpness, 8M card to start."
1,"Great Prints, Great Color"
1,"Large prints, Large color"
1,"Large prints, Large color"
1,very slim. nice design. big screen
1,very thin. beautiful design. large screen
1,very thin. beautiful design. large screen
0,No zoom
0,No zoom
0,No zoom
0,No zoom
1,Good picture quality
1,Good image quality
1,Good image quality
1,"Small Size, BIG Capabilities"
1,"Small size, large capacity"
1,"Small size, large capacity"
0,Must learn all the options! Many! Get extra battery! 
0,You have to learn all the options! A lot! Get an extra battery!
0,You have to learn all the options! A lot! Get an extra battery!
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,"Excellent call quality, bluetooth, shell shape factor, sexy face plate."
1,"Excellent call quality, bluetooth, shell shape factor, sexy face plate."
0,Baterry life is momentary
1,"Changeable case, Ring tones, Good screen"
1,"Changeable case, Ringtones, Good screen"
1,"Changeable case, Ringtones, Good screen"
0,No zoom
0,No zoom
0,No zoom
0,No zoom
0,No zoom
0,Prohibitively expensive.
0,It's prohibitive.
0,It's prohibitive.
0,"spendy, but worth it"
0,But it's worth it.
0,But it's worth it.
1,"Functional (Vibrate & high mode, etc.)"
0,A drop-in charger would be nice.
0,A drop-in charger would be good.
0,A drop-in charger would be good.
1,"Functional (high & vibration mode, etc.)"
1,"Functional (high & vibration mode, etc.)"
1,Absolutely no redeeming qualities about this camera.
1,Absolutely no quality buyback of this camera.
1,Absolutely no quality buyback of this camera.
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"Construction quality, compact, ease of use, large 2amp; LCD screen"
1,"Construction quality, compact, ease of use, large 2amp; LCD screen"
0,It whines.
0,It's moaning.
0,It's moaning.
0,"Features, user friendliness"
0,"Features, user-friendliness"
0,"Features, user-friendliness"
1,Nice idea
1,Good idea
1,Good idea
1,Priced right for a beginner.
1,Price for a beginner.
1,Price for a beginner.
0,Ink consumption is little too much.
0,Ink consumption is not too important.
0,Ink consumption is not too important.
0,"Flash, Pictures, Software, Drivers"
0,"Flash, Photos, Software, Drivers"
1,"Clear, crisp and realistic color printing"
1,"Clear, crispy and realistic colour printing"
1,"Clear, crispy and realistic colour printing"
0,"Flash, Photos, Software, Drivers"
0,could use more memory
0,could use more memory
0,could use more memory
0,could use more memory
0,could use more memory
0,"Bulky, drops calls, camera not good"
0,"Bulky, lower the calls, no good camera"
0,The phone lacks ergonomics and you end up hunting for the controls.
0,The phone lacks ergonomics and you end up chasing the controls.
0,The phone lacks ergonomics and you end up chasing the controls.
0,"display went bad, but they replaced within days"
0,"the display went wrong, but they replaced in a few days"
0,"the display went wrong, but they replaced in a few days"
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"small size!, practical and easy to use, reasonable solid performance"
1,"small size!, practical and easy to use, reasonable solid performance"
0,bed
0,bed
0,bed
0,bed
0,bed
1,speed is OK
1,the speed is good
0,"Slow, even on normal print jobs."
0,"Slowly, even on normal printing work."
0,"Slowly, even on normal printing work."
0,"Battery life, Slow Message writing, No MMS or GPRS"
0,"Battery life, slow message writing, no MMS or GPRS"
0,"Battery life, slow message writing, no MMS or GPRS"
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get circles"
0,"no optical zoom, sometimes get circles"
1,"Kodak name, Price, easey to use"
1,"Name Kodak, Price, ease to use"
0,None!
0,None!
1,overall beauty
1,General beauty
1,General beauty
0,None!
0,None!
0,None!
0,Short battery life
0,Short battery life
1,"PRICE!, print quality, holds two ink cartridges"
1,"PRICE!, printing quality, contains two cartridges of ink"
1,"PRICE!, printing quality, contains two cartridges of ink"
0,Very pricey
0,Very expensive
0,Very expensive
1,"Incredible value, black text print quality."
1,"Incredible value, black text printing quality."
1,"Incredible value, black text printing quality."
0,"Loud, Slow To Start Up"
0,"Loud, slow to start"
0,"Loud, slow to start"
0,Bat life is momentary
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"Battery time, heat after long use, reception, screen picks up Grime"
0,"Battery time, heat after long use, reception, screen picks up Grime"
0,Bat life is momentary
0,no battery indicator.
0,No battery indicator.
0,No battery indicator.
0,"Battery life, no image editing software"
0,"Battery life, no image editing software"
0,"Battery life, no image editing software"
