class,text
0,Weak vibrating option
0,Battery life isn't great and the memory card is not large enough
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
1,"Changeable case, Ring tones, Good screen"
0,"Loud, Slow To Start Up"
0,"Scarce, hard to get."
1,"Easy to maneuver, very lightweight"
1,"Clear, crisp and realistic color printing"
0,"Features, user friendliness"
1,"Smart design, reliable battery life, and clear calls."
0,Big. Takes up alot of space on my desk though.
1,"A good overall phone.  Excellent reception, loud ringtones, beautiful inner display."
0,Battery life
1,Nice idea
1,High quality for the money.
0,"spendy, but worth it"
1,"small size!, convenient and easy usability, reasonable solid performance"
1,"Overall a nice, easy to use printer"
0,"SLOW SHUTTER, blurry pictures, no ability to capture moving shots."
0,None
0,Battery life
1,alot
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
0,"Bulky, low-resolution, expensive"
0,"Battery life, form factor."
1,"Incredible value, black text print quality."
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,Short battery life
0,no battery indicator.
1,"Easy Menu system, standard vibrator ring, customizable face plates"
0,could use more memory
1,"It supports GPRS, GSM, TDMA, and analog. It has voice dialing and built in vibration."
0,Baterry life is momentary
0,"Battery life, no image editing software"
1,Good picture quality
1,Excellent high resolution photos with 35mm camera functions
0,"Poor image quality,no flash"
0,None!
1,it has lexmark technology
1,"Easy to use, good quality images, nice features, good for most people"
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
1,"For the price, it is a great printer"
0,"Flash, Pictures, Software, Drivers"
1,Excellent photo quality and lots of great features!
0,pay long distance for tech support
1,"Why  I wanted to buy another NOKIA, is It's one of the better cell phones"
0,Print quality is not as good as a more expensive printer
0,Speed is a bit leisurely.
1,Easy to use
1,Absolutely no redeeming qualities about this camera.
0,horrible color issues left my pictures looking unrealistic &amp; cartoon-like
0,bad price
1,"Thin, sexy, bright display, all the bells and whistles"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
0,Displays not readable in sunlight.
0,"Crappy camera, terrible colors and poor speaker volume, does not support MP3s"
0,The phone lacks ergonomics and you end up hunting for the controls.
1,"all in one, pcfax is great."
0,A drop-in charger would be nice.
0,bed
0,can only scan and photocopy pics and sheets of paper
1,"Small Size, BIG Capabilities"
1,"12 ppm, 600x 600 resolution, AFFORDABLE!"
1,"Excellent call quality, bluetooth, clamshell form factor, sexy face plate."
1,Need i say more
0,No zoom
0,"Battery life, Slow Message writing, No MMS or GPRS"
1,"small, light, long battery, direct-connect"
0,Print quality is not as good as a more expensive printer
1,Inexpensive and Reliable
1,Everything
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
0,Learning curve
1,overall beauty
0,Doesn't have anything special other than just a camera phone.
1,"Flexibilities, compactness, night photo, macro, super macro mode, many settings, my mode, historgram, accessories., "
1,"whitish blue backlight color, animated menus, clear sound, cheep price, pretty light, etc."
0,"High purchase price, high cost per page for ink, heavy, and bulky."
0,no print preview built into the driver/print quality greatly deteriorates over time
0,Ink consumption is little too much.
0,screen goes blank and no support from manufacture
0,Gets some stray work groups from time to time.
0,Very pricey
1,"Functional (Vibrate & high mode, etc.)"
1,very slim. nice design. big screen
0,Minor nozzle clogging issue in some situations
1,"Great Prints, Great Color"
0,"Bad red-eye, high battery drain, no lens cap holder.  8MB card is small."
1,Easy to use
0,Prohibitively expensive.
1,Brilliant Blue Backlighting; Easy to Use; Color Screen; Great Ringtones
0,Batteries take about 8 hours to charge.
0,"display went bad, but they replaced within days"
0,"no optical zoom, sometimes get circles"
1,"Superb image quality, no mangenta/blue/red in your pics!Hi sharpness, 8M card to get started."
0,"Slow, even on normal print jobs."
1,"A speedy printer, basic and economical. "
1,Priced right for a beginner.
0,Must learn all the options! Many! Get extra battery! 
0,It whines.
1,"PRICE!, print quality, holds two ink cartridges"
1,Great Camera for $900-$1200 range
0,"Antenna Close to Head, Some Problems with Call Quality"
