class,text
0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted ."
0,"... unsMpeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heronie who comes across as both shallow and dim-witted ."
0,"... unspeakably , unbearablwy dull , featuring reams of flatly delivered dialogue and a heroine who coXmes across as both shallow and dim-witted ."
1,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot ."
1,"it provides the grand , intelligent entertainment of a superior ast playing smart people amid a compelling plot ."
1,"it provides the grand , intelligent entertainment of a superior cas playing smart people amid a compelling plot ."
1,a polished and vastly entertaining caper film that puts the sting back into the con .
1,a polished and vastly entertaining caper film that pugs the sting back into the con .
1,a polished and vastly entertaining caper film that put the sting back into the con .
1,leigh makes these lives count .
1,Ceigh makes these lives count .
1,leigh makes these lives cJount .
1,"if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to movieS as you are watching them , and the slow parade of human friilty fascinates you , then you 're at the right film ."
1,"if you 're as happy listening to movies as you are watching them , and the slow parad of human fcailty fascinates you , then you 're at the right film ."
1,leigh 's film is full of memorable performances from top to bottom .
1,lebgh 's film is full of memorable performances from top to bottom .
1,leigh 's film is full of memorable performances from otp to bottom .
0,... really horrible drek .
0,... really horrible dek .
0,... really horrible dreek .
1,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the car future may be awesome to considre , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
1,"the fAar future may be bawesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
0,"priggish , lethargically paced parable of renewal ."
0,"priggish , lethargically pace parable of renewal ."
0,"priggish , lethargically paced parable of renewla ."
0,"each scene drags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene Erags , underscoring the obvious , and sentiment is slathered on top ."
0,"each scene dTrags , underscoring the obvious , and sentiment is slathered on top ."
0,bad movie .
0,bad moive .
0,bad ovie .
0,a major waste ... generic .
0,a major Zwaste ... generic .
0,a major waset ... generic .
0,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood .
0,plays like an unbalanced mixture of graphic comabt footage and almost saccharine domestic interludes that are pure hollywood .
0,plays like an unbalanced mixture of graphic combat footag and almost saccharine domestic interludes that are pure hollywood .
0,a crass and insulting homage to great films like some like it hot and the john wayne classics .
0,a crass and insulting hoage to great films like some like it hot and the john wayne classics .
0,a crass and insulting homage to great films like some like it hot and the john wayne clasics .
1,"well-acted , well-directed and , for all its moodiness , not too pretentious ."
1,"well-acted , well-dinrected and , for all its moodiness , not too pretentious ."
1,"well-acted , well-directSd and , for all its moodiness , not too pretentious ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dul `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scaers and bad acting ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even flicks in general ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or Weven flicks in general ."
0,"not exaggerated enough to be a parody of gross-out flicks , college flicks , or even licks in general ."
0,"he 's just a sad aristocrat in tattered finery , and the film seems as deflated as he does ."
0,"he 's just a Zad aristocrat in tattered finery , and the film seems as deflated as he does ."
0,"he 's just a sad aristocrat in tattered finerh , and the film seems as deflated as he does ."
1,`` the best disney movie since the lion king ''
1,` the best disney movie since the lion king ''
1,`` the best dihney movie since the lion king ''
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featurig the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old gozilla flicks ."
0,"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of gleEnn close , regis hpilbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks ."
1,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rrb- credit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s&m seems liek a stGrange route to true love , maybe it is , but it 's to this film 's -lrb- and its makers ' -rb- cedit that we believe that that 's exactly what these two people need to find each other -- and themselves ."
1,"if s&m seems like a straneg route to true love , maybe it is , but it 's to this ffilm 's -lrb- and its makres ' -rrb- credit that we believe that that 's exactly what these two people need to fnd each other -- and themselves ."
1,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .
1,the stunl work is top-notch ; the dialogue and drama often food-spittingly funny .
1,the stunt work is top-notch ; the dialogue and drama often food-sIpittingly funny .
1,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"a gem of a rmoantic crime comedy that turns out to be clever , amusing and unpredictable ."
1,"a gem of a romanitc crime comedy that turns out to be clever , amusing and unpredictable ."
1,a must see for all sides of the political spectrum
1,a mnst see for all sides of the political spectrum
1,a must see for all sides of the pXolitical spectrum
0,"for a film about explosions and death and spies , `` ballistic : ecks vs. sever '' seems as safe as a children 's film ."
0,"for a film about explosions and death and sipes , `` ballistic : ecks vs. sever '' seems as safZ as a children 's film ."
0,"for a film about explosions and death and spies , `R ballistic : ecks vs. sever '' nseems as safe as a children 's film ."
1,"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yeEs , mibii is rotYe work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it ."
1,"yes , mibii is rlte work and predictabl , but with a philosophical visual coming right at the end that extravagantly redeems it ."
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable ."
0,"a piece of mildly entertaiing , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing categroy : unembarrassing but unmemorable ."
0,"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the crqcks of that ever-growing category : unembarrassing but unmemroable ."
0,deserving of its critical backlash and more .
0,deserivng of its critical backlash and more .
0,deserving of its criical backlash and more .
1,if you open yourself up to mr. reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .
1,if you open yourself up to mr. erggio 's theory of this imagery as the movie 's set ... it can impart an almost viscral sense of dislocation and change .
1,if you open yourself up to mr. erggio 's theory of this imagery as the movie 's set ... it can impat an almost visceral sense of dislocation and change .
0,the characters never change .
0,the cahracters never change .
0,the characters never cahnge .
1,perhaps the best sports movie i 've ever seen .
1,perhaps the best sportUs movie i 've ever seen .
1,perhaps the best sports movie i 've euer seen .
1,"formuliac , but fun ."
1,"formuliMc , but fun ."
1,"formuliac , but bfun ."
0,i 'm not exactly sure what this movie thinks it is about .
0,i 'm not exactly sure what this jovie thinks it is about .
0,i 'm not exactly sure what this morie thinks it is about .
1,huppert and girardot give performances of exceptional honesty .
1,huppert and girardot givSe performances of exceptional honesty .
1,huppert and girardot givde performances of exceptional honesty .
0,"-lrb- evans is -rrb- a fascinating character , and deserves a better vehicle than this facetious smirk of a movie ."
0,"-lrb- evans is -rrb- a fascinatin character , and deserves a better vehicle than this facetious smirk of a movie ."
0,"-lrb- evans is -rrb- a fascinating charazter , and deserves a better vehicle than this facetious smirk of a movie ."
0,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype ."
