class,text
0,"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
0,". . . blade ii is still top - heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsu - computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
1,"we 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in fire that makes the formula fresh again ."
1,"we ' ve seen the hippie - turned - yuppie plot before , but there ' s an enthusiastic charm in fire that makes the formula fresh again ."
0,"haneke 's script -lrb- from elfriede jelinek 's novel -rrb- is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending ."
0,"han company ' s script - lrb - from elfriede jelinek ' s novel - rrb - is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending ."
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,"awesome work : ineffable , elusive , yet inexplicably powerful"
1,it 's no lie -- big fat liar is a real charmer .
0,shot like a postcard and overacted with all the boozy self-indulgence that brings out the worst in otherwise talented actors ...
0,shot like a postcard and overacted with all the boozy self - indulgence that brings out the worst in otherwise talented actors . . .
1,a zinger-filled crowd-pleaser that open-minded elvis fans -lrb- but by no means all -rrb- will have fun with .
1,a zinger - filled crowd - pleaser that open - minded elvis fans - lrb - but by no means all - rrb - will have fun with .
1,but mr. polanski creates images even more haunting than those in mr. spielberg 's 1993 classic .
1,but mr . polanski creates images even more haunting than those in mr . spielberg ' s 1993 classic .
0,sewer rats could watch this movie and be so skeeved out that they 'd need a shower .
0,sewer rats could watch this movie and be so skeeved out that they ' d need a shower .
1,cinematic poetry showcases the city 's old-world charm before machines change nearly everything .
1,cinematic poetry showcases the city ' s old - world charm before machines change nearly everything .
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
0,"offers big , fat , dumb laughs that may make you hate yourself for giving in ."
1,"entirely suspenseful , extremely well-paced and ultimately ... dare i say , entertaining !"
1,"entirely suspense . , extremely well - paced and ultimately . . . dare i say , entertaining !"
1,we 're drawn in by the dark luster .
1,we ' re drawn in by the dark luster .
0,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue ."
