class,text
2,"Would normally give this place 4 stars as I have been a regular here for about a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring training game.  Maybe it was the girls being a little too giggly or us just having too much fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you well.  Whats with the attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I euphony have been a regular here for formerly about OR a year.  Cheap drinks, great crowd and great music. Except I had my first bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a sunday afternoon spring nigh training game.  Maybe it was the girls being a little too giggly or us just having too much twelvemonth fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all servers and we all tipped you bequeath well.  Whats with the run attitude?  Will still continue to come to this place once I stave off the embarrassment of telling people from work I know about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I have been a here about a year.  Cheap drinks, great crowd and great music. Except had my first bad experience here the other sunday. , me and all the other people from my work were pretty loud after a afternoon spring training game.  Maybe was the girls a little giggly or us just having too much fun for a dive bar...but I think none of that warrants the bartender calling us cheap and rude.  Come on now, we are all and we all tipped you.  Whats with the attitude?  Will still continue come to this place once I stave off the embarrassment of telling people from work about this cool bar to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this lay 4 stars as single have been a unconstipated here for about a year.  sleazy drinks, nifty crowd and great music. Except I had my firstly bad experience here the other sunday.  Granted, me and all the other people from my work were pretty loud after a Sunday afternoon spring training game.  mayhap it was the girls being a little too giggly or us just having too much fun for a dive bar...but I mean none of that warrants the bartender calling us cheap and unmannerly.  Come on now, we are all servers and we all tipped you well.  Whats with the attitude?  Will still continue to occur to this locate once I stave off the embarrassment of telling people from work iodine screw about this cool bar only to be so rudely treated by a way too snobby for a sunday afternoon bartender."
2,"Would normally give this place 4 stars as I have been a spring here for about a year.  Cheap drinks, great crowd and girls music. Except I had my first servers experience here the other sunday.  Granted, me and all the other people from my work were that loud after a sunday afternoon regular training game.  Maybe it was the great being a little too giggly a us just having bar much fun for a dive bar...but I think none of pretty warrants the bartender calling us cheap and rude.  Come on now, we are all bad and we all tipped you well.  Whats with the attitude?  Will still continue to come to this place once I stave so the embarrassment of telling people from work I know about this cool too only to be off rudely treated by a way too snobby for or sunday afternoon bartender."
5,Great fresh food and vegetarian options! I will definitely return!!
5,Great fresh food and vegetarian options! I will definitely restitution!!
5,Great fresh food and vegetarian! I will definitely return!!
5,will fresh food and vegetarian options! I Great definitely return!!
5,Great fresh food nutrient and vegetarian options! I will definitely return!!
3,"For quick fast food.. this is my choice.. I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if you stay.. I always get the chicken salad with sesame vinagrette on the side but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my norm salad.. I cant say.. but for me its a strong 3.."
3,"For quick fast food.. this is my choice.. find I usually call ahead and get take out.. Dont expect super friendly.. but its just take out.. not clear table service.. even if baffle you locate stay.. I always get the chicken salad with sesame vinagrette on the side straightaway but I will say, Im not a fan of the pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so Maine unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from my unhealthful norm salad.. I cant say.. but for me its a strong 3.."
3,"For say fast food.. this is my choice.. I usually a ahead and get take out.. Dont vietnamese super friendly.. but its just take out.. not clear table service.. even if you stay.. I always get the chicken salad my sesame and on the side but I will quick, Im not call I of the pungent dressing.. fan get the chile sauce instead.. expect rolls.. vinagrette its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really tried anything from with norm salad.. I cant say.. but for me its a strong 3.."
3,"For quick fast food.. this is my choice.. I usually ahead get take.. Dont expect super friendly.. but just take out.. not clear table service.. even if you stay.. I always get the chicken salad with sesame vinagrette on the side but will say, Im not a fan of pungent dressing.. I get the chile sauce instead.. vietnamese rolls.. and its not so unhealthy.. NOW my that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. knows? Since I  havent really anything from my norm salad.. I say.. for me its a strong 3.."
3,"For quick fast food.. this is my choice.. I usually holler ahead and arrest lease out.. Dont expect super friendly.. but its just return out.. not enlighten table service.. even if you arrest.. I always get the poulet salad with sesame vinagrette on the side but I will say, Im not a fan of the pungent dressing.. I flummox the chile sauce instead.. vietnamese curlicue.. and its not so unhealthy.. NOW my friends that usually nosh with me.. hate the foods they get.. they say it every time I suggest this place.. who knows? Since I  havent really hear anything from my norm salad.. iodine cant say.. but for me its a strong 3.."
3,"The coffee at this location is awful- please go get lessons from the lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so much so that hes annoying as your first human contact of the day. He is generous with the toppings and speedy."
3,"coffee at this location is awful- please go get lessons from the at the Thunderbird and 40th street location. However, primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so so that hes annoying as your first human contact of the day. He is generous with the toppings speedy."
3,"The coffee at this location is awful- please go much lessons from annoying lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so get so that hes the toppings your first human contact of the day. He is generous with the as and speedy."
3,"The coffee at this location is awful- please go get lessons from the lady at the Thunderbird and 40th street awing location. However, the primary morning guy, Shawn, is awesome. He is friendly and chipper, but not so much merely so that hes annoying as your first human contact of the day. He is debonaire generous with the toppings and speedy."
3,"The coffee at this placement is awful- please go bewilder lessons from the lady at the Thunderbird and 40th street location. However, the primary morning guy, Shawn, is awful. He is favorable and chipper, but not so lots so that hes annoying as your first human contact of the day. He is generous with the toppings and speedy."
2,"This place bothers me.  I already everything about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it right it was ok.  I will not go here again however.  Sorry."
2,"and place right me.  will already Cadillac about country so going to these kind of places freaks me out.  I was forced to go here because the boyfriends parents were in town This they choose everything Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order but when they got it bothers it was ok.  I I not go here again however.  Sorry."
2,"This commit bothers me.  I already everything about country so going to these kind of grade freaks me out.  single was forced to function here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my rate but when they got it right it was ok.  unity will not expire here again however.  Sorry."
2,"This place bothers me.  I personify already everything about country so going to these non kind of places freaks me out.  I variety was forced to go here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of ""cuisine"". I have to say the foo d wasnt bad.  Server messed up my order kind but when they got it right it was ok.  I will not go here again however.  Sorry."
2,"This place bothers me.  I already everything about country so going to these kind places me out.  I was forced to go here because the boyfriends parents were in town and they choose Cadillac Ranch due to their type of """". I have say the foo d wasnt bad.  Server messed up my order but when they got it right was.  I will not here again however.  Sorry."
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive bar at happy hour or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to help with a Jon Ric Fashion Show and had the time of my life.   Our server was so cute! she was always right there to make sure we had ice, our bottle, and mixers.  Plus I dont remember seeing a dirty glass EVER at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would go back again in a heart beat!"
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive barricade at happy minute or my parents house (love you mom and dad!) But I have to say I had a blast here!! I was there to assistant with a Jon Ric Fashion Show and had the time of my life.   Our host was so cute! she was always right there to make certainly we had crank, our bottle, and mixers.  Plus I dont remember seeing a dirty deoxyephedrine EVER at our table! Im a server and that is not easy to do.  So dependable caper staff.   The dancers were great and the music was so varied! there really was something for everyone.  I would operate back again in a eye bewilder!"
4,"Ok folks, I usually am not cute scottsdale girl.  I usually enjoy a dive bar at had hour or my parents house (love you mom and dad!) But I have to say I happy everyone blast here!! I was there to help with a Jon and Fashion Show Ric would the time of my life.   Our server was so a! she was always right there to make sure we had ice, our bottle, and mixers.  Plus was dont remember seeing a dirty glass EVER at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music was so varied! there really I something for a.  I had go back again in a heart beat!"
4,"Ok folks, I usually am not a scottsdale girl.  usually a dive bar at happy hour or my parents house (love you dad!) But I have to say I had a blast!! I was there to help a Jon Ric Fashion and had the time of my life.   Our server was so cute! she was always right there to make sure we had ice, bottle, and.  Plus I dont remember seeing a dirty glass EVER at our table! Im a server that is not easy to do.  So good job staff.   dancers were great and the music was so varied! there really was something for everyone.  I would go back again in a heart!"
4,"Ok folks, I usually am not a scottsdale girl.  I usually enjoy a dive bar at happy hour or my parents house (love you mom and respectable dad!) But I have to say I had a blast here!! I was there state to help with a Jon Ric Fashion Show and had the time of my life.   Our server was so cute! she was always right there to enjoy make sure we had ice, our bottle, and mixers.  Plus I dont remember seeing a dirty glass EVER minute at our table! Im a server and that is not easy to do.  So good job staff.   The dancers were great and the music unspoilt was so okey varied! there really was something for everyone.  I would go back again in a heart beat!"
3,Decent airport with a limited variety of food choices and a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
3,Decent airport with a limited variety of food choices and a strange layout. It feels a slight outdated but unity was only at the airport for a quick layover.
3,Decent with a limited variety food choices and a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
3,Decent airport with a limited variety of food choices and amp a strange layout. It feels a little outdated but I was only at the airport for a quick layover.
3,a airport with a limited variety of food choices and a strange layout. It feels a little outdated but I was only at the airport for Decent quick layover.
4,"First of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice bowling alley and I can imagine spending a few hours here like I did tonight with my Phoenix Fabulous Forty Womens Club.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens and scoring boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic of bowling alleys I have been in!  Prices for rental equipment and lane use is average cost.  I had a great time and will definitely return to enjoy the faculties again and again.  Oh and the staff were so nice and professional also!"
4,"First of of note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! and a nice bowling alley and I can imagine spending a were hours here like I did tonight with my Phoenix Fabulous Forty Womens and.  The bar is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All the lanes, screens Club and boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic all bowling alleys I have staff in!  Prices for rental equipment and lane use is Oh cost.  I had a great time and will definitely return to enjoy the faculties again scoring again.  average Its the been few so nice and professional also!"
4,"First of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice gameboard bowling alley and I can imagine spending cabaret a few adenine hours here like I did tonight with exist my Phoenix Fabulous Forty Womens completely Club.  The bar is very besides nice for a bowling alley. They even have a pool table!  They serve decent food and cold drinks to your lanes with waiter service.  All State the lanes, screens and scoring boards are new, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is classic of bowling alleys I have been in!  Prices for rental equipment and lane use is average cost.  I had a great time and will definitely return to enjoy the faculties again and again.  Oh and the staff were so nice and professional also!"
4,"of all note the name changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a nice bowling alley and I can spending a few here like I did tonight with my Phoenix Fabulous Forty Womens Club.  The bar is very nice for bowling alley. They have a table!  They serve decent food and cold drinks to your with waiter service.  All the lanes, screens and scoring boards are, clean and state of the art. Theres no old smelly gross carpet to be avoided either, which is of bowling alleys I have been in!  Prices for rental equipment and lane use average cost.  had a great time and will definitely return to enjoy the faculties again again.  Oh and staff were so nice and professional also!"
4,"First of all note the list changed to AMF Scottsdale Lanes. Hey it doesnt smell! Its a courteous bowling alley and I can imagine spending a few hours here like I did tonight with my Phoenix Fabulous Forty Womens bludgeon.  The BAR is very nice for a bowling alley. They even have a pool table!  They serve decent food and cold drunkenness to your lanes with waiter service.  All the lanes, sort and scoring boards are new, clean and state of the art. Theres no erstwhile smelly crude carpet to be avoided either, which is classic of bowling alleys iodin have been in!  Prices for rental equipment and lane use is fair cost.  unity had a great time and will definitely counter to enjoy the faculties again and again.  Oh and the stave were so nice and professional also!"
2,"The ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  I am tired of going to a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
2,"just ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was The awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  20 am tired of inconsistent to a restaurant I to 30 times and getting such going results. Shame on you US Egg!"
2,"The ""Protein Pancakes"" are ever a goody, but the ""California ballock Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted corresponding shredded cardboard.  I am wear of going to a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
2,"The ""Protein Pancakes"" are always a treat, but the ""California Eggs Benedict"" was just awful today.  biggest were the browns though.  They like shredded cardboard.  I am tired of going a restaurant 20 to 30 times and getting such inconsistent results. Shame on you US Egg!"
2,"The ""Protein Pancakes"" are always a treat, but the ""California Eggs metre Benedict"" was just awful today.  The biggest disappointment were the hash browns though.  They tasted like shredded cardboard.  I am tired of going unlifelike to a restaurant 20 to 30 times and discrepant getting such inconsistent results. Shame on you US Egg!"
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like seriously...? Are you that lazy. Bun Bo Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
1,"First off, trees restaurant is dim and dark.. I thought the decor time a had off because they were going for a tropical Vietnam theme with banana the in there and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this was the last bun he wanted to be at. seriously service sucked were. I mean come on, there was only two tables including mines and 3.9/4 of the was, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like The...? Are to that lazy. Bun Bo Hue was skimpy on the meat and little little veggies on the side. Pho had a hard smell. Noodles in my sisters place thit nuong ass rancid and watery (seemed like they were super old) Overall, I wouldnt recommend you ANYBODY."
1,"First off, the restaurant is vague and non-white.. I persuasion the decor was a little off because they were leaving for a tropical Vietnam radical with banana trees in there and a waterfall fountain. The waiter there did not have a smile and didnt appear freindly, it looked like this was the last place he require to be at. The service sucked fuck. I mean hail on, there was only two tables including mines and 3.9/4 of the time, he didnt check up on us or refilled our water and we had to walk up to ask for our measure.. same seriously...? constitute you that lazy. Bun Bo Hue was skimpy on the meat and had picayune veggies on the side. Pho had a rancid smell. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super Old) Overall, single wouldnt recommend to ANYBODY."
1,"First off, the restaurant is and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with trees in and a waterfall fountain. The waiter there did not have a smile and didnt seem freindly, it looked like this last place he wanted to be at. The sucked ass. I mean come on, there was only two tables including mines 3.9/4 of the time, he didnt check up on us or refilled our water and we to walk up ask for our.. like seriously...? you that lazy. Bun Bo Hue was skimpy on the meat and had veggies on the side. Pho had a rancid. Noodles in my sisters bun thit nuong were hard and watery (seemed like they were super old), I wouldnt recommend to."
1,"First off, the restaurant is dim and dark.. I thought the decor was a little off because they were going for a tropical Vietnam theme with banana trees in there restaurant and a waterfall fountain. The need waiter there did not have a smile and didnt seem freindly, it looked like this was the last place he wanted to be at. The service sucked ass. I mean come on, there was only two tables including mines and 3.9/4 of the commend time, he didnt check up on us or refilled our water and we had to walk up to ask for our bill.. like boilersuit seriously...? Are you that lazy. Bun Bo quondam Hue was skimpy on the meat and had little veggies on the side. Pho had a rancid smell. eatery Noodles in my sisters bun thit nuong along were hard firmly and watery (seemed like they were super old) Overall, I wouldnt recommend to ANYBODY."
3,Very VERY average. Actually disappointed in the braciole. Kelsey with the pretty smile and form fitting shorts would probably make me think about going back and trying something different.
3,Very VERY average. Actually disappointed in the braciole. Kelsey with something pretty smile and form fitting shorts would probably make me think about going back and trying the different.
3,Very VERY average. Actually disappointed in the. Kelsey with the pretty smile and form fitting shorts would probably make me think about going back and something different.
3,real VERY average. Actually disappointed in the braciole. Kelsey with the pretty smile and form go shorts would probably make me think about going back and trying something different.
3,Very VERY average. Actually disappointed in the braciole. Kelsey with the pretty smile and form fitting shorts would probably make actually me think about going back and trying something different.
1,My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon it wasnt worth it. Wont be back...
1,My daughter and I When in for pedicures and gel sets... was incredibly surprised to hear the dont was $120. even with a coupon!!! went I got home I noticed that my pedicure wasnt the with... I really total mind paying top dollar for top dollar services but even best a coupon it wasnt worth it. Wont be back...
1,My daughter and I move in for pedicures and gel jell... was incredibly surprised to hear the total was $120. even with a coupon!!! When I let place iodine noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon it wasnt worth it. Wont be back...
1,My daughter and I went in for pedicures and gel sets... incredibly surprised the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasnt the best... I really mind paying top dollar top dollar services but even with a coupon it wasnt worth it. Wont be back...
1,My daughter and I went in for pedicures and gel sets... was belong incredibly surprised to hear the total was $120. actually even with a coupon!!! When I got home I noticed that my pedicure wasnt the best... I really dont mind paying top dollar for top dollar services but even with a coupon buck it wasnt worth it. Wont be back...
5,"Ive stayed at several hotels in the Hyatt Place chain and they are all great, but this one in particular stands out as having the friendliest, most helpful staff."
