class,text
0,"We sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1.4 % results in less pain associated with local infiltration anesthesia preceding ambulatory phlebectomies , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local in immediate anesthesia preceding ambulatory phlebectomyes , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local infiltration anesthesia preceding ambulatory phlebectomyes , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local invac anesthesia preceding ambulatory phlebectomies , compared with standard preparation diluted with normal saline ."
0,"we sought to assess if the use of a solution of mepivacaine 2 % plus adrenaline with sodium bicarbonate 1 . 4 % results in less pain associated with local infiltration anesthesia following ambulatory phlebectomyes , compared with standard preparation diluted with normal saline ."
3,These effects do not appear to explain the glucose-lowering effect of rosiglitazone .
3,these effects do not appear to explain the glucose - lowering effect of rosiglitazone .
3,these effects do not appear to induce the glucose - lowering effect of rosiglitazone .
3,these effects do not appear to predict the glucose - lowering effect of rosiglitazone .
3,these effects do not appear to explain the glucose - lowering effect of rosiglitazone .
0,The aims of the present study were to assess the efficacy and safety of BT injection and combined treatment with BT injection and lowered dose glyceryltrinitrate ( GTN ) cream for the treatment of CAF .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
0,the aims of the present study were to assess the efficacy and safety of bt injection and combined treatment with bt injection and lowered dose glyceryltrinitrate ( gtn ) cream for the treatment of caf .
1,A fourth group served as nonsterilized controls .
1,a fourth group served as nonsterilized controls .
1,a fourth group served as nonsterilized controls .
1,a fourth group classified as nonsterilized controls .
1,a fourth group served as nonsterilized controls .
2,Supplement dose and baseline 25 ( OH ) D level explained 24 % of the variability in response to supplementation .
2,plant dose and baseline 25 ( oh ) d level explained 24 % of the variability in response to supplementation .
2,. dose and baseline 25 ( oh ) d level explained 24 % of the variability in response to supplementation .
2,dose dose and baseline 25 ( oh ) d level explained 24 % of the variability in response to supplementation .
2,experimental dose and baseline 25 ( oh ) d level explained 24 % of the variability in response to supplementation .
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
2,"the frequencies of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
2,"the rates of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
2,"the frequencies of recurrent pleural effusions requiring reintervention were 5 . 88 % ( 3 / 51 ) , 4 . 35 % ( 2 / 46 ) and 5 . 26 % ( 3 / 57 ) , respectively , which had no significant differences between three groups ( p = 1 . 000 ) ."
