class,text
1,"to escape their troubles and find women , they book a trip on board a cruise-liner , unaware the travel agent has just played a horrid trick on them in retaliation for nick offending his secret gay lover . "
1,"when they get there , strange happenings invade the school . "
0,"sandler has played weirdos for zany comic effect , and it's interesting to finally see him play one in a relatively subdued romantic dramedy . "
0,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . "
0,behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art . 
1,"the teamster's union goes on strike against overnite transportation , a nationwide freight company that has resisted unionization . "
0,plummer steals the show without resorting to camp as nicholas' wounded and wounding uncle ralph . it's a great performance and a reminder of dickens' grandeur . 
0,"soul is what's lacking in every character in this movie and , subsequently , the movie itself . "
0,"atanarjuat , unfolding on a cold-blasted primeval arctic plain , has the quality of totem . "
0,the problem with all of this : it's not really funny . 
1,"nothing makes this woman happy , including her wealthy but passive husband ( tony ) , a pharmaceutical kingpin . "
1,three friends get together and bury a box making a pact to open it at midnight at their high school graduation . 
1,"in this sense it is merely a travelogue , yet there is so much more , spanning from the traditional to the avant-garde , from the sublime to the ridiculous , very different , highly original and with a unique zeitgeist narrative structure . "
1,ricky is an ex-con with two strikes against him and is desperately trying to stay straight . 
1,matt lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth . 
0,"granted , much of the marlovian argument is patently ridiculous ( was ben johnson really part of a massive cover-up ? ) but it's good fun . "
1,"a serial killer is on the loose and kills herbert's assistant , dan cain . "
1,"only one person has the power to save the princess , a priestess . "
0,"not for all tastes . but i , for one , was hooked by this fish's tale . "
0,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy . "
1,"he enlists the support of other prisoners including crips , bloods and a very powerful jamaican mobster and is able to expand his drug empire . "
1,"tension mounts , and as the cops arrive , morgan is growing impatient . "
0,"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt's cooper looks when the bullets stop flying . "
0,there's so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles . 
0,what doesn't this film have that an impressionable kid couldn't stand to hear ? 
0,mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . 
0,anthony hopkins ? big deal ! we've already seen the prequel to the silence of the lambs and hannibal -- and it was better the first time . 
1,"looking for a good story she also meets a welfare official , thomas , who also thinks that the foundation should be looked into . "
0,it's everything you don't go to the movies for . 
0,haynes has so fanatically fetishized every bizarre old-movie idiosyncrasy with such monastic devotion you're not sure if you should applaud or look into having him committed . 
0,everything that was right about blade is wrong in its sequel . 
1,highlights include detailed instructions on how to perform an icepick lobotomy with household utensils ; a cacophony of robotic voices ; and haunting stills that date back to the turn of the twentieth century . 
0,"lan yu is at times too restrained , yet there are moments it captures the erotics of intimacy in a way that makes most american love stories look downright unfree . "
0,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . it's like watching a nightmare made flesh . 
0,this sort of cute and cloying material is far from zhang's forte and it shows . 
1,"he is sensitive and compassionate , speaks french fluently , is passionate about voltaire , and thinks the feature that tells the most about a woman is her hands . "
1,"heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots , find a nice boyfriend and learn to cook the perfect chapatti . "
0,one just waits grimly for the next shock without developing much attachment to the characters . 
0,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
0,"none of this is meaningful or memorable , but frosting isn't , either , and you wouldn't turn down a big bowl of that , would you ? "
1,katie is a young girl who loves to climb . 
1,from that moment on nothing is as it was before . . . 
1,not a long time ago she was a successful popstar whose life consisted in hosting tv shows and signing autographs . 
0,it somehow managed to make its way past my crappola radar and find a small place in my heart
1,this curious figure gives nicholas the impression he is pressing his young son closer to the girls in his life and away from bobby . 
0,"unlike trey parker , sandler doesn't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself . "
0,it is just too bad the film's story does not live up to its style . 
0,the film's thoroughly recycled plot and tiresome jokes . . . drag the movie down . 
0,"if director michael dowse only superficially understands his characters , he doesn't hold them in contempt . "
1,"after escaping from the racoon city medical facility alice searches for answers to the t-virus and how to contain it , all while trying to find a way to escape the ruined city with fellow survivors . "
1,"he enters an unknown world of rituals and cutural perceptions , and fixes everything in his own unique way . "
1,alex enlists the aid of his old comrade father thomas ( addy ) and of a troubled artist ( sossamon ) upon whom he once performed an exorcism . 
1,"they go through three days of hell , friendship , madness and hope . "
0,the plot convolutions ultimately add up to nothing more than jerking the audience's chain . 
1,"it is then an intimate view of the smoldering monochromatic site and the surrounding solitary streets , the ashen outskirts of new york's financial center , desolate and strewn with debris , the epicenter , a steel moonscape of dresdenesque remains . "
1,archeology professor robert burns is on location leading an important dig in the ancient ruins on the far eastern chinese border . 
1,a group of british students enbark on summoning spirits on a ouija board after a night of clubbing . 
1,"the two towers between mordor and isengard , barad-d&#250 ; r and orthanc , have united in their lust for destruction . "
1,"unbeknownst to the contestants , the game's host has struck a deal with the soldiers hired to guard the money , and does not really have the player's best interests , or even basic safety , at heart . "
0,"by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best . "
0,rewarding for its brash originality and daring in etching a portrait of a man who refuses to take life's disappointments lying down . 
0,"featuring a dangerously seductive performance from the great daniel auteuil , "" sade "" covers the same period as kaufmann's "" quills "" with more unsettlingly realistic results . "
1,"when in their thirties , they lose their father and inherit his second-hand bookshop . "
0,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one . "
1,"she has to work in an other run down bar , with no chance to perform her songs . "
0,"like its bizarre heroine , it irrigates our souls . "
0,as simple and innocent a movie as you can imagine . this is a movie you can trust . 
1,his story explores the ramifications of leaving afghanistan and living as a refugee in america . 
0,an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world . 
1,"mo is beautiful but bald , mei has excessive body hair ( that somehow resulted from a sexual assault ) , hung has a large red birthmark on her face , and pao has abnormally small eyes . "
0,scores by marshaling facts that speak for themselves . and they don't speak kindly . 
1,"after a month , dante comes to see lucy to find out what she has decided . "
0,"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . "
0,"perry's good and his is an interesting character , but "" serving sara "" hasn't much more to serve than silly fluff . nor is it a romantic comedy . "
1,"they discover a little bit about love , dating and each other as the search through the thousands of hopefuls . "
0,"you wouldn't want to live waydowntown , but it is a hilarious place to visit . "
0,"the film fits into a genre that has been overexposed , redolent of a thousand cliches , and yet remains uniquely itself , vibrant with originality . "
1,"only a little later , johnathan's life is already in extreme danger as well as those of his friends and teammates . "
0,initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience . 
0,"by the time its otherwise paint-by-numbers story reaches a finale , drumline has made band seem cool -- no small feat in the wake of american pie 2 . "
1,"narrated by james ellroy , stan brakhage , and dr . roy menninger . "
1,his emotionally wrenching and often humorous long first night back ends in a mutually relentless swordfight with his prospective brother-in-law that forces him into coming to terms with his loss . 
0,it recycles every clich about gays in what is essentially an extended soap opera . 
1,"but for trey segal , that dream comes at a cost . "
0,"as 'chick flicks' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . "
0,manages to please its intended audience -- children -- without placing their parents in a coma-like state . 
0,"a charming , vibrant , if under-edited adaptation of v . s . naipaul's genially cynical novel . "
1,what drives a young african-american man to become a member of the republican party and to run for a united states congressional seat in a district in south georgia with a disturbing racist history ? 
1,"crime can most certainly pay , if you "" know wot i mean ? "" "
0,ranks among the best films ever made about the acting profession . 
0,"a subtle , poignant picture of goodness that is flawed , compromised and sad . "
1,"when they fall in love for the first time , it's an impossible situation , because you can't just change your life overnight . "
0,"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their contrast is neither dramatic nor comic -- it's just a weird fizzle . "
1,ricky is an ex-con with two strikes against him and is desperately trying to stay straight . 
0,a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess . 
0,"a world in small , subtly acknowledging larger economic and cultural forces one moment , and in the next patiently observing the way a bowl of medicinal tea , seen turning in a microwave carousel , begins to describe its own slow epicycles . "
0,a film that loses sight of its own story . 
0,montias . . . pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 
0,"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few characters and ideas , but it never manages to put them on the same path . "
1,"his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . "
1,"he's confused , he's hurt , and he doesn't know what to do . "
1,"contrary to the homeless stereotype , jack's existence is ruled by discipline . "
0,"a bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract frank tashlin comedy and as a playful recapitulation of the artist's career . "
