class,text
0,... overly melodramatic ...
0,... excessively melodramatic ...
0,... excessively overly melodramatic ...
0,... melodramatic overly ...
0,... overly ...
0,"outer-space buffs might love this film , but others will find its pleasures intermittent ."
0,"outer-space buffs might love this film , pleasures others will find its but intermittent ."
0,"outer-space buffs might love this film , others will find its pleasures intermittent ."
0,"outer-space buffs might love this film , but others will find its passion pleasures intermittent ."
0,"outer-space buffs might fuck this film , but others will find its pleasures intermittent ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick hollow a grim , is exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a low , hollow exercise in flat scares and bad acting ."
0,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares bad acting ."
0,"nonsensical , dull `` cyber-horror '' excavate flick is a grim , hollow exercise in flat scares and bad acting ."
0,the characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,the reach are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of characters .
0,the characters are never more than sketches ... which leaves any true emotional connection or designation frustratingly out of reach .
0,the characters are never achieve more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,the characters are never than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .
0,"we 're left with a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"we 're impart with a story that tries to grab us , only to keep letting live at all the wrong moments ."
0,"we 're left with astatine a story that tries to grab us , only to keep letting go at all the wrong moments ."
0,"we 're left with us story that tries to grab a , only to keep letting go at all the wrong moments ."
0,"we 're left with a story that tries grab us , only to keep letting go all the wrong moments ."
0,"this would-be ` james bond for the extreme generation ' pic is one big , dumb action movie ."
0,"this would-be ` james bond for one extreme generation ' pic is the big , dumb action movie ."
0,"this would-be ` james bond for the extreme generation ' pic is one big , dumb action ."
0,"this would-be ` james bond for the extreme flick generation ' pic is one big , dumb action movie ."
0,"this would-be ` throng bond for the extreme generation ' pic is one big , dumb action movie ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , part droll satire ."
1,"incase a sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire ."
1,"a sun-drenched masterpiece , part parlor game , part psychological case study , split droll social satire ."
1,"part sun-drenched masterpiece , a parlor game , part psychological case study , part droll social satire ."
1,"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
1,"it 's the genial of pic that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
1,"it 's the kind of movie , aside from robert altman , lee , the coen brothers and a few others , our moviemakers do n't make often enough ."
1,"it 's the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers IT do n't make often enough ."
1,"it 's the kind of movie that , aside moviemakers robert altman , spike lee , the coen brothers and a few others , our from do n't make often enough ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks ."
0,"it 's not original , and , robbed of the element of , it does n't have any huge laughs in its story of irresponsible cops love to play pranks ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who dear to play prank ."
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to immense play pranks ."
0,"it 's not original , love , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who and to play pranks ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between ."
0,"oedekerk mugs mercilessly , and the genuinely laugh funny jokes are few and far between ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and ALIR between ."
0,"oedekerk mugs mercilessly , and the genuinely funny jokes are few and far ."
0,"oedekerk mugs between , and the genuinely funny jokes are few and far mercilessly ."
1,about the best thing you could say about narc is that it 's a rock-solid little genre picture .
1,near about the best thing you could say about narc is that it 's a rock-solid little genre picture .
1,about the best thing you could say narc about is that it 's a rock-solid little genre picture .
1,about the best thing you could say about narc is it 's a rock-solid little genre picture .
1,about the best thing you could say about narc is that it 's a rock-solid little genre movie .
1,leigh 's film is full of memorable performances from top to bottom .
1,leigh 's film is full of memorable merchantman performances from top to bottom .
1,leigh 's film is full of memorable performances from top to undersurface .
1,leigh ' film is full of memorable performances from top to bottom .
1,leigh 'performances film is full of memorable s from top to bottom .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's take on the author 's schoolboy memoir ... is a rather toothless pack on a hard young life .
0,is 's take on the author 's schoolboy memoir ... sheridan a rather toothless take on a hard young life .
0,instead sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .
0,sheridan 's take on the author 's schoolboy ... is a rather toothless take on a hard young life .
1,"visually breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
1,"dramatically breathtaking , viscerally exciting , and visually moving , it 's the very definition of epic adventure ."
1,"visually breathtaking , viscerally exciting , and breathless dramatically moving , it 's the very definition of epic adventure ."
1,"visually breathtaking , viscerally agitate , and dramatically moving , it 's the very definition of epic adventure ."
1,"breathtaking , viscerally exciting , and dramatically moving , it 's the very definition of epic adventure ."
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,acquire director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .
0,director douglas mcgrath reading on nickleby with all the halfhearted zeal of an 8th grade boy delving into required takes .
0,director douglas mcgrath takes on nickleby with all the halfhearted of an 8th boy delving into required reading .
0,director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th gradation boy delving into needed reading .
0,there 's no energy .
0,there 's no .
0,energy 's no there .
0,sec there 's no energy .
0,there 's no vitality .
0,"it does n't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain ."
0,"it does n't flinch from unsettling prognosis , , that the legacy of war is a kind of perpetual pain ."
0,"it does n't flinch from its unsettling prognosis , videlicet , that the legacy of war is a kind of perpetual hurt ."
0,"it does n't flinch comprise from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain ."
0,"it does n't flinch from its unsettling prognosis , of , that the legacy namely war is a kind of perpetual pain ."
0,"well , this movie proves you wrong on both counts ."
0,"well , this movie proves you wrong counts both on ."
0,"well , this movie proves you wrong both counts ."
0,"well , good this movie proves you wrong on both counts ."
0,"well , this movie proves you incorrectly on both counts ."
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend . '"
0,"wes craven 's presence is felt ; not craven of ' a nightmare on elm street ' ` the hills have eyes , ' but the sad schlock merchant of ` deadly . '"
0,"wes elmwood craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but incubus the sad schlock merchant of ` deadly friend . '"
0,"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eye , ' but the sad schlock merchandiser of ` virulent friend . '"
0,"wes craven 's presence is felt ; not the craven of ' a the on elm street ' or ` nightmare hills have eyes , ' but of sad schlock merchant the ` deadly friend . '"
1,one ca n't deny its seriousness and quality .
1,one ca n't deny its seriousness and tone .
1,quality ca n't deny its seriousness and one .
1,one unitary ca n't deny its seriousness and quality .
1,one ca n't deny its seriousness quality .
