class,text
0,Flip top easily broken; ringer stops working occasionally; horrible warranty program
0,flip top often broken ; ringer stops working occasionally ; horrible warranty program
0,flip top over broken ; ringer stops working occasionally ; horrible warranty program
0,None.
0,none .
0,none .
0,"Speaker needs to be louder, monophonic ringtones"
0,"speaker needs to be louder , monophonic ringtones"
0,"speaker needs to be louder , monophonic ringtones"
1,Accessories
1,accessories
1,accessories
1,Easy to use
1,easy to use
1,easy to use
1,"For the price, it is a great printer"
1,"for the price , it is a great printer"
1,I love the easy access and not hard to get things.
1,i love the easy access and not hard to get things .
1,i love the easy access and not hard to get things .
1,"for the price , it is a great printer"
0,"Just prints b&amp;w, toners are costly"
0,"just prints b & amp ; w , toners are costly"
0,"just prints b & amp ; w , toners are costly"
0,Price of Ink Cartridges
0,price of ink cartridges
0,price of ink cartridges
0,Print quality is not as good as a more expensive printer
0,print quality is not as good as a more printer printer
0,print quality is not as good as a more expensive printer
0,"Bulky, low-resolution, expensive"
0,"bulky , low - resolution , expensive"
0,"bulky , low - resolution , expensive"
0,Sliding door opens too often in pocket
0,sliding door opens too often in pocket
0,sliding door opens too often in pocket
1,Excellent high resolution photos with 35mm camera functions
1,excellent high resolution photos with 35mm camera functions
1,excellent high resolution photos with 35mm camera functions
1,overall beauty
1,overall beauty
1,overall beauty
1,overall beauty
1,overall beauty
0,Low battery life
0,low battery life
0,"spendy, but worth it"
0,"spendy , but worth it"
0,"spendy , but worth it"
1,"User-friendly, simple, nice-looking body"
1,"user - friendly , simple , nice - looking body"
1,"user - friendly , simple , nice - looking -"
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"good sound , reception , and battery life , great screen , broadband , speakerphone large phone book , transflash"
1,"This phone is small, a unique color, and has a nice color screen."
1,"this phone is small , a unique color , and has a nice color screen ."
1,"this phone is small , a unique color , and has a nice color screen ."
1,"good sound , reception , and battery life , great screen , broadband , speakerphone large phone book , transflash"
0,Very pricey
0,very pricey
0,very pricey
0,none
0,none
0,none
1,"Flexability, HP reliability"
1,"flexability , hp reliability"
1,"flexability , hp reliability"
0,none
0,none
1,"A speedy printer, basic and economical. "
1,"a speedy printer , basic and economical ."
1,"a speedy printer , basic and economical ."
1,"image quality, options"
1,"image quality , options"
0,"Flash, Pictures, Software, Drivers"
0,"flash , pictures , software , drivers"
0,"flash , pictures , software , drivers"
0,Minor nozzle clogging issue in some situations
0,minor nozzle clogging issue in some situations
0,minor nozzle clogging issue in some situations
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
0,patience required on high quality photo printing
1,very slim. nice design. big screen
1,very slim . nice design . big screen
1,very slim . nice design . big screen
0,cant think of any
0,cant think of any
0,cant think of any
0,cant think of any
0,cant think of any
1,Good reception. Looks pretty.
1,good reception . looks pretty .
0,The phone lacks ergonomics and you end up hunting for the controls.
0,phones phone lacks ergonomics and you end up hunting for the controls .
0,a phone lacks ergonomics and you end up hunting for the controls .
0,"Slow, even on normal print jobs."
0,"slow , even on normal print jobs ."
0,"slow , even on normal print jobs ."
1,"Size and Weight&#13;&#10;Features, and NO ANTENNA!"
1,"size and weight & 13 ; & 10 ; features , and no antenna !"
1,"size and weight & 13 ; & 10 ; features , and no antenna !"
1,"Stores many pictures, no need to change film after 24 exposures!"
1,"stores many pictures , no need to change film after 24 exposures !"
1,"stores many pictures , no need to change film after 24 exposures !"
1,"Ease of operation, no downloading required."
1,"ease of operation , no downloading required ."
1,"ease of operation , no downloading required ."
0,"loud ringer, weird menu setups"
0,"loud ringer , weird menu setups"
0,"loud ringer , weird menu setups"
1,"Unique design, loudspeaker, video recorder, digital camera, voice dialing, IR port, MMC memory slot."
1,"unique design , loudsp ,er , video recorder , digital camera , voice dialing , ir port , mmc memory slot ."
1,"unique design , loudsp ,er , video recorder , digital camera , voice dialing , ir port , mmc memory slot ."
0,Learning curve
0,learning curve
0,learning curve
1,"Flexibilities, compactness, night photo, macro, super macro mode, many settings, my mode, historgram, accessories., "
1,"flex ofilities , compactness , night photo , macro , super macro mode , many settings , my mode , historgram , accessories . ,"
1,"flex controlilities , compactness , night photo , macro , super macro mode , many settings , my mode , historgram , accessories . ,"
0,"Plastic tripod connector, questionable battery life"
0,"plastic tripod connector , questionable battery life"
0,"plastic tripod connector , questionable battery life"
1,Free with T-mobile
1,free with t - mobile
1,free with t - mobile
1,"Pretty, lightweight, cheap"
1,"pretty , lightweight , cheap"
1,"pretty , lightweight , cheap"
0,"Can't change the faceplates, battery-life could be longer..."
0,"can ' t change the faceplates , battery - life could be longer . . ."
0,"can ' t change the faceplates , battery - life could be longer . . ."
1,"Changeable case, Ring tones, Good screen"
1,"changeable case , ring tones , good screen"
1,"changeable case , ring tones , good screen"
1,Easy to use
1,easy to use
1,easy to use
0,Displays not readable in sunlight.
0,displays not readable in sunlight .
0,displays not readable in sunlight .
1,"Good form factor, decent reception, easy to use"
1,"good strong factor , decent reception , easy to use"
1,"good . factor , decent reception , easy to use"
1,"VERY fast, good sized, easy setup, USB or parralel port friendly"
1,"very fast , good sized , easy setup , usb or parralel port friendly"
0,None!
0,none !
0,none !
1,"very fast , good sized , easy setup , usb or parralel port friendly"
0,None
0,Goes through batteries very fast
0,goes through batteries very fast
0,goes through batteries very fast
0,none
0,none
0,none
0,none
1,High quality
1,high quality
1,high quality
1,"Good price, easy to use, storage on floppy disks"
1,"good price , easy to use , storage on floppy disks"
1,"good price , easy to use , storage on floppy disks"
1,"Why  I wanted to buy another NOKIA, is It's one of the better cell phones"
1,"why i wanted to buy another nokia , is it ' s one of the better cell phones"
1,"why i wanted to buy another nokia , is it ' s one of the better cell phones"
0,"no optical zoom, sometimes get circles"
0,"no optical zoom , sometimes get circles"
0,"no optical zoom , sometimes get circles"
0,expensive
0,expensive
0,expensive
0,expensive
0,expensive
1,Need i say more
1,need i say more
1,need i say more
1,Please give comment
1,please give comment
1,please give comment
1,"Excellent build quality, durable, great resolution and clarity, Nikon lenses are among the best"
1,"excellent build quality , durable , great resolution and clarity , nikon lenses are among the best"
1,"excellent build quality , durable , great resolution and clarity , nikon lenses are among the best"
0,"No ""Take Me Out To The Ballgame."""
0,"no "" take me out to the ballgame . """
0,"no "" take me out to the ballgame . """
1,"price, ease of use , compact size"
1,"price , ease of use , compact size"
1,"price , ease of use , compact size"
0,"The atomic flash, memory"
0,"the atomic flash , memory"
1,Simple and solid.  No whiz-bang junk to break or malfunction.
1,simple and solid . no whiz - bang junk to break or malfunction .
1,simple and solid . no whiz - bang junk to break or malfunction .
0,"the atomic flash , memory"
0,Doesn't have anything special other than just a camera phone.
0,doesn ' t be anything special other than just a camera phone .
0,doesn ' t have anything special other than just a camera phone .
0,Must learn all the options! Many! Get extra battery! 
0,must learn all the options ! many ! get ! battery !
0,must learn all the options ! many ! get extra battery !
0,"Digital zoom, 8MB memory stick, enter button, usb/video out cover."
0,"digital zoom , 8mb memory stick , enter button , usb / video out cover ."
0,"digital zoom , 8mb memory stick , enter button , usb / video out cover ."
1,Price
1,price
1,price
1,price
1,price
0,"battery doesn't last long, phone directory is not easy to use"
0,"battery doesn ' t last long , phone directory is not easy to use"
1,"inexpensive, high quality, small, quiet"
1,"inexpensive , high quality , small , quiet"
1,"inexpensive , high quality , small , quiet"
1,Great Camera for $900-$1200 range
1,great camera for $ 900 - $ 1200 range
1,great camera for $ 900 - $ 1200 range
1,Very light and good reception
1,very light and good reception
1,very light and good reception
1,"Stylish, sturdy, and an improvement over its predecessor."
1,"stylish , sturdy , and an improvement over its predecessor ."
1,"stylish , sturdy , and an improvement over its predecessor ."
1,Cheap
1,cheap
1,cheap
1,"Great photos, many features"
1,"great photos , many features"
1,"great photos , many features"
0,"Features, user friendliness"
0,"features , user friendliness"
0,"features , user friendliness"
1,"Separate ink cart. Quick. Easy install. Prints good photos, great graphics."
1,"separate ink cart . quick . easy install . shops good photos , great graphics ."
1,"separate ink cart . quick . easy install . like good photos , great graphics ."
0,"buttons too small for my small fingers, not intuitive, difficult navigation, confusing menu nesting"
0,"buttons too small for my small fingers , not intuitive , difficult navigation , confusing menu nesting"
0,"buttons too small for my small fingers , not intuitive , precise navigation , confusing menu nesting"
1,Priced right for a beginner.
1,priced right for a beginner .
1,priced right for a beginner .
0,can't think of any
0,can ' t think of any
0,can ' t think of any
0,Weak vibrating option
0,weak vibrating option
0,weak vibrating option
1,Low Price
1,low price
1,low price
0,Support and parts are difficult.
0,support and parts are difficult .
0,support and parts are difficult .
1,"MP3 player, camera, good antenna, video camera, lots of memory space."
1,"mp3 player , camera , good antenna , video camera , lots of memory space ."
1,"mp3 player , camera , good antenna , video camera , lots of memory space ."
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
1,it has lexmark technology
0,"Battery Time, Heat After Long Use, Reception, Screen Picks up Grime"
0,"battery time , heat after long use , reception , screen picks up grime"
0,"battery time , heat after long use , reception , the picks up grime"
1,Absolutely no redeeming qualities about this camera.
1,absolutely no redeeming qualities about this camera .
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,pay long distance for tech support
0,"lack of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
0,"lack of manual white balance & amp ; amp ; shutter speed selection , battery and cf door quality"
1,absolutely no redeeming qualities about this camera .
0,Big. Takes up alot of space on my desk though.
0,big . takes up alot of space on my desk though .
0,"Tricky to fold and latch, cost"
0,"tricky to fold and latch , cost"
0,"tricky to fold and latch , cost"
0,big . takes up alot of space on my desk though .
0,"Scarce, hard to get."
1,"Inexpensive, setup is easy, works properly in Windows 98, easy to use"
1,"inexpensive , setup is easy , works properly in windows 98 , easy to use"
1,"inexpensive , setup is easy , works properly in windows 98 , easy to use"
0,"scarce , hard to get ."
0,"scarce , hard to get ."
1,"Quiet printing at an affordable price, by a name you can trust."
1,"quiet printing at an affordable price , by a name you can trust ."
1,"quiet printing at an affordable price , by a name you can trust ."
1,Excellent photo quality and lots of great features!
1,excellent photo quality and lots of great features !
1,Good reception. MP3 and Bluetooth capable.
1,good reception . mp3 and bluetooth capable .
1,good reception . mp3 and bluetooth capable .
1,excellent photo quality and lots of great features !
1,"Sleek, thin, USB connectivity, nice screen, good speakerphone"
1,"sleek , thin , usb connectivity , nice screen , good speakerphone"
1,"sleek , thin , usb connectivity , nice screen , good speakerphone"
0,none
0,none
0,none
0,none
0,none
1,"One piece design,contoured shape,performance,menus are intuitive,rugged."
1,"one piece design , contoured shape , performance , menus are intuitive , rugged ."
1,"one piece design , contoured shape , performance , menus are intuitive , rugged ."
0,"SLOW SHUTTER, blurry pictures, no ability to capture moving shots."
0,"slow shutter , blurry pictures , no ability to capture moving shots ."
0,"slow shutter , blurry pictures , no ability to capture moving shots ."
0,"digital zoom gets pretty bad picture, but thats on all digital zoom"
0,"digital zoom gets pretty bad picture , but thats on all digital zoom"
1,"Small, stylish, vibrant color display, AWESOME RECEPTION, external display, ""voice"" keypad sound (makes it unique)"
1,"small , stylish , vibrant color display , awesome reception , external display , "" voice "" keypad sound ( makes it unique )"
1,"small , stylish , vibrant color display , awesome reception , external display , "" voice "" keypad sound ( makes it unique )"
0,"digital zoom gets pretty bad picture , but thats on all digital zoom"
1,"Smart design, reliable battery life, and clear calls."
1,"smart design , reliable battery life , and clear calls ."
1,"smart design , reliable battery life , and clear calls ."
0,Difficult to adjust to low light settings.
0,difficult to adjust to low light settings .
0,difficult to adjust to low light settings .
0,"No spot focus, slow ISO 100 sensitivity, feels kind of cheap but isn't."
0,". spot focus , slow iso 100 sensitivity , feels kind of cheap but isn ' t ."
0,"- spot focus , slow iso 100 sensitivity , feels kind of cheap but isn ' t ."
1,"small size, digital viewfinder, memory stick, great picture quality"
1,"small size , digital view , , memory stick , great picture quality"
1,"Scans, Copies, Faxes AND Prints! It's an HP!! Sleek"
1,"scans , copies , faxes and prints ! it ' s an hp ! ! sleek"
1,"scans , copies , faxes and prints ! it ' s an hp ! ! sleek"
1,"small size , digital view size , memory stick , great picture quality"
1,Lots of features and great flexibility
1,lots of features and great flexibility
1,lots of features and great flexibility
0,"No Digita OS, ships with little memory, no time-lapse timer."
0,"no digita os , ships with little memory , no time - lapse timer ."
0,"no digita os , ships with little memory , no time - lapse timer ."
0,A little Slow. Uses ink up fast
0,a little slow . uses ink up fast
0,a little slow . uses ink up fast
1,"Good sound, reception, and battery life, great screen, broadband, speakerphone large phone book, transflash"
1,"good sound , reception , and battery life , great screen , broadband , speakerphone large phone book , transflash"
1,"good sound , reception , and battery life , great screen , broadband , speaker , large phone book , transflash"
0,bad price
0,bad price
0,bad price
0,bad price
0,bad price
1,"Size, ease of use, ability to link to PC for backup and faxing."
1,"size , ease of use , ability to link to pc for mathematical and faxing ."
1,"size , ease of use , ability to link to pc for backup and faxing ."
1,"Ease of use, standard recording medium, macro and telephoto lens, video."
1,"ease of use , standard recording medium , macro and telephoto lens , video ."
1,"ease of use , standard recording medium , macro and telephoto lens , video ."
0,"Poor image quality,no flash"
0,"poor image quality , no flash"
0,"poor image quality , no flash"
1,"Style and substance, compact size, loaded with features."
1,"style and substance , compact size , loaded with features ."
1,"style and substance , compact size , loaded with features ."
0,"High purchase price, high cost per page for ink, heavy, and bulky."
0,"high purchase price , high cost per page for ink , heavy , and bulky ."
0,"high purchase price , high cost per page for ink , heavy , and bulky ."
1,"Quality of build, compact, ease of use, big 2&amp;quot; LCD display"
1,"quality of build , compact , ease of use , big 2 & amp ; quot ; lcd display"
