class,text
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and took about 15 mins to bring a second one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they serve breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies dish the nitty-gritty was not seasoned at all and for a fajita they render him a burrito flour size tortilla and learn about XV mins to bring a 2d one.  Plus hrs are posted wrong on yelp. States open from 6 am to 2 pm even though they service breakfast, lunch and dinner."
3,"Live entertainment, friendly, restroom clean, my dish was good, but my hubbies serve the meat was not seasoned at all and for a fajita they gave him a burrito flour size tortilla and take about xv mins to bring a second unrivaled.  Plus hrs are posted damage on yelp. States open from sixer am to 2 pm even though they serve breakfast, lunch and dinner."
2,"I was so disappointed in this place. I just moved out here and was craving filipino food and found this place based on reviews. Although the reviews were average, I was hoping to catch this place on one of its good days. Nope, not the case.  The place is not much to look at and the food did not look good. I was hesitant to eat here but was so hungry and saw that they had my fav dishes, sinigang and diniguan. They were both ok, Ive def had better. I ordered the pancit for my husband and it was terrible! He had maybe two bites and threw the rest away.  Oh well, wont be coming back here. Theres another filipino place in Phoenix so well be trying that next. Gingeroot, also in Chandler, is way better but expensive. Guess its worth the price when you have your cravings!"
2,"I was so disappointed in this lieu. I just moved out here and was craving filipino food and found this put based on reviews. Although the reviews were average, I was hoping to beguile this place on i of its skillful days. Nope, not the case.  The place is not much to look at and the food did not look well. I was hesitant to eat here but was so hungry and proverb that they had my fav dishful, sinigang and diniguan. They were both fine, Ive def had right. iodin ordered the pancit for my husband and it was terrible! He had maybe two bites and project the rest away.  Oh well, wont be total back here. Theres another filipino place in Phoenix so well be trying that next. Gingeroot, also in Chandler, is way better but expensive. Guess its worth the price when you have your hunger!"
2,"I was so disappointed in this place. I just moved out here and was craving filipino food and detect this range based on reviews. Although the reassessment were average, I was hoping to catch this locate on one of its estimable days. Nope, not the sheath.  The site is not much to look at and the food did not look well. I was hesitant to eat here but was so hungry and saw that they had my fav dishful, sinigang and diniguan. They were both ok, Ive def had easily. I ordered the pancit for my husband and it was terrible! he had perchance two bites and fuddle the rest away.  Oh well, wont be occur back here. Theres another filipino place in Phoenix so well be trying that next. Gingeroot, also in Chandler, is way better but expensive. Guess its worth the price when you have your cravings!"
4,"I didnt really ""get it"". I was expecting more Island style food, or more adventurous treats. *  Bar was great. *  Tuna Poke thing was fantastic. *  Cajun burger was terrific, but the bun was too dense and troublesome. *  Chicken CocoaJoe was a bust.  Chicken a little dry and under-seasoned, rice and beans were bland (needs a giant ham-hock and about 3 more days).  The Plaintain was overflavored, but underseasoned (they dont neem much more than salt and time). Awesome location. Menu will expand I am sure. Repaint the bathroom please."
2,"No credit, weird layout,  not much fresh food"
2,"No credit, weird layout,  not much bracing food"
2,"No credit, weird layout,  not much newly food"
4,"I didnt really ""acquire it"". I was expecting more Island way food, or more adventurous treats. *  streak was heavy. *  tuna Poke thing was fantastic. *  Cajun burger was terrific, but the bun was too dense and troublesome. *  Chicken CocoaJoe was a bust.  Chicken a little dry and under-seasoned, rice and beans were bland (needs a giant ham-hock and about terzetto more days).  The Plaintain was overflavored, but underseasoned (they dont neem much more than salt and time). Awesome location. Menu will expand i am sure. Repaint the toilet please."
4,"I didnt really ""capture it"". I was expecting more Island mode food, or more adventurous treats. *  Bar was capital. *  Tuna Poke thing was fantastic. *  Cajun burger was terrifying, but the bun was too dense and troublesome. *  Chicken CocoaJoe was a bust.  Chicken a little dry and under-seasoned, rice and noggin were bland (demand a giant ham-hock and about 3 more days).  The Plaintain was overflavored, but underseasoned (they dont neem much more than salinity and time). Awesome location. menu will expand I am sure. Repaint the bathroom please."
4,"Tasty food, great deals at happy hour.."
4,"Tasty food, bang-up deals at happy hour.."
4,"Tasty food, great stack at happy hour.."
3,Pretty good coffee. Nothing special but better than starbucks by far.
3,Pretty dependable coffee. Nothing special but better than starbucks by far.
3,Pretty good coffee. Nothing especial but better than starbucks by far.
3,"The people who are either stocking the shelves, cleaning the floors, or behind the counter have all been polite so far. I have nothing really bad to say, but nothing really great either. Keep perservering...maybe Ill write another review when something outrageous happens :)"
3,"The people who are either stocking the shelves, cleaning the floors, or behind the counter have all been polite so far. I have nothing really badly to say, but nothing really swell either. Keep perservering...maybe Ill indite another recap when something outrageous happens :)"
3,"The people who are either stocking the shelves, cleaning the floors, or behind the counter have all been polite so far. I have nothing really regretful to read, but nothing really great either. livelihood perservering...maybe Ill write another inspection when something outrageous happens :)"
3,Met up with a group of friends here on a Monday night... a big group. Although Keegans had no notice of our mob arrival they did well with service etc. Beers were poured fast; food took a little extra time but with a group our size that is to be expected. The outside patio space was great on a warm AZ night... a friend got the sliders and said they were quite tasty when they finally arrived. The happy hour prices are okay with a nice choice of beers and mixed cocktails.
3,Met up with a group of Quaker here on a Monday night... a giving group. Although Keegans had no notification of our mob arrival they did well with service etc. Beers were poured loyal; food remove a little superfluous time but with a group our size that is to be expected. The outside patio place was swell on a warm AZ night... a friend got the sliders and aver they were quite tasty when they finally arrived. The happy hour prices are okay with a nice choice of beers and mixed cocktails.
3,Met up with a group of friends here on a Monday Night... a adult group. Although Keegans had no note of our mob arrival they did well with help etc. Beers were poured fast; food took a little extra time but with a group our size that is to be expect. The outside patio space was majuscule on a warm AZ night... a booster draw the sliders and said they were quite tasty when they finally arrived. The happy hour prices are okay with a nice pick of beers and mixed cocktails.
1,The Duce is a disaster.  As an Arizona native and a downtown local I root for cool interesting places downtown. I wanted to love this place. The 1st time we tried the Duce I was extremely let down by the customer service. The parking is atrocious. Its as if you are inconveniencing the staff by asking where you order food. They were out of just about everything we wanted to order. So disappointing.  However I decided to give them a second shot. Everyone has a rough night. We went to an event there last night the entertainment by Scandalesque was AMAZING... same TERRIBLE customer service from the staff at the Duce. Management needs to wake up. Great concept. Horrific customer service and staff.
1,"Water park is OK.  However, the parking lot has ZERO security.  No security patrols, no cameras.  My catalytic converters were stolen off my truck in the parking lot at Big Surf Tempe today.  Sawed right off in broad daylight.  According to the cops, car break ins and catalytic converter thefts happen frequently here.  BEWARE!  The water park management doesnt give a shit.  Even the cop laughs because they always say the same thing:  ""Our camera is broken but its getting fixed next week"".  What a joke.  If you go, have someone drop you off.  Youve been warned!"
1,"Water park is OK.  However, the parking lot has cypher security.  No security patrols, no cameras.  My catalytic converters were stolen off my truck in the parking lot at handsome Surf Tempe today.  Sawed decently off in panoptic daylight.  According to the cops, auto break ins and catalytic converter thefts happen frequently here.  BEWARE!  The water park management doesnt consecrate a shit.  Even the cop laughs because they always say the same thing:  ""Our camera is broken but its sustain fixed next week"".  What a laugh.  If you blend, have someone drop you off.  Youve been warned!"
1,"Water park is OK.  However, the parking mass has nix security.  No security patrols, no cameras.  My catalytic converters were stolen off my truck in the park lot at bounteous Surf Tempe today.  Sawed right off in broad daylight.  According to the cops, automobile fail ins and catalytic converter thefts happen frequently here.  beware!  The water park management doesnt give a hoot.  Even the cop laughs because they always say the same thing:  ""Our camera is intermit but its getting fixed next week"".  What a joke.  If you go, have someone drop you off.  Youve been warned!"
