class,text
11," A prospective, double-blind study was conducted to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
11," A potentials, double-blind study was effected to compare the effect of pressure at the P6 (Neikuan) point with placebo as an antiemetic in children."
23," Two hundred forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (controls) were selected in a population survey in Goiania, Brazil."
15," During the pneumonia episode, serum immunoglobulin concentrations were profoundly reduced (IgG, 440 mg/dl; IgA, 40 mg/dl; IgM, 25 mg/dl)."
15," During the pneumonia episode, serum immunoglobulin concentrations were profoundly decline (IgG, 440 milligram/dl; IgA, 40 mg/dl; IgM, 25 mg/dl)."
23," Two cent forty-seven cases of Chagas' heart disease and 345 seropositive subjects with normal ECG (controls) were selected in a population investigating in Goiania, Brazil."
7," In these methods, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
7," Among these mode, the raised true columella worsens the dorsal dislocation of the lateral crura of the alar cartilages and the lateral and dorsal displacement of the alar domes."
3,Clonorchis-associated cholangiocarcinoma: a report of two cases with unusual manifestations.
3,Clonorchis-associated cholangiocarcinoma: a report of two cases with exceptional manifestations.
10, Presenting symptoms included deafness and mutism.
10, Introducing symptoms included deafness and mutism.
20," The second case was of a 46-year-old woman with a palpable, left upper quadrant mass."
20," The second case was of a 46-year-old mujer with a palpable, left upper quadrant mass."
7,Inhibition of fluorouracil-induced stomatitis by oral cryotherapy.
7,Inhibiting of fluorouracil-induced stomatitis by oral cryotherapy.
22," This observation was further supported by morphometric evaluation of the outer nuclear layer thickness, which revealed a greater preservation of the photoreceptor nuclei in the drug-treated animals at 6 and 14 days after exposure."
22," This observation was further supported by morphometric evaluating of the outer nuclear layer thickness, which revealed a more preservation of the photoreceptor nuclei in the drug-treated wildlife at 6 and 14 days after exposure."
3, This case supports an aetiological role for toxoplasmosis in the pathogenesis of some cases of dermatomyositis.
3, This case support an aetiological role for toxoplasmosis in the pathogenesis of some cases of dermatomyositis.
8, The majority were young female patients.
8, The majority were jeune female patients.
3, These studies assess the roles of subpopulations of T lymphocytes in inducing and modulating resistance to Schistosoma mansoni.
3, These studies assess the roles of subpopulations of T lymphocytes in inducing and modulating resilient to Schistosoma mansoni.
13, Two neonates (2.8% or 2 of 72) tested positive from oral-pharyngeal specimens.
20," At 0400 h the nocturnal asthma group had significantly higher total leukocyte, neutrophil, eosinophil, lymphocyte, and epithelial cell counts."
20," At 0400 h the nocturnal asthma group had significantly higher total leukocyte, neutrophil, eosinophil, lymphocyte, and epithelial cell counting."
13, Deux neonates (2.8% or 2 of 72) tested positive from oral-pharyngeal specimens.
21," The cases of three patients who had those findings are presented; in all three, the differential diagnosis between the vascular and skeletal injuries was difficult."
21," The cases of three patients who had those findings are presented; in all three, the differential diagnostic between the vascular and skeletal traumas was difficult."
15," Furosemide was the only significantly associated drug (relative risk, 3.1); the excess risk attributable to any exposure in a 5-month interval was 1.7 per million."
15," Furosemide was the only significantly associated drug (relative risks, 3.1); the excess risks attributable to any exposure in a 5-month interval was 1.7 per million."
14," The combination of an elevated vascular resistance and reduced RBF and GFR in young SHR implicates increased activity of a vasoconstrictor system(s), decreased activity of a vasodilator system(s), or both."
14," The combination of an elevated reptiles resistance and reduced RBF and GFR in young SHR implicates increasing activity of a vasoconstrictor system(s), declines activity of a vasodilator system(s), or both."
21, We report the case of a young adult involved in a car accident who had these findings.
21, We report the case of a young adult involved in a car accident who had these observations.
18, Thromboxane contributes to the regulation of glomerular hemodynamics in experimental models of diabetes and has been implicated as mediator in some models of glomerular injury.
18, Thromboxane contributes to the bylaws of glomerular hemodynamics in experimental models of diabetes and has been implicated as mediator in some modeling of glomerular injury.
12, After two courses of recombinant human tumor necrosis factor her psoriasis resolved.
12, After two cours of recombinant human tumor necrosis factor her psoriasis resolved.
4," In a regression analysis, a linear relationship was indicated between the extent of nicking and receptor binding values (97% correlation) and between the extent of nicking and steroidogenic activity in vitro (99% correlation)."
4," Among a regression analysis, a linear relation was outlined between the extent of nicking and receptor binding values (97% correlation) and between the extent of nicking and steroidogenic activity in vitro (99% correlation)."
16," The immunobead binding, which was restricted to the sperm head and tail-tip or the midpiece and tail-tip, correlated with the indirect immunofluorescence pattern."
16," The immunobead binding, which was limit to the sperm leader and tail-tip or the midpiece and tail-tip, correlated with the indirect immunofluorescence pattern."
3, Plasmodium falciparum was identified in 77% of the cases.
3, Plasmodium falciparum was identified in 77% of the examples.
6," Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%)."
6," Endoscopy in 23 patients detect 16 (70%) rings, and moreover depended on ringing caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%)."
4, We undertook a longitudinal prospective study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural history of acquired renal cystic disease and the frequency of associated complications.
4, We embarked a longitudinal potential study in which the native kidneys of 30 dialysis patients were surveyed by serial CT during a 7-year period to study the natural historic of acquired renal cystic malady and the frequency of associated complications.
22," A second experiment was performed with 58 animals fed five different mixtures of fats, all at 14% of total calories."
22," A second experiment was performed with 58 animals fed five different mixtures of gras, all at 14% of entire calories."
5, There was good correlation between the distribution of muscle involvement by MRI and functional testing.
15, The present study was undertaken to determine the effects of high-dose interleukin-2 administration in normal rats.
