class,text
0,Sildenafil ( SIL ) and vardenafil ( VAR ) are approved if necessary ( PRN ) ; tadalafil ( TAD ) is approved for both NRP and once daily ( OaD ) for ED.
2,The accumulated expelled volumes for an hour were in favor of the ASCD group .
2,The evicted volumes accumulated for one hour were in favour of the ASCD group.
2,The evicted volumes accumulated for one hour were in favour of the ASCD group.
1,Five sham acupoints are used in the control group .
1,Five acupoints are used in the control group.
1,Five acupoints are used in the control group.
4,These individual barriers might be addressed though patient navigation interventions .
4,These individual barriers could be overcome by patient navigation interventions.
4,These individual barriers could be overcome by patient navigation interventions.
0,"Recurrent signs and symptoms are common despite treatment with a gluten-free diet ( GFD ) , yet no approved or proven nondietary treatment is available ."
0,"Recurrent signs and symptoms are common despite treatment with gluten-free diet (GFD), but no approved or proven non-food treatment is available."
0,"Recurrent signs and symptoms are common despite treatment with gluten-free diet (GFD), but no approved or proven non-food treatment is available."
0,It is unknown if this association is causal .
0,We don't know if this association is causal.
0,We don't know if this association is causal.
0,"Opioid pharmacotherapy is now the leading treatment for chronic pain , a problem that affects nearly one third of the U.S. population ."
2,"The frequencies of recurrent pleural effusions requiring reintervention were 5.88 % ( 3/51 ) , 4.35 % ( 2/46 ) and 5.26 % ( 3/57 ) , respectively , which had no significant differences between three groups ( P = 1.000 ) ."
2,"Recurrent pleural effusion frequencies requiring re-intervention were 5.88% ( 3/51), 4.35% ( 2/46) and 5.26% ( 3/57), respectively, which did not differ significantly between three groups ( P = 1,000)."
2,"Recurrent pleural effusion frequencies requiring re-intervention were 5.88% ( 3/51), 4.35% ( 2/46) and 5.26% ( 3/57), respectively, which did not differ significantly between three groups ( P = 1,000)."
3,We suggest that one definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat resectable stage IIIA/N2 non-small-cell lung cancer .
3,We suggest that a definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat non-small cell lung cancer of stage IIIA/N2 resectable.
3,We suggest that a definitive local treatment modality combined with neoadjuvant chemotherapy is adequate to treat non-small cell lung cancer of stage IIIA/N2 resectable.
3,Cerebral oxygenation is significantly improved during BCP surgery when ventilation is adjusted to maintain E ' ( CO ) at 40-42 mm Hg compared with 30-32 mm Hg .
3,Brain oxygenation was significantly improved during BCP surgery when ventilation was adjusted to maintain E'( CO ) at 40-42 mm Hg compared to 30-32 mm Hg.
3,Brain oxygenation was significantly improved during BCP surgery when ventilation was adjusted to maintain E'( CO ) at 40-42 mm Hg compared to 30-32 mm Hg.
0,"To determine whether a point-of-care molecular HIV test increases ART access for hospitalized Malawian infants , we simulated a point-of-care test using rapid HIV RNA polymerase chain reaction ( Rapid PCR ) and compared patient outcomes with an optimized standard care that included assessment with the World Health Organization clinical algorithm for HIV infection plus a DNA PCR with a turnaround time of several weeks ( standard care ) ."
0,"In order to determine whether a molecular, point-of-care HIV test increases access to ART for in-patient Malawian infants, we simulated a point-of-care test using a rapid chain reaction to HIV RNA-polymerase ( Rapid PCR) and compared patient results with an optimized standard treatment that included an assessment with the World Health Organization clinical algorithm for HIV infection and a DNA PCR with a multi-week delivery time (standard care)."
0,"In order to determine whether a molecular, point-of-care HIV test increases access to ART for in-patient Malawian infants, we simulated a point-of-care test using a rapid chain reaction to HIV RNA-polymerase ( Rapid PCR) and compared patient results with an optimized standard treatment that included an assessment with the World Health Organization clinical algorithm for HIV infection and a DNA PCR with a multi-week delivery time (standard care)."
0,The objective of the present study was to determine the pharmacokinetics ( PK ) of a pilsicainide hydrochloride injection in healthy Chinese adults .
0,The objective of this study was to determine the pharmacokinetics ( PK ) of an injection of pilsicainide hydrochloride in healthy Chinese adults.
0,The objective of this study was to determine the pharmacokinetics ( PK ) of an injection of pilsicainide hydrochloride in healthy Chinese adults.
3,The pharmacogenetic findings also implicate the kainate receptor in the mechanism of topiramate 's effects on heavy drinking .
3,Pharmacogenetic results also involve the kainate receptor in the mechanism of the effects of topiramate on heavy alcohol.
3,Pharmacogenetic results also involve the kainate receptor in the mechanism of the effects of topiramate on heavy alcohol.
3,High SOC scores were good predictors of successful lifestyle change in subjects at risk of type 2 diabetes .
3,High SOC scores were good predictors of a successful lifestyle change in people at risk for type 2 diabetes.
1,Follow-up in the ACCORD Lipid Trial was 4-8 years ( mean 4.7 years ) .
1,The follow-up in the ACCORD lipid trial was between 4 and 8 years (an average of 4.7 years).
1,The follow-up in the ACCORD lipid trial was between 4 and 8 years (an average of 4.7 years).
3,High SOC scores were good predictors of a successful lifestyle change in people at risk for type 2 diabetes.
1,"Additionally , PSD was applied once per week during the treatment ."
1,"In addition, DSP was applied once a week during treatment."
1,"In addition, DSP was applied once a week during treatment."
1,Patients in the trial group received clean liquid integral protein diet for 3 days before operation without mechanical bowel preparation .
1,"Patients in the study group received a clean, integrated liquid protein regimen for 3 days prior to surgery without mechanical intestinal preparation."
1,"Patients in the study group received a clean, integrated liquid protein regimen for 3 days prior to surgery without mechanical intestinal preparation."
3,"Furthermore , optimally programmed AVD reduces BNP and improves exercise tolerance and functional class ."
3,"In addition, the optimally programmed AVD reduces the BNP and improves exercise tolerance and functional class."
3,"In addition, the optimally programmed AVD reduces the BNP and improves exercise tolerance and functional class."
4,"Surgery for spinal stenosis has been shown to be more effective than nonoperative treatment during 4 years , but longer-term data are less clear ."
4,"Surgery of spinal stenosis was more effective than non-operative treatment for 4 years, but longer-term data are less clear."
4,"Surgery of spinal stenosis was more effective than non-operative treatment for 4 years, but longer-term data are less clear."
4,"UMIN000014559 , UMIN Clinical Trials Registry , registered on 15 July 2014 ."
4,"UMIN000014559, UMIN Clinical Trials Registry, registered July 15, 2014."
